XINPUT1_3.dll                 0x000000400000
X3DAudio1_7.dll               0x0000737C0000
steam_api64.dll               0x0000737D0000
d3d11.dll                     0x000180000000
tbb.dll                       0x020C25A50000
tbbmalloc.dll                 0x020C25AC0000
Interior-NavCut-Fix.dll       0x020C26720000
LL_fourPlay_1_10_163.dll      0x020C3F870000
Fallout4.exe                  0x7FF6142B0000
steamclient64.dll             0x7FF93C4D0000
d3dcompiler_46e.dll           0x7FF93F2E0000
Buffout4.dll                  0x7FF93F6A0000
gameoverlayrenderer64.dll     0x7FF946A30000
RobCo_Patcher.dll             0x7FF946BD0000
IPHLPAPI.DLL                  0x7FF946CC0000
XAudio2_7.dll                 0x7FF947410000
NVIDIA_Reflex.dll             0x7FF9474A0000
D3DCOMPILER_43.dll            0x7FF947570000
XDI.dll                       0x7FF948000000
TullFramework.dll             0x7FF948120000
mcm.dll                       0x7FF948190000
LighthousePapyrusExtender.dll 0x7FF948230000
PipboyTabs.dll                0x7FF949930000
f4ee.dll                      0x7FF949990000
ClassicHolsteredWeapons.dll   0x7FF949AA0000
MODExplorer.dll               0x7FF949FA0000
GFSDK_SSAO_D3D11.win64.dll    0x7FF94A020000
flexRelease_x64.dll           0x7FF94A0B0000
WINHTTP.dll                   0x7FF94A200000
HighFPSPhysicsFix.dll         0x7FF94A4C0000
BulletCountedReload.dll       0x7FF94A550000
BakaScrapHeap.dll             0x7FF94A5E0000
BakaFramework.dll             0x7FF94A6B0000
cudart64_75.dll               0x7FF94AEB0000
GFSDK_GodraysLib.x64.dll      0x7FF94B390000
MSVCR110.dll                  0x7FF94BC70000
flexExtRelease_x64.dll        0x7FF94C5A0000
MSVCP110.dll                  0x7FF94E940000
d3dx11_43.dll                 0x7FF953330000
f4se_1_10_163.dll             0x7FF953400000
vstdlib_s64.dll               0x7FF9534E0000
crafting_highlight_fix.dll    0x7FF973270000
tier0_s64.dll                 0x7FF9732C0000
usvfs_x64.dll                 0x7FF98ED50000
bink2w64.dll                  0x7FF98EF00000
WINSPOOL.DRV                  0x7FF9A9880000
ncryptsslp.dll                0x7FF9AE160000
webio.dll                     0x7FF9B0190000
enbhelperf4.dll               0x7FF9B17A0000
Bastion.dll                   0x7FF9B17E0000
textinputframework.dll        0x7FF9B5C70000
COMCTL32.dll                  0x7FF9B9D90000
ResampleDmo.DLL               0x7FF9BAE60000
DSOUND.DLL                    0x7FF9BAF20000
winmmbase.dll                 0x7FF9BC5E0000
msdmo.dll                     0x7FF9BD650000
VCRUNTIME140_1.dll            0x7FF9BFE50000
MSVCP140.dll                  0x7FF9C04D0000
VCRUNTIME140.dll              0x7FF9C05D0000
CONCRT140.dll                 0x7FF9C21A0000
WINMM.dll                     0x7FF9C30C0000
nvwgf2umx.dll                 0x7FF9C3100000
nvldumdx.dll                  0x7FF9C6790000
OneCoreUAPCommonProxyStub.dll 0x7FF9C6A40000
rasadhlp.dll                  0x7FF9C77C0000
CoreUIComponents.dll          0x7FF9C8550000
f4se_steam_loader.dll         0x7FF9C9220000
WeaponDebrisCrashFix.dll      0x7FF9C9300000
PriorityMod.dll               0x7FF9C9680000
avrt.dll                      0x7FF9C9D90000
directxdatabasehelper.dll     0x7FF9C9DE0000
Windows.UI.dll                0x7FF9C9EA0000
OneCoreCommonProxyStub.dll    0x7FF9CAF00000
AUDIOSES.DLL                  0x7FF9CB5D0000
MpOav.dll                     0x7FF9CC290000
SprintStutteringFix.dll       0x7FF9CC460000
libdiskCacheEnabler.dll       0x7FF9CC4D0000
amsi.dll                      0x7FF9CC700000
DbgHelp.dll                   0x7FF9CCBC0000
MMDevApi.dll                  0x7FF9CCE30000
fastprox.dll                  0x7FF9CD2B0000
wbemsvc.dll                   0x7FF9CDCA0000
nvapi64.dll                   0x7FF9CE280000
wbemcomn.dll                  0x7FF9CF800000
wbemprox.dll                  0x7FF9CF880000
fwpuclnt.dll                  0x7FF9CFCE0000
drvstore.dll                  0x7FF9CFD70000
cryptnet.dll                  0x7FF9CFF90000
dhcpcsvc.DLL                  0x7FF9D03E0000
WINHTTP.DLL                   0x7FF9D05E0000
VERSION.dll                   0x7FF9D07C0000
dhcpcsvc6.DLL                 0x7FF9D07D0000
nvToolsExt64_1.dll            0x7FF9D0E90000
d3d11.dll                     0x7FF9D1E70000
dcomp.dll                     0x7FF9D2A20000
MSIMG32.dll                   0x7FF9D2CC0000
CoreMessaging.dll             0x7FF9D3100000
WINNSI.DLL                    0x7FF9D3570000
UxTheme.dll                   0x7FF9D35C0000
dxcore.dll                    0x7FF9D36D0000
dxgi.dll                      0x7FF9D38E0000
dwmapi.dll                    0x7FF9D39F0000
resourcepolicyclient.dll      0x7FF9D3A70000
wintypes.dll                  0x7FF9D3E60000
windows.storage.dll           0x7FF9D3FA0000
HID.DLL                       0x7FF9D48A0000
IpHlpAPI.dll                  0x7FF9D4B00000
DNSAPI.dll                    0x7FF9D4B70000
Secur32.dll                   0x7FF9D4E60000
schannel.DLL                  0x7FF9D4EE0000
rsaenh.dll                    0x7FF9D4FF0000
kernel.appcore.dll            0x7FF9D5090000
SSPICLI.DLL                   0x7FF9D52F0000
MSWSOCK.dll                   0x7FF9D5500000
USERENV.dll                   0x7FF9D55A0000
CRYPTBASE.DLL                 0x7FF9D5700000
wldp.dll                      0x7FF9D57A0000
CRYPTSP.dll                   0x7FF9D57F0000
MSASN1.dll                    0x7FF9D58A0000
NTASN1.dll                    0x7FF9D58D0000
ncrypt.dll                    0x7FF9D5940000
devobj.dll                    0x7FF9D5CE0000
CFGMGR32.dll                  0x7FF9D5D10000
DPAPI.DLL                     0x7FF9D5D80000
UMPDC.dll                     0x7FF9D5D90000
powrprof.dll                  0x7FF9D5DB0000
profapi.dll                   0x7FF9D5FC0000
gdi32full.dll                 0x7FF9D6090000
ucrtbase.dll                  0x7FF9D61B0000
