XINPUT1_3.dll                   0x000000400000
X3DAudio1_7.dll                 0x0000500B0000
steam_api64.dll                 0x0000500C0000
WINTRUST.DLL                    0x01E55F320000
Fallout4.exe                    0x7FF66F520000
steamclient64.dll               0x7FFD0C440000
IPHLPAPI.DLL                    0x7FFD124B0000
gameoverlayrenderer64.dll       0x7FFD240D0000
Buffout4.dll                    0x7FFD24270000
wsfw_identifier.dll             0x7FFD3AF10000
GardenOfEdenPapyrusExtender.dll 0x7FFD3B0A0000
igc64.dll                       0x7FFD3B730000
XAudio2_7.dll                   0x7FFD40CE0000
UneducatedShooter.dll           0x7FFD40D70000
RobCo_Patcher.dll               0x7FFD44770000
PowerGridTools.dll              0x7FFD44860000
mcm.dll                         0x7FFD44AB0000
igd10um64xe.DLL                 0x7FFD45010000
LighthousePapyrusExtender.dll   0x7FFD4C1D0000
HighFPSPhysicsFix.dll           0x7FFD4C300000
tier0_s64.dll                   0x7FFD4C390000
f4se_1_10_163.dll               0x7FFD4C6E0000
place.dll                       0x7FFD4CC30000
MSVCP140.dll                    0x7FFD4D9B0000
BulletCountedReload.dll         0x7FFD4E1D0000
CONCRT140.dll                   0x7FFD505C0000
flexRelease_x64.dll             0x7FFD50800000
msdmo.dll                       0x7FFD52810000
VCRUNTIME140.dll                0x7FFD52820000
CCExtenderF4.dll                0x7FFD65AA0000
vstdlib_s64.dll                 0x7FFD66170000
BetterConsole.dll               0x7FFD66D60000
MSVCR110.dll                    0x7FFD66DD0000
MSVCP110.dll                    0x7FFD6A110000
igdgmm64.dll                    0x7FFD6AA40000
GFSDK_SSAO_D3D11.win64.dll      0x7FFD6CFD0000
bink2w64.dll                    0x7FFD6D060000
ResampleDmo.DLL                 0x7FFD6D260000
BakaMaxPapyrusOps.dll           0x7FFD6D3B0000
igd10iumd64.dll                 0x7FFD6ED90000
DSOUND.DLL                      0x7FFD785F0000
SprintSpeedController.dll       0x7FFD7B390000
PrivateProfileRedirector.dll    0x7FFD7B450000
ReloadFix.dll                   0x7FFD82000000
Outfit-ReDress-Fix.dll          0x7FFD828B0000
LongLoadingTimesFix.dll         0x7FFD82A00000
IntelControlLib.dll             0x7FFD83BC0000
cudart64_75.dll                 0x7FFD83D10000
WeaponDebrisCrashFix.dll        0x7FFD84E20000
GFSDK_GodraysLib.x64.dll        0x7FFD85770000
Interior-NavCut-Fix.dll         0x7FFD880E0000
flexExtRelease_x64.dll          0x7FFD888D0000
crafting_highlight_fix.dll      0x7FFD898D0000
ArmorPenetrationBugFix.dll      0x7FFD8A370000
nvspcap64.dll                   0x7FFD8A4C0000
f4se_steam_loader.dll           0x7FFD8AE00000
nvwgf2umx.dll                   0x7FFD8CAA0000
nvldumdx.dll                    0x7FFD901C0000
SprintStutteringFix.dll         0x7FFD966C0000
VCRUNTIME140_1.dll              0x7FFD9F2D0000
webio.dll                       0x7FFDA0190000
MSVCP140_ATOMIC_WAIT.dll        0x7FFDA2A40000
AUDIOSES.DLL                    0x7FFDADB70000
Windows.UI.dll                  0x7FFDAE6B0000
winmmbase.dll                   0x7FFDAF8D0000
OneCoreCommonProxyStub.dll      0x7FFDB3060000
rasadhlp.dll                    0x7FFDB4250000
WINSPOOL.DRV                    0x7FFDB48F0000
COMCTL32.dll                    0x7FFDB49A0000
textinputframework.dll          0x7FFDB4E10000
nvToolsExt64_1.dll              0x7FFDB73A0000
MpOav.dll                       0x7FFDB7D40000
amsi.dll                        0x7FFDB7DD0000
wbemsvc.dll                     0x7FFDB8290000
fastprox.dll                    0x7FFDB8480000
nvapi64.dll                     0x7FFDB8BB0000
MMDevApi.dll                    0x7FFDBD9F0000
wbemcomn.dll                    0x7FFDBDC00000
OneCoreUAPCommonProxyStub.dll   0x7FFDBDD10000
drvstore.dll                    0x7FFDC1060000
cryptnet.dll                    0x7FFDC11F0000
wbemprox.dll                    0x7FFDC14E0000
VERSION.dll                     0x7FFDC14F0000
fwpuclnt.dll                    0x7FFDC2030000
CoreUIComponents.dll            0x7FFDC24D0000
WINMM.dll                       0x7FFDC29C0000
directxdatabasehelper.dll       0x7FFDC3690000
dhcpcsvc.DLL                    0x7FFDC3820000
dhcpcsvc6.DLL                   0x7FFDC3840000
WINHTTP.dll                     0x7FFDC3E30000
avrt.dll                        0x7FFDC42A0000
MSIMG32.dll                     0x7FFDC5B30000
d3d11.dll                       0x7FFDC6C10000
dcomp.dll                       0x7FFDC6E70000
CoreMessaging.dll               0x7FFDC74E0000
ncryptsslp.dll                  0x7FFDC78B0000
apphelp.dll                     0x7FFDC78E0000
WINNSI.DLL                      0x7FFDC7A60000
UxTheme.dll                     0x7FFDC7A70000
dxcore.dll                      0x7FFDC7BB0000
dxgi.dll                        0x7FFDC7BF0000
dwmapi.dll                      0x7FFDC7D10000
resourcepolicyclient.dll        0x7FFDC8010000
DbgHelp.dll                     0x7FFDC8030000
wintypes.dll                    0x7FFDC8820000
windows.storage.dll             0x7FFDC8960000
HID.DLL                         0x7FFDC9260000
IpHlpAPI.dll                    0x7FFDC9530000
DNSAPI.dll                      0x7FFDC95A0000
UMPDC.dll                       0x7FFDC9880000
powrprof.dll                    0x7FFDC98A0000
Secur32.dll                     0x7FFDC9910000
schannel.DLL                    0x7FFDC9990000
rsaenh.dll                      0x7FFDC9AA0000
kernel.appcore.dll              0x7FFDC9B40000
ntmarta.dll                     0x7FFDC9B60000
SSPICLI.DLL                     0x7FFDC9DB0000
MSWSOCK.dll                     0x7FFDC9FC0000
USERENV.dll                     0x7FFDCA0A0000
CRYPTSP.dll                     0x7FFDCA230000
CRYPTBASE.DLL                   0x7FFDCA250000
wldp.dll                        0x7FFDCA300000
NTASN1.dll                      0x7FFDCA3B0000
ncrypt.dll                      0x7FFDCA3F0000
msasn1.dll                      0x7FFDCA6F0000
devobj.dll                      0x7FFDCA710000
CFGMGR32.dll                    0x7FFDCA740000
DPAPI.DLL                       0x7FFDCA7B0000
profapi.dll                     0x7FFDCA980000
bcrypt.dll                      0x7FFDCAA50000
bcryptPrimitives.dll            0x7FFDCAA80000
msvcp_win.dll                   0x7FFDCAB00000
ucrtbase.dll                    0x7FFDCAC60000
CRYPT32.dll                     0x7FFDCAD80000
gdi32full.dll                   0x7FFDCAEF0000
KERNELBASE.dll                  0x7FFDCB010000
win32u.dll                      0x7FFDCB3C0000
shcore.dll                      0x7FFDCB460000
GDI32.dll                       0x7FFDCB560000
ole32.dll                       0x7FFDCB590000
imagehlp.dll                    0x7FFDCB730000
sechost.dll                     0x7FFDCB750000
clbcatq.dll                     0x7FFDCB800000
USER32.dll                      0x7FFDCB900000
combase.dll                     0x7FFDCBAC0000
RPCRT4.dll                      0x7FFDCBEB0000
KERNEL32.DLL                    0x7FFDCBFD0000
NSI.dll                         0x7FFDCC0A0000
MSCTF.dll                       0x7FFDCC130000
ADVAPI32.dll                    0x7FFDCC290000
msvcrt.dll                      0x7FFDCC350000
IMM32.DLL                       0x7FFDCC400000
PSAPI.DLL                       0x7FFDCC690000
COMDLG32.dll                    0x7FFDCC6A0000
SETUPAPI.dll                    0x7FFDCC7A0000
SHLWAPI.dll                     0x7FFDCCC20000
SHELL32.dll                     0x7FFDCCC80000
OLEAUT32.dll                    0x7FFDCD4E0000
WS2_32.dll                      0x7FFDCD5C0000
ntdll.dll                       0x7FFDCD710000
