[00]     Fallout4.esm
[01]     DLCRobot.esm
[02]     DLCworkshop01.esm
[03]     DLCCoast.esm
[04]     DLCworkshop02.esm
[05]     DLCworkshop03.esm
[06]     DLCNukaWorld.esm
[07]     cczsef04001-bhouse.esm
[08]     cctosfo4001-neosky.esm
[09]     cctosfo4002_neonflats.esm
[0A]     Unofficial Fallout 4 Patch.esp
[0B]     HUDFramework.esm
[0C]     MutantMenagerie.esm
[0D]     TrueStormsFO4.esm
[0E]     Arbitration - Resources.esm
[0F]     WorkshopFramework.esm
[10]     SS2.esm
[11]     SS2_XPAC_Chapter2.esm
[12]     SS2_XPAC_Chapter3.esm
[13]     Homemaker.esm
[14]     Snap'n Build.esm
[15]     SettlementKeywords.esm
[16]     Robot Home Defence.esm
[17]     WeaponModFixes-GOTY.esp
[18]     3dscopes.esp
[19]     Altyn Assault Helmet.esp
[1A]     Arbitration - Button Lowered Weapons.esp
[1B]     Balaclava.esp
[1C]     BioshockInspiredPowerArmor.esp
[1D]     Brotherhood of Steel Kit.esp
[1E]     W.A.T.Minutemen.esp
[1F]     Build High - Expanded Settlements.esp
[20]     Build High - Builder's Patch.esp
[21]     combat_PA.esp
[22]     CombatRifleOverhaul.esp
[23]     CombatRifleOverhaulWDAnims.esp
[24]     CombinedArmsNV.esp
[25]     CombinedArmsEXPack.esp
[26]     Communist_Army.esp
[27]     Companion Infinite Ammo.esp
[28]     CROSS_GoreCrits.esp
[29]     CROSS_GoreCrits_FarHarborPatch.esp
[2A]     DT_GunnerOutfitPack.esp
[2B]     DTG_LeveledListIntegration.esp
[2C]     InfiniteFusionCore.esp
[2D]     KhyberWeapons.esp
[2E]     LAER.esp
[2F]     3dscopes-laer.esp
[30]     Live Dismemberment - Regular.esp
[31]     M2216.esp
[32]     3dscopes-m2216.esp
[33]     MakeshiftAssaultPack.esp
[34]     MakeshiftCMG.esp
[35]     Metro Gas Masks.esp
[36]     MG69.esp
[37]     MilitarizedMinutemen.esp
[38]     MilitarisedMinutemen_PatchesAddon.esp
[39]     Military Gorka Suit.esp
[3A]     Mk41GyrojetHMG.esp
[3B]     3dscopes-gyrojet.esp
[3C]     MMP4APA-blue.esp
[3D]     MojaveImports.esp
[3E]     No Aggro Impact Landing.esp
[3F]     NukaWorldReborn.esp
[40]     PigAAMBeretta.esp
[41]     PigAAMKS23.esp
[42]     PigAAMSten.esp
[43]     PigAMPoliceRiotShotgun.esp
[44]     PigFNC.esp
[45]     PosterForYou.esp
[46]     Power Conduits and Pylons - Increased Radius x3.esp
[47]     Repaired Roofs.esp
[48]     Scopes.esp
[49]     Soviet Flags.esp
[4A]     SovietPortraits.esp
[4B]     SS2_CityPlanPack_RiseOfTheCommonwealth.esp
[4C]     SovietPowerArmor.esp
[4D]     Synth Overhaul.esp
[4E]     Synth Overhaul - No level requirements Patch.esp
[4F]     T-51C Power Armor.esp
[50]     ThisIsTrash.esp
[51]     TrueStormsFO4-FarHarbor.esp
[52]     tumbajamba Advanced Engineering.esp
[53]     BetterSynthRelayGrenadesSquads.esp
[54]     combat_PA - tAE.esp
[55]     Vertibird Faction Paint Schemes.esp
[56]     VltSec10mmSmg.esp
[57]     SS2Extended.esp
[58]     The Eyes Of Beauty.esp
[59]     NegativeAffinityIsPositiveAffinity.esp
[5A]     ShortAffinityCooldown.esp
[5B]     SettlementMenuManager.esp
[5C]     EveryonesBestFriend.esp
[5D]     Homemaker - Streetlights Use Passive Power.esp
[5E]     Homemaker - Unlocked Institute Objects.esp
[5F]     FactionSynthUniforms.esp
[60]     CBBE.esp
[61]     PMC Operators Pack.esp
[62]     EchoLakeLumberMill.esp
[63]     NationalParkMainBuildingRebuilt.esp
[64]     AdvSettleTurretSet.esp
[65]     VivaNukaWorldQuests.esp
[66]     FoodGenerators.esp
[67]     FizztopPenthouse1.esp
[68]     STARCORES.esp
[69]     LongerPowerLines3x.esp
[6A]     Consistent Power Armor Overhaul.esp
[6B]     RAW INPUT.esp
[6C]     Brighter Wasteland Workshop Lights.esp
[6D]     BrighterSettlementLights.esp
[6E]     Cannabis Commonwealth.esp
[6F]     RaiderOverhaul.esp
[70]     BZW_Spec_Ops_Officer.esp
[71]     AllCamoUniforms.esp
[72]     AllCamoUniformsAddon01.esp
[73]     AllCamoUniformsAddon02.esp
[74]     Unbreakable Power Armor.esp
[75]     Minigun Gau-19B.esp
[76]     Skb_RiflesRebirth.esp
[77]     Classic Combat Armor.esp
[78]     SPTFIRE-ALLDLC.esp
[79]     hzy-newfurniture.esp
[7A]     MTM-Power Radius Increased.esp
[7B]     Vault98.esp
[7C]     GruffyddsSignsAndPosters.esp
[7D]     DT_MercOutfitPack.esp
[7E]     AES_Renovated Furniture.esp
[7F]     PAMAP.esp
[80]     Brotherhood Power Armor Overhaul.esp
[81]     BPAO - PAMAP 2.0 Automatron Patch.esp
[82]     Vault-Tec Workshop Overhaul.esp
[83]     JunkTownTwo.esp
[84]     SS2WastelandReconstructionKit.esp
[85]     SimSettlements2_AddOnPack_ApocalypticAdditions_SirLach.esp
[86]     SS2-Jampads2.esp
[87]     SS2_Addon_R2R.esp
[88]     OCDecorator.esp
[89]     OCDispenser.esp
[8A]     OCDecoratorDLC.esp
[8B]     CGuard.esp
[8C]     GrafsSecurityFences.esp
[8D]     Robot Home Defence - Settlement Keywords.esp
[8E]     SCAR-L.esp
[8F]     FlagsOfTheOldWorld.esp
[90]     Salem Settlement.esp
[91]     SS2_STRA_Buildings_and_Skins.esp
[92]     GR123 West Tek Tactical Gloves.esp
[93]     WestTekTacticalOptics.esp
[94]     F4NV-N99.esp
[95]     WM Chinese Assault Rifle - Standalone.esp
