XINPUT1_3.dll                      0x000000400000
X3DAudio1_7.dll                    0x00005B1E0000
d3d11.dll                          0x000180000000
auto_backup_executable.dll         0x01BB03850000
Fallout4.exe                       0x7FF6774C0000
ResampleDmo.DLL                    0x7FFD40180000
d3dcompiler_46e.dll                0x7FFD41AA0000
XDI.dll                            0x7FFD41E60000
wsfw_identifier.dll                0x7FFD41ED0000
WhoseQuestIsItAnywayF4.dll         0x7FFD41FD0000
SUP_F4SE.dll                       0x7FFD42030000
WeightlessItems.dll                0x7FFD49490000
vertibird_jump.dll                 0x7FFD494E0000
UnlimitedSurvivalMode.dll          0x7FFD49530000
ToYourFaceFO4.dll                  0x7FFD49580000
SimpleImpact.dll                   0x7FFD495D0000
RobCo_Patcher.dll                  0x7FFD49640000
PRKF.dll                           0x7FFD49730000
po3_SpellPerkItemDistributorF4.dll 0x7FFD497C0000
SprintSpeedController.dll          0x7FFD49980000
nvspcap64.dll                      0x7FFD49AB0000
SettlementOfUnlimitedSize.dll      0x7FFD49DC0000
ReloadFix.dll                      0x7FFD4B4E0000
PowerGridTools.dll                 0x7FFD4BE50000
po3_SimpleOffenceSuppressionF4.dll 0x7FFD4BEC0000
po3_BaseObjectSwapperF4.dll        0x7FFD4BF50000
place.dll                          0x7FFD4C060000
NVIDIA_Reflex.dll                  0x7FFD4C0E0000
PipboyTabs.dll                     0x7FFD4E7F0000
mcm.dll                            0x7FFD4E850000
Outfit-ReDress-Fix.dll             0x7FFD4F2D0000
LighthousePapyrusExtender.dll      0x7FFD4F320000
Buffout4.dll                       0x7FFD4F430000
MGEFConditionFix.dll               0x7FFD4F960000
LongLoadingTimesFix.dll            0x7FFD4F9B0000
CONCRT140.dll                      0x7FFD4FA10000
Interior-NavCut-Fix.dll            0x7FFD4FA60000
usvfs_x64.dll                      0x7FFD4FB30000
HighFPSPhysicsFix.dll              0x7FFD4FD50000
hudextension.dll                   0x7FFD50530000
GardenOfEdenPapyrusExtender.dll    0x7FFD50580000
faster_workshop.dll                0x7FFD50A80000
F4z Ro D'oh.dll                    0x7FFD50AE0000
f4pm.dll                           0x7FFD63210000
f4ee.dll                           0x7FFD63350000
EscapeFreeze.dll                   0x7FFD63460000
EnergyWeaponCalcFix.dll            0x7FFD63520000
enbhelperf4.dll                    0x7FFD63570000
DisableExitSave.dll                0x7FFD635B0000
DirectHit.dll                      0x7FFD63FA0000
Deadeye.dll                        0x7FFD64000000
crafting_highlight_fix.dll         0x7FFD64060000
CookableGrenade.dll                0x7FFD640B0000
ClockWidget.dll                    0x7FFD64100000
cc_cleaner.dll                     0x7FFD64150000
cbp.dll                            0x7FFD64190000
BetterConsole.dll                  0x7FFD641E0000
BakaScrapHeap.dll                  0x7FFD64250000
DSOUND.DLL                         0x7FFD64D20000
Bastion.dll                        0x7FFD79DB0000
BakaMaxPapyrusOps.dll              0x7FFD79E00000
BakaFramework.dll                  0x7FFD79EB0000
f4se_1_10_163.dll                  0x7FFD7A310000
ArmorPenetrationBugFix.dll         0x7FFD7A520000
D3DCOMPILER_43.dll                 0x7FFD7A570000
flexRelease_x64.dll                0x7FFD7A7E0000
MSVCR110.dll                       0x7FFD7D260000
steam_api64.dll                    0x7FFD7D340000
GFSDK_SSAO_D3D11.win64.dll         0x7FFD7D5A0000
f4se_steam_loader.dll              0x7FFD7D830000
MSVCP110.dll                       0x7FFD7ECD0000
GFSDK_GodraysLib.x64.dll           0x7FFD7F320000
bink2w64.dll                       0x7FFD7F380000
nvwgf2umx.dll                      0x7FFD84BE0000
nvgpucomp64.dll                    0x7FFD8BBD0000
nvldumdx.dll                       0x7FFD8E1F0000
WeaponDebrisCrashFix.dll           0x7FFD8F400000
cudart64_75.dll                    0x7FFD8F420000
d3dx11_43.dll                      0x7FFD9C040000
VCRUNTIME140.dll                   0x7FFD9C170000
MSVCP140.dll                       0x7FFD9C190000
flexExtRelease_x64.dll             0x7FFD9D3B0000
PriorityMod.dll                    0x7FFD9DA70000
encounter_zone_recalculation.dll   0x7FFD9DC80000
XAudio2_7.dll                      0x7FFD9DCB0000
gdiplus.dll                        0x7FFD9ED50000
COMCTL32.dll                       0x7FFDA1340000
textinputframework.dll             0x7FFDA29A0000
Windows.UI.dll                     0x7FFDA6B70000
SprintStutteringFix.dll            0x7FFDA6D40000
MSVCP140_ATOMIC_WAIT.dll           0x7FFDA6DB0000
AUDIOSES.DLL                       0x7FFDA7A50000
WININET.dll                        0x7FFDAAFB0000
winmmbase.dll                      0x7FFDAB990000
NvMessageBus.dll                   0x7FFDB1C50000
nvapi64.dll                        0x7FFDB2820000
WINMM.dll                          0x7FFDB3FC0000
igc64.dll                          0x7FFDB6860000
nvToolsExt64_1.dll                 0x7FFDBA1A0000
igdgmm64.dll                       0x7FFDBA3E0000
igd10um64gen11.DLL                 0x7FFDBAC70000
VCRUNTIME140_1.dll                 0x7FFDBB3C0000
igd10iumd64.dll                    0x7FFDBB7E0000
MMDevApi.dll                       0x7FFDBC750000
dbghelp.dll                        0x7FFDBCAA0000
drvstore.dll                       0x7FFDBD210000
cryptnet.dll                       0x7FFDBD3F0000
msdmo.dll                          0x7FFDBD430000
avrt.dll                           0x7FFDBF310000
VERSION.dll                        0x7FFDBF4C0000
directxdatabasehelper.dll          0x7FFDBF5A0000
WINHTTP.dll                        0x7FFDBF710000
WindowsCodecs.dll                  0x7FFDC0F40000
d3d11.dll                          0x7FFDC1810000
apphelp.dll                        0x7FFDC2B10000
uxtheme.dll                        0x7FFDC2CC0000
dxcore.dll                         0x7FFDC2DA0000
dxgi.dll                           0x7FFDC2ED0000
dwmapi.dll                         0x7FFDC30D0000
resourcepolicyclient.dll           0x7FFDC3150000
wintypes.dll                       0x7FFDC3540000
windows.storage.dll                0x7FFDC3680000
HID.DLL                            0x7FFDC3F80000
IPHLPAPI.DLL                       0x7FFDC4220000
rsaenh.dll                         0x7FFDC46D0000
kernel.appcore.dll                 0x7FFDC4770000
ntmarta.dll                        0x7FFDC4790000
SspiCli.dll                        0x7FFDC49D0000
wldp.dll                           0x7FFDC4E60000
CRYPTBASE.DLL                      0x7FFDC4F10000
CRYPTSP.dll                        0x7FFDC4F30000
NTASN1.dll                         0x7FFDC4FE0000
ncrypt.dll                         0x7FFDC5020000
msasn1.dll                         0x7FFDC5320000
devobj.dll                         0x7FFDC5340000
cfgmgr32.dll                       0x7FFDC5370000
UMPDC.dll                          0x7FFDC5620000
POWRPROF.dll                       0x7FFDC5640000
profapi.dll                        0x7FFDC56A0000
gdi32full.dll                      0x7FFDC5770000
bcryptprimitives.dll               0x7FFDC5890000
KERNELBASE.dll                     0x7FFDC5910000
win32u.dll                         0x7FFDC5CC0000
msvcp_win.dll                      0x7FFDC5CF0000
ucrtbase.dll                       0x7FFDC5D90000
wintrust.dll                       0x7FFDC5EB0000
bcrypt.dll                         0x7FFDC5F20000
CRYPT32.dll                        0x7FFDC6010000
USER32.dll                         0x7FFDC6180000
OLEAUT32.dll                       0x7FFDC6330000
SHELL32.dll                        0x7FFDC6410000
sechost.dll                        0x7FFDC6D00000
KERNEL32.DLL                       0x7FFDC6DB0000
combase.dll                        0x7FFDC7060000
WS2_32.dll                         0x7FFDC73F0000
GDI32.dll                          0x7FFDC7550000
ole32.dll                          0x7FFDC7580000
RPCRT4.dll                         0x7FFDC7740000
PSAPI.DLL                          0x7FFDC7860000
clbcatq.dll                        0x7FFDC7870000
SETUPAPI.dll                       0x7FFDC7920000
IMM32.DLL                          0x7FFDC7DA0000
msvcrt.dll                         0x7FFDC7E40000
ADVAPI32.dll                       0x7FFDC7EF0000
SHLWAPI.dll                        0x7FFDC7FB0000
MSCTF.dll                          0x7FFDC8010000
imagehlp.dll                       0x7FFDC8170000
SHCORE.dll                         0x7FFDC8190000
COMDLG32.dll                       0x7FFDC8290000
ntdll.dll                          0x7FFDC8430000
