[00]     Fallout4.esm
[01]     DLCRobot.esm
[02]     DLCworkshop01.esm
[03]     DLCCoast.esm
[04]     DLCworkshop02.esm
[05]     DLCworkshop03.esm
[06]     DLCNukaWorld.esm
[07]     ccrzrfo4001-tunnelsnakes.esm
[08]     ccswkfo4001-astronautpowerarmor.esm
[09]     cczsef04001-bhouse.esm
[0A]     cctosfo4001-neosky.esm
[0B]     cczsefo4002-smanor.esm
[0C]     cctosfo4002_neonflats.esm
[0D]     Unofficial Fallout 4 Patch.esp
[0E]     HUDFramework.esm
[0F]     XDI.esm
[10]     WorkshopFramework.esm
[11]     CUPAPP.esm
[12]     SS2.esm
[13]     SS2_XPAC_Chapter2.esm
[14]     SS2_XPAC_Chapter3.esm
[15]     TheWilderness.esm
[16]     TheSewers.esm
[17]     TheForest.esm
[18]     CWWorkshopMaster.esm
[19]     OP_Workshop_Category.esp
[1A]     PANPC.esm
[1B]     PACE.esm
[1C]     ShieldFramework.esm
[1D]     AshlandStationSettlement.esp
[1E]     CWPointLookoutFO4.esm
[1F]     SouthOfTheSea.esm
[20]     AA Better Companions - No Conflicts.esp
[21]     GhoulMask.esp
[22]     ClassicBehemoth.esp
[23]     DCWestSuperMutants.esp
[24]     MercenaryOutfits.esp
[25]     CROSS_GoreCrits.esp
[26]     HotDiggity.esp
[27]     NukaWorldRifleClassicStock.esp
[28]     Reverb and Ambiance Overhaul.esp
[29]     FO4R.esp
[2A]     Glock19x.esp
[2B]     MagnoliaBurlesqueOutfit.esp
[2C]     AnimChemRedux.esp
[2D]     F3metalarmor.esp
[2E]     PD_VisualReload.esp
[2F]     Immersive HUD.esp
[30]     Perks76.esp
[31]     UsefulCrank.esp
[32]     Classic Combat Armor.esp
[33]     RobotFactionPaint.esp
[34]     Crimsomrider's 1950s Feminine Outfits.esp
[35]     MoreRobotParts.esp
[36]     th1nkEyebot.esp
[37]     th1nkEyeBot-FarHarbor.esp
[38]     AEWS.esp
[39]     PlayerComments.esp
[3A]     3DNPC_FO4.esp
[3B]     craftableammo.esp
[3C]     FOLON - LugerP08.esp
[3D]     Vault-Tec Workshop Overhaul Redux.esp
[3E]     FOLON_Bren.esp
[3F]     M72GaussRifle.esp
[40]     Mossberg500.esp
[41]     PlutoniumCreatures.esp
[42]     Kanabo.esp
[43]     Mac10.esp
[44]     PristineWorkshopAssets.esp
[45]     X12Plasmacaster.esp
[46]     PhotoMode.esp
[47]     Cranky.esp
[48]     Smoke-able Cigars.esp
[49]     Realistic_conversations.esp
[4A]     QuantumCreatures.esp
[4B]     SettlementMenuManager.esp
[4C]     GrafsSecurityFences.esp
[4D]     Vault88 - Essentials.esp
[4E]     ImiUzi.esp
[4F]     WM Chinese Assault Rifle - Standalone.esp
[50]     stnjrPackHair.esp
[51]     Scopes.esp
[52]     PushDagger.esp
[53]     fallonstown.esp
[54]     PiperCaitCurieDialogueOverhaul.esp
[55]     LootableCrates.esp
[56]     Warwick Homestead.esp
[57]     SS2Extended.esp
[58]     Ketaros_Treasures.esp
[59]     NAC.esp
[5A]     RED.esp
[5B]     LootableCrates MergedDLCs.esp
[5C]     Deathclaw_valley.esp
[5D]     DeadlierDeathclaws.esp
[5E]     CSEPRustyWeaps.esp
[5F]     DCMolerats.esp
[60]     CSEPAllAmericans.esp
[61]     Oberland Station.esp
[62]     hogsplitter.esp
[63]     NightstrikerCreatureMod.esp
[64]     Backpacks of the Commonwealth.esp
[65]     CRAPALLDLC.esp
[66]     Lootable_Redcoat_Mannequins.esp
[67]     CombinedArmsNV.esp
[68]     Skb_RiflesRebirth.esp
[69]     GreaseGunSMG.esp
[6A]     MilitarizedMinutemen.esp
[6B]     3DNPC_FO4Settler.esp
[6C]     PACER.esp
[6D]     ARTICHOKE.esp
[6E]     MusicMergedDLC.esp
[6F]     [ETH]ShieldIntegrationProject.esp
[70]     WattzLaserGun.esp
[71]     Floaters.esp
[72]     Liberator.esp
[73]     MoreBobbleheads.esp
[74]     CreationClubDelay.esp
[75]     DS_ShieldExpansion.esp
[76]     9mmPistol.esp
[77]     LAER.esp
[78]     BF1 Animations - Double Barrel Shotgun v2.3.esp
[79]     InstituteBallisticPistol.esp
[7A]     AmbientTunnels.esp
[7B]     HandmadeShotgun.esp
[7C]     The Wild Key Chase.esp
[7D]     F4NVLaserPistol.esp
[7E]     MakeshiftCMG.esp
[7F]     cambridgefacility.esp
[80]     SS2WastelandVenturers.esp
[81]     HandmadeLeverActionSG.esp
[82]     BullpupR91.esp
[83]     FO4 NPCs Travel.esp
[84]     DeathRift.esp
[85]     PoseidonOffices.esp
[86]     CavesOfTheCommonwealth.esp
[87]     BullpupBozar.esp
[88]     DP_CaravanShotgun.esp
[89]     MP5.esp
[8A]     TU3SD4Y'S Hammer of Mass Destruction.esp
[8B]     fcom_with_restrictions.esp
[8C]     Zanthir_BumpVertSwords.esp
[8D]     HuntingRevolver.esp
[8E]     AtomicRadio.esp
[8F]     GreaseRatGarbs.esp
[90]     PigAAM1911.esp
[91]     PigRetroAR15.esp
[92]     ExcavatorPA.esp
[93]     SelectRapidMG.esp
[94]     CazadorML.esp
[95]     F4CW10mmSMG.esp
[96]     1FOM_FireAxe.esp
[97]     HVSG_LLInjector.esp
[98]     LooksMenu.esp
[99]     CK-TheFixer2.esp
[9A]     Elzee Human Grab Attacks.esp
[9B]     SleekStylesPack.esp
[9C]     TheKite_MilitiaWoman.esp
[9D]     IOD_Merc_Gear.esp
[9E]     Zanthir_ClassicPulse.esp
[9F]     Zanthir_ClassicFrags.esp
[A0]     CRAPGreaseGun.esp
[A1]     SelectShotgun.esp
[A2]     F4NVCrutchWeapon.esp
