XINPUT1_3.dll                      0x000000400000
X3DAudio1_7.dll                    0x0000755E0000
steam_api64.dll                    0x0000755F0000
LL_fourPlay_1_10_163.dll           0x000180000000
Fallout4.exe                       0x7FF76C720000
RobCo_Patcher.dll                  0x7FF800120000
po3_SpellPerkItemDistributorF4.dll 0x7FF8007C0000
nvspcap64.dll                      0x7FF8008D0000
LighthousePapyrusExtender.dll      0x7FF800D80000
XDI.dll                            0x7FF802CC0000
PowerGridTools.dll                 0x7FF802D30000
place.dll                          0x7FF802DD0000
mcm.dll                            0x7FF802E50000
f4ee.dll                           0x7FF802EF0000
EscapeFreeze.dll                   0x7FF804CC0000
ClassicHolsteredWeapons.dll        0x7FF8059E0000
BakaScrapHeap.dll                  0x7FF805A90000
HighFPSPhysicsFix.dll              0x7FF805CA0000
BakaFullscreenPipboy.dll           0x7FF805D30000
BulletCountedReload.dll            0x7FF805E90000
DSOUND.DLL                         0x7FF806200000
F4z Ro D'oh.dll                    0x7FF807160000
BakaFramework.dll                  0x7FF8071D0000
tier0_s64.dll                      0x7FF8081F0000
GCBugFix.dll                       0x7FF80F3C0000
SprintSpeedController.dll          0x7FF810F90000
f4se_1_10_163.dll                  0x7FF811730000
xinput1_4.dll                      0x7FF8118B0000
Outfit-ReDress-Fix.dll             0x7FF811DB0000
CONCRT140.dll                      0x7FF812920000
flexRelease_x64.dll                0x7FF816610000
f4pm.dll                           0x7FF816880000
vstdlib_s64.dll                    0x7FF816B80000
BakaMaxPapyrusOps.dll              0x7FF817100000
GFSDK_SSAO_D3D11.win64.dll         0x7FF8171B0000
MSVCR110.dll                       0x7FF817240000
MSVCP110.dll                       0x7FF8174A0000
BetterConsole.dll                  0x7FF81A160000
Interior-NavCut-Fix.dll            0x7FF81A2B0000
DisableCompanionCollision.dll      0x7FF81A4E0000
cudart64_75.dll                    0x7FF81A850000
crafting_highlight_fix.dll         0x7FF81AEB0000
GFSDK_GodraysLib.x64.dll           0x7FF81AFB0000
flexExtRelease_x64.dll             0x7FF81B200000
pppl.dll                           0x7FF81BB20000
XAudio2_7.dll                      0x7FF81BE10000
bink2w64.dll                       0x7FF81D6E0000
winmmbase.dll                      0x7FF825920000
achievements.dll                   0x7FF82A140000
WeaponDebrisCrashFix.dll           0x7FF82A4F0000
Windows.UI.dll                     0x7FF834A00000
VCRUNTIME140_1.dll                 0x7FF835F30000
MSVCP140.dll                       0x7FF835F40000
VCRUNTIME140.dll                   0x7FF835FD0000
MessageBus.dll                     0x7FF8364D0000
Secur32.dll                        0x7FF837720000
MSVCP140_ATOMIC_WAIT.dll           0x7FF838A00000
f4se_steam_loader.dll              0x7FF8396D0000
encounter_zone_recalculation.dll   0x7FF8399D0000
inputhost.dll                      0x7FF839D30000
DINPUT8.dll                        0x7FF83A5F0000
SprintStutteringFix.dll            0x7FF83A6B0000
nvwgf2umx.dll                      0x7FF83B4E0000
textinputframework.dll             0x7FF83FB40000
NvMessageBus.dll                   0x7FF83FEA0000
WININET.dll                        0x7FF841930000
nvgpucomp64.dll                    0x7FF8427A0000
nvapi64.dll                        0x7FF844BC0000
DbgHelp.dll                        0x7FF845290000
OneCoreCommonProxyStub.dll         0x7FF846CF0000
COMCTL32.dll                       0x7FF847ED0000
gdiplus.dll                        0x7FF848170000
WINSPOOL.DRV                       0x7FF848320000
MSIMG32.dll                        0x7FF848C00000
WINMM.dll                          0x7FF848E20000
nvldumdx.dll                       0x7FF849280000
dxcore.dll                         0x7FF849650000
libdiskCacheEnabler.dll            0x7FF849800000
OneCoreUAPCommonProxyStub.dll      0x7FF84A480000
MMDevApi.dll                       0x7FF84B010000
AUDIOSES.DLL                       0x7FF84B0A0000
drvstore.dll                       0x7FF84B230000
cryptnet.dll                       0x7FF84B6D0000
VERSION.dll                        0x7FF84B710000
WINHTTP.dll                        0x7FF84BCA0000
WindowsCodecs.dll                  0x7FF84BF80000
twinapi.appcore.dll                0x7FF84C1A0000
WindowManagementAPI.dll            0x7FF84C4C0000
dhcpcsvc.DLL                       0x7FF84CB00000
avrt.dll                           0x7FF84CB20000
PROPSYS.dll                        0x7FF84D140000
XINPUT9_1_0.dll                    0x7FF84D9C0000
wintypes.dll                       0x7FF84DA70000
D3DCOMPILER_47.dll                 0x7FF84DBD0000
d3d11.dll                          0x7FF84E030000
dcomp.dll                          0x7FF84E860000
CoreUIComponents.dll               0x7FF84EA50000
CoreMessaging.dll                  0x7FF84F130000
