XINPUT1_3.dll                      0x000000400000
X3DAudio1_7.dll                    0x000053610000
steam_api64.dll                    0x000053620000
d3d11.dll                          0x000180000000
clbcatq.dll                        0x02B7B8950000
RTSSHooks64.dll                    0x02B7EE800000
gpapi.dll                          0x02B7FF200000
Fallout4.exe                       0x7FF796300000
libxess.dll                        0x7FFA07180000
nvngx_dlss.dll                     0x7FFA28A60000
nvcuda64.dll                       0x7FFA2D9D0000
Fallout4Upscaler.dll               0x7FFA2E3F0000
DSOUND.DLL                         0x7FFA48390000
D3DSCache.dll                      0x7FFA48440000
gameoverlayrenderer64.dll          0x7FFA5A660000
vstdlib_s64.dll                    0x7FFA5A800000
tier0_s64.dll                      0x7FFA5A8C0000
steamclient64.dll                  0x7FFA5AA60000
d3dcompiler_46e.dll                0x7FFA7C600000
_nvngx.dll                         0x7FFA7CE60000
XAudio2_7.dll                      0x7FFA800F0000
nvngx.dll                          0x7FFA80180000
dxilconv.dll                       0x7FFA80260000
ffx_backend_dx12_x64.dll           0x7FFA803A0000
wsfw_identifier.dll                0x7FFA82BD0000
transfer_settlements.dll           0x7FFA82CD0000
nvspcap64.dll                      0x7FFA83040000
UneducatedShooter.dll              0x7FFA83700000
terminal+.dll                      0x7FFA83760000
SUP_F4SE.dll                       0x7FFA838B0000
SimpleImpact.dll                   0x7FFA83AE0000
ShadowBoostFO4.dll                 0x7FFA83B50000
RobCo_Patcher.dll                  0x7FFA83C20000
PowerGridTools.dll                 0x7FFA83D10000
ffx_fsr2_api_dx11_x64.dll          0x7FFA83D80000
SprintSpeedController.dll          0x7FFA84140000
po3_SpellPerkItemDistributorF4.dll 0x7FFA84190000
PDPerfPlugin.dll                   0x7FFA842A0000
place.dll                          0x7FFA848A0000
PipboyTabs.dll                     0x7FFA84920000
MGEFConditionFix.dll               0x7FFA84F80000
mcm.dll                            0x7FFA85040000
Buffout4.dll                       0x7FFA850E0000
LighthousePapyrusExtender.dll      0x7FFA982F0000
d3d12.dll                          0x7FFA990C0000
D3DCOMPILER_43.dll                 0x7FFA9E380000
xinput1_4.dll                      0x7FFAA8410000
Interior-NavCut-Fix.dll            0x7FFAAA2A0000
HighFPSPhysicsFix.dll              0x7FFAAAC20000
f4ee.dll                           0x7FFAAACB0000
hudextension.dll                   0x7FFAAAED0000
GLXRM_JumpingRequiresAP.dll        0x7FFAAB830000
GCBugFix.dll                       0x7FFAAC480000
f4pm.dll                           0x7FFAAC4E0000
EscapeFreeze.dll                   0x7FFAAC550000
BakaFullscreenPipboy.dll           0x7FFAAC690000
DSXFallout4.dll                    0x7FFAACA80000
dxgi.dll                           0x7FFAACAF0000
flexRelease_x64.dll                0x7FFAACFE0000
IPHLPAPI.DLL                       0x7FFAAD130000
BakaScrapHeap.dll                  0x7FFAB5690000
ClassicHolsteredWeapons.dll        0x7FFAB5900000
BakaFramework.dll                  0x7FFAB5A50000
BakaMaxPapyrusOps.dll              0x7FFAB5E30000
usvfs_x64.dll                      0x7FFAB70D0000
f4se_1_10_163.dll                  0x7FFAB73A0000
BulletCountedReload.dll            0x7FFAB7610000
MSVCR110.dll                       0x7FFAB7DA0000
D3D12Core.dll                      0x7FFAB8080000
FloatingDamage.dll                 0x7FFAB8250000
GFSDK_SSAO_D3D11.win64.dll         0x7FFAB83A0000
GLXRM_FireRateShowsRPM.dll         0x7FFAB9F70000
MSVCP110.dll                       0x7FFAB9FC0000
EnergyWeaponCalcFix.dll            0x7FFABAB20000
BetterConsole.dll                  0x7FFABAC60000
bink2w64.dll                       0x7FFABB840000
crafting_highlight_fix.dll         0x7FFABC400000
BodyPartsUI.dll                    0x7FFABCE90000
ArmorPenetrationBugFix.dll         0x7FFABFF10000
d3dx11_43.dll                      0x7FFAC6E20000
ondemandconnroutehelper.dll        0x7FFAC8220000
winmmbase.dll                      0x7FFACC6C0000
WeaponDebrisCrashFix.dll           0x7FFACD1F0000
CONCRT140.dll                      0x7FFACFFA0000
cudart64_75.dll                    0x7FFAD4BA0000
enbhelperf4.dll                    0x7FFAD56A0000
PriorityMod.dll                    0x7FFAD6230000
Windows.UI.dll                     0x7FFAE3BE0000
ENBDeblurTAA.addon                 0x7FFAE4400000
