XINPUT1_3.dll                    0x000000400000
X3DAudio1_7.dll                  0x000067210000
steam_api64.dll                  0x000067220000
wintrust.dll                     0x02299E710000
Fallout4.exe                     0x7FF64ADA0000
nvcuda.dll                       0x7FFC2AF00000
nvcuda64.dll                     0x7FFC2E870000
d3dcompiler_47_64.dll            0x7FFC2F290000
NvCamera64.dll                   0x7FFC2F6A0000
Buffout4.dll                     0x7FFC2FF10000
steamclient64.dll                0x7FFC30270000
DSOUND.DLL                       0x7FFC418F0000
nvspcap64.dll                    0x7FFC482E0000
weaponInstanceExtended.dll       0x7FFC4EF20000
PhysXDevice64.dll                0x7FFC56720000
gameoverlayrenderer64.dll        0x7FFC57E80000
f4ee.dll                         0x7FFC59350000
NVIDIA_Reflex.dll                0x7FFC5AF10000
XAudio2_7.dll                    0x7FFC5B820000
tier0_s64.dll                    0x7FFC5C1D0000
Discord_Presence_F4SE_Remake.dll 0x7FFC5E7F0000
flexRelease_x64.dll              0x7FFC6A3A0000
Windows.UI.dll                   0x7FFC6B1A0000
f4se_1_10_163.dll                0x7FFC6D760000
BakaScrapHeap.dll                0x7FFC6D8E0000
vstdlib_s64.dll                  0x7FFC6EB00000
DINPUT8.dll                      0x7FFC6ED70000
mcm.dll                          0x7FFC723C0000
HighFPSPhysicsFix.dll            0x7FFC72750000
f4pm.dll                         0x7FFC72AE0000
crafting_highlight_fix.dll       0x7FFC72C30000
BulletCountedReload.dll          0x7FFC72EA0000
MSVCR110.dll                     0x7FFC73B40000
MessageBus.dll                   0x7FFC790B0000
VCRUNTIME140.dll                 0x7FFC7A640000
MSVCP140.dll                     0x7FFC7A660000
cudart64_75.dll                  0x7FFC7C440000
GFSDK_SSAO_D3D11.win64.dll       0x7FFC7CA50000
GFSDK_GodraysLib.x64.dll         0x7FFC7D100000
textinputframework.dll           0x7FFC7D160000
inputhost.dll                    0x7FFC7DB20000
MSVCP110.dll                     0x7FFC7DEA0000
bink2w64.dll                     0x7FFC7DF50000
VCRUNTIME140_1.dll               0x7FFC7E0F0000
winmmbase.dll                    0x7FFC7FB20000
flexExtRelease_x64.dll           0x7FFC806F0000
nvwgf2umx.dll                    0x7FFC81570000
wbemsvc.dll                      0x7FFC85710000
fastprox.dll                     0x7FFC85730000
webio.dll                        0x7FFC85B60000
NvMessageBus.dll                 0x7FFC85FE0000
wbemcomn.dll                     0x7FFC864E0000
AUDIOSES.DLL                     0x7FFC866E0000
mskeyprotect.dll                 0x7FFC883D0000
nvgpucomp64.dll                  0x7FFC88440000
nvapi64.dll                      0x7FFC8A660000
WINMM.dll                        0x7FFC8B480000
ncryptsslp.dll                   0x7FFC8C4E0000
f4se_steam_loader.dll            0x7FFC8D380000
Secur32.dll                      0x7FFC8D7C0000
COMCTL32.dll                     0x7FFC8DBB0000
MpOav.dll                        0x7FFC8E1E0000
amsi.dll                         0x7FFC8E270000
nvldumdx.dll                     0x7FFC8EAE0000
dxcore.dll                       0x7FFC8EDF0000
wbemprox.dll                     0x7FFC8F690000
MMDevApi.dll                     0x7FFC8F6B0000
fwpuclnt.dll                     0x7FFC90150000
drvstore.dll                     0x7FFC90770000
rasadhlp.dll                     0x7FFC909D0000
cryptnet.dll                     0x7FFC90B60000
VERSION.dll                      0x7FFC90BA0000
WindowsCodecs.dll                0x7FFC90DA0000
WINHTTP.dll                      0x7FFC90F60000
twinapi.appcore.dll              0x7FFC91170000
WindowManagementAPI.dll          0x7FFC91400000
WeaponDebrisCrashFix.dll         0x7FFC919B0000
avrt.dll                         0x7FFC91AF0000
dhcpcsvc.DLL                     0x7FFC91C40000
dhcpcsvc6.DLL                    0x7FFC91D60000
WINNSI.DLL                       0x7FFC91D80000
PROPSYS.dll                      0x7FFC91FD0000
XINPUT9_1_0.dll                  0x7FFC92690000
nvToolsExt64_1.dll               0x7FFC926A0000
d3d11.dll                        0x7FFC92950000
wintypes.dll                     0x7FFC93620000
dcomp.dll                        0x7FFC93930000
CoreUIComponents.dll             0x7FFC93F90000
CoreMessaging.dll                0x7FFC942F0000
uxtheme.dll                      0x7FFC94670000
dbghelp.dll                      0x7FFC94850000
resourcepolicyclient.dll         0x7FFC94C30000
dwmapi.dll                       0x7FFC94D30000
kernel.appcore.dll               0x7FFC95020000
windows.storage.dll              0x7FFC95220000
HID.DLL                          0x7FFC959C0000
dxgi.dll                         0x7FFC95A00000
schannel.DLL                     0x7FFC960D0000
rsaenh.dll                       0x7FFC961B0000
ntmarta.dll                      0x7FFC962D0000
UMPDC.dll                        0x7FFC96580000
IPHLPAPI.DLL                     0x7FFC965A0000
DNSAPI.dll                       0x7FFC965F0000
powrprof.dll                     0x7FFC966C0000
MSWSOCK.dll                      0x7FFC96900000
CRYPTBASE.DLL                    0x7FFC96AF0000
CRYPTSP.dll                      0x7FFC96B00000
Wldp.dll                         0x7FFC96BA0000
NTASN1.dll                       0x7FFC96BD0000
ncrypt.dll                       0x7FFC96C10000
msasn1.dll                       0x7FFC96D30000
devobj.dll                       0x7FFC96F00000
DPAPI.DLL                        0x7FFC96F50000
SSPICLI.DLL                      0x7FFC97010000
USERENV.dll                      0x7FFC97050000
profapi.dll                      0x7FFC97090000
ucrtbase.dll                     0x7FFC97200000
bcryptPrimitives.dll             0x7FFC97300000
CRYPT32.dll                      0x7FFC97390000
cfgmgr32.dll                     0x7FFC974F0000
msvcp_win.dll                    0x7FFC975B0000
gdi32full.dll                    0x7FFC97650000
win32u.dll                       0x7FFC97770000
bcrypt.dll                       0x7FFC977A0000
KERNELBASE.dll                   0x7FFC977D0000
ADVAPI32.dll                     0x7FFC97B30000
