[00]     Fallout4.esm
[01]     DLCRobot.esm
[02]     DLCworkshop01.esm
[03]     DLCCoast.esm
[04]     DLCworkshop02.esm
[05]     DLCworkshop03.esm
[06]     DLCNukaWorld.esm
[07]     Unofficial Fallout 4 Patch.esp
[08]     HUDFramework.esm
[09]     WorkshopFramework.esm
[0A]     XDI.esm
[0B]     SettlementKeywords.esm
[0C]     SS2.esm
[0D]     SS2_XPAC_Chapter2.esm
[0E]     Arbitration - Resources.esm
[0F]     TrueStormsFO4.esm
[10]     NoSharedDogmeatTemplate.esp
[11]     SettlementMenuManager.esp
[12]     RAW INPUT.esp
[13]     SprintStutterRemoverWithExtras.esp
[14]     ChemistRadiationFix.esp
[15]     Reverb and Ambiance Overhaul.esp
[16]     PersistentVolumeSliders.esp
[17]     WmkActiveEffects.esp
[18]     NoVanillaRadiantDLCLocations.esp
[19]     BTInteriors_Project.esp
[1A]     BTInt_Optimization.esp
[1B]     Stm_DiamondCityExpansion.esp
[1C]     FogOut - Interiors - All DLC.esp
[1D]     WeightlessMods.esp
[1E]     WeightlessJunk.esp
[1F]     MojaveImports.esp
[20]     MIRVfix.esp
[21]     WeightlessAid.esp
[22]     NukaCola&BeveragePatch.esp
[23]     SS2Extended.esp
[24]     Skb_RiflesRebirth.esp
[25]     Ak5C.esp
[26]     Tomacuzi9.esp
[27]     F4NVServiceRifleRedux.esp
[28]     GaussRevolver.esp
[29]     WattzLaserGun.esp
[2A]     G11.esp
[2B]     M1Garand.esp
[2C]     SS2WastelandVenturers.esp
[2D]     CorvalhoWidowShotgun.esp
[2E]     EM2.esp
[2F]     LeeEnfieldNo4MkI.esp
[30]     VarmintRifle.esp
[31]     AK74M.esp
[32]     CrudeBlowback.esp
[33]     HandmadeRevolver.esp
[34]     SanctFixedBridge.esp
[35]     FOLON - LugerP08.esp
[36]     Sjogren.esp
[37]     SVT40.esp
[38]     Arbitration - Button Lowered Weapons.esp
[39]     Armored General by Hothtrooper44.esp
[3A]     ballisticproject4k.esp
[3B]     SS2_ruined_simsettlement_addonpack.esp
[3C]     BasementLiving.esp
[3D]     BetterCompanions.esp
[3E]     BetterSettlers.esp
[3F]     BetterSettlersMortalPack.esp
[40]     BetterSettlersNoLollygagging.esp
[41]     calyps-bos-booty.esp
[42]     Campsite.esp
[43]     ClassicBehemoth.esp
[44]     TheMobileMechanic.esp
[45]     CompactCrafting.esp
[46]     IcebreakerCDO-Piper.esp
[47]     Companion Infinite Ammo and Unbreakable Power Armour.esp
[48]     Craftable Armor Size - Fix Material Requirements.esp
[49]     Craftable Armor Size.esp
[4A]     Crimsomrider's Affinity.esp
[4B]     WM Chinese Assault Rifle - Standalone.esp
[4C]     Conelrad 640-1240.esp
[4D]     CROSS_eyepatch.esp
[4E]     CROSS_GoreCrits.esp
[4F]     CROSS_GoreCrits_FarHarborPatch.esp
[50]     CROSS_Jetpack.esp
[51]     Danse GTFO Power Armor.esp
[52]     TrueStormsFO4-FarHarbor.esp
[53]     TrueStormsFO4-NukaWorld-FH-Compat.esp
[54]     DarkerNights.esp
[55]     MiscOutfitPackv2.esp
[56]     MercenaryOutfits.esp
[57]     DCMolerats.esp
[58]     dD-Enhanced Blood Basic.esp
[59]     DD_flag_poles.esp
[5A]     DOOM1911.esp
[5B]     EnclaveX02.esp
[5C]     EveryonesBestFriend.esp
[5D]     EvilViking13_WastelandWalls.esp
[5E]     F3metalarmor.esp
[5F]     fo3friedghouls.esp
[60]     FogOut - Exterior - All DLC - Darker Nights - Level 3 - Dark Sky - No24-7.esp
[61]     Fr4nssonsLightTweaks.esp
[62]     free_downgrades.esp
[63]     Friffy_Holstered Weapons.esp
[64]     GlovesOfTheCommonwealth.esp
[65]     Guards.esp
[66]     Hellfirenew.esp
[67]     Holsters & sheaths.esp
[68]     huntingrifleset4k.esp
[69]     IcebreakerCDO-Settlements.esp
[6A]     Immersive HUD.esp
[6B]     instituteproject.esp
[6C]     K9TacticalHarness.esp
[6D]     Kellog no gloves.esp
[6E]     LeeEnfield_VWAS.esp
[6F]     Linked Storage Containers.esp
[70]     Locksmith.esp
[71]     LookingStranger.esp
[72]     LooksMenu.esp
[73]     LooksMirror.esp
[74]     Lots More Female Hairstyles.esp
[75]     Lush Landscapes.esp
[76]     M1Garand-1.5xDMG.esp
[77]     More Where That Came From Diamond City.esp
[78]     Mosin.esp
[79]     NoRailRoadBallisticWeave.esp
[7A]     OCDecorator.esp
[7B]     OCDecoratorDLC.esp
[7C]     OCDispenser.esp
[7D]     OTs-02 Kiparis.esp
[7E]     Passthrough.esp
[7F]     plasmaproject.esp
[80]     RadioReverbFix.esp
[81]     RadioSilence.esp
[82]     Randomized DC Guard Outfits.esp
[83]     RAO - True Storms patch.esp
[84]     Realistic Death Physics - ALL DLC.esp
[85]     Realistic Death Physics.esp
[86]     Realistic_conversations.esp
[87]     SimSettlements2_AddOnPack_ApocalypticAdditions_SirLach.esp
[88]     SR_VWAS.esp
[89]     SS2-PraRandomAddon.esp
[8A]     SurvivalOptions.esp
[8B]     Swinging Meat Bags.esp
[8C]     SynthHand.esp
[8D]     TankTruck_Workshop_Object.esp
[8E]     TFRangerGear.esp
[8F]     Tomacuzi-9_VWAS.esp
[90]     TrueStormsFO4-EarlierSunsets.esp
[91]     TrueStormsFO4-EarlierSunsetsFH.esp
[92]     VertibirdBeacon.esp
[93]     Visible Weapons Extended - AK5C.esp
[94]     Visible Weapons Extended - AK74M.esp
[95]     Visible Weapons Extended - Kiparis.esp
[96]     Visible Weapons Extended - M1Garand.esp
[97]     Visible Weapons Extended - Mosin.esp
[98]     Visible Weapons Extended - SVT40.esp
