XINPUT1_3.dll                         0x000000400000
X3DAudio1_7.dll                       0x000052250000
GCBugFix.dll                          0x0049267E0000
Fallout4.exe                          0x7FF6116D0000
DSOUND.DLL                            0x7FFA0AA20000
XAudio2_7.dll                         0x7FFA0AAC0000
ToYourFaceFO4.dll                     0x7FFA0AB50000
po3_SimpleOffenceSuppressionF4.dll    0x7FFA0ABA0000
place.dll                             0x7FFA0AC30000
CONCRT140.dll                         0x7FFA0ACB0000
Interior-NavCut-Fix.dll               0x7FFA0AD00000
ESPExplorer.dll                       0x7FFA0AD50000
BakaFramework.dll                     0x7FFA0ADA0000
XDI.dll                               0x7FFA0AE90000
transfer_settlements.dll              0x7FFA0AF00000
terminal+.dll                         0x7FFA0B1D0000
D3DCOMPILER_47.dll                    0x7FFA0B320000
wsfw_identifier.dll                   0x7FFA0B890000
SprintSpeedController.dll             0x7FFA0B990000
ShadowBoostFO4.dll                    0x7FFA0B9E0000
RobCo_Patcher.dll                     0x7FFA0BAB0000
PowerGridTools.dll                    0x7FFA0BBA0000
Outfit-ReDress-Fix.dll                0x7FFA0BC10000
NVIDIA_Reflex.dll                     0x7FFA0BC60000
MODExplorer.dll                       0x7FFA0BD30000
mcm.dll                               0x7FFA0BDB0000
LighthousePapyrusExtender.dll         0x7FFA0BE50000
HighFPSPhysicsFix.dll                 0x7FFA0BF80000
f4pm.dll                              0x7FFA0C010000
f4ee.dll                              0x7FFA0C080000
EscapeFreeze.dll                      0x7FFA0C190000
CCExtenderF4.dll                      0x7FFA0C250000
Buffout4.dll                          0x7FFA0C2C0000
BetterConsole.dll                     0x7FFA0C620000
BakaScrapHeap.dll                     0x7FFA0C690000
flexRelease_x64.dll                   0x7FFA0C760000
IPHLPAPI.DLL                          0x7FFA0C8B0000
steam_api64.dll                       0x7FFA0CE70000
nvwgf2umx.dll                         0x7FFA1A910000
f4se_1_10_163.dll                     0x7FFA1FBA0000
BakaMaxPapyrusOps.dll                 0x7FFA1FE00000
MSVCR110.dll                          0x7FFA1FEB0000
PriorityMod.dll                       0x7FFA204C0000
f4se_steam_loader.dll                 0x7FFA204F0000
AUDIOSES.DLL                          0x7FFA23CE0000
ncryptsslp.dll                        0x7FFA24740000
cudart64_75.dll                       0x7FFA24840000
GFSDK_GodraysLib.x64.dll              0x7FFA248A0000
MSVCP110.dll                          0x7FFA24900000
wbemsvc.dll                           0x7FFA24A50000
fastprox.dll                          0x7FFA26870000
usvfs_x64.dll                         0x7FFA271C0000
WeaponDebrisCrashFix.dll              0x7FFA275C0000
DbgHelp.dll                           0x7FFA27980000
ucrtbase.DLL                          0x7FFA28ED0000
webio.dll                             0x7FFA29CD0000
rasadhlp.dll                          0x7FFA2A630000
WINSPOOL.DRV                          0x7FFA2C4C0000
SprintStutteringFix.dll               0x7FFA2C870000
xinput1_4.dll                         0x7FFA2E230000
GFSDK_SSAO_D3D11.win64.dll            0x7FFA2E240000
bink2w64.dll                          0x7FFA2E2D0000
WINHTTP.dll                           0x7FFA2E360000
fwpuclnt.dll                          0x7FFA2EC00000
dhcpcsvc.DLL                          0x7FFA2EF10000
dhcpcsvc6.DLL                         0x7FFA2EF30000
wbemcomn.dll                          0x7FFA2FB10000
wbemprox.dll                          0x7FFA30030000
WINNSI.DLL                            0x7FFA306D0000
IpHlpAPI.dll                          0x7FFA306E0000
wldp.dll                              0x7FFA30970000
drvstore.dll                          0x7FFA30980000
cryptnet.dll                          0x7FFA30A40000
MMDevApi.dll                          0x7FFA31280000
VERSION.dll                           0x7FFA31320000
api-ms-win-crt-environment-l1-1-0.dll 0x7FFA32000000
api-ms-win-crt-utility-l1-1-0.dll     0x7FFA32010000
MSVCP140.dll                          0x7FFA323F0000
nvapi64.dll                           0x7FFA333A0000
flexExtRelease_x64.dll                0x7FFA34700000
api-ms-win-crt-locale-l1-1-0.dll      0x7FFA34CB0000
api-ms-win-crt-convert-l1-1-0.dll     0x7FFA34D40000
api-ms-win-crt-math-l1-1-0.dll        0x7FFA35200000
api-ms-win-crt-time-l1-1-0.dll        0x7FFA35210000
libdiskCacheEnabler.dll               0x7FFA35220000
api-ms-win-crt-filesystem-l1-1-0.dll  0x7FFA35240000
api-ms-win-crt-stdio-l1-1-0.dll       0x7FFA353F0000
api-ms-win-crt-heap-l1-1-0.dll        0x7FFA35400000
fo4wh_plugin.dll                      0x7FFA35410000
MSVCP140_ATOMIC_WAIT.dll              0x7FFA35420000
api-ms-win-crt-multibyte-l1-1-0.dll   0x7FFA35520000
XInput9_1_0.dll                       0x7FFA35530000
nvToolsExt64_1.dll                    0x7FFA35560000
WINMMBASE.dll                         0x7FFA35620000
WINMM.dll                             0x7FFA35650000
VCRUNTIME140.dll                      0x7FFA35750000
mscms.dll                             0x7FFA35770000
api-ms-win-crt-string-l1-1-0.dll      0x7FFA35BE0000
COMCTL32.dll                          0x7FFA35D00000
dxgi.dll                              0x7FFA35F80000
d3d11.dll                             0x7FFA36010000
avrt.dll                              0x7FFA36250000
