[00]     Fallout4.esm
[01]     DLCRobot.esm
[02]     DLCworkshop01.esm
[03]     DLCCoast.esm
[04]     DLCworkshop02.esm
[05]     DLCworkshop03.esm
[06]     DLCNukaWorld.esm
[07]     ccrzrfo4001-tunnelsnakes.esm
[08]     ccswkfo4001-astronautpowerarmor.esm
[09]     cczsef04001-bhouse.esm
[0A]     cctosfo4001-neosky.esm
[0B]     cczsefo4002-smanor.esm
[0C]     cctosfo4002_neonflats.esm
[0D]     Unofficial Fallout 4 Patch.esp
[0E]     WorkshopFramework.esm
[0F]     XDI.esm
[10]     HUDFramework.esm
[11]     CleanMySettlement.esm
[12]     SS2.esm
[13]     SS2_XPAC_Chapter2.esm
[14]     SS2_XPAC_Chapter3.esm
[15]     YouAndWhatArmy2.esm
[16]     Settlement Electricity OverhaulNoDLC.esm
[17]     Homemaker.esm
[18]     SettlementKeywords.esm
[19]     TacticalReload.esm
[1A]     OVT.esp
[1B]     [SS2] Ad Vic.esp
[1C]     BlurKillerComplete.esp
[1D]     RAW INPUT.esp
[1E]     EvilViking13_MinutemenMorale.esp
[1F]     AKSounds.esp
[20]     WorkshopPlus.esp
[21]     Insignificant Object Remover.esp
[22]     MinutemenRelayFlareGun.esp
[23]     TransferSettlements.esp
[24]     PhotoMode.esp
[25]     LooksMenu.esp
[26]     Hexi_Ranger_AntiMaterielRifle.esp
[27]     DeeZire.esp
[28]     FO4R.esp
[29]     DeeZireDLC03.esp
[2A]     ALOOT_Better_CPS.esp
[2B]     CRP Marines.esp
[2C]     Rebuilt_TaffingtonBoathouse.esp
[2D]     CRP Nuclear Commision.esp
[2E]     DeeZireDLC01.esp
[2F]     LR Ultimate Edition.esp
[30]     VRPShared.esp
[31]     ESPExplorerFO4.esp
[32]     3dscopes.esp
[33]     Assault Rifle Reanimated.esp
[34]     SettlementMenuManager.esp
[35]     GeneralsBattleCoat.esp
[36]     Glock19x.esp
[37]     AAC_HoneyBadger.esp
[38]     TavorX95.esp
[39]     Escape from Boston - Springfield M14.esp
[3A]     DN Music.esp
[3B]     Cleaner Nuka-World Environment.esp
[3C]     DeeZireDLC04.esp
[3D]     MusicMergedDLC.esp
[3E]     Faded Glory - Soundtrack Expansion.esp
[3F]     BetterOpenSeason.esp
[40]     Fallout 4 Cut content.esp
[41]     SSTMinutemanWatchtowers.esp
[42]     Reinforcements.esp
[43]     InstituteSettlements2.esp
[44]     EnclaveFactionItems.esp
[45]     CRP Peaceful Concord.esp
[46]     CRP Ration Site.esp
[47]     CheatTerminal.esp
[48]     CRP RailroadHQ2.0.esp
[49]     fo76_stuff(villings).esp
[4A]     SKKFastReunions.esp
[4B]     SS2_FDK_TinyLiving.esp
[4C]     GtN_SettlersatPlay.esp
[4D]     cVc Dead Wasteland 6.esp
[4E]     F76BlackPowderWeapons.esp
[4F]     PlasmaGatlingCaster.esp
[50]     9x39Project.esp
[51]     NPC Spawner.esp
[52]     ehtyeci_MPX.esp
[53]     PMC Operators Pack.esp
[54]     Zenit.esp
[55]     EveryonesBestFriend.esp
[56]     ArtilleryChanges.esp
[57]     FOLON - LugerP08.esp
[58]     constructible_faction_guards.esp
[59]     FOLON_Bren.esp
[5A]     spas12.esp
[5B]     F2000.esp
[5C]     FOLON - Webley1913.esp
[5D]     Groza.esp
[5E]     SimpleSettlers.esp
[5F]     SimpleSettlers-MostlyMales.esp
[60]     GCM.esp
[61]     Ak5C.esp
[62]     JA_F76.esp
[63]     CourserCrusher.esp
[64]     MK18.esp
[65]     Tactical ACR.esp
[66]     Wana_SA58.esp
[67]     RecruitRickyDalton.esp
[68]     SS2-Jampads2.esp
[69]     SKKWorkshopUtilities.esp
[6A]     M1Garand.esp
[6B]     SS2WastelandVenturers.esp
[6C]     MM Vertibird Patrols.esp
[6D]     EM2.esp
[6E]     F76GatlingGun.esp
[6F]     skewer.esp
[70]     [SS20Addon] SimSettlements SuperStructures.esp
[71]     ECV_Remnants.esp
[72]     MK18 Armory Project.esp
[73]     Escape from Boston - MSBS Grot B.esp
[74]     Escape from Boston - G36.esp
[75]     Esk_NoTeleportingCreatures.esp
[76]     AttachPack.esp
[77]     [XHX] FO76 ATX.esp
[78]     EnclaveScout.esp
[79]     BOSFashionArmory.esp
[7A]     BOSArmory.esp
[7B]     BOSInfantryArmory.esp
[7C]     GaussMinigun.esp
[7D]     GaussShotgun.esp
[7E]     Gauss Pistol.esp
[7F]     PlasmaCutter.esp
[80]     SynthPA.esp
[81]     FO4 NPCs Travel.esp
[82]     M1014.esp
[83]     HsProduktVhs2.esp
[84]     ProvisionerUniform.esp
[85]     DV-Deadly Vertibirds.esp
[86]     DV-Armored Pilots.esp
[87]     DV-No Levelled Vertibirds.esp
[88]     BallisticWeaveUnlocked.esp
[89]     Workshop76.esp
[8A]     AppalachianImports.esp
[8B]     no_raider_combat_armor.esp
[8C]     CLB_BogeymanBasic.esp
[8D]     m249.esp
[8E]     P90.esp
[8F]     HuntingRifleSounds.esp
[90]     Laser Weapon Reanimated.esp
[91]     DD_All_the_COncrete.esp
[92]     Cho1_SS2_Encv_Plots.esp
[93]     Sandbag Fortifications - Version 2C.esp
[94]     Buffed Mini Gun.esp
[95]     Crimsomrider's Perk VFX Removal.esp
[96]     TacticalReloadDLC.esp
[97]     TacticalReloadVanilla.esp
[98]     SpectacleIslandMusic.esp
[99]     Food&WaterCrate.esp
[9A]     BogartNick - Gen 2.esp
[9B]     Craftable BOS Barricade.esp
[9C]     Craftable BOS Barricade Navmesh Patch.esp
[9D]     SS2_ruined_simsettlement_addonpack.esp
[9E]     SS2_STRA_Buildings_and_Skins.esp
