XINPUT1_3.dll                      0x000000400000
X3DAudio1_7.dll                    0x00006C390000
steam_api64.dll                    0x00006C3A0000
d3d11.dll                          0x000180000000
BakaFramework.dll                  0x021F721D0000
Fallout4.exe                       0x7FF6628E0000
d3dcompiler_47_64.dll              0x7FF815E10000
DINPUT8.dll                        0x7FF8168C0000
NvCamera64.dll                     0x7FF816910000
d3dcompiler_46e.dll                0x7FF817350000
gameoverlayrenderer64.dll          0x7FF817710000
XDI.dll                            0x7FF8178B0000
wsfw_identifier.dll                0x7FF817920000
steamclient64.dll                  0x7FF817A20000
WhoseQuestIsItAnywayF4.dll         0x7FF83C960000
UnlimitedSurvivalMode.dll          0x7FF83C9C0000
UneducatedShooter.dll              0x7FF83CA10000
transfer_settlements.dll           0x7FF83CA70000
ToYourFaceFO4.dll                  0x7FF83CD40000
terminal+.dll                      0x7FF83CD90000
SprintSpeedController.dll          0x7FF83CEE0000
SideAimAni.dll                     0x7FF83CF30000
ScreenArcherMenu.dll               0x7FF83CFD0000
SAF.dll                            0x7FF83D130000
RobCo_Patcher.dll                  0x7FF83D220000
rename_anything.dll                0x7FF83D310000
RememberPickAngleUpdated.dll       0x7FF83D360000
ReloadFix.dll                      0x7FF83D420000
PrivateProfileRedirector.dll       0x7FF83D470000
PowerGridTools.dll                 0x7FF83D4D0000
po3_SimpleOffenceSuppressionF4.dll 0x7FF83D540000
place.dll                          0x7FF857D60000
PipboyTabs.dll                     0x7FF857DE0000
Outfit-ReDress-Fix.dll             0x7FF857E40000
NVIDIA_Reflex.dll                  0x7FF857E90000
MGEFConditionFix.dll               0x7FF857F60000
mcm.dll                            0x7FF85A490000
LongLoadingTimesFix.dll            0x7FF85A530000
LighthousePapyrusExtender.dll      0x7FF85A590000
Interior-NavCut-Fix.dll            0x7FF85A6C0000
HighFPSPhysicsFix.dll              0x7FF85A710000
GLXRM_FriendlyFire.dll             0x7FF85A7A0000
GCBugFix.dll                       0x7FF85A7F0000
F4z Ro D'oh.dll                    0x7FF85A850000
f4pm.dll                           0x7FF85A8C0000
f4ee.dll                           0x7FF85A930000
EscapeFreeze.dll                   0x7FF85AA40000
DisableCompanionCollision.dll      0x7FF85AC90000
DirectHit.dll                      0x7FF85ACF0000
crafting_highlight_fix.dll         0x7FF85AD50000
ClassicHolsteredWeapons.dll        0x7FF85ADA0000
CCExtenderF4.dll                   0x7FF85AE50000
BulletCountedReload.dll            0x7FF85AEC0000
Buffout4.dll                       0x7FF85AF50000
BlockingOverhaul.dll               0x7FF85B2B0000
BetterConsole.dll                  0x7FF85B300000
Bastion.dll                        0x7FF85B370000
BakaWaitAnywhere.dll               0x7FF85B3C0000
BakaScrapHeap.dll                  0x7FF85B430000
BakaMaxPapyrusOps.dll              0x7FF85B500000
BakaFullscreenPipboy.dll           0x7FF85B5B0000
f4se_1_10_163.dll                  0x7FF85B780000
vstdlib_s64.dll                    0x7FF85B860000
tier0_s64.dll                      0x7FF85B920000
IPHLPAPI.DLL                       0x7FF85BAC0000
D3DCOMPILER_43.dll                 0x7FF85C080000
cudart64_75.dll                    0x7FF85C2F0000
flexRelease_x64.dll                0x7FF85C350000
GFSDK_SSAO_D3D11.win64.dll         0x7FF860890000
MSVCR110.dll                       0x7FF8720E0000
ArmorPenetrationBugFix.dll         0x7FF872710000
enbhelperf4.dll                    0x7FF878170000
MSVCP110.dll                       0x7FF878390000
bink2w64.dll                       0x7FF879190000
usvfs_x64.dll                      0x7FF87C4F0000
GFSDK_GodraysLib.x64.dll           0x7FF87CDE0000
CONCRT140.dll                      0x7FF89BA30000
f4se_steam_loader.dll              0x7FF89BB50000
d3dx11_43.dll                      0x7FF8BD330000
nvspcap64.dll                      0x7FF8BF640000
XAudio2_7.dll                      0x7FF8C5AA0000
WeaponDebrisCrashFix.dll           0x7FF8CA6A0000
encounter_zone_recalculation.dll   0x7FF8DFB60000
SprintStutteringFix.dll            0x7FF8E1B60000
libdiskCacheEnabler.dll            0x7FF8E69D0000
AmmoRemover.dll                    0x7FF8EEB80000
xinput1_4.dll                      0x7FF8FD4A0000
MSVCP140_ATOMIC_WAIT.dll           0x7FF9052A0000
MessageBus.dll                     0x7FF912DA0000
inputhost.dll                      0x7FF914F90000
webio.dll                          0x7FF9157F0000
VCRUNTIME140.dll                   0x7FF916560000
VCRUNTIME140_1.dll                 0x7FF916580000
MSVCP140.dll                       0x7FF916790000
winmmbase.dll                      0x7FF918810000
Windows.UI.dll                     0x7FF918EB0000
ncryptsslp.dll                     0x7FF919140000
nvwgf2umx.dll                      0x7FF91A7D0000
NvMessageBus.dll                   0x7FF91F160000
XINPUT9_1_0.dll                    0x7FF91F750000
flexExtRelease_x64.dll             0x7FF91F760000
nvToolsExt64_1.dll                 0x7FF91F7F0000
AUDIOSES.DLL                       0x7FF9205E0000
textinputframework.dll             0x7FF920DA0000
ResampleDmo.DLL                    0x7FF9211D0000
DSOUND.DLL                         0x7FF921290000
nvgpucomp64.dll                    0x7FF9213B0000
fastprox.dll                       0x7FF9235D0000
nvapi64.dll                        0x7FF923750000
msdmo.dll                          0x7FF9255F0000
MpOav.dll                          0x7FF925FD0000
amsi.dll                           0x7FF926060000
WINSPOOL.DRV                       0x7FF9260F0000
COMCTL32.dll                       0x7FF9261A0000
MSIMG32.dll                        0x7FF926600000
MMDevApi.dll                       0x7FF9269F0000
wbemsvc.dll                        0x7FF926ED0000
nvldumdx.dll                       0x7FF9271F0000
wbemcomn.dll                       0x7FF927DD0000
wbemprox.dll                       0x7FF927E50000
DbgHelp.dll                        0x7FF928830000
drvstore.dll                       0x7FF929630000
cryptnet.dll                       0x7FF929850000
VERSION.dll                        0x7FF929B00000
WINMM.dll                          0x7FF92A910000
CoreUIComponents.dll               0x7FF92AE30000
fwpuclnt.dll                       0x7FF92B6B0000
directxdatabasehelper.dll          0x7FF92BF10000
rasadhlp.dll                       0x7FF92C7B0000
avrt.dll                           0x7FF92C910000
dhcpcsvc.DLL                       0x7FF92C930000
dhcpcsvc6.DLL                      0x7FF92C950000
WINHTTP.dll                        0x7FF92C980000
D3DCOMPILER_47.dll                 0x7FF92DDE0000
WindowsCodecs.dll                  0x7FF92E220000
d3d11.dll                          0x7FF92E850000
dcomp.dll                          0x7FF92F0A0000
CoreMessaging.dll                  0x7FF92F790000
apphelp.dll                        0x7FF92FBE0000
UxTheme.dll                        0x7FF92FCE0000
dxgi.dll                           0x7FF92FE50000
dwmapi.dll                         0x7FF92FF60000
WINNSI.DLL                         0x7FF92FF90000
dxcore.dll                         0x7FF92FFD0000
resourcepolicyclient.dll           0x7FF930350000
wintypes.dll                       0x7FF930660000
windows.storage.dll                0x7FF9307A0000
HID.DLL                            0x7FF9310A0000
IpHlpAPI.dll                       0x7FF931370000
DNSAPI.dll                         0x7FF9313E0000
UMPDC.dll                          0x7FF9316B0000
POWRPROF.dll                       0x7FF9316F0000
Secur32.dll                        0x7FF931740000
schannel.DLL                       0x7FF9317C0000
rsaenh.dll                         0x7FF9318C0000
kernel.appcore.dll                 0x7FF931960000
ntmarta.dll                        0x7FF931980000
SSPICLI.DLL                        0x7FF931BC0000
MSWSOCK.dll                        0x7FF931DD0000
USERENV.dll                        0x7FF931ED0000
CRYPTSP.dll                        0x7FF932030000
CRYPTBASE.DLL                      0x7FF932050000
wldp.dll                           0x7FF9320E0000
NTASN1.dll                         0x7FF932190000
ncrypt.dll                         0x7FF9321D0000
devobj.dll                         0x7FF9324D0000
msasn1.dll                         0x7FF932500000
CFGMGR32.dll                       0x7FF932520000
DPAPI.DLL                          0x7FF932590000
profapi.dll                        0x7FF932760000
CRYPT32.dll                        0x7FF932830000
ucrtbase.dll                       0x7FF9329A0000
win32u.dll                         0x7FF932AC0000
msvcp_win.dll                      0x7FF932BB0000
KERNELBASE.dll                     0x7FF932C50000
wintrust.dll                       0x7FF933000000
gdi32full.dll                      0x7FF933070000
bcryptPrimitives.dll               0x7FF933190000
bcrypt.dll                         0x7FF933210000
clbcatq.dll                        0x7FF933240000
msvcrt.dll                         0x7FF9332F0000
WS2_32.dll                         0x7FF933410000
COMDLG32.dll                       0x7FF933490000
combase.dll                        0x7FF933590000
RPCRT4.dll                         0x7FF933920000
KERNEL32.DLL                       0x7FF933A40000
ADVAPI32.dll                       0x7FF933BA0000
GDI32.dll                          0x7FF933C60000
SETUPAPI.dll                       0x7FF933C90000
SHELL32.dll                        0x7FF9341A0000
imagehlp.dll                       0x7FF934A00000
NSI.dll                            0x7FF934A20000
PSAPI.DLL                          0x7FF934A30000
shcore.dll                         0x7FF934A40000
MSCTF.dll                          0x7FF934BA0000
sechost.dll                        0x7FF934D00000
IMM32.DLL                          0x7FF934E00000
OLEAUT32.dll                       0x7FF934E40000
ole32.dll                          0x7FF934F30000
SHLWAPI.dll                        0x7FF9350E0000
USER32.dll                         0x7FF935140000
ntdll.dll                          0x7FF935510000
