XINPUT1_3.dll                                      0x000000400000
X3DAudio1_7.dll                                    0x000066CA0000
steam_api64.dll                                    0x000066CB0000
amdenc64.dll                                       0x000066CF0000
d3d11.dll                                          0x000180000000
RTSSHooks64.dll                                    0x020400000000
AppHook64_7F572DF3-96D1-4408-8296-1C39074996C3.dll 0x02045CED0000
NSI.dll                                            0x02045FC90000
enbhelperf4.dll                                    0x020465BB0000
Fallout4.exe                                       0x7FF645470000
steamclient64.dll                                  0x7FFEF4560000
XAudio2_7.dll                                      0x7FFEFEEB0000
gameoverlayrenderer64.dll                          0x7FFEFF100000
XDI.dll                                            0x7FFEFF2A0000
wsfw_identifier.dll                                0x7FFEFF310000
WhoseQuestIsItAnywayF4.dll                         0x7FFEFF410000
vertibird_jump.dll                                 0x7FFF10A90000
ShadowBoostFO4.dll                                 0x7FFF10AE0000
pppl.dll                                           0x7FFF10BB0000
PowerGridTools.dll                                 0x7FFF10BF0000
place.dll                                          0x7FFF10C60000
NVIDIA_Reflex.dll                                  0x7FFF10CE0000
mcm.dll                                            0x7FFF10DB0000
HighFPSPhysicsFix.dll                              0x7FFF10E50000
Buffout4.dll                                       0x7FFF10EE0000
IPHLPAPI.DLL                                       0x7FFF11240000
D3DCOMPILER_43.dll                                 0x7FFF11940000
GFSDK_SSAO_D3D11.win64.dll                         0x7FFF11BB0000
flexRelease_x64.dll                                0x7FFF11C40000
MSVCR110.dll                                       0x7FFF11DF0000
d3dx11_43.dll                                      0x7FFF178A0000
MSVCP110.dll                                       0x7FFF178F0000
bink2w64.dll                                       0x7FFF179A0000
faster_workshop.dll                                0x7FFF17A50000
f4pm.dll                                           0x7FFF17AB0000
crafting_highlight_fix.dll                         0x7FFF17B20000
ClockWidget.dll                                    0x7FFF17B70000
ClassicHolsteredWeapons.dll                        0x7FFF17BC0000
CCExtenderF4.dll                                   0x7FFF17C70000
BulletCountedReload.dll                            0x7FFF17CE0000
BetterConsole.dll                                  0x7FFF17D70000
BakaWaitAnywhere.dll                               0x7FFF17DE0000
cudart64_75.dll                                    0x7FFF1B9D0000
GFSDK_GodraysLib.x64.dll                           0x7FFF1F6A0000
flexExtRelease_x64.dll                             0x7FFF1FC60000
f4se_1_10_163.dll                                  0x7FFF1FD00000
vstdlib_s64.dll                                    0x7FFF1FDE0000
tier0_s64.dll                                      0x7FFF1FEA0000
xinput1_4.dll                                      0x7FFF208D0000
PriorityMod.dll                                    0x7FFF20C20000
cc_cleaner.dll                                     0x7FFF235C0000
usvfs_x64.dll                                      0x7FFF23700000
encounter_zone_recalculation.dll                   0x7FFF240F0000
f4se_steam_loader.dll                              0x7FFF24DE0000
WeaponDebrisCrashFix.dll                           0x7FFF24F40000
SprintStutteringFix.dll                            0x7FFF35EF0000
MSVCP140_ATOMIC_WAIT.dll                           0x7FFF362C0000
MSIMG32.dll                                        0x7FFFA3A10000
nvToolsExt64_1.dll                                 0x7FFFB69E0000
COMCTL32.dll                                       0x7FFFBF230000
WINSPOOL.DRV                                       0x7FFFC3400000
ncryptsslp.dll                                     0x7FFFC7170000
ResampleDmo.DLL                                    0x7FFFC7B00000
DSOUND.DLL                                         0x7FFFC7BC0000
symamsi.dll                                        0x7FFFC8650000
amsi.dll                                           0x7FFFC8750000
msdmo.dll                                          0x7FFFC8790000
webio.dll                                          0x7FFFC8830000
wbemsvc.dll                                        0x7FFFC8C10000
fastprox.dll                                       0x7FFFC8E10000
wbemprox.dll                                       0x7FFFC9260000
winmmbase.dll                                      0x7FFFC9280000
cryptnet.dll                                       0x7FFFCA8B0000
inputhost.dll                                      0x7FFFCB910000
wbemcomn.dll                                       0x7FFFCBBE0000
Windows.UI.dll                                     0x7FFFCC4D0000
VCRUNTIME140.dll                                   0x7FFFCD040000
VCRUNTIME140_1.dll                                 0x7FFFCD060000
MSVCP140.dll                                       0x7FFFCD070000
textinputframework.dll                             0x7FFFCDE30000
amdihk64.dll                                       0x7FFFCECF0000
atidxx64.dll                                       0x7FFFCF370000
WINMM.dll                                          0x7FFFCF450000
rasadhlp.dll                                       0x7FFFCF5E0000
amdxx64.dll                                        0x7FFFCF670000
AUDIOSES.DLL                                       0x7FFFD37C0000
CoreUIComponents.dll                               0x7FFFD52B0000
avrt.dll                                           0x7FFFD58C0000
drvstore.dll                                       0x7FFFD5E50000
MMDevApi.dll                                       0x7FFFD60A0000
VERSION.dll                                        0x7FFFD64F0000
directxdatabasehelper.dll                          0x7FFFD6930000
DbgHelp.dll                                        0x7FFFD7810000
fwpuclnt.dll                                       0x7FFFD8450000
dhcpcsvc.DLL                                       0x7FFFD8990000
dhcpcsvc6.DLL                                      0x7FFFD89B0000
WINHTTP.dll                                        0x7FFFD8BD0000
D3DCOMPILER_47.dll                                 0x7FFFDA5D0000
d3d11.dll                                          0x7FFFDADF0000
dcomp.dll                                          0x7FFFDB640000
CoreMessaging.dll                                  0x7FFFDBCB0000
apphelp.dll                                        0x7FFFDBFA0000
WINNSI.DLL                                         0x7FFFDC120000
UxTheme.dll                                        0x7FFFDC160000
dxcore.dll                                         0x7FFFDC270000
dxgi.dll                                           0x7FFFDC2B0000
dwmapi.dll                                         0x7FFFDC3D0000
resourcepolicyclient.dll                           0x7FFFDC700000
wintypes.dll                                       0x7FFFDCA10000
windows.storage.dll                                0x7FFFDCB50000
HID.DLL                                            0x7FFFDD450000
IpHlpAPI.dll                                       0x7FFFDD6B0000
DNSAPI.dll                                         0x7FFFDD720000
Secur32.dll                                        0x7FFFDDA80000
schannel.DLL                                       0x7FFFDDB00000
kernel.appcore.dll                                 0x7FFFDDCA0000
UMPDC.dll                                          0x7FFFDDD10000
powrprof.dll                                       0x7FFFDDE20000
SSPICLI.DLL                                        0x7FFFDDF80000
MSWSOCK.dll                                        0x7FFFDE190000
USERENV.dll                                        0x7FFFDE290000
CRYPTSP.dll                                        0x7FFFDE3F0000
CRYPTBASE.DLL                                      0x7FFFDE410000
wldp.dll                                           0x7FFFDE4A0000
NTASN1.dll                                         0x7FFFDE550000
ncrypt.dll                                         0x7FFFDE590000
DEVOBJ.dll                                         0x7FFFDE890000
msasn1.dll                                         0x7FFFDE8C0000
CFGMGR32.dll                                       0x7FFFDE8E0000
DPAPI.DLL                                          0x7FFFDE950000
profapi.dll                                        0x7FFFDEB20000
KERNELBASE.dll                                     0x7FFFDECB0000
gdi32full.dll                                      0x7FFFDF060000
WINTRUST.dll                                       0x7FFFDF180000
msvcp_win.dll                                      0x7FFFDF1F0000
win32u.dll                                         0x7FFFDF290000
CRYPT32.dll                                        0x7FFFDF2C0000
ucrtbase.dll                                       0x7FFFDF430000
bcrypt.dll                                         0x7FFFDF550000
bcryptPrimitives.dll                               0x7FFFDF580000
SETUPAPI.dll                                       0x7FFFDF600000
clbcatq.dll                                        0x7FFFDFA80000
sechost.dll                                        0x7FFFDFB50000
ole32.dll                                          0x7FFFDFC90000
SHELL32.dll                                        0x7FFFDFE40000
IMM32.DLL                                          0x7FFFE06A0000
OLEAUT32.dll                                       0x7FFFE06E0000
WS2_32.dll                                         0x7FFFE0980000
PSAPI.DLL                                          0x7FFFE0A00000
combase.dll                                        0x7FFFE0AA0000
RPCRT4.dll                                         0x7FFFE0E30000
shcore.dll                                         0x7FFFE0F60000
KERNEL32.DLL                                       0x7FFFE1060000
MSCTF.dll                                          0x7FFFE11A0000
msvcrt.dll                                         0x7FFFE1300000
COMDLG32.dll                                       0x7FFFE13B0000
USER32.dll                                         0x7FFFE14B0000
SHLWAPI.dll                                        0x7FFFE1660000
GDI32.dll                                          0x7FFFE16C0000
ADVAPI32.dll                                       0x7FFFE16F0000
imagehlp.dll                                       0x7FFFE17B0000
ntdll.dll                                          0x7FFFE18D0000
