XINPUT1_3.dll                      0x000000400000
steam_api64.dll                    0x000074B20000
X3DAudio1_7.dll                    0x000074B80000
d3d11.dll                          0x000180000000
clbcatq.dll                        0x01C90B300000
LL_fourPlay_1_10_163.dll           0x01C9434A0000
NSI.dll                            0x01C9751A0000
Fallout4.exe                       0x7FF67AA70000
d3dcompiler_47_64.dll              0x7FFF5A540000
NvCamera64.dll                     0x7FFF5A950000
d3dcompiler_46e.dll                0x7FFF5B1C0000
gameoverlayrenderer64.dll          0x7FFF5B580000
transfer_settlements.dll           0x7FFF5B720000
terminal+.dll                      0x7FFF5B9F0000
SUP_F4SE.dll                       0x7FFF5BB40000
ScreenArcherMenu.dll               0x7FFF5BD70000
SAF.dll                            0x7FFF5BF10000
PRKF.dll                           0x7FFF5C080000
PowerGridTools.dll                 0x7FFF5C110000
po3_SpellPerkItemDistributorF4.dll 0x7FFF5C180000
po3_BaseObjectSwapperF4.dll        0x7FFF5C290000
place.dll                          0x7FFF5C3A0000
NVIDIA_Reflex.dll                  0x7FFF5C420000
modify_frequency.dll               0x7FFF5C4F0000
MODExplorer.dll                    0x7FFF5C5E0000
mcm.dll                            0x7FFF5C660000
LighthousePapyrusExtender.dll      0x7FFF5C700000
KnockoutFramework.dll              0x7FFF5C820000
HighFPSPhysicsFix.dll              0x7FFF5C880000
HHS.dll                            0x7FFF5C910000
F4z Ro D'oh.dll                    0x7FFF5C9B0000
f4pm.dll                           0x7FFF5CA20000
f4ee.dll                           0x7FFF5CA90000
ClassicHolsteredWeapons.dll        0x7FFF5CBA0000
cbp.dll                            0x7FFF5CC50000
Buffout4.dll                       0x7FFF5CCC0000
BakaScrapHeap.dll                  0x7FFF5D020000
BakaFramework.dll                  0x7FFF5D0F0000
steamclient64.dll                  0x7FFF5D1E0000
dxgi.dll                           0x7FFF5E850000
BulletCountedReload.dll            0x7FFF5F020000
tier0_s64.dll                      0x7FFF5F0B0000
wsfw_identifier.dll                0x7FFF5F310000
crafting_highlight_fix.dll         0x7FFF5FD60000
BakaMaxPapyrusOps.dll              0x7FFF60160000
D3DCOMPILER_43.dll                 0x7FFF60210000
f4se_1_10_163.dll                  0x7FFF60880000
flexRelease_x64.dll                0x7FFF60960000
DINPUT8.dll                        0x7FFF60AD0000
AutomatronDisassembler.dll         0x7FFF60DC0000
vstdlib_s64.dll                    0x7FFF60E20000
MSVCR110.dll                       0x7FFF60EE0000
MSVCP110.dll                       0x7FFF60FC0000
IPHLPAPI.DLL                       0x7FFF61070000
cudart64_75.dll                    0x7FFF61AF0000
XAudio2_7.dll                      0x7FFF61CD0000
PriorityMod.dll                    0x7FFF61D60000
GFSDK_GodraysLib.x64.dll           0x7FFF61E10000
f4se_steam_loader.dll              0x7FFF64440000
GFSDK_SSAO_D3D11.win64.dll         0x7FFF64570000
bink2w64.dll                       0x7FFF64600000
DSOUND.DLL                         0x7FFF64920000
nvspcap64.dll                      0x7FFF75FE0000
usvfs_x64.dll                      0x7FFF7D0A0000
XDI.dll                            0x7FFF80110000
TIM.dll                            0x7FFF80270000
RobCo_Patcher.dll                  0x7FFF802D0000
d3dx11_43.dll                      0x7FFF80790000
vertibird_jump.dll                 0x7FFF807E0000
rename_anything.dll                0x7FFF80830000
flexExtRelease_x64.dll             0x7FFF80880000
CHW_fix_test_plugin.dll            0x7FFF814E0000
AchievementsModsEnabler.dll        0x7FFF81540000
GCBugFix.dll                       0x7FFF888B0000
textinputframework.dll             0x7FFF88B60000
X3DAudio1_7.dll                    0x7FFF89F00000
ondemandconnroutehelper.dll        0x7FFF8DFD0000
MessageBus.dll                     0x7FFF91E10000
urlmon.dll                         0x7FFF94010000
WININET.dll                        0x7FFF94990000
nvwgf2umx.dll                      0x7FFF95220000
MSVCP140.dll                       0x7FFF997C0000
WINSPOOL.DRV                       0x7FFF99C10000
COMCTL32.dll                       0x7FFF99CB0000
gdiplus.dll                        0x7FFF99F50000
amsi.dll                           0x7FFF9A850000
NvMessageBus.dll                   0x7FFF9AB60000
inputhost.dll                      0x7FFF9AF90000
VCRUNTIME140_1.dll                 0x7FFF9B1D0000
VCRUNTIME140.dll                   0x7FFF9B1E0000
iertutil.dll                       0x7FFF9C200000
Windows.UI.dll                     0x7FFF9C7A0000
nvgpucomp64.dll                    0x7FFF9CF80000
nvapi64.dll                        0x7FFF9F200000
fwpuclnt.dll                       0x7FFF9F950000
rasadhlp.dll                       0x7FFF9F9D0000
webio.dll                          0x7FFF9FA70000
winmmbase.dll                      0x7FFFA0BC0000
srvcli.dll                         0x7FFFA1B40000
mskeyprotect.dll                   0x7FFFA1B90000
ncryptsslp.dll                     0x7FFFA1CF0000
Secur32.dll                        0x7FFFA1D20000
wbemsvc.dll                        0x7FFFA1D30000
fastprox.dll                       0x7FFFA1D50000
DbgHelp.dll                        0x7FFFA20D0000
nvldumdx.dll                       0x7FFFA22C0000
WINMM.dll                          0x7FFFA2AD0000
dxcore.dll                         0x7FFFA36A0000
wbemcomn.dll                       0x7FFFA4930000
WINHTTP.dll                        0x7FFFA5440000
wbemprox.dll                       0x7FFFA5630000
drvstore.dll                       0x7FFFA6100000
cryptnet.dll                       0x7FFFA6260000
WindowsCodecs.dll                  0x7FFFA6F40000
VERSION.dll                        0x7FFFA7170000
WeaponDebrisCrashFix.dll           0x7FFFA79E0000
twinapi.appcore.dll                0x7FFFA7A00000
WindowManagementAPI.dll            0x7FFFA7EA0000
dhcpcsvc.DLL                       0x7FFFA8020000
dhcpcsvc6.DLL                      0x7FFFA8040000
WINNSI.DLL                         0x7FFFA81E0000
MMDevApi.dll                       0x7FFFA84B0000
AUDIOSES.DLL                       0x7FFFA87C0000
SprintStutteringFix.dll            0x7FFFA8AE0000
avrt.dll                           0x7FFFA8B90000
libdiskCacheEnabler.dll            0x7FFFA9660000
XINPUT9_1_0.dll                    0x7FFFAA4D0000
nvToolsExt64_1.dll                 0x7FFFAA5F0000
MSIMG32.dll                        0x7FFFAA610000
PROPSYS.dll                        0x7FFFAA650000
d3d11.dll                          0x7FFFAA810000
d3dcompiler_47.dll                 0x7FFFAAA80000
wintypes.dll                       0x7FFFAB640000
dcomp.dll                          0x7FFFAB7F0000
CoreUIComponents.dll               0x7FFFABD60000
CoreMessaging.dll                  0x7FFFAC0C0000
apphelp.dll                        0x7FFFAC3A0000
UxTheme.dll                        0x7FFFAC4E0000
resourcepolicyclient.dll           0x7FFFAC5B0000
dwmapi.dll                         0x7FFFAC7E0000
kernel.appcore.dll                 0x7FFFAC9C0000
windows.storage.dll                0x7FFFACBC0000
HID.DLL                            0x7FFFAD360000
dxgi.dll                           0x7FFFAD3A0000
schannel.DLL                       0x7FFFADA90000
rsaenh.dll                         0x7FFFADB70000
ntmarta.dll                        0x7FFFADC90000
UMPDC.dll                          0x7FFFADF40000
IpHlpAPI.dll                       0x7FFFADF60000
DNSAPI.dll                         0x7FFFADFA0000
netutils.dll                       0x7FFFAE070000
POWRPROF.dll                       0x7FFFAE0D0000
MSWSOCK.dll                        0x7FFFAE2C0000
CRYPTBASE.DLL                      0x7FFFAE4B0000
CRYPTSP.dll                        0x7FFFAE4C0000
Wldp.dll                           0x7FFFAE560000
NTASN1.dll                         0x7FFFAE590000
ncrypt.dll                         0x7FFFAE5D0000
msasn1.dll                         0x7FFFAE6F0000
devobj.dll                         0x7FFFAE8B0000
DPAPI.DLL                          0x7FFFAE900000
SSPICLI.DLL                        0x7FFFAE9C0000
profapi.dll                        0x7FFFAEA40000
cfgmgr32.dll                       0x7FFFAEB00000
win32u.dll                         0x7FFFAEB50000
KERNELBASE.dll                     0x7FFFAEB80000
wintrust.dll                       0x7FFFAEE60000
bcryptPrimitives.dll               0x7FFFAEED0000
gdi32full.dll                      0x7FFFAEF60000
CRYPT32.dll                        0x7FFFAF070000
ucrtbase.dll                       0x7FFFAF1D0000
msvcp_win.dll                      0x7FFFAF2D0000
bcrypt.dll                         0x7FFFAF370000
shcore.dll                         0x7FFFAF450000
msvcrt.dll                         0x7FFFAF610000
COMDLG32.dll                       0x7FFFAF6D0000
RPCRT4.dll                         0x7FFFAF7B0000
ole32.dll                          0x7FFFAF8E0000
KERNEL32.DLL                       0x7FFFAFA10000
PSAPI.DLL                          0x7FFFAFAD0000
OLEAUT32.dll                       0x7FFFAFAE0000
SHLWAPI.dll                        0x7FFFAFC10000
SETUPAPI.dll                       0x7FFFAFC70000
combase.dll                        0x7FFFB00E0000
imagehlp.dll                       0x7FFFB04C0000
ADVAPI32.dll                       0x7FFFB04E0000
WS2_32.dll                         0x7FFFB0620000
USER32.dll                         0x7FFFB0690000
IMM32.DLL                          0x7FFFB0830000
GDI32.dll                          0x7FFFB0860000
SHELL32.dll                        0x7FFFB0890000
sechost.dll                        0x7FFFB1190000
MSCTF.dll                          0x7FFFB1230000
ntdll.dll                          0x7FFFB13F0000
