XINPUT1_3.dll              0x000000400000
X3DAudio1_7.dll            0x0000603D0000
steam_api64.dll            0x0000603E0000
RTSSHooks64.dll            0x000180000000
sfc.dll                    0x0207AE650000
f4pm.dll                   0x0207B0780000
Fallout4.exe               0x7FF7A6930000
nvcuda64.dll               0x7FF95E510000
steamclient64.dll          0x7FF961690000
nvcuda.dll                 0x7FF9717F0000
PhysXDevice64.dll          0x7FF971D20000
XAudio2_7.dll              0x7FF971FA0000
d3dcompiler_42.dll         0x7FF972460000
Buffout4.dll               0x7FF9726E0000
IPHLPAPI.DLL               0x7FF972A40000
AcLayers.DLL               0x7FF973000000
gameoverlayrenderer64.dll  0x7FF973B00000
place.dll                  0x7FF973CA0000
mcm.dll                    0x7FF973D20000
faster_workshop.dll        0x7FF973DC0000
f4se_1_10_163.dll          0x7FF9759D0000
vstdlib_s64.dll            0x7FF975AB0000
d3dx11_42.dll              0x7FF976CD0000
tier0_s64.dll              0x7FF976D20000
cudart64_75.dll            0x7FF97A210000
flexRelease_x64.dll        0x7FF97A270000
GFSDK_GodraysLib.x64.dll   0x7FF98A590000
crafting_highlight_fix.dll 0x7FF98A9E0000
GFSDK_SSAO_D3D11.win64.dll 0x7FF98AA30000
MSVCR110.dll               0x7FF98AAC0000
nvwgf2umx.dll              0x7FF98B820000
MSVCP110.dll               0x7FF99C850000
bink2w64.dll               0x7FF99F360000
DSOUND.DLL                 0x7FF9A2C60000
AcGenral.DLL               0x7FF9B0420000
f4se_steam_loader.dll      0x7FF9B0490000
sfc_os.DLL                 0x7FF9B9DB0000
mskeyprotect.dll           0x7FF9BBBB0000
Windows.UI.dll             0x7FF9BDE20000
InputHost.dll              0x7FF9BE5B0000
AUDIOSES.DLL               0x7FF9BE730000
MSVCP140.dll               0x7FF9C1270000
usvfs_x64.dll              0x7FF9C1460000
VCRUNTIME140.dll           0x7FF9C1780000
d3d11.dll                  0x7FF9C1970000
flexExtRelease_x64.dll     0x7FF9C1A40000
DbgHelp.dll                0x7FF9C31A0000
winmmbase.dll              0x7FF9C3A00000
Secur32.dll                0x7FF9C6C50000
textinputframework.dll     0x7FF9CB540000
MPR.dll                    0x7FF9CED00000
VCRUNTIME140_1.dll         0x7FF9CEDF0000
webio.dll                  0x7FF9CF500000
nvapi64.dll                0x7FF9D3FC0000
MpOav.dll                  0x7FF9D49F0000
amsi.dll                   0x7FF9D6170000
WINSPOOL.DRV               0x7FF9D6730000
COMCTL32.dll               0x7FF9D67E0000
MSIMG32.dll                0x7FF9D6C30000
wbemsvc.dll                0x7FF9D6C40000
fastprox.dll               0x7FF9D6E00000
wbemcomn.dll               0x7FF9D7CE0000
WINMM.dll                  0x7FF9D89F0000
fwpuclnt.dll               0x7FF9D99B0000
nvldumdx.dll               0x7FF9D9D10000
dxcore.dll                 0x7FF9DB7F0000
MMDevApi.dll               0x7FF9DC1B0000
wbemprox.dll               0x7FF9DC560000
WINHTTP.dll                0x7FF9DC640000
rasadhlp.dll               0x7FF9DC920000
cryptnet.dll               0x7FF9DD5E0000
dhcpcsvc.DLL               0x7FF9DD8E0000
twinapi.appcore.dll        0x7FF9DDF80000
dhcpcsvc6.DLL              0x7FF9DE210000
WINNSI.DLL                 0x7FF9DE230000
WindowManagementAPI.dll    0x7FF9DE360000
avrt.dll                   0x7FF9DE8E0000
VERSION.dll                0x7FF9DE8F0000
nvToolsExt64_1.dll         0x7FF9DF420000
PROPSYS.dll                0x7FF9DF4A0000
ncryptsslp.dll             0x7FF9DF5D0000
d3d11.Dll                  0x7FF9DFBE0000
wintypes.dll               0x7FF9E0400000
CoreUIComponents.dll       0x7FF9E0AD0000
CoreMessaging.dll          0x7FF9E0E30000
apphelp.dll                0x7FF9E1150000
UxTheme.dll                0x7FF9E1320000
resourcepolicyclient.dll   0x7FF9E1400000
kernel.appcore.dll         0x7FF9E17F0000
windows.storage.dll        0x7FF9E19F0000
HID.DLL                    0x7FF9E2190000
dxgi.dll                   0x7FF9E21D0000
schannel.DLL               0x7FF9E2830000
rsaenh.dll                 0x7FF9E2920000
ntmarta.dll                0x7FF9E2A40000
IpHlpAPI.dll               0x7FF9E2CE0000
DNSAPI.dll                 0x7FF9E2D20000
MSWSOCK.dll                0x7FF9E3000000
CRYPTBASE.DLL              0x7FF9E31F0000
CRYPTSP.dll                0x7FF9E3200000
Wldp.dll                   0x7FF9E3300000
NTASN1.dll                 0x7FF9E3330000
ncrypt.dll                 0x7FF9E3370000
UMPDC.dll                  0x7FF9E3490000
powrprof.dll               0x7FF9E34B0000
msasn1.dll                 0x7FF9E3500000
DEVOBJ.dll                 0x7FF9E36D0000
DPAPI.DLL                  0x7FF9E3730000
USERENV.dll                0x7FF9E37F0000
SspiCli.dll                0x7FF9E3820000
profapi.dll                0x7FF9E3870000
bcryptPrimitives.dll       0x7FF9E3940000
msvcp_win.dll              0x7FF9E3A80000
WINTRUST.DLL               0x7FF9E3B20000
cfgmgr32.dll               0x7FF9E3B90000
CRYPT32.dll                0x7FF9E3BE0000
gdi32full.dll              0x7FF9E3D40000
win32u.dll                 0x7FF9E3E60000
bcrypt.dll                 0x7FF9E3E90000
KERNELBASE.dll             0x7FF9E3EC0000
ucrtbase.dll               0x7FF9E41C0000
imagehlp.dll               0x7FF9E42D0000
PSAPI.DLL                  0x7FF9E42F0000
sechost.dll                0x7FF9E4300000
USER32.dll                 0x7FF9E43A0000
shcore.dll                 0x7FF9E46F0000
MSCTF.dll                  0x7FF9E4800000
OLEAUT32.dll               0x7FF9E49A0000
SETUPAPI.dll               0x7FF9E4A70000
ADVAPI32.dll               0x7FF9E4F40000
clbcatq.dll                0x7FF9E4FF0000
KERNEL32.DLL               0x7FF9E50A0000
GDI32.dll                  0x7FF9E5160000
SHELL32.dll                0x7FF9E5190000
msvcrt.dll                 0x7FF9E5900000
SHLWAPI.dll                0x7FF9E59A0000
NSI.dll                    0x7FF9E5A00000
combase.dll                0x7FF9E5A10000
WS2_32.dll                 0x7FF9E5D70000
COMDLG32.dll               0x7FF9E5DE0000
RPCRT4.dll                 0x7FF9E5EC0000
ole32.dll                  0x7FF9E6050000
IMM32.DLL                  0x7FF9E6180000
ntdll.dll                  0x7FF9E6290000
