xinput1_3.dll                      0x000000400000
X3DAudio1_7.dll                    0x000060EF0000
steam_api64.dll                    0x000060F00000
d3d11.dll                          0x000180000000
BakaFramework.dll                  0x023E52160000
XAudio2_7.dll                      0x023F76460000
Fallout4.exe                       0x7FF690360000
nvcuda64.dll                       0x7FF90A110000
d3dcompiler_47_64.dll              0x7FF90AB20000
NvCamera64.dll                     0x7FF90AF30000
d3dcompiler_46e.dll                0x7FF90B7A0000
gameoverlayrenderer64.dll          0x7FF90BB60000
DINPUT8.dll                        0x7FF90BDB0000
XDI.dll                            0x7FF90BE00000
wsfw_identifier.dll                0x7FF90BE70000
RobCo_Patcher.dll                  0x7FF90BF70000
PRKF.dll                           0x7FF90C050000
PowerGridTools.dll                 0x7FF90C0E0000
po3_SpellPerkItemDistributorF4.dll 0x7FF90C150000
place.dll                          0x7FF90C260000
NVIDIA_Reflex.dll                  0x7FF90C2E0000
mcm.dll                            0x7FF90C3B0000
LighthousePapyrusExtender.dll      0x7FF90C450000
KnockoutFramework.dll              0x7FF90C580000
hudextension.dll                   0x7FF90C5E0000
HighFPSPhysicsFix.dll              0x7FF90C630000
GLXRM_UnleveledWorld.dll           0x7FF90C6C0000
GLXRM_ScalingFlagRemover.dll       0x7FF90C710000
f4pm.dll                           0x7FF90C760000
f4ee.dll                           0x7FF90C7D0000
ClassicHolsteredWeapons.dll        0x7FF90C8E0000
BulletCountedReload.dll            0x7FF90C990000
Buffout4.dll                       0x7FF90CA20000
BakaScrapHeap.dll                  0x7FF90CD80000
f4se_1_10_163.dll                  0x7FF90CF40000
tier0_s64.dll                      0x7FF90D020000
steamclient64.dll                  0x7FF90D1C0000
D3DCOMPILER_43.dll                 0x7FF90E830000
dxgi.dll                           0x7FF90EAA0000
CustomScaleFix.dll                 0x7FF929110000
vstdlib_s64.dll                    0x7FF929180000
d3dx11_43.dll                      0x7FF929240000
cudart64_75.dll                    0x7FF929290000
GFSDK_SSAO_D3D11.win64.dll         0x7FF9292F0000
GFSDK_GodraysLib.x64.dll           0x7FF92A2A0000
flexRelease_x64.dll                0x7FF92A300000
IPHLPAPI.DLL                       0x7FF92A450000
MSVCR110.dll                       0x7FF92DB20000
MSVCP110.dll                       0x7FF92DC00000
bink2w64.dll                       0x7FF92DCB0000
flexExtRelease_x64.dll             0x7FF930430000
enbhelperf4.dll                    0x7FF959D60000
ShadowBoost.asi                    0x7FF959EE0000
AmmoRemover.dll                    0x7FF95B090000
f4se_steam_loader.dll              0x7FF964540000
ResampleDmo.DLL                    0x7FF964C20000
DSOUND.DLL                         0x7FF964CE0000
nvspcap64.dll                      0x7FF97A5A0000
TextShaping.dll                    0x7FF9A4B20000
webio.dll                          0x7FF9AAEC0000
ondemandconnroutehelper.dll        0x7FF9ADCA0000
OneCoreCommonProxyStub.dll         0x7FF9AF080000
MSVCP140.dll                       0x7FF9AF270000
VCRUNTIME140.dll                   0x7FF9AF5C0000
MessageBus.dll                     0x7FF9AF6D0000
ncryptsslp.dll                     0x7FF9AFE50000
VCRUNTIME140_1.dll                 0x7FF9AFE80000
iertutil.dll                       0x7FF9B16B0000
srvcli.dll                         0x7FF9B1970000
urlmon.dll                         0x7FF9B1BA0000
WININET.dll                        0x7FF9B1EB0000
