XINPUT1_3.dll                      0x000000400000
X3DAudio1_7.dll                    0x00005E1E0000
steam_api64.dll                    0x00005E1F0000
Fallout4.exe                       0x7FF691450000
XAudio2_7.dll                      0x7FFB0C3F0000
gameoverlayrenderer64.dll          0x7FFB0C480000
XDI.dll                            0x7FFB0C620000
wsfw_identifier.dll                0x7FFB0C690000
PowerGridTools.dll                 0x7FFB0C790000
po3_SpellPerkItemDistributorF4.dll 0x7FFB0C800000
NVIDIA_Reflex.dll                  0x7FFB0C910000
HHS.dll                            0x7FFB0C9E0000
steamclient64.dll                  0x7FFB0CAD0000
IPHLPAPI.DLL                       0x7FFB0E140000
mcm.dll                            0x7FFB26860000
f4ee.dll                           0x7FFB26900000
HighFPSPhysicsFix.dll              0x7FFB278F0000
Buffout4.dll                       0x7FFB27980000
nvwgf2umx.dll                      0x7FFB28D90000
nvgpucomp64.dll                    0x7FFB2CE80000
Discord_Presence_F4SE.dll          0x7FFB2F0B0000
tier0_s64.dll                      0x7FFB2F150000
BulletCountedReload.dll            0x7FFB30BC0000
BakaScrapHeap.dll                  0x7FFB30C50000
cbp.dll                            0x7FFB3F540000
flexRelease_x64.dll                0x7FFB3F6B0000
BakaFramework.dll                  0x7FFB3F9E0000
f4se_1_10_163.dll                  0x7FFB3FB90000
vstdlib_s64.dll                    0x7FFB40270000
cudart64_75.dll                    0x7FFB40F20000
GFSDK_GodraysLib.x64.dll           0x7FFB40F80000
MSVCR110.dll                       0x7FFB40FE0000
GFSDK_SSAO_D3D11.win64.dll         0x7FFB43900000
flexExtRelease_x64.dll             0x7FFB43BA0000
MSVCP110.dll                       0x7FFB43C00000
bink2w64.dll                       0x7FFB43DC0000
nvspcap64.dll                      0x7FFB52A00000
WeaponDebrisCrashFix.dll           0x7FFB554F0000
MSVCP140_ATOMIC_WAIT.dll           0x7FFB55930000
OneCoreCommonProxyStub.dll         0x7FFB59DE0000
TextShaping.dll                    0x7FFB5DDF0000
nvldumdx.dll                       0x7FFB5E680000
usvfs_x64.dll                      0x7FFB60180000
nvapi64.dll                        0x7FFB61420000
Secur32.dll                        0x7FFB654A0000
winmmbase.dll                      0x7FFB654E0000
WINSPOOL.DRV                       0x7FFB677C0000
COMCTL32.dll                       0x7FFB67870000
MSVCP140.dll                       0x7FFB6FF30000
InputHost.dll                      0x7FFB71020000
textinputframework.dll             0x7FFB71B00000
Windows.UI.dll                     0x7FFB71E10000
DSOUND.DLL                         0x7FFB72650000
DbgHelp.dll                        0x7FFB72900000
VCRUNTIME140.dll                   0x7FFB72B00000
WINMM.dll                          0x7FFB73240000
dxcore.dll                         0x7FFB732A0000
VCRUNTIME140_1.dll                 0x7FFB73EB0000
f4se_steam_loader.dll              0x7FFB749B0000
NvMessageBus.dll                   0x7FFB74A10000
OneCoreUAPCommonProxyStub.dll      0x7FFB750D0000
drvstore.dll                       0x7FFB75FE0000
VERSION.dll                        0x7FFB761E0000
WINHTTP.dll                        0x7FFB761F0000
cryptnet.dll                       0x7FFB76320000
twinapi.appcore.dll                0x7FFB76A00000
WindowManagementAPI.dll            0x7FFB76C30000
MMDevApi.dll                       0x7FFB76FC0000
AUDIOSES.DLL                       0x7FFB77100000
avrt.dll                           0x7FFB77D90000
PROPSYS.dll                        0x7FFB78490000
d3d11.dll                          0x7FFB78590000
wintypes.dll                       0x7FFB78F30000
dcomp.dll                          0x7FFB790D0000
CoreUIComponents.dll               0x7FFB79680000
CoreMessaging.dll                  0x7FFB79A00000
MSIMG32.dll                        0x7FFB7A040000
nvToolsExt64_1.dll                 0x7FFB7A080000
UxTheme.dll                        0x7FFB7A180000
resourcepolicyclient.dll           0x7FFB7A2E0000
dwmapi.dll                         0x7FFB7A4F0000
kernel.appcore.dll                 0x7FFB7A6D0000
windows.storage.dll                0x7FFB7A8D0000
HID.DLL                            0x7FFB7B070000
