XINPUT1_3.dll                           0x000000400000
X3DAudio1_7.dll                         0x000064AA0000
steam_api64.dll                         0x000064AB0000
d3d11.dll                               0x000180000000
HighFPSPhysicsFix.dll                   0x02960AFE0000
LL_fourPlay_1_10_163.dll                0x0296267F0000
imagehlp.dll                            0x029679A90000
Fallout4.exe                            0x7FF792FA0000
encounter_zone_recalculation.dll        0x7FF800000000
libdiskCacheEnabler.dll                 0x7FF81FB60000
bink2w64.dll                            0x7FF81FB80000
MSVCP140_ATOMIC_WAIT.dll                0x7FF8342F0000
VoltekLib.MemoryManager.dll             0x7FF834310000
ConsoleEx.dll                           0x7FF834340000
pppl.dll                                0x7FF8345D0000
BetterConsole.dll                       0x7FF834610000
vstdlib_s64.dll                         0x7FF834680000
nvcuda64.dll                            0x7FF834930000
nvcuda.dll                              0x7FF835350000
ResampleDmo.DLL                         0x7FF8553B0000
DSOUND.DLL                              0x7FF855470000
nvspcap64.dll                           0x7FF85A460000
msdmo.dll                               0x7FF865E30000
ESPExplorer.dll                         0x7FF8696D0000
xinput9_1_0.dll                         0x7FF869760000
ReShade64-AdjustDepth-By-seri14.addon64 0x7FF86B2E0000
NvTelemetryBridge64.dll                 0x7FF86BDB0000
VoltekLib.UnicodeConverter.dll          0x7FF878310000
uiautomationcore.dll                    0x7FF879C20000
d3d12.dll                               0x7FF87B5C0000
threadpoolwinrt.dll                     0x7FF884860000
dbgcore.DLL                             0x7FF88EE60000
ondemandconnroutehelper.dll             0x7FF890070000
inputhost.dll                           0x7FF8906C0000
textinputframework.dll                  0x7FF8934D0000
WININET.dll                             0x7FF893EA0000
Windows.UI.dll                          0x7FF8943A0000
winmmbase.dll                           0x7FF894E00000
VCRUNTIME140.dll                        0x7FF895730000
VCRUNTIME140_1.dll                      0x7FF895750000
MSVCP140.dll                            0x7FF895760000
KiHalloc.dll                            0x7FF897570000
nvwgf2umx.dll                           0x7FF8975C0000
NvMessageBus.dll                        0x7FF89C0E0000
AUDIOSES.DLL                            0x7FF89D730000
iertutil.dll                            0x7FF89DDD0000
urlmon.dll                              0x7FF89E2F0000
nvgpucomp64.dll                         0x7FF89E4E0000
nvapi64.dll                             0x7FF8A0700000
WINMM.dll                               0x7FF8A0DF0000
nvToolsExt64_1.dll                      0x7FF8A1AB0000
srvcli.dll                              0x7FF8A1D30000
ncryptsslp.dll                          0x7FF8A1DB0000
SPINF.dll                               0x7FF8A2120000
MMDevApi.dll                            0x7FF8A2170000
NvTelemetryAPI64.dll                    0x7FF8A2A50000
COMCTL32.dll                            0x7FF8A2FB0000
OLEACC.dll                              0x7FF8A3360000
gdiplus.dll                             0x7FF8A3480000
nvldumdx.dll                            0x7FF8A3B20000
MSIMG32.dll                             0x7FF8A3F40000
wbemsvc.dll                             0x7FF8A3FE0000
wbemcomn.dll                            0x7FF8A4D70000
wbemprox.dll                            0x7FF8A4DF0000
twinapi.appcore.dll                     0x7FF8A4E00000
fwpuclnt.dll                            0x7FF8A52A0000
dbghelp.dll                             0x7FF8A5950000
drvstore.dll                            0x7FF8A6550000
cryptnet.dll                            0x7FF8A67C0000
VERSION.dll                             0x7FF8A6FE0000
DEVRTL.dll                              0x7FF8A7040000
AddFFFFFix.dll                          0x7FF8A7090000
CoreUIComponents.dll                    0x7FF8A7E10000
avrt.dll                                0x7FF8A8500000
directxdatabasehelper.dll               0x7FF8A89D0000
WINHTTP.DLL                             0x7FF8A9070000
rasadhlp.dll                            0x7FF8A9380000
D3DSCache.dll                           0x7FF8A97C0000
D3DCOMPILER_47.dll                      0x7FF8AA770000
WindowsCodecs.dll                       0x7FF8AAB60000
d3d11.dll                               0x7FF8AB260000
dcomp.dll                               0x7FF8ABB30000
CoreMessaging.dll                       0x7FF8AC300000
UxTheme.dll                             0x7FF8AC7F0000
dxgi.dll                                0x7FF8AC960000
dwmapi.dll                              0x7FF8ACA70000
WINNSI.DLL                              0x7FF8ACAA0000
dxcore.dll                              0x7FF8ACAE0000
resourcepolicyclient.dll                0x7FF8ACD40000
wintypes.dll                            0x7FF8AD170000
windows.storage.dll                     0x7FF8AD2B0000
HID.DLL                                 0x7FF8ADBB0000
netutils.dll                            0x7FF8ADDD0000
IPHLPAPI.DLL                            0x7FF8ADEC0000
DNSAPI.dll                              0x7FF8ADEF0000
UMPDC.dll                               0x7FF8AE1D0000
POWRPROF.dll                            0x7FF8AE1F0000
Secur32.dll                             0x7FF8AE260000
schannel.DLL                            0x7FF8AE2E0000
rsaenh.dll                              0x7FF8AE3E0000
kernel.appcore.dll                      0x7FF8AE480000
ntmarta.dll                             0x7FF8AE4A0000
SSPICLI.DLL                             0x7FF8AE6E0000
MSWSOCK.dll                             0x7FF8AE8E0000
gpapi.dll                               0x7FF8AE950000
USERENV.dll                             0x7FF8AE980000
wldp.dll                                0x7FF8AEB60000
CRYPTBASE.DLL                           0x7FF8AEC10000
CRYPTSP.dll                             0x7FF8AEC30000
msasn1.dll                              0x7FF8AEC80000
NTASN1.dll                              0x7FF8AED10000
ncrypt.dll                              0x7FF8AED50000
devobj.dll                              0x7FF8AF080000
CFGMGR32.dll                            0x7FF8AF0B0000
DPAPI.DLL                               0x7FF8AF100000
profapi.dll                             0x7FF8AF2E0000
CRYPT32.dll                             0x7FF8AF3B0000
bcryptPrimitives.dll                    0x7FF8AF5E0000
ucrtbase.dll                            0x7FF8AF660000
KERNELBASE.dll                          0x7FF8AF780000
WINTRUST.DLL                            0x7FF8AFB30000
gdi32full.dll                           0x7FF8AFBA0000
bcrypt.dll                              0x7FF8AFCC0000
msvcp_win.dll                           0x7FF8AFCF0000
win32u.dll                              0x7FF8AFD90000
MSCTF.dll                               0x7FF8AFEB0000
COMDLG32.dll                            0x7FF8B0010000
clbcatq.dll                             0x7FF8B0170000
msvcrt.dll                              0x7FF8B0220000
ADVAPI32.dll                            0x7FF8B02D0000
ole32.dll                               0x7FF8B05C0000
PSAPI.DLL                               0x7FF8B0770000
NSI.dll                                 0x7FF8B0790000
shcore.dll                              0x7FF8B0860000
SHELL32.dll                             0x7FF8B0960000
WS2_32.dll                              0x7FF8B11C0000
KERNEL32.DLL                            0x7FF8B1240000
SHLWAPI.dll                             0x7FF8B1310000
IMM32.dll                               0x7FF8B1370000
SETUPAPI.dll                            0x7FF8B13B0000
OLEAUT32.dll                            0x7FF8B1830000
GDI32.dll                               0x7FF8B1910000
USER32.dll                              0x7FF8B1940000
RPCRT4.dll                              0x7FF8B1AF0000
sechost.dll                             0x7FF8B1C10000
combase.dll                             0x7FF8B1CC0000
ntdll.dll                               0x7FF8B2090000
d3d11on12.dll                           0x7FFF6CF90000
XAudio2_7.dll                           0x7FFF6D070000
nvofapi64.dll                           0x7FFF6D100000
ReGradeAddon.addon64                    0x7FFF6D1B0000
KiLoaderSatelliteENB.dllplugin          0x7FFF6D2A0000
d3dcompiler_46e.dll                     0x7FFF6D2F0000
nvngx_dlssg.dll                         0x7FFF6D6B0000
_nvngx.dll                              0x7FFF6E220000
vulkan-1.dll                            0x7FFF6E3C0000
sl.dlss_g.dll                           0x7FFF6EDA0000
sl.common.dll                           0x7FFF6EE30000
gameoverlayrenderer64.dll               0x7FFF6EEE0000
XDI.dll                                 0x7FFF6F080000
wsfw_identifier.dll                     0x7FFF6F0F0000
WhoseQuestIsItAnywayF4.dll              0x7FFF6F1F0000
WeightlessItems.dll                     0x7FFF6F250000
UnlimitedFastTravel.dll                 0x7FFF6F2A0000
SUP_F4SE.dll                            0x7FFF6F2F0000
ShadowBoostFO4.dll                      0x7FFF6F520000
SettlementOfUnlimitedSize.dll           0x7FFF6F5F0000
ScaleformCopyPaste.dll                  0x7FFF6F640000
RustyFaceFix.dll                        0x7FFF6F690000
RobCo_Patcher.dll                       0x7FFF6F6E0000
PRKF.dll                                0x7FFF6F7C0000
PrivateProfileRedirector.dll            0x7FFF6F850000
PowerGridTools.dll                      0x7FFF6F8B0000
po3_SpellPerkItemDistributorF4.dll      0x7FFF6F920000
po3_SimpleOffenceSuppressionF4.dll      0x7FFF6FA30000
po3_BaseObjectSwapperF4.dll             0x7FFF6FAC0000
place.dll                               0x7FFF6FBC0000
PipboyTabs.dll                          0x7FFF6FC40000
PapyrusScriptRunner.dll                 0x7FFF6FCA0000
Outfit-ReDress-Fix.dll                  0x7FFF6FD10000
MODExplorer.dll                         0x7FFF6FD60000
MGEFConditionFix.dll                    0x7FFF6FDE0000
MeleeAndThrow.dll                       0x7FFF6FE30000
mcm.dll                                 0x7FFF6FE80000
LighthousePapyrusExtender.dll           0x7FFF6FF20000
KiENBExtender.dll                       0x7FFF70050000
KiLoader.dll                            0x7FFF70120000
KiLoaderSatelliteF4SE.dll               0x7FFF701B0000
CONCRT140.dll                           0x7FFF70200000
Interior-NavCut-Fix.dll                 0x7FFF70250000
GLXRM_NoInteriorFog.dll                 0x7FFF702A0000
GardenOfEdenPapyrusExtender.dll         0x7FFF702F0000
nvngx_dlss.dll                          0x7FFF70590000
Fallout4Upscaler.dll                    0x7FFF736A0000
GCBugFix.dll                            0x7FFF77440000
sl.interposer.dll                       0x7FFF774A0000
PDPerfPlugin.dll                        0x7FFF77520000
Buffout4.dll                            0x7FFF77720000
BackportedBA2Support.dll                0x7FFF77A80000
steamclient64.dll                       0x7FFF78740000
D3DCOMPILER_43.dll                      0x7FFF79DC0000
F4z Ro D'oh.dll                         0x7FFF7B360000
dxgi.dll                                0x7FFF7B3D0000
f4ee.dll                                0x7FFF7C710000
EscapeFreeze.dll                        0x7FFF7C820000
WINHTTP.dll                             0x7FFF7C8E0000
DynamicMusicOverhaulRedux.dll           0x7FFF7CC00000
BakaPowerArmorStorage.dll               0x7FFF7CC60000
BakaFullscreenPipboy.dll                0x7FFF7CD50000
DirectHit.dll                           0x7FFF7CEB0000
BakaFramework.dll                       0x7FFF7CF10000
crafting_highlight_fix.dll              0x7FFF7D6B0000
ConsoleUtilF4.dll                       0x7FFF7D700000
f4se_steam_loader.dll                   0x7FFF80D50000
flexRelease_x64.dll                     0x7FFF80D90000
BakaMaxPapyrusOps.dll                   0x7FFF80EF0000
BakaAutoLockpicking.dll                 0x7FFF80FA0000
ArmorPenetrationBugFix.dll              0x7FFF81040000
f4se_1_10_163.dll                       0x7FFF81120000
xinput1_4.dll                           0x7FFF82D60000
d3dx11_43.dll                           0x7FFF82D80000
VoltekLib.RelocationDatabase.dll        0x7FFF82DD0000
VoltekLib.Detours.dll                   0x7FFF86310000
cudart64_75.dll                         0x7FFF865D0000
lut_manager.addon64                     0x7FFF88360000
usvfs_x64.dll                           0x7FFF9ED00000
generic_depth_mod.addon64               0x7FFF9EEA0000
GFSDK_GodraysLib.x64.dll                0x7FFF9EEC0000
GFSDK_SSAO_D3D11.win64.dll              0x7FFF9EF20000
MSVCR110.dll                            0x7FFF9EFB0000
sl.reflex.dll                           0x7FFFA9540000
flexExtRelease_x64.dll                  0x7FFFA96C0000
MSVCP110.dll                            0x7FFFA9720000
PlotUI.dll                              0x7FFFA97D0000
tier0_s64.dll                           0x7FFFA9810000
WeaponDebrisCrashFix.dll                0x7FFFBB9C0000
D3D12Core.dll                           0x7FFFFE420000
