XINPUT1_3.dll                      0x000000400000
X3DAudio1_7.dll                    0x0000702F0000
steam_api64.dll                    0x000070300000
d3d11.dll                          0x000180000000
imagehlp.dll                       0x029A13580000
BetterConsole.dll                  0x029A1ECA0000
RTSSHooks64.dll                    0x029A89AE0000
NSI.dll                            0x029ABAD60000
Fallout4.exe                       0x7FF62D6F0000
libxess.dll                        0x7FFD84580000
nvcuda64.dll                       0x7FFD89490000
_nvngx.dll                         0x7FFD8B150000
nvngx.dll                          0x7FFD8B2F0000
dxilconv.dll                       0x7FFD8B3D0000
D3D12Core.dll                      0x7FFD8B510000
d3dcompiler_46e.dll                0x7FFD8CA10000
XAudio2_7.dll                      0x7FFD8D080000
x-cell-fo4.dll                     0x7FFD8D110000
transfer_settlements.dll           0x7FFD8D200000
terminal+.dll                      0x7FFD8D4D0000
nvngx_dlss.dll                     0x7FFD8D620000
UneducatedShooter.dll              0x7FFD909E0000
SUP_F4SE.dll                       0x7FFD90A40000
SprintSpeedController.dll          0x7FFD90C70000
SimpleImpact.dll                   0x7FFD90CC0000
ShadowBoostFO4.dll                 0x7FFD90D30000
RobCo_Patcher.dll                  0x7FFD90E00000
PowerGridTools.dll                 0x7FFD90EE0000
po3_SpellPerkItemDistributorF4.dll 0x7FFD90F50000
po3_BaseObjectSwapperF4.dll        0x7FFD91090000
place.dll                          0x7FFD91190000
PipboyTabs.dll                     0x7FFD91210000
MGEFConditionFix.dll               0x7FFD91270000
mcm.dll                            0x7FFD912C0000
MagicSystemFixes.dll               0x7FFD91360000
LighthousePapyrusExtender.dll      0x7FFD913F0000
Interior-NavCut-Fix.dll            0x7FFD91520000
hudextension.dll                   0x7FFD91570000
HighFPSPhysicsFix.dll              0x7FFD915C0000
GLXRM_SprintJumpAPFix.dll          0x7FFD91650000
GLXRM_NoInteriorFog.dll            0x7FFD916A0000
GardenOfEdenPapyrusExtender.dll    0x7FFD916F0000
ffx_fsr2_api_dx11_x64.dll          0x7FFD919A0000
GLXRM_JumpingRequiresAP.dll        0x7FFD91E30000
GLXRM_FireRateShowsRPM.dll         0x7FFD91E80000
GCBugFix.dll                       0x7FFD91ED0000
ffx_backend_dx12_x64.dll           0x7FFD91F30000
FollowerStrayBulletFix.dll         0x7FFDA1440000
FloatingDamage.dll                 0x7FFDA14C0000
PDPerfPlugin.dll                   0x7FFDA1520000
Fallout4Upscaler.dll               0x7FFDA1720000
f4pm.dll                           0x7FFDA2730000
f4ee.dll                           0x7FFDA27A0000
EscapeFreeze.dll                   0x7FFDA28B0000
EnergyWeaponCalcFix.dll            0x7FFDA2970000
DSXFallout4.dll                    0x7FFDA29C0000
ClassicHolsteredWeapons.dll        0x7FFDA2A30000
Buffout4.dll                       0x7FFDA2AE0000
BackportedBA2Support.dll           0x7FFDA2E40000
IPHLPAPI.DLL                       0x7FFDA3B00000
D3DCOMPILER_43.dll                 0x7FFDA40C0000
dxgi.dll                           0x7FFDA47C0000
crafting_highlight_fix.dll         0x7FFDA5D60000
BulletCountedReload.dll            0x7FFDA9010000
BakaFullscreenPipboy.dll           0x7FFDA90A0000
usvfs_x64.dll                      0x7FFDAE180000
BakaMaxPapyrusOps.dll              0x7FFDAF1C0000
DSOUND.DLL                         0x7FFDB67C0000
deviceaccess.dll                   0x7FFDB6900000
nvspcap64.dll                      0x7FFDB7E90000
steamclient64.dll                  0x7FFDC3350000
BakaFramework.dll                  0x7FFDD31A0000
