XINPUT1_3.dll                     0x000000400000
X3DAudio1_7.dll                   0x000071F60000
steam_api64.dll                   0x000071F70000
RobCo_Patcher.dll                 0x01CDEDC80000
Fallout4.exe                      0x7FF7B72D0000
BLD_Helper.dll                    0x7FF9293E0000
Buffout4.dll                      0x7FF929740000
BackportedBA2Support.dll          0x7FF929AA0000
steamclient64.dll                 0x7FF92A760000
gameoverlayrenderer64.dll         0x7FF92E6E0000
GardenOfEdenPapyrusExtender.dll   0x7FF92EDE0000
ActorVelocityFramework.dll        0x7FF9322A0000
mcm.dll                           0x7FF932300000
wsfw_identifier.dll               0x7FF932A30000
f4se_1_10_163.dll                 0x7FF932C10000
tier0_s64.dll                     0x7FF932CF0000
PowerGridTools.dll                0x7FF9400C0000
f4pm.dll                          0x7FF9426D0000
place.dll                         0x7FF943940000
vstdlib_s64.dll                   0x7FF9439C0000
flexRelease_x64.dll               0x7FF943F20000
cudart64_75.dll                   0x7FF9450E0000
GFSDK_SSAO_D3D11.win64.dll        0x7FF945870000
GFSDK_GodraysLib.x64.dll          0x7FF945A80000
MSVCR110.dll                      0x7FF945AE0000
flexExtRelease_x64.dll            0x7FF945F80000
MSVCP110.dll                      0x7FF9600E0000
MSVCP140.dll                      0x7FF9611E0000
winmmbase.dll                     0x7FF9646B0000
bink2w64.dll                      0x7FF9684B0000
Secur32.dll                       0x7FF968540000
AchievementsModsEnabler.dll       0x7FF968780000
COMCTL32.dll                      0x7FF96CFD0000
InputHost.dll                     0x7FF96F4A0000
textinputframework.dll            0x7FF96F650000
Windows.UI.dll                    0x7FF96F820000
OneCoreCommonProxyStub.dll        0x7FF9702B0000
amdihk64.dll                      0x7FF971560000
atidxx64.dll                      0x7FF971590000
f4se_steam_loader.dll             0x7FF9739C0000
wbemprox.dll                      0x7FF973B00000
MpOav.dll                         0x7FF978220000
fastprox.dll                      0x7FF9783E0000
amsi.dll                          0x7FF978F40000
mskeyprotect.dll                  0x7FF979030000
wbemsvc.dll                       0x7FF979200000
ncryptsslp.dll                    0x7FF9792A0000
AchievementsModsEnablerLoader.dll 0x7FF97A150000
webio.dll                         0x7FF97AF30000
wbemcomn.dll                      0x7FF97AFD0000
DSOUND.DLL                        0x7FF97BD80000
rasadhlp.dll                      0x7FF97CFA0000
fwpuclnt.dll                      0x7FF97CFC0000
atiuxp64.dll                      0x7FF97E990000
WINMM.dll                         0x7FF97ED00000
VERSION.dll                       0x7FF97ED30000
aticfx64.dll                      0x7FF97EDE0000
dxcore.dll                        0x7FF97F3E0000
OneCoreUAPCommonProxyStub.dll     0x7FF97FBA0000
WindowManagementAPI.dll           0x7FF980980000
WINHTTP.dll                       0x7FF981320000
MMDevApi.dll                      0x7FF981690000
dhcpcsvc6.DLL                     0x7FF981760000
twinapi.appcore.dll               0x7FF981CB0000
AUDIOSES.DLL                      0x7FF981F50000
dbghelp.dll                       0x7FF982150000
dhcpcsvc.DLL                      0x7FF983710000
WINNSI.DLL                        0x7FF983780000
d3d11.dll                         0x7FF9845C0000
dcomp.dll                         0x7FF984830000
CoreUIComponents.dll              0x7FF984DA0000
CoreMessaging.dll                 0x7FF985170000
VCRUNTIME140.dll                  0x7FF9855B0000
avrt.dll                          0x7FF9855D0000
apphelp.dll                       0x7FF9855E0000
nvToolsExt64_1.dll                0x7FF985900000
XAudio2_7.dll                     0x7FF985960000
VCRUNTIME140_1.dll                0x7FF985A00000
PROPSYS.dll                       0x7FF986360000
wintypes.dll                      0x7FF986460000
uxtheme.dll                       0x7FF986F30000
resourcepolicyclient.dll          0x7FF9870B0000
dwmapi.dll                        0x7FF9872E0000
kernel.appcore.dll                0x7FF9874C0000
windows.storage.dll               0x7FF9876C0000
HID.DLL                           0x7FF987E60000
dxgi.dll                          0x7FF987EC0000
schannel.DLL                      0x7FF988580000
ntmarta.dll                       0x7FF988790000
UMPDC.dll                         0x7FF988A30000
IPHLPAPI.DLL                      0x7FF988A50000
DNSAPI.dll                        0x7FF988A90000
powrprof.dll                      0x7FF988BC0000
MSWSOCK.dll                       0x7FF988DC0000
CRYPTBASE.DLL                     0x7FF988FB0000
Wldp.dll                          0x7FF989060000
NTASN1.dll                        0x7FF989090000
ncrypt.dll                        0x7FF9890D0000
MSASN1.dll                        0x7FF9891F0000
DEVOBJ.dll                        0x7FF9893E0000
DPAPI.DLL                         0x7FF989420000
USERENV.dll                       0x7FF9894E0000
SSPICLI.DLL                       0x7FF989510000
profapi.dll                       0x7FF989570000
ucrtbase.dll                      0x7FF989640000
cfgmgr32.dll                      0x7FF989740000
win32u.dll                        0x7FF989790000
bcrypt.dll                        0x7FF9897C0000
CRYPT32.dll                       0x7FF9897F0000
KERNELBASE.dll                    0x7FF989950000
msvcp_win.dll                     0x7FF989C50000
bcryptPrimitives.dll              0x7FF989CF0000
WINTRUST.dll                      0x7FF989E30000
gdi32full.dll                     0x7FF989EA0000
SHCORE.dll                        0x7FF989FC0000
GDI32.dll                         0x7FF98A070000
COMDLG32.dll                      0x7FF98A0A0000
clbcatq.dll                       0x7FF98A1E0000
RPCRT4.dll                        0x7FF98A290000
ADVAPI32.dll                      0x7FF98A3C0000
SETUPAPI.dll                      0x7FF98A470000
combase.dll                       0x7FF98A8E0000
OLEAUT32.dll                      0x7FF98AC40000
USER32.dll                        0x7FF98AD10000
KERNEL32.DLL                      0x7FF98AEB0000
SHELL32.dll                       0x7FF98AFE0000
shlwapi.dll                       0x7FF98B7F0000
msvcrt.dll                        0x7FF98B850000
PSAPI.DLL                         0x7FF98B8F0000
MSCTF.dll                         0x7FF98B900000
IMM32.DLL                         0x7FF98BA20000
NSI.dll                           0x7FF98BA50000
sechost.dll                       0x7FF98BA60000
ole32.dll                         0x7FF98BB00000
imagehlp.dll                      0x7FF98BEC0000
WS2_32.dll                        0x7FF98BEE0000
ntdll.dll                         0x7FF98BF90000
