XINPUT1_3.dll                   0x000000400000
X3DAudio1_7.dll                 0x000070720000
RTSSHooks64.dll                 0x000180000000
clbcatq.dll                     0x0274949C0000
BakaScrapHeap.dll               0x027497C30000
Fallout4.exe                    0x7FF6B4EB0000
libxess.dll                     0x7FFB82230000
nvngx_dlss.dll                  0x7FFB868F0000
XAudio2_7.dll                   0x7FFBF5AC0000
_nvngx.dll                      0x7FFBF5B50000
d3dcompiler_47_64.dll           0x7FFBF5CF0000
NvCamera64.dll                  0x7FFBF6100000
wsfw_identifier.dll             0x7FFBF6970000
WeaponDebrisCrashFix.dll        0x7FFBF6A70000
ShadowBoostFO4.dll              0x7FFBF6AC0000
RobCo_Patcher.dll               0x7FFBF6B90000
PowerGridTools.dll              0x7FFBF6C70000
place.dll                       0x7FFBF6CE0000
PapyrusScriptRunner.dll         0x7FFBF6D60000
mcm.dll                         0x7FFBF6DD0000
BackportedBA2Support.dll        0x7FFBF6E70000
PDPerfPlugin.dll                0x7FFBF7B30000
spdlog.dll                      0x7FFBF7BA0000
Fallout4Upscaler.dll            0x7FFBF7C00000
Buffout4.dll                    0x7FFBF7D10000
f4se_1_10_163.dll               0x7FFBF8130000
cudart64_75.dll                 0x7FFBF8210000
GFSDK_GodraysLib.x64.dll        0x7FFBF8270000
dxgi.dll                        0x7FFBF82D0000
GFSDK_SSAO_D3D11.win64.dll      0x7FFBF87B0000
flexExtRelease_x64.dll          0x7FFBF8840000
flexRelease_x64.dll             0x7FFBF88A0000
MSVCR110.dll                    0x7FFBF89F0000
WINHTTP.dll                     0x7FFBF8AD0000
SprintStutteringFix.dll         0x7FFBF9150000
MagicSystemFixes.dll            0x7FFBF91A0000
LongLoadingTimesFix.dll         0x7FFBF9230000
HighFPSPhysicsFix.dll           0x7FFBF92C0000
GardenOfEdenPapyrusExtender.dll 0x7FFBF9350000
EscapeFreeze.dll                0x7FFBF95F0000
MSVCP110.dll                    0x7FFBFBD20000
bink2w64.dll                    0x7FFBFBDD0000
steam_api64.dll                 0x7FFBFCB70000
ReloadFix.dll                   0x7FFBFCC70000
Outfit-ReDress-Fix.dll          0x7FFBFD2D0000
x-cell-fo4.dll                  0x7FFBFD320000
RememberPickAngleUpdated.dll    0x7FFBFD400000
BakaMaxPapyrusOps.dll           0x7FFBFDC90000
Interior-NavCut-Fix.dll         0x7FFC00640000
libdiskCacheEnabler.dll         0x7FFC52150000
BetterPowerArmorRedux.dll       0x7FFC52170000
CompInvWeight.dll               0x7FFC52740000
usvfs_x64.dll                   0x7FFC52770000
fmt.dll                         0x7FFC52A80000
CONCRT140.dll                   0x7FFC53500000
f4se_steam_loader.dll           0x7FFC53670000
nvspcap64.dll                   0x7FFC55E30000
DINPUT8.dll                     0x7FFC59B60000
vulkan-1.dll                    0x7FFC6CC70000
nvdxgdmal64.dll                 0x7FFC6DEB0000
nvcuda64.dll                    0x7FFC6DF50000
msdmo.dll                       0x7FFC6ED70000
ResampleDmo.DLL                 0x7FFC6ED80000
DSOUND.DLL                      0x7FFC6EE40000
d3d12.dll                       0x7FFC81C40000
nvToolsExt64_1.dll              0x7FFCA5940000
XINPUT9_1_0.dll                 0x7FFCA5950000
MSVCP140_ATOMIC_WAIT.dll        0x7FFCA6010000
NvTelemetryBridge64.dll         0x7FFCA7080000
ncryptsslp.dll                  0x7FFCA7AE0000
MpOav.dll                       0x7FFCA8430000
amsi.dll                        0x7FFCA84C0000
nvppex.dll                      0x7FFCA8CC0000
xinput1_4.dll                   0x7FFCAA470000
ondemandconnroutehelper.dll     0x7FFCB1C10000
MessageBus.dll                  0x7FFCB6FD0000
MSVCP140.dll                    0x7FFCB79F0000
VCRUNTIME140.dll                0x7FFCB7B90000
VCRUNTIME140_1.dll              0x7FFCB7C10000
winmmbase.dll                   0x7FFCC8870000
WININET.dll                     0x7FFCC9030000
NvTelemetryAPI64.dll            0x7FFCCB790000
webio.dll                       0x7FFCCBAB0000
nvwgf2umx.dll                   0x7FFCCBB70000
inputhost.dll                   0x7FFCCFEB0000
nvgpucomp64.dll                 0x7FFCD1BC0000
OLEACC.dll                      0x7FFCD3DB0000
WINSPOOL.DRV                    0x7FFCD3E20000
MSIMG32.dll                     0x7FFCD46C0000
nvldumdx.dll                    0x7FFCD4A00000
textinputframework.dll          0x7FFCD4AD0000
wbemsvc.dll                     0x7FFCD5180000
fastprox.dll                    0x7FFCD5380000
AUDIOSES.DLL                    0x7FFCD5F30000
wbemcomn.dll                    0x7FFCD6B80000
iertutil.dll                    0x7FFCD6C60000
NvMessageBus.dll                0x7FFCD6F20000
urlmon.dll                      0x7FFCD76D0000
nvapi64.dll                     0x7FFCD8750000
srvcli.dll                      0x7FFCDA0A0000
CoreUIComponents.dll            0x7FFCDA160000
directxdatabasehelper.dll       0x7FFCDA8F0000
Windows.UI.dll                  0x7FFCDBE70000
rasadhlp.dll                    0x7FFCDC840000
wbemprox.dll                    0x7FFCDD1F0000
MMDevApi.dll                    0x7FFCDD410000
cryptnet.dll                    0x7FFCDDC70000
fwpuclnt.dll                    0x7FFCDDCB0000
VERSION.dll                     0x7FFCDDE90000
WINMM.dll                       0x7FFCDE1E0000
