XINPUT1_3.dll                          0x000000400000
X3DAudio1_7.dll                        0x000050510000
steam_api64.dll                        0x000050520000
Fallout4.exe                           0x7FF780930000
nvwgf2umx.dll                          0x7FFE032A0000
steamclient64.dll                      0x7FFE491B0000
nvcuda64.dll                           0x7FFE502F0000
BackportedBA2Support.dll               0x7FFE53DA0000
NvCamera64.dll                         0x7FFE57B20000
IPHLPAPI.DLL                           0x7FFE598E0000
nvgpucomp64.dll                        0x7FFE5F430000
d3dcompiler_47_64.dll                  0x7FFE65F30000
gameoverlayrenderer64.dll              0x7FFE66690000
Buffout4.dll                           0x7FFE66830000
SUP_F4SE.dll                           0x7FFE687A0000
GardenOfEdenPapyrusExtender.dll        0x7FFE721A0000
BLD_Helper.dll                         0x7FFE72450000
ApplicationTargetedFeatureDatabase.dll 0x7FFE72ED0000
XAudio2_7.dll                          0x7FFE733C0000
tier0_s64.dll                          0x7FFE77970000
wsfw_identifier.dll                    0x7FFE78CA0000
nvdxgdmal64.dll                        0x7FFE79610000
flexRelease_x64.dll                    0x7FFE7B7E0000
UneducatedShooter.dll                  0x7FFE7FC40000
RobCo_Patcher.dll                      0x7FFE7FF00000
msdmo.dll                              0x7FFE82080000
PowerGridTools.dll                     0x7FFE82280000
ResampleDmo.DLL                        0x7FFE828A0000
mcm.dll                                0x7FFE829C0000
DSOUND.DLL                             0x7FFE82AC0000
po3_SimpleOffenceSuppressionF4.dll     0x7FFE82BC0000
MagicSystemFixes.dll                   0x7FFE82C50000
place.dll                              0x7FFE83100000
DINPUT8.dll                            0x7FFE83230000
HUDPlusPlus.dll                        0x7FFE83280000
nvspcap64.dll                          0x7FFE83310000
f4ee.dll                               0x7FFE835F0000
nvppex.dll                             0x7FFE83890000
HighFPSPhysicsFix.dll                  0x7FFE8D020000
RustyFaceFix.dll                       0x7FFE8E0B0000
GCBugFix.dll                           0x7FFE8E7C0000
f4pm.dll                               0x7FFE8EC00000
f4se_1_10_163.dll                      0x7FFE8ECE0000
Outfit-ReDress-Fix.dll                 0x7FFE8F6F0000
BakaMaxPapyrusOps.dll                  0x7FFE92100000
EmptyBarterMenuEngineBugFix.dll        0x7FFE92AF0000
MGEFConditionFix.dll                   0x7FFE943E0000
MSVCR110.dll                           0x7FFE94F90000
vstdlib_s64.dll                        0x7FFE95660000
Interior-NavCut-Fix.dll                0x7FFE977F0000
GFSDK_SSAO_D3D11.win64.dll             0x7FFE98820000
GLXRM_ManualReload.dll                 0x7FFE99690000
DirectHit.dll                          0x7FFE99A10000
MSVCP110.dll                           0x7FFE99A70000
Deadeye.dll                            0x7FFE9A2D0000
EnergyWeaponCalcFix.dll                0x7FFE9A410000
CustomMessageBox.dll                   0x7FFE9A9F0000
crafting_highlight_fix.dll             0x7FFE9ADA0000
bink2w64.dll                           0x7FFE9ADF0000
nvldumdx.dll                           0x7FFE9B1F0000
ConsoleUtilF4.dll                      0x7FFE9C2A0000
CONCRT140.dll                          0x7FFE9C740000
BetterConsole.dll                      0x7FFE9EFD0000
Bastion.dll                            0x7FFE9F0F0000
cudart64_75.dll                        0x7FFE9F870000
PlotUI.dll                             0x7FFE9FE30000
gdiplus.dll                            0x7FFEA02E0000
GFSDK_GodraysLib.x64.dll               0x7FFEA07D0000
WINSPOOL.DRV                           0x7FFEA0E80000
textinputframework.dll                 0x7FFEA2810000
inputhost.dll                          0x7FFEA2960000
f4se_steam_loader.dll                  0x7FFEA4640000
MessageBus.dll                         0x7FFEA5FB0000
COMCTL32.dll                           0x7FFEA6F80000
AUDIOSES.DLL                           0x7FFEA8050000
winmmbase.dll                          0x7FFEA9F00000
WININET.dll                            0x7FFEAAA40000
MSVCP140.dll                           0x7FFEAB1F0000
usvfs_x64.dll                          0x7FFEAD570000
flexExtRelease_x64.dll                 0x7FFEAE0E0000
VCRUNTIME140_1.dll                     0x7FFEAF6A0000
VCRUNTIME140.dll                       0x7FFEAF6D0000
ncryptsslp.dll                         0x7FFEAF6F0000
Windows.UI.dll                         0x7FFEB0EC0000
libdiskCacheEnabler.dll                0x7FFEB2B50000
ActorVelocityFramework.dll             0x7FFEB2B70000
ArmorPenetrationBugFix.dll             0x7FFEB2F40000
CoreUIComponents.dll                   0x7FFEB6710000
webio.dll                              0x7FFEB6D80000
directxdatabasehelper.dll              0x7FFEB7020000
MpOav.dll                              0x7FFEB86C0000
amsi.dll                               0x7FFEB8750000
NvMessageBus.dll                       0x7FFEB8FD0000
nvapi64.dll                            0x7FFEB9330000
wbemsvc.dll                            0x7FFEB9C50000
fastprox.dll                           0x7FFEB9CF0000
MSVCP140_ATOMIC_WAIT.dll               0x7FFEBA670000
nvToolsExt64_1.dll                     0x7FFEBA690000
Oleacc.dll                             0x7FFEBA920000
wbemcomn.dll                           0x7FFEBBA60000
wbemprox.dll                           0x7FFEBBB10000
MMDevApi.dll                           0x7FFEBBD40000
DbgHelp.dll                            0x7FFEBC220000
VERSION.dll                            0x7FFEBCAF0000
drvstore.dll                           0x7FFEBCE60000
cryptnet.dll                           0x7FFEBD160000
XINPUT9_1_0.dll                        0x7FFEBD270000
fwpuclnt.dll                           0x7FFEBD410000
WINMM.dll                              0x7FFEBDD20000
avrt.dll                               0x7FFEBE0C0000
dhcpcsvc.DLL                           0x7FFEBE4F0000
rasadhlp.dll                           0x7FFEBE550000
dhcpcsvc6.DLL                          0x7FFEBE560000
WINHTTP.dll                            0x7FFEBE580000
MSIMG32.dll                            0x7FFEBE6C0000
twinapi.appcore.dll                    0x7FFEBEDC0000
d3d11.dll                              0x7FFEC0790000
dcomp.dll                              0x7FFEC0FE0000
CoreMessaging.dll                      0x7FFEC1660000
WindowsCodecs.dll                      0x7FFEC1A10000
UxTheme.dll                            0x7FFEC1C10000
dxgi.dll                               0x7FFEC1D80000
dwmapi.dll                             0x7FFEC1E90000
WINNSI.DLL                             0x7FFEC1EC0000
dxcore.dll                             0x7FFEC1F00000
resourcepolicyclient.dll               0x7FFEC21B0000
wintypes.dll                           0x7FFEC25A0000
windows.storage.dll                    0x7FFEC26E0000
HID.DLL                                0x7FFEC2FE0000
IpHlpAPI.dll                           0x7FFEC32F0000
DNSAPI.dll                             0x7FFEC3320000
UMPDC.dll                              0x7FFEC3600000
POWRPROF.dll                           0x7FFEC3620000
Secur32.dll                            0x7FFEC3690000
schannel.DLL                           0x7FFEC3710000
rsaenh.dll                             0x7FFEC3810000
kernel.appcore.dll                     0x7FFEC38B0000
ntmarta.dll                            0x7FFEC38D0000
SSPICLI.DLL                            0x7FFEC3B10000
MSWSOCK.dll                            0x7FFEC3D10000
gpapi.dll                              0x7FFEC3D80000
USERENV.dll                            0x7FFEC3DC0000
CRYPTBASE.DLL                          0x7FFEC3F20000
CRYPTSP.dll                            0x7FFEC3F60000
wldp.dll                               0x7FFEC4070000
NTASN1.dll                             0x7FFEC4120000
ncrypt.dll                             0x7FFEC4160000
msasn1.dll                             0x7FFEC4460000
CFGMGR32.dll                           0x7FFEC4480000
devobj.dll                             0x7FFEC44D0000
DPAPI.DLL                              0x7FFEC4520000
profapi.dll                            0x7FFEC4700000
gdi32full.dll                          0x7FFEC47D0000
msvcp_win.dll                          0x7FFEC48F0000
win32u.dll                             0x7FFEC4990000
KERNELBASE.dll                         0x7FFEC49C0000
bcrypt.dll                             0x7FFEC4D70000
bcryptPrimitives.dll                   0x7FFEC4DA0000
wintrust.dll                           0x7FFEC4EE0000
ucrtbase.dll                           0x7FFEC4F50000
CRYPT32.dll                            0x7FFEC5070000
shcore.dll                             0x7FFEC51E0000
MSCTF.dll                              0x7FFEC54A0000
NSI.dll                                0x7FFEC5600000
SETUPAPI.dll                           0x7FFEC5680000
RPCRT4.dll                             0x7FFEC5B00000
PSAPI.DLL                              0x7FFEC5C20000
SHELL32.dll                            0x7FFEC5C30000
USER32.dll                             0x7FFEC64A0000
clbcatq.dll                            0x7FFEC66B0000
COMDLG32.dll                           0x7FFEC6760000
ole32.dll                              0x7FFEC6860000
GDI32.dll                              0x7FFEC6A70000
WS2_32.dll                             0x7FFEC6AA0000
KERNEL32.DLL                           0x7FFEC6B20000
OLEAUT32.dll                           0x7FFEC6BF0000
sechost.dll                            0x7FFEC6E00000
SHLWAPI.dll                            0x7FFEC6EB0000
ADVAPI32.dll                           0x7FFEC6F10000
imagehlp.dll                           0x7FFEC6FD0000
msvcrt.dll                             0x7FFEC6FF0000
combase.dll                            0x7FFEC70A0000
IMM32.DLL                              0x7FFEC7430000
ntdll.dll                              0x7FFEC74B0000
