XINPUT1_3.dll                      0x000000400000
X3DAudio1_7.dll                    0x000071670000
steam_api64.dll                    0x000071680000
d3d11.dll                          0x000180000000
Fallout4.exe                       0x7FF733880000
DiscordHook64.dll                  0x7FFB3EE60000
d3dcompiler_46e.dll                0x7FFB40470000
PhysXDevice64.dll                  0x7FFB41410000
XAudio2_7.dll                      0x7FFB41790000
gameoverlayrenderer64.dll          0x7FFB41820000
XDI.dll                            0x7FFB419C0000
WeaponDebrisCrashFix.dll           0x7FFB41A30000
UnlimitedSurvivalMode.dll          0x7FFB41A80000
ToYourFaceFO4.dll                  0x7FFB41AD0000
SUP_F4SE.dll                       0x7FFB41B20000
SprintStutteringFix.dll            0x7FFB41D50000
SlickFingers.dll                   0x7FFB41DA0000
RobCo_Patcher.dll                  0x7FFB41DF0000
rename_anything.dll                0x7FFB41ED0000
RememberPickAngleUpdated.dll       0x7FFB41F20000
PapyrusCommonLibrary.dll           0x7FFB41FE0000
BackportedBA2Support.dll           0x7FFB422A0000
steamclient64.dll                  0x7FFB42F60000
WINHTTP.dll                        0x7FFB44700000
ReloadFix.dll                      0x7FFB4DF80000
po3_SimpleOffenceSuppressionF4.dll 0x7FFB4DFD0000
po3_BaseObjectSwapperF4.dll        0x7FFB4E060000
place.dll                          0x7FFB4E160000
mcm.dll                            0x7FFB4E1E0000
GardenOfEdenPapyrusExtender.dll    0x7FFB4E280000
MagicSystemFixes.dll               0x7FFB50D70000
Buffout4.dll                       0x7FFB50E00000
Outfit-ReDress-Fix.dll             0x7FFB51B60000
LighthousePapyrusExtender.dll      0x7FFB56440000
Interior-NavCut-Fix.dll            0x7FFB56570000
HighFPSPhysicsFix.dll              0x7FFB565C0000
GLXRM_FriendlyFire.dll             0x7FFB736E0000
FollowerStrayBulletFix.dll         0x7FFB73730000
FakeThroughScope.dll               0x7FFB737B0000
FavoritesMenuEx.dll                0x7FFB73C50000
EmptyBarterMenuEngineBugFix.dll    0x7FFB73CE0000
BakaPowerArmorStorage.dll          0x7FFB73D60000
usvfs_x64.dll                      0x7FFB73E50000
DisableCompanionCollision.dll      0x7FFB74020000
D3DCOMPILER_43.dll                 0x7FFB74080000
crafting_highlight_fix.dll         0x7FFB7AF10000
ClassicHolsteredWeapons.dll        0x7FFB7F740000
ConsoleUtilF4.dll                  0x7FFB855C0000
ConsoleAutocomplete.dll            0x7FFB85990000
CCExtenderF4.dll                   0x7FFB89970000
nvspcap64.dll                      0x7FFBBECC0000
BakaFramework.dll                  0x7FFBD42B0000
tier0_s64.dll                      0x7FFBD4530000
flexRelease_x64.dll                0x7FFBD46D0000
BulletCountedReload.dll            0x7FFBE77B0000
nvppex.dll                         0x7FFBE9FA0000
f4se_1_10_163.dll                  0x7FFBEF450000
AUDIOSES.DLL                       0x7FFBF13E0000
vstdlib_s64.dll                    0x7FFBF2670000
BlockingOverhaul.dll               0x7FFBF39C0000
BetterConsole.dll                  0x7FFBF3FC0000
WINSPOOL.DRV                       0x7FFBF4460000
xinput1_4.dll                      0x7FFC01840000
ArmorPenetrationBugFix.dll         0x7FFC01F60000
d3dx11_43.dll                      0x7FFC04040000
cudart64_75.dll                    0x7FFC04090000
GFSDK_SSAO_D3D11.win64.dll         0x7FFC049C0000
MSVCR110.dll                       0x7FFC04A50000
nvcuda64.dll                       0x7FFC04B30000
nvcuda.dll                         0x7FFC05840000
nvwgf2umx.dll                      0x7FFC05CD0000
nvgpucomp64.dll                    0x7FFC0A300000
nvldumdx.dll                       0x7FFC0C330000
dxcore.dll                         0x7FFC0C400000
gdiplus.dll                        0x7FFC0CFD0000
GFSDK_GodraysLib.x64.dll           0x7FFC0DD30000
MSVCP110.dll                       0x7FFC0DF50000
avrt.dll                           0x7FFC0E500000
inputhost.dll                      0x7FFC0E510000
textinputframework.dll             0x7FFC0E670000
WindowManagementAPI.dll            0x7FFC0E770000
Windows.UI.dll                     0x7FFC0E820000
deviceaccess.dll                   0x7FFC0EE00000
COMCTL32.dll                       0x7FFC11AF0000
CONCRT140.dll                      0x7FFC16300000
winmmbase.dll                      0x7FFC16350000
MSVCP140.dll                       0x7FFC16400000
WININET.dll                        0x7FFC16CE0000
