XINPUT1_3.dll                 0x000000400000
steam_api64.dll               0x0000520C0000
X3DAudio1_7.dll               0x000052100000
d3d11.dll                     0x000180000000
bcryptPrimitives.dll          0x01149DAE0000
Fallout4.exe                  0x7FF781B20000
steamclient64.dll             0x7FFC4BEB0000
MessageBus.dll                0x7FFC86170000
d3dcompiler_47_64.dll         0x7FFC87FC0000
NvCamera64.dll                0x7FFC883D0000
d3dcompiler_46e.dll           0x7FFC8A9A0000
D3DCOMPILER_43.dll            0x7FFC8DB80000
DINPUT8.dll                   0x7FFCA0920000
nvwgf2umx.dll                 0x7FFCA1D60000
nvspcap64.dll                 0x7FFCB07A0000
nvgpucomp64.dll               0x7FFCB0AA0000
nvldumdx.dll                  0x7FFCB6CF0000
WINHTTP.dll                   0x7FFCC2420000
flexRelease_x64.dll           0x7FFCCF4F0000
Buffout4.dll                  0x7FFCCF8E0000
XAudio2_7.dll                 0x7FFCD0C30000
gameoverlayrenderer64.dll     0x7FFCD0CC0000
GFSDK_GodraysLib.x64.dll      0x7FFCD36A0000
cudart64_75.dll               0x7FFCD3700000
d3dx11_43.dll                 0x7FFCD4230000
GFSDK_SSAO_D3D11.win64.dll    0x7FFCD4280000
flexExtRelease_x64.dll        0x7FFCD4640000
MSVCR110.dll                  0x7FFCD46A0000
f4se_1_10_163.dll             0x7FFCD6290000
nvppex.dll                    0x7FFCD7090000
MSVCP110.dll                  0x7FFCD7230000
CONCRT140.dll                 0x7FFCD7AC0000
tier0_s64.dll                 0x7FFCD7B10000
bink2w64.dll                  0x7FFCD8A40000
vstdlib_s64.dll               0x7FFCD8B60000
f4se_steam_loader.dll         0x7FFCD9960000
vmm-x64.dll                   0x7FFCD9A50000
AudioDevProps2.dll            0x7FFD00150000
ProductInfo.dll               0x7FFD03230000
usvfs_x64.dll                 0x7FFD03DC0000
ASM.Plugin.AudioDevProps2.dll 0x7FFD04E50000
nvdxgdmal64.dll               0x7FFD08710000
nvcuda64.dll                  0x7FFD08980000
nvToolsExt64_1.dll            0x7FFD0ADB0000
MSVCP140.dll                  0x7FFD0B0A0000
VCRUNTIME140.dll              0x7FFD0B2B0000
XINPUT9_1_0.dll               0x7FFD19A60000
textinputframework.dll        0x7FFD21540000
MSVCP140_ATOMIC_WAIT.dll      0x7FFD244E0000
inputhost.dll                 0x7FFD24E50000
AudioSes.dll                  0x7FFD26AE0000
Windows.UI.dll                0x7FFD27680000
gdiplus.dll                   0x7FFD2C280000
MSIMG32.dll                   0x7FFD2C440000
VCRUNTIME140_1.dll            0x7FFD2D320000
NvMessageBus.dll              0x7FFD2DE10000
MMDevApi.dll                  0x7FFD2E660000
nvapi64.dll                   0x7FFD2F160000
atidxx64.dll                  0x7FFD30920000
aticfx64.dll                  0x7FFD33150000
