XINPUT1_3.dll                   0x000000400000
X3DAudio1_7.dll                 0x000053670000
steam_api64.dll                 0x000053680000
tbb.dll                         0x000180000000
tbbmalloc.dll                   0x02D3B7B30000
Fallout4.exe                    0x7FF6C3D10000
BackportedBA2Support.dll        0x7FF8850B0000
NvCamera64.dll                  0x7FF88BBB0000
nvspcap64.dll                   0x7FF890200000
nvwgf2umx.dll                   0x7FF8904D0000
steamclient64.dll               0x7FF894840000
d3dcompiler_47_64.dll           0x7FF8990F0000
usvfs_x64.dll                   0x7FF89B270000
nvcuda64.dll                    0x7FF89D3E0000
IPHLPAPI.DLL                    0x7FF8A1130000
nvgpucomp64.dll                 0x7FF8A28D0000
nvldumdx.dll                    0x7FF8A48C0000
gameoverlayrenderer64.dll       0x7FF8A7F60000
XAudio2_7.dll                   0x7FF8ABC90000
nvdxgdmal64.dll                 0x7FF8ABD20000
GardenOfEdenPapyrusExtender.dll 0x7FF8AC020000
DSOUND.DLL                      0x7FF8B0480000
wsfw_identifier.dll             0x7FF8B2200000
XDI.dll                         0x7FF8B2970000
DINPUT8.dll                     0x7FF8B8EB0000
UneducatedShooter.dll           0x7FF8B8F00000
TIM.dll                         0x7FF8BEC90000
RobCo_Patcher.dll               0x7FF8BECF0000
NVIDIA_Reflex.dll               0x7FF8BEDD0000
PowerGridTools.dll              0x7FF8BF050000
mcm.dll                         0x7FF8CBB40000
LighthousePapyrusExtender.dll   0x7FF8CD340000
Buffout4.dll                    0x7FF8CD470000
BakaFramework.dll               0x7FF8CD7D0000
HUDPlusPlus.dll                 0x7FF8CD910000
PipboyTabs.dll                  0x7FF8CDB80000
HighFPSPhysicsFix.dll           0x7FF8CDC50000
tier0_s64.dll                   0x7FF8CDCE0000
EscapeFreeze.dll                0x7FF8CE250000
flexRelease_x64.dll             0x7FF8CE310000
WeaponDebrisCrashFix.dll        0x7FF8CF750000
ClassicHolsteredWeapons.dll     0x7FF8CF800000
BulletCountedReload.dll         0x7FF8E09D0000
f4se_1_10_163.dll               0x7FF8E0AA0000
CustomMessageBox.dll            0x7FF8E0BC0000
WINHTTP.dll                     0x7FF8E0CA0000
GLXRM_FriendlyFire.dll          0x7FF8E1950000
vstdlib_s64.dll                 0x7FF8E19A0000
ActorVelocityFramework.dll      0x7FF8E4880000
ConsoleUtilF4.dll               0x7FF8E5710000
cudart64_75.dll                 0x7FF8E5760000
MSVCR110.dll                    0x7FF8E5A50000
MSVCP110.dll                    0x7FF8F0600000
f4se_steam_loader.dll           0x7FF8F0AC0000
MSVCP140.dll                    0x7FF8F0DF0000
nvppex.dll                      0x7FF8F1A40000
GFSDK_SSAO_D3D11.win64.dll      0x7FF8F1BE0000
bink2w64.dll                    0x7FF8F3260000
AudioDevProps2.dll              0x7FF8F33E0000
NahimicOSD.dll                  0x7FF8F3830000
ProductInfo.dll                 0x7FF8F3FA0000
GFSDK_GodraysLib.x64.dll        0x7FF9108C0000
AmmoRemover.dll                 0x7FF91F190000
flexExtRelease_x64.dll          0x7FF91FDF0000
COMCTL32.dll                    0x7FF922C00000
WINSPOOL.DRV                    0x7FF9255A0000
ncryptsslp.dll                  0x7FF92DC80000
MessageBus.dll                  0x7FF92E300000
mskeyprotect.dll                0x7FF930990000
Secur32.dll                     0x7FF932560000
inputhost.dll                   0x7FF9347F0000
textinputframework.dll          0x7FF934950000
Windows.UI.dll                  0x7FF935190000
webio.dll                       0x7FF935ED0000
MpOav.dll                       0x7FF9372A0000
igc64.dll                       0x7FF937600000
igdgmm64.dll                    0x7FF93ADE0000
igd10um64gen11.DLL              0x7FF93B210000
igd10iumd64.dll                 0x7FF93B9D0000
VCRUNTIME140.dll                0x7FF93C7C0000
amsi.dll                        0x7FF93CA60000
wbemsvc.dll                     0x7FF93E990000
fastprox.dll                    0x7FF93EA10000
NvMessageBus.dll                0x7FF93ED10000
wbemcomn.dll                    0x7FF93F0C0000
WindowManagementAPI.dll         0x7FF93F3B0000
winmmbase.dll                   0x7FF93F890000
MSIMG32.dll                     0x7FF93F8E0000
wbemprox.dll                    0x7FF93F950000
fwpuclnt.dll                    0x7FF940250000
nvapi64.dll                     0x7FF940970000
WINMM.dll                       0x7FF9417C0000
XINPUT9_1_0.dll                 0x7FF943330000
VCRUNTIME140_1.dll              0x7FF943AD0000
nvToolsExt64_1.dll              0x7FF943E50000
drvstore.dll                    0x7FF944C60000
cryptnet.dll                    0x7FF945070000
rasadhlp.dll                    0x7FF9450B0000
VERSION.dll                     0x7FF9450C0000
WINHTTP.DLL                     0x7FF9452B0000
dhcpcsvc6.DLL                   0x7FF946380000
dxcore.dll                      0x7FF9466A0000
dhcpcsvc.DLL                    0x7FF946CA0000
MMDevApi.dll                    0x7FF946CC0000
AudioSes.dll                    0x7FF946D50000
avrt.dll                        0x7FF946F10000
WINNSI.DLL                      0x7FF946F20000
CoreUIComponents.dll            0x7FF947560000
apphelp.dll                     0x7FF947CC0000
d3dcompiler_47.dll              0x7FF948820000
d3d11.dll                       0x7FF948C80000
CoreMessaging.dll               0x7FF948F80000
dcomp.dll                       0x7FF949220000
twinapi.appcore.dll             0x7FF949C70000
wintypes.dll                    0x7FF949E80000
WindowsCodecs.dll               0x7FF94ACE0000
UxTheme.dll                     0x7FF94AF80000
resourcepolicyclient.dll        0x7FF94B0F0000
dwmapi.dll                      0x7FF94B360000
windows.storage.dll             0x7FF94B720000
DbgHelp.dll                     0x7FF94BFF0000
PROPSYS.dll                     0x7FF94C1E0000
HID.DLL                         0x7FF94C350000
gpapi.dll                       0x7FF94C360000
kernel.appcore.dll              0x7FF94C390000
dxgi.dll                        0x7FF94C3D0000
schannel.DLL                    0x7FF94CA90000
