XINPUT1_3.dll                     0x000000400000
X3DAudio1_7.dll                   0x000073C70000
steam_api64.dll                   0x000073C80000
ActorVelocityFramework.dll        0x01BD32D80000
Fallout4.exe                      0x7FF696170000
BackportedBA2Support.dll          0x7FFBCF6D0000
steamclient64.dll                 0x7FFBD0390000
DSOUND.DLL                        0x7FFBD2010000
gameoverlayrenderer64.dll         0x7FFBD20B0000
Buffout4.dll                      0x7FFBD2250000
BLD_Helper.dll                    0x7FFBD25B0000
GardenOfEdenPapyrusExtender.dll   0x7FFBDF010000
ToggleEquip.dll                   0x7FFBDF780000
CCD.dll                           0x7FFBDFA50000
PipboyTabs.dll                    0x7FFBDFB10000
crafting_highlight_fix.dll        0x7FFBDFB70000
MSVCP140.dll                      0x7FFBE0890000
SprintSpeedController.dll         0x7FFBE5640000
place.dll                         0x7FFBE5690000
RobCo_Patcher.dll                 0x7FFBE5710000
SettlementOfUnlimitedSize.dll     0x7FFBE5BF0000
tier0_s64.dll                     0x7FFBE5C40000
mcm.dll                           0x7FFBE6280000
f4pm.dll                          0x7FFBE6400000
AchievementsModsEnabler.dll       0x7FFBFDDB0000
f4se_1_10_163.dll                 0x7FFBFF550000
vstdlib_s64.dll                   0x7FFBFF630000
GFSDK_SSAO_D3D11.win64.dll        0x7FFBFF6F0000
MSVCR110.dll                      0x7FFBFF780000
flexRelease_x64.dll               0x7FFBFF860000
MSVCP110.dll                      0x7FFBFF9B0000
bink2w64.dll                      0x7FFBFFA60000
XAudio2_7.dll                     0x7FFBFFAF0000
cudart64_75.dll                   0x7FFC00690000
GFSDK_GodraysLib.x64.dll          0x7FFC00AC0000
winmmbase.dll                     0x7FFC19C70000
VCRUNTIME140_1.dll                0x7FFC1AE80000
flexExtRelease_x64.dll            0x7FFC1B090000
AchievementsModsEnablerLoader.dll 0x7FFC1DDC0000
Secur32.dll                       0x7FFC20920000
COMCTL32.dll                      0x7FFC235E0000
VCRUNTIME140.dll                  0x7FFC25030000
InputHost.dll                     0x7FFC25110000
Windows.UI.dll                    0x7FFC25270000
OneCoreCommonProxyStub.dll        0x7FFC27B50000
mskeyprotect.dll                  0x7FFC28220000
ncryptsslp.dll                    0x7FFC29860000
textinputframework.dll            0x7FFC2A080000
webio.dll                         0x7FFC2BA70000
f4se_steam_loader.dll             0x7FFC2C290000
rasadhlp.dll                      0x7FFC2ED20000
fwpuclnt.dll                      0x7FFC2ED40000
amdihk64.dll                      0x7FFC2F410000
MpOav.dll                         0x7FFC2F520000
amsi.dll                          0x7FFC2F5B0000
atidxx64.dll                      0x7FFC2F620000
atiuxp64.dll                      0x7FFC31580000
WINMM.dll                         0x7FFC315C0000
aticfx64.dll                      0x7FFC31640000
wbemsvc.dll                       0x7FFC319B0000
fastprox.dll                      0x7FFC319D0000
dxcore.dll                        0x7FFC31B60000
OneCoreUAPCommonProxyStub.dll     0x7FFC32710000
wbemcomn.dll                      0x7FFC32F30000
wbemprox.dll                      0x7FFC33060000
WindowManagementAPI.dll           0x7FFC33690000
WINHTTP.dll                       0x7FFC33C70000
dhcpcsvc6.DLL                     0x7FFC34800000
VERSION.dll                       0x7FFC34820000
AUDIOSES.DLL                      0x7FFC34F20000
dhcpcsvc.DLL                      0x7FFC35100000
MMDevApi.dll                      0x7FFC35120000
twinapi.appcore.dll               0x7FFC35320000
WINNSI.DLL                        0x7FFC35530000
dbghelp.dll                       0x7FFC35B00000
d3d11.dll                         0x7FFC36810000
dcomp.dll                         0x7FFC371B0000
CoreUIComponents.dll              0x7FFC37DC0000
CoreMessaging.dll                 0x7FFC38270000
nvToolsExt64_1.dll                0x7FFC38650000
apphelp.dll                       0x7FFC38AF0000
avrt.dll                          0x7FFC38B90000
PROPSYS.dll                       0x7FFC39680000
wintypes.dll                      0x7FFC39830000
uxtheme.dll                       0x7FFC3A170000
resourcepolicyclient.dll          0x7FFC3A240000
dwmapi.dll                        0x7FFC3A390000
kernel.appcore.dll                0x7FFC3A660000
windows.storage.dll               0x7FFC3A860000
HID.DLL                           0x7FFC3B010000
dxgi.dll                          0x7FFC3B190000
schannel.DLL                      0x7FFC3B730000
ntmarta.dll                       0x7FFC3BA70000
UMPDC.dll                         0x7FFC3BBE0000
IPHLPAPI.DLL                      0x7FFC3BC00000
DNSAPI.dll                        0x7FFC3BC40000
powrprof.dll                      0x7FFC3BD70000
MSWSOCK.dll                       0x7FFC3BF70000
CRYPTBASE.DLL                     0x7FFC3C160000
Wldp.dll                          0x7FFC3C210000
NTASN1.dll                        0x7FFC3C240000
ncrypt.dll                        0x7FFC3C280000
MSASN1.dll                        0x7FFC3C3A0000
DEVOBJ.dll                        0x7FFC3C570000
DPAPI.DLL                         0x7FFC3C5D0000
SSPICLI.DLL                       0x7FFC3C690000
USERENV.dll                       0x7FFC3C6D0000
profapi.dll                       0x7FFC3C710000
bcryptPrimitives.dll              0x7FFC3C7E0000
CRYPT32.dll                       0x7FFC3C870000
bcrypt.dll                        0x7FFC3C9D0000
ucrtbase.dll                      0x7FFC3CA00000
cfgmgr32.dll                      0x7FFC3CB00000
gdi32full.dll                     0x7FFC3CB50000
WINTRUST.dll                      0x7FFC3CC70000
win32u.dll                        0x7FFC3CD90000
msvcp_win.dll                     0x7FFC3CDC0000
KERNELBASE.dll                    0x7FFC3CE60000
SHCORE.dll                        0x7FFC3D310000
PSAPI.DLL                         0x7FFC3D3C0000
SETUPAPI.dll                      0x7FFC3D3D0000
MSCTF.dll                         0x7FFC3D8A0000
OLEAUT32.dll                      0x7FFC3D9C0000
NSI.dll                           0x7FFC3DA90000
ADVAPI32.dll                      0x7FFC3DAA0000
KERNEL32.DLL                      0x7FFC3DC10000
ole32.dll                         0x7FFC3DCE0000
USER32.dll                        0x7FFC3DE10000
WS2_32.dll                        0x7FFC3E030000
shlwapi.dll                       0x7FFC3E0A0000
RPCRT4.dll                        0x7FFC3E100000
msvcrt.dll                        0x7FFC3E230000
COMDLG32.dll                      0x7FFC3E2D0000
sechost.dll                       0x7FFC3E3B0000
GDI32.dll                         0x7FFC3E450000
combase.dll                       0x7FFC3E480000
IMM32.DLL                         0x7FFC3E7E0000
imagehlp.dll                      0x7FFC3E810000
clbcatq.dll                       0x7FFC3E830000
SHELL32.dll                       0x7FFC3E8E0000
ntdll.dll                         0x7FFC3F130000
