XINPUT1_3.dll               0x000000400000
steam_api64.dll             0x000056130000
X3DAudio1_7.dll             0x000056170000
d3d11.dll                   0x000180000000
gameoverlayrenderer64.dll   0x027FC94E0000
NSI.dll                     0x027FF1A80000
Fallout4.exe                0x7FF7B69D0000
d3dcompiler_47_64.dll       0x7FFD07E10000
NvCamera64.dll              0x7FFD08220000
steamclient64.dll           0x7FFD08A90000
d3dcompiler_46e.dll         0x7FFD0A970000
Buffout4.dll                0x7FFD0B620000
f4se_1_10_163.dll           0x7FFD0E610000
tier0_s64.dll               0x7FFD0E6F0000
dxgi.dll                    0x7FFD0E890000
D3DCOMPILER_43.dll          0x7FFD0ECC0000
vstdlib_s64.dll             0x7FFD1E6B0000
XAudio2_7.dll               0x7FFD32B60000
cudart64_75.dll             0x7FFD342B0000
IPHLPAPI.DLL                0x7FFD34310000
GFSDK_SSAO_D3D11.win64.dll  0x7FFD36070000
GFSDK_GodraysLib.x64.dll    0x7FFD3DE30000
nvspcap64.dll               0x7FFD4D9A0000
MessageBus.dll              0x7FFD50360000
DINPUT8.dll                 0x7FFD53C70000
MSVCR110.dll                0x7FFD54ED0000
flexRelease_x64.dll         0x7FFD54FB0000
MSVCP110.dll                0x7FFD55100000
nvppex.dll                  0x7FFD62780000
bink2w64.dll                0x7FFD629B0000
MSVCP140.dll                0x7FFD791D0000
f4se_steam_loader.dll       0x7FFD80910000
XInput1_4.dll               0x7FFD81F60000
ncryptsslp.dll              0x7FFD82700000
flexExtRelease_x64.dll      0x7FFD82FB0000
AUDIOSES.DLL                0x7FFD888A0000
d3dx11_43.dll               0x7FFD8A970000
inputhost.dll               0x7FFD8DF40000
textinputframework.dll      0x7FFD8E160000
nvwgf2umx.dll               0x7FFD8FBA0000
WINSPOOL.DRV                0x7FFD93D30000
COMCTL32.dll                0x7FFD93DE0000
ondemandconnroutehelper.dll 0x7FFD94B10000
Windows.UI.dll              0x7FFD94CD0000
WININET.dll                 0x7FFD95740000
iertutil.dll                0x7FFD95C40000
urlmon.dll                  0x7FFD95F00000
srvcli.dll                  0x7FFD97460000
VCRUNTIME140.dll            0x7FFD98030000
nvgpucomp64.dll             0x7FFD98A90000
NvMessageBus.dll            0x7FFD9AA80000
nvldumdx.dll                0x7FFD9ADE0000
nvapi64.dll                 0x7FFD9B160000
MSIMG32.dll                 0x7FFD9CE10000
XINPUT9_1_0.dll             0x7FFD9CE20000
MMDevApi.dll                0x7FFD9CE80000
WINMM.dll                   0x7FFD9D6B0000
CoreUIComponents.dll        0x7FFD9F590000
avrt.dll                    0x7FFD9FDE0000
directxdatabasehelper.dll   0x7FFD9FEA0000
DbgHelp.dll                 0x7FFDA0630000
drvstore.dll                0x7FFDA1320000
rasadhlp.dll                0x7FFDA1550000
cryptnet.dll                0x7FFDA1560000
VERSION.dll                 0x7FFDA1630000
d3dcompiler_47.dll          0x7FFDA1B30000
d3d11.dll                   0x7FFDA28E0000
dcomp.dll                   0x7FFDA2B40000
CoreMessaging.dll           0x7FFDA31E0000
VCRUNTIME140_1.dll          0x7FFDA34E0000
fwpuclnt.dll                0x7FFDA39B0000
WINHTTP.dll                 0x7FFDA3CF0000
dhcpcsvc.DLL                0x7FFDA3E90000
dhcpcsvc6.DLL               0x7FFDA3EB0000
nvToolsExt64_1.dll          0x7FFDA4480000
WindowsCodecs.dll           0x7FFDA44C0000
UxTheme.dll                 0x7FFDA4740000
WINNSI.DLL                  0x7FFDA4800000
dxcore.dll                  0x7FFDA4880000
dxgi.dll                    0x7FFDA48E0000
dwmapi.dll                  0x7FFDA49F0000
resourcepolicyclient.dll    0x7FFDA4D40000
wintypes.dll                0x7FFDA5060000
windows.storage.dll         0x7FFDA51A0000
HID.DLL                     0x7FFDA5AA0000
netutils.dll                0x7FFDA5CF0000
IpHlpAPI.dll                0x7FFDA5D00000
DNSAPI.dll                  0x7FFDA5D30000
Secur32.dll                 0x7FFDA6060000
schannel.DLL                0x7FFDA60E0000
rsaenh.dll                  0x7FFDA61E0000
kernel.appcore.dll          0x7FFDA6280000
ntmarta.dll                 0x7FFDA6390000
SSPICLI.DLL                 0x7FFDA64E0000
MSWSOCK.dll                 0x7FFDA66E0000
gpapi.dll                   0x7FFDA6750000
wldp.dll                    0x7FFDA6960000
CRYPTBASE.DLL               0x7FFDA6A10000
CRYPTSP.dll                 0x7FFDA6AA0000
msasn1.dll                  0x7FFDA6B00000
UMPDC.dll                   0x7FFDA6B20000
powrprof.dll                0x7FFDA6B80000
NTASN1.dll                  0x7FFDA6BF0000
ncrypt.dll                  0x7FFDA6C30000
devobj.dll                  0x7FFDA6F30000
CFGMGR32.dll                0x7FFDA6F80000
DPAPI.DLL                   0x7FFDA6FD0000
profapi.dll                 0x7FFDA71A0000
CRYPT32.dll                 0x7FFDA7270000
ucrtbase.dll                0x7FFDA74A0000
KERNELBASE.dll              0x7FFDA75C0000
bcrypt.dll                  0x7FFDA7970000
gdi32full.dll               0x7FFDA79A0000
msvcp_win.dll               0x7FFDA7AC0000
win32u.dll                  0x7FFDA7B60000
bcryptPrimitives.dll        0x7FFDA7B90000
wintrust.dll                0x7FFDA7C10000
SETUPAPI.dll                0x7FFDA7C80000
USER32.dll                  0x7FFDA8190000
GDI32.dll                   0x7FFDA8340000
SHLWAPI.dll                 0x7FFDA8380000
msvcrt.dll                  0x7FFDA85F0000
OLEAUT32.dll                0x7FFDA86A0000
COMDLG32.dll                0x7FFDA8790000
WS2_32.dll                  0x7FFDA8890000
KERNEL32.DLL                0x7FFDA8910000
ole32.dll                   0x7FFDA89E0000
sechost.dll                 0x7FFDA8B90000
SHELL32.dll                 0x7FFDA8C40000
ADVAPI32.dll                0x7FFDA94B0000
combase.dll                 0x7FFDA9570000
MSCTF.dll                   0x7FFDA9900000
IMM32.dll                   0x7FFDA9A60000
clbcatq.dll                 0x7FFDA9B30000
shcore.dll                  0x7FFDA9BE0000
