XINPUT1_3.dll                      0x000000400000
Upscale.dll                        0x000000D70000
d3d11.dll                          0x000010000000
X3DAudio1_7.dll                    0x000064DE0000
steam_api64.dll                    0x000064DF0000
tbb.dll                            0x000180000000
LL_fourPlay_1_10_163.dll           0x02A900810000
clbcatq.dll                        0x02A97BE00000
sfc.dll                            0x02A97DD80000
tbbmalloc.dll                      0x02A97FC80000
Fallout4.exe                       0x7FF625C20000
ShadowBoostFO4.dll                 0x7FF801F20000
po3_SpellPerkItemDistributorF4.dll 0x7FF803420000
HHS.dll                            0x7FF803530000
DSOUND.DLL                         0x7FF8063F0000
f4ee.dll                           0x7FF806490000
BakaFramework.dll                  0x7FF8069F0000
WINHTTP.dll                        0x7FF806AE0000
XAudio2_7.dll                      0x7FF806EC0000
mcm.dll                            0x7FF806FB0000
f4se_1_10_163.dll                  0x7FF8072F0000
HighFPSPhysicsFix.dll              0x7FF807470000
PowerGridTools.dll                 0x7FF808420000
MPR.dll                            0x7FF8088A0000
sfc_os.DLL                         0x7FF808B10000
WINSPOOL.DRV                       0x7FF808B30000
vstdlib_s64.dll                    0x7FF808F30000
mskeyprotect.dll                   0x7FF80AE10000
ncryptsslp.dll                     0x7FF80AE60000
F4z Ro D'oh.dll                    0x7FF80AF30000
tier0_s64.dll                      0x7FF80AFA0000
MpOav.dll                          0x7FF80B2D0000
amsi.dll                           0x7FF80B350000
VCRUNTIME140.dll                   0x7FF80C780000
VCRUNTIME140_1.dll                 0x7FF80C7A0000
MSVCP140.dll                       0x7FF80C7B0000
flexRelease_x64.dll                0x7FF813000000
webio.dll                          0x7FF813240000
WINMM.dll                          0x7FF8136C0000
cudart64_75.dll                    0x7FF814020000
WININET.dll                        0x7FF8159B0000
winmmbase.dll                      0x7FF815E90000
Secur32.dll                        0x7FF818410000
wbemsvc.dll                        0x7FF8185D0000
fastprox.dll                       0x7FF818610000
wbemprox.dll                       0x7FF818B90000
wbemcomn.dll                       0x7FF818BB0000
GFSDK_GodraysLib.x64.dll           0x7FF819A00000
GFSDK_SSAO_D3D11.win64.dll         0x7FF819B60000
fwpuclnt.dll                       0x7FF819D30000
MSVCR110.dll                       0x7FF81A640000
MSVCP110.dll                       0x7FF81A770000
flexExtRelease_x64.dll             0x7FF81AD40000
bink2w64.dll                       0x7FF81AE50000
f4se_steam_loader.dll              0x7FF81BF70000
AcGenral.DLL                       0x7FF81BFE0000
igd10iumd64.dll                    0x7FF81CA90000
dhcpcsvc6.DLL                      0x7FF81F740000
dhcpcsvc.DLL                       0x7FF820420000
WINNSI.DLL                         0x7FF8207E0000
MSVCP140_ATOMIC_WAIT.dll           0x7FF8211F0000
inputhost.dll                      0x7FF821310000
textinputframework.dll             0x7FF821470000
Windows.UI.dll                     0x7FF8215A0000
igdgmm64.dll                       0x7FF821710000
rasadhlp.dll                       0x7FF8228F0000
VERSION.dll                        0x7FF823F90000
MMDevApi.dll                       0x7FF824030000
AUDIOSES.DLL                       0x7FF8240D0000
dxcore.dll                         0x7FF825550000
twinapi.appcore.dll                0x7FF825F20000
WindowManagementAPI.dll            0x7FF826160000
avrt.dll                           0x7FF826F10000
xinput1_4.dll                      0x7FF8273A0000
MSIMG32.dll                        0x7FF8273E0000
nvToolsExt64_1.dll                 0x7FF827430000
SortWindows61.dll                  0x7FF827500000
PROPSYS.dll                        0x7FF827720000
D3DCOMPILER_47.dll                 0x7FF8279E0000
d3d11.dll                          0x7FF827E40000
wintypes.dll                       0x7FF828670000
dcomp.dll                          0x7FF828860000
CoreUIComponents.dll               0x7FF828DD0000
CoreMessaging.dll                  0x7FF829130000
apphelp.dll                        0x7FF829450000
UxTheme.dll                        0x7FF829750000
resourcepolicyclient.dll           0x7FF829830000
dwmapi.dll                         0x7FF829930000
windows.storage.dll                0x7FF829ED0000
HID.DLL                            0x7FF82A670000
kernel.appcore.dll                 0x7FF82A6A0000
dxgi.dll                           0x7FF82A6C0000
schannel.DLL                       0x7FF82B5E0000
WINHTTP.DLL                        0x7FF82B760000
IpHlpAPI.dll                       0x7FF82BB40000
DNSAPI.dll                         0x7FF82BB80000
MSWSOCK.dll                        0x7FF82BE30000
CRYPTBASE.DLL                      0x7FF82C020000
Wldp.dll                           0x7FF82C0D0000
NTASN1.dll                         0x7FF82C160000
ncrypt.dll                         0x7FF82C1A0000
COMCTL32.dll                       0x7FF82C1D0000
MSASN1.dll                         0x7FF82C560000
DbgHelp.dll                        0x7FF82C760000
ntmarta.dll                        0x7FF82CAB0000
CRYPTSP.dll                        0x7FF82CAF0000
DEVOBJ.dll                         0x7FF82CB10000
DPAPI.DLL                          0x7FF82CB70000
UMPDC.dll                          0x7FF82CC90000
powrprof.dll                       0x7FF82CCB0000
USERENV.dll                        0x7FF82CD00000
SspiCli.dll                        0x7FF82CD30000
profapi.dll                        0x7FF82CD80000
msvcp_win.dll                      0x7FF82CE50000
ucrtbase.dll                       0x7FF82CEF0000
cfgmgr32.dll                       0x7FF82CFF0000
gdi32full.dll                      0x7FF82D040000
CRYPT32.dll                        0x7FF82D160000
KERNELBASE.dll                     0x7FF82D370000
win32u.dll                         0x7FF82D670000
WINTRUST.dll                       0x7FF82D6A0000
bcryptPrimitives.dll               0x7FF82D710000
bcrypt.dll                         0x7FF82D7A0000
RPCRT4.dll                         0x7FF82D7D0000
OLEAUT32.dll                       0x7FF82D900000
combase.dll                        0x7FF82D9D0000
SHLWAPI.dll                        0x7FF82DD30000
SHELL32.dll                        0x7FF82DE20000
msvcrt.dll                         0x7FF82E570000
USER32.dll                         0x7FF82E610000
COMDLG32.dll                       0x7FF82E7B0000
IMM32.DLL                          0x7FF82E890000
MSCTF.dll                          0x7FF82E920000
sechost.dll                        0x7FF82EA40000
imagehlp.dll                       0x7FF82EAE0000
ole32.dll                          0x7FF82EBF0000
SETUPAPI.dll                       0x7FF82EDD0000
