XINPUT1_3.dll                 0x000000400000
X3DAudio1_7.dll               0x000063040000
steam_api64.dll               0x000063050000
wsfw_identifier.dll           0x0170ADF00000
wintrust.dll                  0x0170D40C0000
clbcatq.dll                   0x0170EB560000
Fallout4.exe                  0x7FF65BA20000
ResampleDmo.DLL               0x7FFB51E40000
DSOUND.DLL                    0x7FFB51F00000
XAudio2_7.dll                 0x7FFB61570000
nvcuda64.dll                  0x7FFB61EA0000
d3dcompiler_47_64.dll         0x7FFB63160000
NvCamera64.dll                0x7FFB63570000
gameoverlayrenderer64.dll     0x7FFB63DE0000
WmkActiveEffects.dll          0x7FFB64070000
RobCo_Patcher.dll             0x7FFB640F0000
mcm.dll                       0x7FFB641E0000
HighFPSPhysicsFix.dll         0x7FFB64280000
Buffout4.dll                  0x7FFB64310000
steamclient64.dll             0x7FFB64670000
PowerGridTools.dll            0x7FFB66970000
ClassicHolsteredWeapons.dll   0x7FFB66CB0000
BulletCountedReload.dll       0x7FFB75F90000
place.dll                     0x7FFB76E20000
tier0_s64.dll                 0x7FFB7AE90000
BetterConsole.dll             0x7FFB7B100000
BakaFramework.dll             0x7FFB7CA70000
f4se_1_10_163.dll             0x7FFB7CC00000
vstdlib_s64.dll               0x7FFB7CD90000
cudart64_75.dll               0x7FFB7E310000
DINPUT8.dll                   0x7FFB7E480000
flexRelease_x64.dll           0x7FFB7E4D0000
hudextension.dll              0x7FFB7E990000
GFSDK_SSAO_D3D11.win64.dll    0x7FFB7E9E0000
MSVCR110.dll                  0x7FFB801F0000
crafting_highlight_fix.dll    0x7FFB816D0000
MSVCP110.dll                  0x7FFB81720000
nvwgf2umx.dll                 0x7FFB871E0000
nvgpucomp64.dll               0x7FFB8C600000
bink2w64.dll                  0x7FFB8FAD0000
nvldumdx.dll                  0x7FFB98D60000
MessageBus.dll                0x7FFB9B040000
GFSDK_GodraysLib.x64.dll      0x7FFB9C400000
achievements.dll              0x7FFBA1530000
PriorityMod.dll               0x7FFBA2CE0000
msdmo.dll                     0x7FFBA55F0000
f4se_steam_loader.dll         0x7FFBA6740000
flexExtRelease_x64.dll        0x7FFBA6D60000
inputhost.dll                 0x7FFBA7810000
Windows.UI.dll                0x7FFBA7AE0000
winmmbase.dll                 0x7FFBA7DA0000
NoLockpickActivate.dll        0x7FFBA86A0000
VCRUNTIME140.dll              0x7FFBAE470000
MSVCP140.dll                  0x7FFBAE490000
OneCoreCommonProxyStub.dll    0x7FFBAED60000
textinputframework.dll        0x7FFBAEFF0000
AUDIOSES.DLL                  0x7FFBAF1F0000
COMCTL32.dll                  0x7FFBB1B80000
nvspcap64.dll                 0x7FFBB20E0000
atidxx64.dll                  0x7FFBB23C0000
VCRUNTIME140_1.dll            0x7FFBB42F0000
MMDevApi.dll                  0x7FFBB4330000
MessageBus.dll                0x7FFBB5530000
aticfx64.dll                  0x7FFBB6430000
amdihk64.dll                  0x7FFBB6730000
nvapi64.dll                   0x7FFBB67F0000
OneCoreUAPCommonProxyStub.dll 0x7FFBB7C40000
CoreUIComponents.dll          0x7FFBBA3A0000
avrt.dll                      0x7FFBBAC20000
atiuxp64.dll                  0x7FFBBAF10000
drvstore.dll                  0x7FFBBB860000
cryptnet.dll                  0x7FFBBB9C0000
VERSION.dll                   0x7FFBBBA00000
directxdatabasehelper.dll     0x7FFBBC6C0000
dhcpcsvc.DLL                  0x7FFBBCD70000
XINPUT9_1_0.dll               0x7FFBBD350000
nvToolsExt64_1.dll            0x7FFBBD360000
WINHTTP.dll                   0x7FFBBD420000
WindowsCodecs.dll             0x7FFBBDE20000
d3d11.dll                     0x7FFBBECC0000
dcomp.dll                     0x7FFBBF000000
CoreMessaging.dll             0x7FFBBFB10000
apphelp.dll                   0x7FFBC0280000
uxtheme.dll                   0x7FFBC0390000
dxgi.dll                      0x7FFBC0500000
dwmapi.dll                    0x7FFBC0610000
dxcore.dll                    0x7FFBC06A0000
resourcepolicyclient.dll      0x7FFBC0A20000
dbghelp.dll                   0x7FFBC0C70000
WINMM.dll                     0x7FFBC0EB0000
wintypes.dll                  0x7FFBC12F0000
windows.storage.dll           0x7FFBC1430000
HID.DLL                       0x7FFBC1D30000
IPHLPAPI.DLL                  0x7FFBC2000000
UMPDC.dll                     0x7FFBC2330000
powrprof.dll                  0x7FFBC2350000
Secur32.dll                   0x7FFBC23C0000
rsaenh.dll                    0x7FFBC2550000
kernel.appcore.dll            0x7FFBC25F0000
ntmarta.dll                   0x7FFBC2610000
SSPICLI.DLL                   0x7FFBC2850000
MSWSOCK.dll                   0x7FFBC2A70000
CRYPTBASE.DLL                 0x7FFBC2CC0000
CRYPTSP.dll                   0x7FFBC2CD0000
wldp.dll                      0x7FFBC2D70000
bcrypt.dll                    0x7FFBC2E90000
devobj.dll                    0x7FFBC31A0000
CFGMGR32.dll                  0x7FFBC31F0000
msasn1.dll                    0x7FFBC3250000
profapi.dll                   0x7FFBC3430000
CRYPT32.dll                   0x7FFBC3500000
ucrtbase.dll                  0x7FFBC3670000
gdi32full.dll                 0x7FFBC3790000
bcryptPrimitives.dll          0x7FFBC3920000
msvcp_win.dll                 0x7FFBC39A0000
win32u.dll                    0x7FFBC3A40000
KERNELBASE.dll                0x7FFBC3B30000
COMDLG32.dll                  0x7FFBC3EE0000
ADVAPI32.dll                  0x7FFBC3FE0000
IMM32.DLL                     0x7FFBC40C0000
MSCTF.dll                     0x7FFBC4100000
imagehlp.dll                  0x7FFBC4250000
WS2_32.dll                    0x7FFBC4360000
OLEAUT32.dll                  0x7FFBC43E0000
KERNEL32.DLL                  0x7FFBC4710000
combase.dll                   0x7FFBC47E0000
NSI.dll                       0x7FFBC4B80000
USER32.dll                    0x7FFBC4B90000
GDI32.dll                     0x7FFBC4D40000
msvcrt.dll                    0x7FFBC4D70000
SETUPAPI.dll                  0x7FFBC4F30000
sechost.dll                   0x7FFBC53B0000
shlwapi.dll                   0x7FFBC5460000
SHELL32.dll                   0x7FFBC5520000
ole32.dll                     0x7FFBC5D80000
PSAPI.DLL                     0x7FFBC5F20000
RPCRT4.dll                    0x7FFBC5F30000
SHCORE.dll                    0x7FFBC6050000
ntdll.dll                     0x7FFBC6190000
