XINPUT1_3.dll                    0x000000400000
X3DAudio1_7.dll                  0x00006E4D0000
RTSSHooks64.dll                  0x000180000000
Fallout4.exe                     0x7FF726140000
nvspcap64.dll                    0x7FFD85C00000
IPHLPAPI.DLL                     0x7FFD87AB0000
Buffout4.dll                     0x7FFD89D50000
wsfw_identifier.dll              0x7FFD8A630000
ShadowBoostFO4.dll               0x7FFD8B150000
WhoseQuestIsItAnywayF4.dll       0x7FFD8BDA0000
RobCo_Patcher.dll                0x7FFD8BE00000
SprintSpeedController.dll        0x7FFD8C580000
ReloadFix.dll                    0x7FFD8C5D0000
PowerGridTools.dll               0x7FFD8C620000
Outfit-ReDress-Fix.dll           0x7FFD8C690000
MGEFConditionFix.dll             0x7FFD8D9F0000
mcm.dll                          0x7FFD92B00000
CONCRT140.dll                    0x7FFD931C0000
Interior-NavCut-Fix.dll          0x7FFD93210000
HUDPlusPlus.dll                  0x7FFD93FD0000
HighFPSPhysicsFix.dll            0x7FFD94050000
GCBugFix.dll                     0x7FFD940E0000
faster_workshop.dll              0x7FFD96830000
ClassicHolsteredWeapons.dll      0x7FFD96890000
flexRelease_x64.dll              0x7FFD98050000
f4se_1_10_163.dll                0x7FFD984B0000
crafting_highlight_fix.dll       0x7FFD99BC0000
CCExtenderF4.dll                 0x7FFD99C10000
BulletCountedReload.dll          0x7FFD9A930000
BakaMaxPapyrusOps.dll            0x7FFD9AB70000
MSVCR110.dll                     0x7FFD9AD60000
BlockingOverhaul.dll             0x7FFD9B5A0000
MSVCP110.dll                     0x7FFD9D3A0000
steam_api64.dll                  0x7FFD9EA40000
BetterConsole.dll                0x7FFD9F620000
GFSDK_SSAO_D3D11.win64.dll       0x7FFD9FE90000
BetterPowerArmorRedux.dll        0x7FFDA6A00000
cudart64_75.dll                  0x7FFDA7D20000
GFSDK_GodraysLib.x64.dll         0x7FFDAC980000
ArmorPenetrationBugFix.dll       0x7FFDAE640000
def_ui.dll                       0x7FFDAF510000
WeaponDebrisCrashFix.dll         0x7FFDB2F30000
SprintStutteringFix.dll          0x7FFDB3BD0000
flexExtRelease_x64.dll           0x7FFDB3BF0000
PriorityMod.dll                  0x7FFDB4BB0000
bink2w64.dll                     0x7FFDB5230000
encounter_zone_recalculation.dll 0x7FFDB6EA0000
MSVCP140_ATOMIC_WAIT.dll         0x7FFDC32A0000
f4se_steam_loader.dll            0x7FFDC41F0000
AmmoRemover.dll                  0x7FFDC4CA0000
MSVCP140.dll                     0x7FFDC5C60000
VCRUNTIME140.dll                 0x7FFDC5E90000
VCRUNTIME140_1.dll               0x7FFDC65A0000
WINSPOOL.DRV                     0x7FFDC84C0000
MSIMG32.dll                      0x7FFDC8560000
COMCTL32.dll                     0x7FFDCC0E0000
usvfs_x64.dll                    0x7FFDCC910000
nvToolsExt64_1.dll               0x7FFDD4DB0000
textinputframework.dll           0x7FFDD5BD0000
nvapi64.dll                      0x7FFDD6AC0000
