[00]     Fallout4.esm
[01]     DLCRobot.esm
[02]     DLCworkshop01.esm
[03]     DLCCoast.esm
[04]     DLCworkshop02.esm
[05]     DLCworkshop03.esm
[06]     DLCNukaWorld.esm
[07]     Unofficial Fallout 4 Patch.esp
[08]     TacticalReload.esm
[09]     XDI.esm
[0A]     CALIBER-COMPLEX.esm
[0B]     Knockout Framework.esm
[0C]     PANPC.esm
[0D]     WorkshopFramework.esm
[0E]     HUDFramework.esm
[0F]     CWPointLookoutFO4.esm
[10]     TheForest.esm
[11]     MutantMenagerie.esm
[12]     TheSewers.esm
[13]     Homemaker.esm
[14]     SS2.esm
[15]     SS2_XPAC_Chapter2.esm
[16]     141 Assets.esp
[17]     MutantMenagerie_FarHarbor.esm
[18]     MutantMenagerie_NukaWorld.esm
[19]     MutantMenagerie_PointLookout.esm
[1A]     DamnApocalypse_CORE.esm
[1B]     3dscopes.esp
[1C]     SideAim.esp
[1D]     GCM.esp
[1E]     SCM.esp
[1F]     Better Cooking.esp
[20]     StartMeUp.esp
[21]     StartMeUpNukaWorldPatch.esp
[22]     Gas Mask NPC.esp
[23]     Gas Masks of the Wasteland.esp
[24]     Scopes.esp
[25]     VAFS Redux.esp
[26]     EFT_JSRS_Footsteps.esp
[27]     F76Sounds.esp
[28]     jsrs.esp
[29]     Reverb and Ambiance Overhaul.esp
[2A]     AnimChemRedux.esp
[2B]     ENBLightsHDRPatch.esp
[2C]     EnhancedLightsandFX.esp
[2D]     NAC.esp
[2E]     RynsFallout4.esp
[2F]     Splash of Pine Trees.esp
[30]     UltraExteriorLighting.esp
[31]     UltraInteriorLighting.esp
[32]     ANiceOakTree Hairs.esp
[33]     BDO Hair.esp
[34]     FF7R.esp
[35]     KSHairdos.esp
[36]     KSHairdos_oel.esp
[37]     LooksMenu Customization Compendium.esp
[38]     LooksMirror.esp
[39]     The Eyes of Beauty Looking Stranger.esp
[3A]     The Eyes Of Beauty.esp
[3B]     TheEyesOfBeauty.esp
[3C]     AGNISNikaCola01.esp
[3D]     CSEPAllAmericans.esp
[3E]     CSEPBountyMod.esp
[3F]     Flashy_CrimeAndPunishment_GunForHire_Addon.esp
[40]     KellyMacabre.esp
[41]     KellyManor.esp
[42]     Miami Misadventures EP1.esp
[43]     OldTimeReligion.esp
[44]     QuestforSMMG(Dak).esp
[45]     subwayrunnnerdynamiclighting.esp
[46]     TU3SD4Y'S Commonwealth Responders.esp
[47]     ECV_Remnants.esp
[48]     Eli_Bunker.esp
[49]     Eli_BunkerSafehouse.esp
[4A]     Eli_Faction Housing Overhaul - AiO.esp
[4B]     Eli_Rockin Red Rocket.esp
[4C]     Eli_Tiny Raider Home Nuka-World.esp
[4D]     EnclaveFactionItems.esp
[4E]     Sandbag Fortifications - Version 2C.esp
[4F]     SS2_CityPlanPack_RiseOfTheCommonwealth.esp
[50]     SS2Extended.esp
[51]     TDOW_LC.esp
[52]     TWH_TheWayHome.esp
[53]     [ARRETH] FGEP.esp
[54]     [KB-47]SYNTHS.esp
[55]     [KB-47]Warbird.esp
[56]     Animals and Feral Ghouls Can't Open Doors WIP 0.0.2.esp
[57]     AtomsGloryThreads.esp
[58]     CF_AtomicWarlord.esp
[59]     NucleousAtomsGift.esp
[5A]     Raider Gang Extended NPC (Fixed & Cleaned).esp
[5B]     BioshockInspiredPowerArmor.esp
[5C]     EnclaveX02.esp
[5D]     Hellfirenew.esp
[5E]     Jetpack Overhaul.esp
[5F]     powerarmort49.esp
[60]     SkyrimInspiredPowerArmor.esp
[61]     SubmersiblePowerArmorRedux.esp
[62]     T-51C Power Armor.esp
[63]     T-60 Equipment.esp
[64]     UltracitePA.esp
[65]     UNnaked Power Armor.esp
[66]     Vault-Tec Power Armor by NewerMind43 & Captain-Ultima.esp
[67]     1CAS_ServiceRifle.esp
[68]     AAC_HoneyBadger.esp
[69]     AER15.esp
[6A]     AK400.esp
[6B]     Ak5C.esp
[6C]     AK74M.esp
[6D]     AKMnv.esp
[6E]     American180nv.esp
[6F]     AQUILA.esp
[70]     CazadorML.esp
[71]     CROSS_RugerMkV.esp
[72]     CROSS_RugerMkV_NonLethalAddon.esp
[73]     EFT Benelli.esp
[74]     EFT MP153.esp
[75]     EFT SV-98.esp
[76]     EFT_AXMC.esp
[77]     EFT_G36.esp
[78]     EFT_M32A1.esp
[79]     EFT_M870.esp
[7A]     EFT_Mosin.esp
[7B]     EFT_MP443.esp
[7C]     EFT_MP9.esp
[7D]     EFT_MPX.esp
[7E]     EFT_PaseEyong.esp
[7F]     EFT_ShAK-12.esp
[80]     EFT_SKS_M1Aver.esp
[81]     EFT_VPO215.esp
[82]     EFTA_VPO101.esp
[83]     EFTPack.esp
[84]     Elysium.esp
[85]     Factor.esp
[86]     FNGL40.esp
[87]     G36Complex.esp
[88]     G3A3.esp
[89]     Glock19x.esp
[8A]     HaxRPG7.esp
[8B]     HK_MP5.esp
[8C]     HKUSP9mm.esp
[8D]     ImiGalil.esp
[8E]     ImiUzi.esp
[8F]     ks23.esp
[90]     LeeEnfieldNo4MkI.esp
[91]     LString_Bow.esp
[92]     M1A_EBR_A.esp
[93]     M203.esp
[94]     M2Agency.esp
[95]     MK-18.esp
[96]     MK47.esp
[97]     MP-155.esp
[98]     MP-412.esp
[99]     MP-43-C1.esp
[9A]     MWAN94.esp
[9B]     MWAUG.esp
[9C]     MWM91.esp
[9D]     officersRevolver.esp
[9E]     p42.esp
[9F]     Remington700.esp
[A0]     RU556.esp
[A1]     RugerMini14.esp
[A2]     TullAK.esp
[A3]     Wana_SA58.esp
[A4]     [XHX] IFT - Clothing.esp
[A5]     [XHX] IFT - Gear.esp
