XINPUT1_3.dll                 0x000000400000
X3DAudio1_7.dll               0x0000673A0000
steam_api64.dll               0x0000673B0000
Buffout4.dll                  0x02FC97C50000
Fallout4.exe                  0x7FF671650000
XAudio2_7.dll                 0x7FFD8B330000
NvCamera64.dll                0x7FFD8BA60000
ResampleDmo.DLL               0x7FFDB8100000
DSOUND.DLL                    0x7FFDB9900000
DINPUT8.dll                   0x7FFDE76D0000
d3dcompiler_47_64.dll         0x7FFDE7D30000
gameoverlayrenderer64.dll     0x7FFDE8550000
wsfw_identifier.dll           0x7FFDE86E0000
PowerGridTools.dll            0x7FFDE87E0000
place.dll                     0x7FFDE8850000
mcm.dll                       0x7FFDE88D0000
f4se_1_10_163.dll             0x7FFDE8CD0000
tier0_s64.dll                 0x7FFDE8DB0000
steamclient64.dll             0x7FFDE8F50000
IPHLPAPI.DLL                  0x7FFDEA560000
flexRelease_x64.dll           0x7FFDEB700000
vstdlib_s64.dll               0x7FFDEDC50000
nvspcap64.dll                 0x7FFDEDD10000
nvcuda64.dll                  0x7FFDEF8A0000
cudart64_75.dll               0x7FFE48AE0000
GFSDK_GodraysLib.x64.dll      0x7FFE48B40000
MSVCR110.dll                  0x7FFE48BA0000
Interior-NavCut-Fix.dll       0x7FFE52900000
MSVCP110.dll                  0x7FFE52950000
GFSDK_SSAO_D3D11.win64.dll    0x7FFE52DB0000
f4se_steam_loader.dll         0x7FFE58EF0000
flexExtRelease_x64.dll        0x7FFE5C210000
bink2w64.dll                  0x7FFE5C340000
MessageBus.dll                0x7FFE739C0000
XINPUT9_1_0.dll               0x7FFE74B00000
nvToolsExt64_1.dll            0x7FFE76E00000
winmmbase.dll                 0x7FFE78870000
VCRUNTIME140_1.dll            0x7FFE79450000
MSVCP140.dll                  0x7FFE79540000
usvfs_x64.dll                 0x7FFE7A530000
VCRUNTIME140.dll              0x7FFE7B000000
Secur32.dll                   0x7FFE7DA30000
textinputframework.dll        0x7FFE81430000
ncryptsslp.dll                0x7FFE82880000
inputhost.dll                 0x7FFE85890000
nvwgf2umx.dll                 0x7FFE87F40000
MpOav.dll                     0x7FFE8E660000
amsi.dll                      0x7FFE8E790000
MMDevApi.dll                  0x7FFE8EA20000
fastprox.dll                  0x7FFE8ECB0000
Windows.UI.dll                0x7FFE90EC0000
webio.dll                     0x7FFE91C50000
OneCoreCommonProxyStub.dll    0x7FFE91D10000
AUDIOSES.DLL                  0x7FFE91F30000
MessageBus.dll                0x7FFE92C50000
WINSPOOL.DRV                  0x7FFE934C0000
COMCTL32.dll                  0x7FFE93560000
MSIMG32.dll                   0x7FFE94F10000
WINMM.dll                     0x7FFE95190000
nvapi64.dll                   0x7FFE954B0000
wbemcomn.dll                  0x7FFE96500000
wbemprox.dll                  0x7FFE96580000
nvldumdx.dll                  0x7FFE96770000
OneCoreUAPCommonProxyStub.dll 0x7FFE96C00000
wbemsvc.dll                   0x7FFE97F10000
drvstore.dll                  0x7FFE98570000
cryptnet.dll                  0x7FFE986D0000
fwpuclnt.dll                  0x7FFE98710000
VERSION.dll                   0x7FFE987A0000
CoreUIComponents.dll          0x7FFE99190000
dhcpcsvc.DLL                  0x7FFE998C0000
WINHTTP.dll                   0x7FFE998E0000
directxdatabasehelper.dll     0x7FFE99AC0000
avrt.dll                      0x7FFE99B10000
dhcpcsvc6.DLL                 0x7FFE99B20000
rasadhlp.dll                  0x7FFE9A5D0000
WindowsCodecs.dll             0x7FFE9B2F0000
d3d11.dll                     0x7FFE9C220000
dcomp.dll                     0x7FFE9C480000
CoreMessaging.dll             0x7FFE9CC60000
msdmo.dll                     0x7FFE9CFA0000
CONCRT140.dll                 0x7FFE9CFF0000
apphelp.dll                   0x7FFE9D420000
UxTheme.dll                   0x7FFE9D730000
dxgi.dll                      0x7FFE9D8A0000
dwmapi.dll                    0x7FFE9D9B0000
WINNSI.DLL                    0x7FFE9D9E0000
dxcore.dll                    0x7FFE9DA20000
resourcepolicyclient.dll      0x7FFE9DDA0000
DbgHelp.dll                   0x7FFE9E160000
wintypes.dll                  0x7FFE9E570000
windows.storage.dll           0x7FFE9E6B0000
HID.DLL                       0x7FFE9EFA0000
IpHlpAPI.dll                  0x7FFE9F270000
DNSAPI.dll                    0x7FFE9F2E0000
UMPDC.dll                     0x7FFE9F5A0000
powrprof.dll                  0x7FFE9F5C0000
schannel.DLL                  0x7FFE9F660000
rsaenh.dll                    0x7FFE9F770000
kernel.appcore.dll            0x7FFE9F7B0000
ntmarta.dll                   0x7FFE9F820000
SSPICLI.DLL                   0x7FFE9FA60000
MSWSOCK.dll                   0x7FFE9FC80000
USERENV.dll                   0x7FFE9FD70000
CRYPTSP.dll                   0x7FFE9FED0000
CRYPTBASE.DLL                 0x7FFE9FEF0000
wldp.dll                      0x7FFE9FF80000
NTASN1.dll                    0x7FFEA0000000
ncrypt.dll                    0x7FFEA0040000
bcrypt.dll                    0x7FFEA0070000
msasn1.dll                    0x7FFEA0370000
devobj.dll                    0x7FFEA0390000
cfgmgr32.dll                  0x7FFEA03C0000
DPAPI.DLL                     0x7FFEA0430000
profapi.dll                   0x7FFEA0600000
msvcp_win.dll                 0x7FFEA06D0000
ucrtbase.dll                  0x7FFEA0770000
win32u.dll                    0x7FFEA0950000
CRYPT32.dll                   0x7FFEA0980000
wintrust.dll                  0x7FFEA0AF0000
gdi32full.dll                 0x7FFEA0B60000
bcryptPrimitives.dll          0x7FFEA0C80000
KERNELBASE.dll                0x7FFEA0D00000
SHELL32.dll                   0x7FFEA1140000
sechost.dll                   0x7FFEA1960000
SHLWAPI.dll                   0x7FFEA1A10000
shcore.dll                    0x7FFEA1A70000
PSAPI.DLL                     0x7FFEA1B70000
msvcrt.dll                    0x7FFEA1B80000
WS2_32.dll                    0x7FFEA1C30000
RPCRT4.dll                    0x7FFEA1D20000
ADVAPI32.dll                  0x7FFEA1EC0000
GDI32.dll                     0x7FFEA1F70000
SETUPAPI.dll                  0x7FFEA1FA0000
MSCTF.dll                     0x7FFEA2420000
NSI.dll                       0x7FFEA2550000
KERNEL32.DLL                  0x7FFEA2560000
combase.dll                   0x7FFEA2630000
clbcatq.dll                   0x7FFEA29C0000
COMDLG32.dll                  0x7FFEA2A70000
imagehlp.dll                  0x7FFEA2B70000
USER32.dll                    0x7FFEA2B90000
ole32.dll                     0x7FFEA2D60000
OLEAUT32.dll                  0x7FFEA2F70000
IMM32.DLL                     0x7FFEA3050000
ntdll.dll                     0x7FFEA32F0000
