xinput1_3.dll                 0x000000400000
X3DAudio1_7.dll               0x00006CA70000
steam_api64.dll               0x00006CA80000
Fallout4.exe                  0x7FF79D7C0000
nvcuda.dll                    0x7FF8C3D80000
nvcuda64.dll                  0x7FF8C5040000
d3dcompiler_47_64.dll         0x7FF8C59E0000
steamclient64.dll             0x7FF8C5DF0000
NvCamera64.dll                0x7FF8CE140000
gameoverlayrenderer64.dll     0x7FF8CE9A0000
PhysXDevice64.dll             0x7FF8D0180000
Buffout4.dll                  0x7FF8D1290000
XAudio2_7.dll                 0x7FF8D1F10000
IPHLPAPI.DLL                  0x7FF8D2310000
ShadowBoostFO4.dll            0x7FF8D2B30000
XDI.dll                       0x7FF8D5400000
mcm.dll                       0x7FF8D5470000
place.dll                     0x7FF8D5680000
ClassicHolsteredWeapons.dll   0x7FF8D6170000
DINPUT8.dll                   0x7FF8D6CE0000
tier0_s64.dll                 0x7FF8D8760000
BakaScrapHeap.dll             0x7FF8D8AD0000
f4se_1_10_163.dll             0x7FF8D8F20000
flexRelease_x64.dll           0x7FF8D9E10000
HighFPSPhysicsFix.dll         0x7FF8DB620000
vstdlib_s64.dll               0x7FF8DBAB0000
SprintSpeedController.dll     0x7FF8E0E10000
MSVCR110.dll                  0x7FF8E1030000
GFSDK_SSAO_D3D11.win64.dll    0x7FF8E1380000
MSVCP110.dll                  0x7FF8E1CB0000
achievements.dll              0x7FF8E2EE0000
bink2w64.dll                  0x7FF8E7930000
cudart64_75.dll               0x7FF8EAC70000
GFSDK_GodraysLib.x64.dll      0x7FF8F3B20000
ShadowBoost.asi               0x7FF8F45E0000
flexExtRelease_x64.dll        0x7FF8F4AD0000
nvspcap64.dll                 0x7FF8F5B70000
AudioDevProps2.dll            0x7FF8F86F0000
ProductInfo.dll               0x7FF8F9B90000
dxgi.dll                      0x7FF8FCEC0000
f4se_steam_loader.dll         0x7FF8FF1A0000
xinput1_4.dll                 0x7FF905BF0000
PriorityMod.dll               0x7FF9065B0000
MessageBus.dll                0x7FF90BD90000
TextShaping.dll               0x7FF90CA20000
textinputframework.dll        0x7FF90E2B0000
VCRUNTIME140_1.dll            0x7FF913F10000
MSVCP140.dll                  0x7FF913F20000
VCRUNTIME140.dll              0x7FF913FB0000
ResampleDmo.DLL               0x7FF914320000
MessageBus.dll                0x7FF9145D0000
DSOUND.DLL                    0x7FF914EE0000
inputhost.dll                 0x7FF914F90000
msdmo.dll                     0x7FF915C20000
ncryptsslp.dll                0x7FF917210000
Secur32.dll                   0x7FF91A2D0000
XINPUT1_3.dll                 0x7FF91D6A0000
winmmbase.dll                 0x7FF91F000000
nvwgf2umx.dll                 0x7FF91FD40000
nvapi64.dll                   0x7FF925690000
Windows.UI.dll                0x7FF9268C0000
OneCoreCommonProxyStub.dll    0x7FF926DC0000
ASM.Plugin.AudioDevProps2.dll 0x7FF927DE0000
AudioSes.dll                  0x7FF9286F0000
SprintStutteringFix.dll       0x7FF928B00000
WINSPOOL.DRV                  0x7FF929600000
COMCTL32.dll                  0x7FF929860000
webio.dll                     0x7FF929C00000
XINPUT9_1_0.dll               0x7FF92ABE0000
MpOav.dll                     0x7FF92ACD0000
amsi.dll                      0x7FF92AD50000
wbemsvc.dll                   0x7FF92B030000
fastprox.dll                  0x7FF92B0D0000
MMDevApi.dll                  0x7FF92BC70000
OneCoreUAPCommonProxyStub.dll 0x7FF92BE70000
nvldumdx.dll                  0x7FF92C5F0000
wbemcomn.dll                  0x7FF92CBC0000
wbemprox.dll                  0x7FF92CC40000
rasadhlp.dll                  0x7FF92E0C0000
drvstore.dll                  0x7FF92E120000
cryptnet.dll                  0x7FF92E280000
fwpuclnt.dll                  0x7FF92E3C0000
dhcpcsvc.DLL                  0x7FF92F210000
dhcpcsvc6.DLL                 0x7FF92F230000
CoreUIComponents.dll          0x7FF92F710000
avrt.dll                      0x7FF92FA80000
VERSION.dll                   0x7FF92FA90000
WINHTTP.dll                   0x7FF92FAA0000
WINMM.dll                     0x7FF92FBE0000
directxdatabasehelper.dll     0x7FF930690000
nvToolsExt64_1.dll            0x7FF930DB0000
PropSys.dll                   0x7FF9321E0000
MSIMG32.dll                   0x7FF9327F0000
D3DCOMPILER_47.dll            0x7FF9328A0000
WindowsCodecs.dll             0x7FF932C90000
d3d11.dll                     0x7FF933680000
dcomp.dll                     0x7FF9338E0000
CoreMessaging.dll             0x7FF933F40000
apphelp.dll                   0x7FF934220000
WINNSI.DLL                    0x7FF9343C0000
UxTheme.dll                   0x7FF934430000
dxcore.dll                    0x7FF934510000
