[00]     Fallout4.esm
[01]     DLCRobot.esm
[02]     DLCworkshop01.esm
[03]     DLCCoast.esm
[04]     DLCworkshop02.esm
[05]     DLCworkshop03.esm
[06]     DLCNukaWorld.esm
[07]     Unofficial Fallout 4 Patch.esp
[08]     Random Robots - Unleveled.esm
[09]     PANPC.esm
[0A]     PACE.esm
[0B]     SouthOfTheSea.esm
[0C]     HUDFramework.esm
[0D]     CROSS_CosmeticFramework.esm
[0E]     SKKSettlementAttackSystem.esp
[0F]     SKKCombatStalkers.esp
[10]     CombatStyleNPC.esp
[11]     RaiderOverhaul.esp
[12]     RustDevilRedux.esp
[13]     CF_AtomicWarlord.esp
[14]     W.A.T.Minutemen.esp
[15]     Flashy_Infestations.esp
[16]     3DNPC_FO4.esp
[17]     3DNPC_FO4_DLC.esp
[18]     [ARRETH] FGEP.esp
[19]     DCWestSuperMutants.esp
[1A]     Diamond City Guards REDUX.esp
[1B]     FO4 NPCs Travel.esp
[1C]     NPCSTRAVELFIXES.esp
[1D]     DT_GunnerOutfitPack.esp
[1E]     DT_MercOutfitPack.esp
[1F]     cryofix.esp
[20]     CarPhysicsDeathBugfix.esp
[21]     BostonAirport_WorkshopFix.esp
[22]     Search&DestroyFixed.esp
[23]     AutomatronRobotHatFix.esp
[24]     WeaponRackFixes-NukaWorld.esp
[25]     FaceMaxson.esp
[26]     settlementheight9000-aio.esp
[27]     LongerPowerLines3x.esp
[28]     NanotechWaterpump_FoodWaterHappy.esp
[29]     SnappingClothesRack.esp
[2A]     Vault-Tec Workshop Overhaul Redux.esp
[2B]     woodysWastelandStuff.esp
[2C]     EssentialNamedSettlers.esp
[2D]     SettlementMenuManager.esp
[2E]     CSNukaVending.esp
[2F]     ImmersiveVendors.esp
[30]     superiorhealthforqueen.esp
[31]     Danse GTFO Power Armor.esp
[32]     DLCWeaponsinCW.esp
[33]     GCM.esp
[34]     Live Dismemberment - RegularNoHeadshots.esp
[35]     PersistentVolumeSliders.esp
[36]     RailroadPerksCut.esp
[37]     Lunatic's Unhelpful Loading Screens - DLC.esp
[38]     Lunatic's Unhelpful Loading Screens.esp
[39]     No Aggro Impact Landing.esp
[3A]     Keep Radiants In Commonwealth.esp
[3B]     RichMerchants.esp
[3C]     Perks Unleashed.esp
[3D]     No Scope Fade In.esp
[3E]     NoExpForCrafting.esp
[3F]     Faster Terminal Displays (20x).esp
[40]     EasyLockpicking.esp
[41]     Locksmith.esp
[42]     LocksmithEdit.esp
[43]     EasyHacking.esp
[44]     EBSO.esp
[45]     zzzzzenhancedbloodetso.esp
[46]     Configurable Artillery.esp
[47]     VisibleCompanionAffinity.esp
[48]     DV-Durable Vertibirds.esp
[49]     DV-No Levelled Vertibirds.esp
[4A]     No Borders.esp
[4B]     No Lightstep (Traps, Mines).esp
[4C]     SKKScriptLatencyTest.esp
[4D]     SKKUnlockCompanions.esp
[4E]     SKKRESystemManager.esp
[4F]     SKKDynamicDamageManager.esp
[50]     Companion Infinite Ammo.esp
[51]     TransferSettlements.esp
[52]     ECO.esp
[53]     ImmersiveAnimationFramework.esp
[54]     PD_LowerWeapon.esp
[55]     CSNukaVending_patch_LevelLists.esp
[56]     PhotoMode.esp
[57]     Reverb and Ambiance Overhaul.esp
[58]     AmbientTunnels.esp
[59]     LushAmbience.esp
[5A]     R&AO Reduced Vault Reverb Patch.esp
[5B]     JSRS_Footsteps.esp
[5C]     DCRE.esp
[5D]     STALKER Music_Complete.esp
[5E]     MusicMergedDLC.esp
[5F]     Car variety Commonwealth Nika Colla.esp
[60]     Car variety Far Harbor.esp
[61]     Car Variety Commonwealth Nika Colla ENGLISH.esp
[62]     Car Variety Far Harbor ENGLISH.esp
[63]     PowerLinePhysics.esp
[64]     NiceBush.esp
[65]     Dark Sci Fi Vault Retexture 4k.esp
[66]     Ketaros_World.esp
[67]     Misc Textures Merged.esp
[68]     Merged Creature Texture Mods.esp
[69]     fo3friedghouls.esp
[6A]     Ghouls Revamped.esp
[6B]     Thaylar's Clothing & Armor 4k Repacked BA2.esp
[6C]     plasmaproject.esp
[6D]     instituteproject.esp
[6E]     Pip-Boy Flashlight.esp
[6F]     NAC.esp
[70]     NAC-FH.esp
[71]     NAC-NW.esp
[72]     Nac X Fogline Fix.esp
[73]     NACXWaterFix.esp
[74]     ENBLightsHDRPatch.esp
[75]     UltraExteriorLighting.esp
[76]     UltraInteriorLighting.esp
[77]     ImprovedNuke.esp
[78]     DPFarHarborFree_NAC_0.81.esp
[79]     DynamicInteriorFogRemoval.esp
[7A]     LooksMenu.esp
[7B]     HiPolyFaces.esp
[7C]     The Eyes Of Beauty.esp
[7D]     LookingStranger.esp
[7E]     MiscHairstyle.esp
[7F]     KSHairdos.esp
[80]     KSHairdos_oel.esp
[81]     KSHairsFemsheppingRadbeetle.esp
[82]     LooksMenu Customization Compendium.esp
[83]     MoreBeards.esp
[84]     MoreHairstyles4Female.esp
[85]     MoreHairstyles4Male.esp
[86]     Lots More Male Hairstyles.esp
[87]     Lots More Facial Hair.esp
[88]     Lil More Hair - Beatnik and Beards.esp
[89]     VHCE.esp
[8A]     AzarPonytailHairstyles.esp
[8B]     RealHDFace Tex.esp
[8C]     Jill Valentine RE5.esp
[8D]     llamaCompanionHeatherv2.esp
[8E]     Fashionable Valentine.esp
[8F]     LoyalPorterGage.esp
[90]     PiperCaitCurieDialogueOverhaul.esp
[91]     IWCait.esp
[92]     Natural Curie - Subtle Tweaks.esp
[93]     SF Danse.esp
[94]     SF PiperWright.esp
[95]     SF PrestonGarvey.esp
[96]     SF MacCready.esp
[97]     Hunkered Down - No AtomCatsGarage.esp
