[00]     Fallout4.esm
[01]     DLCRobot.esm
[02]     DLCworkshop01.esm
[03]     DLCCoast.esm
[04]     DLCworkshop02.esm
[05]     DLCworkshop03.esm
[06]     DLCNukaWorld.esm
[07]     Unofficial Fallout 4 Patch.esp
[08]     WorkshopFramework.esm
[09]     HUDFramework.esm
[0A]     Overlays.esm
[0B]     MutantMenagerie.esm
[0C]     CRP - Community Restraints Pack.esm
[0D]     CaN.esm
[0E]     CaN Pony Mane Pack.esm
[0F]     Zeeb.esm
[10]     AAF.esm
[11]     Robot Home Defence.esm
[12]     MutantMenagerie_FarHarbor.esm
[13]     SS2.esm
[14]     Arbitration - Resources.esm
[15]     SS2_XPAC_Chapter2.esm
[16]     TheMarshland.esm
[17]     TheSewers.esm
[18]     CALIBER-COMPLEX.esm
[19]     XDI.esm
[1A]     LooksMenu.esp
[1B]     CBBE.esp
[1C]     Vivid Fallout - All in One - Best Choice.esp
[1D]     NAC.esp
[1E]     NAC-FH.esp
[1F]     NAC-NW.esp
[20]     Fallout Equestria - SS2 Patch.esp
[21]     SS2Extended.esp
[22]     SS2WastelandReconstructionKit.esp
[23]     SilentProtagonist.esp
[24]     SilentProtagonist_StartMeUp.esp
[25]     SilentProtagonist_UFO4P.esp
[26]     Pip-Boy Flashlight.esp
[27]     Fallout Equestria - The Train.esp
[28]     M8r_Item_Tags_Vanilla_EN.esp
[29]     Fallout Equestria - Season Pass - Alicorn Edition.esp
[2A]     SS2_CityPlanPack_RiseOfTheCommonwealth.esp
[2B]     SimHomestead2.esp
[2C]     JunkTown-FENCES2.esp
[2D]     SimSettlements2_AddOnPack_ApocalypticAdditions_SirLach.esp
[2E]     EnclaveX02.esp
[2F]     RussianAssaultPack.esp
[30]     AutomatronUnlocked.esp
[31]     Tactical Flashlights.esp
[32]     Tactical Flashlights - Settings.esp
[33]     WestTekTacticalOptics.esp
[34]     Atomic Lust.esp
[35]     th1nkEyebot.esp
[36]     ImiUzi.esp
[37]     MG42.esp
[38]     Toz194.esp
[39]     DlxClothesPack.esp
[3A]     SS2_Addon_R2R.esp
[3B]     True Caves.esp
[3C]     A Forest.esp
[3D]     ECO.esp
[3E]     NSA All-in-One.esp
[3F]     ImmersiveScrapping_SeasonPass.esp
[40]     subwayrunnnerdynamiclighting.esp
[41]     OutcastsAndRemnants.esp
[42]     MojaveImports.esp
[43]     F4NV-N99.esp
[44]     BeastWhisperer.esp
[45]     Depravity.esp
[46]     The Train.esp
[47]     mr Loot Logic and Reduction.esp
[48]     ImmersiveAnimationFramework.esp
[49]     UnbogusPerks.esp
[4A]     America Rising - A Tale of the Enclave.esp
[4B]     Atomic World.esp
[4C]     Eli_Armour_Compendium.esp
[4D]     Fusion Gun.esp
[4E]     W.A.T.Minutemen.esp
[4F]     LevelersBunker.esp
[50]     AmazingFollowerTweaks.esp
[51]     retakrew7 - workshop lighting overhaul.esp
[52]     WastelandEnergyShields.esp
[53]     EnclaveFactionItems.esp
[54]     Backpacks of the Commonwealth.esp
[55]     Skb_RiflesRebirth.esp
[56]     M2_Flamethrower_2.2.esp
[57]     ABundleofTape.esp
[58]     Glock86.esp
[59]     mjp_PTRS41ATR.esp
[5A]     WinchesterP94Balanced2.esp
[5B]     DOOMMerged.esp
[5C]     MisriahArmory.esp
[5D]     SS2_FDK_TinyLiving.esp
[5E]     ProjectValkyrie.esp
[5F]     Remington.esp
[60]     ChinaLakeandHolorifle.esp
[61]     SA80.esp
[62]     TheZone.esp
[63]     WattzLaserGun.esp
[64]     LString_Bow.esp
[65]     DWUK_LexingtonInteriors.esp
[66]     ClassicSniper.esp
[67]     SS2WastelandVenturers.esp
[68]     SS2_SIMPDDDD.esp
[69]     Fallout Equestria - SS2 Chapter 2.esp
[6A]     spas12.esp
[6B]     SettlementMenuManager.esp
[6C]     VtawWardrobe4.esp
[6D]     Reverb and Ambiance Overhaul.esp
[6E]     MojaveImports - Combat Addon.esp
[6F]     PONYOARMARK2.3.esp
[70]     PonyDepMark1.esp
[71]     Zeeb - NPCs.esp
[72]     [SS20Addon] SimSettlements SuperStructures.esp
[73]     GrenadeLauncherStandalone.esp
[74]     PipeShotgun.esp
[75]     WIPAG_Power Armor Overhaul.esp
[76]     Fallout Equestria - America Rising.esp
[77]     ohSIM_Sim2_Settlements_Scrappers_Addon.esp
[78]     LeeEnfieldNo4MkI.esp
[79]     SteyrAUGnv.esp
[7A]     SS2_ruined_simsettlement_addonpack.esp
[7B]     SS2-Jampads2.esp
[7C]     JunkTownTwo.esp
[7D]     AKMnv.esp
[7E]     DnxTattoos.esp
[7F]     RutahTattooPack_FO4.esp
[80]     Gunner_Operator.esp
[81]     Fallout Equestria - We Are the Minutemen.esp
[82]     zz_Automatron_Robots.esp
[83]     AutomatronDialogueFix.esp
[84]     SV-98.esp
[85]     M60.esp
[86]     Mossberg500.esp
[87]     DeathclawArmory.esp
[88]     Chrysalis' Armour.esp
[89]     SS2-PraRandomAddon.esp
[8A]     Hellfirenew.esp
[8B]     SKKGlobalStashScrapping.esp
[8C]     Arbitration - Button Lowered Weapons.esp
[8D]     CCOVulgarVillainsReplacer.esp
[8E]     CCOSaucySettlersReplacer.esp
[8F]     CCOFoxyFactionsReplacer.esp
[90]     slootyVaultSuit.esp
[91]     MyCityPlans 1.3.esp
[92]     FnScar.esp
[93]     HK_MP5.esp
[94]     M1A.esp
[95]     HK_UMP.esp
[96]     G3Family.esp
[97]     SKKMultiracialWorkshopActors.esp
[98]     EXALT Cybernetics.esp
[99]     1CAS_ServiceRifle.esp
[9A]     3dscopes-replacer.esp
[9B]     GS Lever Action Shotgun.esp
