[00]     Fallout4.esm
[01]     DLCRobot.esm
[02]     DLCworkshop01.esm
[03]     DLCCoast.esm
[04]     DLCworkshop02.esm
[05]     DLCworkshop03.esm
[06]     DLCNukaWorld.esm
[07]     ArmorKeywords.esm
[08]     9mmPistol.esp
[09]     XDI.esm
[0A]     CWPointLookoutFO4.esm
[0B]     Fallout 4 Fixes.esm
[0C]     HUDFramework.esm
[0D]     TacticalReload.esm
[0E]     JonsMod.esm
[0F]     SimSettlements.esm
[10]     TrueStormsFO4.esm
[11]     WorkshopFramework.esm
[12]     unofficial fallout 4 patch.esp
[13]     WM Chinese Assault Rifle - Standalone.esp
[14]     ECO.esp
[15]     F4CW10mmSMG.esp
[16]     45autoPistol.esp
[17]     SigSauer127.esp
[18]     127mmSMG.esp
[19]     Institute Sword.esp
[1A]     Animals and Feral Ghouls Can't Open Doors WIP 0.0.2.esp
[1B]     PAMAP.esp
[1C]     Armorsmith Extended.esp
[1D]     AutomatronPrewarPaints.esp
[1E]     th1nkEyeBot-DLC03DLC04Addon.esp
[1F]     th1nkEyeBot-FarHarbor.esp
[20]     th1nkEyeBot-NukaWorld.esp
[21]     th1nkEyebot.esp
[22]     RobotFactionPaint.esp
[23]     Better_Settlement_Defence.esp
[24]     Vanilla Battle Rifle - Standalone Weapon.esp
[25]     BetterSettlers.esp
[26]     BetterSettlersNoLollygagging.esp
[27]     BlurKillerComplete.esp
[28]     CLB_BogeymanBasic.esp
[29]     BostonFPSFixAIO.esp
[2A]     Brawl Bug Fix.esp
[2B]     CBBE.esp
[2C]     R97r Camo Weapon Skins.esp
[2D]     DP_CaravanShotgun.esp
[2E]     ChinaLakeandHolorifle.esp
[2F]     Cho1-Workshop-Framework-stuff.esp
[30]     CombatZoneRestored.esp
[31]     KSHairdos.esp
[32]     CompanionAccuracy.esp
[33]     CompanionStatus.esp
[34]     CourserCrusher.esp
[35]     Crossbow.esp
[36]     CrudeBlowback - AWKCR.esp
[37]     CrudeBlowback.esp
[38]     CK-RestoredDamageTypes.esp
[39]     Cut Crafting Stations Restored.esp
[3A]     CK-RestoredDamageTypes CWMR patch.esp
[3B]     CutWeaponModsRestored-GOTY.esp
[3C]     ClassicSniper.esp
[3D]     DarkerNights.esp
[3E]     DarkerNightsDetection.esp
[3F]     DesertEagleNV.esp
[40]     ECO_127.esp
[41]     EveryonesBestFriend.esp
[42]     LrsamwaysExtendedPaints.esp
[43]     FG_ReloadSounds.esp
[44]     [ARRETH] FGEP.esp
[45]     Faster Terminal Displays (20x).esp
[46]     GreaseGunSMG 9mmPatch.esp
[47]     GreaseGunSMG.esp
[48]     GunmetalArmorSkins.esp
[49]     GunmetalWeaponSkins.esp
[4A]     HandmadeRevolver.esp
[4B]     NukaWorldRifleClassicStock.esp
[4C]     Classic_Handmade.esp
[4D]     Flashy_CrimeAndPunishment_GunForHire_Addon.esp
[4E]     HuntingRevolver.esp
[4F]     InGameCollectibleMaps.esp
[50]     fog.esp
[51]     Immersive Paint Job Unlocks.esp
[52]     HuntingShotgun.esp
[53]     IP4APA.esp
[54]     LString_Bow.esp
[55]     PiPboyLegonds.esp
[56]     Immersive HUD.esp
[57]     Lever Action Reload Fix.esp
[58]     BodyTriangleEnhancer.esp
[59]     ConceptPlasma.esp
[5A]     LooksMenu Customization Compendium.esp
[5B]     Insignificant Object Remover.esp
[5C]     LooksMenu.esp
[5D]     LootDetector_Ex_127.esp
[5E]     RiotShotgun.esp
[5F]     TacticalReloadVanilla.esp
[60]     TacticalReloadDLC.esp
[61]     HuntingRifleSounds.esp
[62]     Max Performance - All Interiors - All DLC.esp
[63]     CombatZoneRestored_XDI.esp
[64]     22LR_SilentPistol_ENG.esp
[65]     MrHandyPlasmaGun.esp
[66]     ConcordMusuemRestoration.esp
[67]     NPC Accuracy Revised.esp
[68]     NVUMP.esp
[69]     MODnukabreaker.esp
[6A]     TrueStormsFO4-NukaWorld-FH-Compat.esp
[6B]     Nuka-MixUniqueTextures.esp
[6C]     AKSounds.esp
[6D]     Don't Cut Me - Paintballs and Mortars (Contraptions DLC).esp
[6E]     StartMeUpFarHarborPatch.esp
[6F]     Plasma_Caster_Standalone.esp
[70]     PA-Quick Animations.esp
[71]     RA Restored.esp
[72]     RailroadPerksCut.esp
[73]     RangeRifle.esp
[74]     Reverb and Ambiance Overhaul.esp
[75]     PushDagger.esp
[76]     Scrap Everything - Ultimate Edition.esp
[77]     ScrappableLegendariesUniquesFO4andDLCs.esp
[78]     Scrapper Corpse Highlighting - DLCRobots Fixes.esp
[79]     MikeMooresMCAM.esp
[7A]     SettlementMenuManager.esp
[7B]     F4NVServiceRifleRedux.esp
[7C]     Settler Sandbox Overhaul.esp
[7D]     3dscopes-crossbow.esp
[7E]     3dscopes-holorifle.esp
[7F]     3dscopes-huntingrevolver.esp
[80]     3dscopes-servicerifle.esp
[81]     3dscopes.esp
[82]     3DNPC_FO4Settler.esp
[83]     Silenced38Pistol.esp
[84]     SkjAlert_All_DLC.esp
[85]     StartMeUp.esp
[86]     Stop Eating Scrap!.esp
[87]     3DNPC_FO4.esp
[88]     RoboAsimov_TabooTattoosCutContentRestored.esp
[89]     GaussRevolver.esp
[8A]     MMsLaserRCW.esp
[8B]     WastelandCodex.esp
[8C]     TrueStormsFO4-EarlierSunsets.esp
[8D]     TrueStormsFO4-EarlierSunsetsFH.esp
[8E]     TrueStormsFO4-FarHarbor.esp
[8F]     UniqueUniques.esp
[90]     VanillaArmorPaints.esp
[91]     VarmintRifle.esp
[92]     WM Chinese Assault Rifle - Glow Sights.esp
[93]     WeaponRackFixes-NukaWorld.esp
[94]     WattzLaserGun.esp
