XINPUT1_3.dll                    0x000000400000
X3DAudio1_7.dll                  0x000056600000
steam_api64.dll                  0x000056610000
d3d11.dll                        0x000180000000
NSI.dll                          0x0202B1D60000
LL_fourPlay_1_10_163.dll         0x0202E1230000
MSCTF.dll                        0x0202EF1C0000
Fallout4.exe                     0x7FF79BDE0000
d3dcompiler_46e.dll              0x7FFCD27C0000
steamclient64.dll                0x7FFCD2B80000
IPHLPAPI.DLL                     0x7FFCD4170000
gameoverlayrenderer64.dll        0x7FFCDA720000
Buffout4.dll                     0x7FFCE3490000
XAudio2_7.dll                    0x7FFCE4050000
XDI.dll                          0x7FFCE7920000
wsfw_identifier.dll              0x7FFCE7990000
UnlimitedSurvivalMode.dll        0x7FFCE7A90000
SettlementOfUnlimitedSize.dll    0x7FFCE7B60000
ProjectMojave.dll                0x7FFCE7BB0000
PRKF.dll                         0x7FFCE7C30000
PowerGridTools.dll               0x7FFCE7CC0000
DSOUND.DLL                       0x7FFCE9910000
place.dll                        0x7FFCE9A50000
PipboyTabs.dll                   0x7FFCE9AD0000
mcm.dll                          0x7FFCE9B30000
MSVCP140.dll                     0x7FFD034A0000
VCRUNTIME140.dll                 0x7FFD03530000
f4ee.dll                         0x7FFD03860000
D3DCOMPILER_43.dll               0x7FFD03970000
RustyFaceFix.dll                 0x7FFD03F50000
tier0_s64.dll                    0x7FFD03FA0000
KnockoutFramework.dll            0x7FFD0E810000
Discord_Presence_F4SE.dll        0x7FFD10CC0000
Ghoulification.dll               0x7FFD10D80000
rename_anything.dll              0x7FFD111D0000
ClassicHolsteredWeapons.dll      0x7FFD118A0000
f4se_1_10_163.dll                0x7FFD11970000
winmmbase.dll                    0x7FFD15FF0000
MpOav.dll                        0x7FFD165C0000
faster_workshop.dll              0x7FFD17170000
flexRelease_x64.dll              0x7FFD171D0000
BulletCountedReload.dll          0x7FFD174F0000
fastprox.dll                     0x7FFD177A0000
f4pm.dll                         0x7FFD178B0000
vstdlib_s64.dll                  0x7FFD17920000
MSVCR110.dll                     0x7FFD17B10000
hudextension.dll                 0x7FFD18270000
GFSDK_SSAO_D3D11.win64.dll       0x7FFD18340000
MSVCP110.dll                     0x7FFD183D0000
VCRUNTIME140_1.dll               0x7FFD19430000
crafting_highlight_fix.dll       0x7FFD19470000
BetterConsole.dll                0x7FFD19D30000
bink2w64.dll                     0x7FFD19DA0000
cudart64_75.dll                  0x7FFD19E60000
amsi.dll                         0x7FFD1A080000
wbemsvc.dll                      0x7FFD1A280000
wbemprox.dll                     0x7FFD1AA10000
GFSDK_GodraysLib.x64.dll         0x7FFD1B020000
d3dx11_43.dll                    0x7FFD1DED0000
mskeyprotect.dll                 0x7FFD1EE30000
ncryptsslp.dll                   0x7FFD1EE90000
encounter_zone_recalculation.dll 0x7FFD218E0000
flexExtRelease_x64.dll           0x7FFD21950000
COMCTL32.dll                     0x7FFD21E60000
Windows.UI.dll                   0x7FFD24790000
textinputframework.dll           0x7FFD2BAE0000
InputHost.dll                    0x7FFD2C1E0000
f4se_steam_loader.dll            0x7FFD2D1C0000
Secur32.dll                      0x7FFD2EE80000
DbgHelp.dll                      0x7FFD2F090000
WINSPOOL.DRV                     0x7FFD2F670000
webio.dll                        0x7FFD3CF60000
wbemcomn.dll                     0x7FFD3D000000
VERSION.dll                      0x7FFD3DE20000
igc64.dll                        0x7FFD3FC20000
igdgmm64.dll                     0x7FFD43AD0000
IntelControlLib.dll              0x7FFD43F60000
fwpuclnt.dll                     0x7FFD43FF0000
WINMM.dll                        0x7FFD440E0000
rasadhlp.dll                     0x7FFD44110000
igd10um64xe.DLL                  0x7FFD44120000
igd10iumd64.dll                  0x7FFD459F0000
WINHTTP.dll                      0x7FFD46EE0000
dxcore.dll                       0x7FFD47480000
dhcpcsvc.DLL                     0x7FFD47E60000
dhcpcsvc6.DLL                    0x7FFD47E80000
WINNSI.DLL                       0x7FFD47FE0000
WindowsCodecs.dll                0x7FFD48290000
MMDevApi.dll                     0x7FFD48450000
AUDIOSES.DLL                     0x7FFD484E0000
twinapi.appcore.dll              0x7FFD48680000
WindowManagementAPI.dll          0x7FFD48890000
avrt.dll                         0x7FFD48F70000
PROPSYS.dll                      0x7FFD49910000
nvToolsExt64_1.dll               0x7FFD49DB0000
MSIMG32.dll                      0x7FFD49E00000
wintypes.dll                     0x7FFD49F20000
d3d11.dll                        0x7FFD4A4E0000
CoreUIComponents.dll             0x7FFD4B290000
CoreMessaging.dll                0x7FFD4B630000
apphelp.dll                      0x7FFD4B900000
UxTheme.dll                      0x7FFD4BA10000
resourcepolicyclient.dll         0x7FFD4BAF0000
dwmapi.dll                       0x7FFD4BBF0000
kernel.appcore.dll               0x7FFD4BEE0000
windows.storage.dll              0x7FFD4C0E0000
HID.DLL                          0x7FFD4C880000
dxgi.dll                         0x7FFD4C8C0000
schannel.DLL                     0x7FFD4CF80000
ntmarta.dll                      0x7FFD4D1A0000
UMPDC.dll                        0x7FFD4D430000
IpHlpAPI.dll                     0x7FFD4D450000
DNSAPI.dll                       0x7FFD4D4A0000
powrprof.dll                     0x7FFD4D5C0000
MSWSOCK.dll                      0x7FFD4D7B0000
CRYPTBASE.DLL                    0x7FFD4D9C0000
Wldp.dll                         0x7FFD4DA50000
NTASN1.dll                       0x7FFD4DA80000
ncrypt.dll                       0x7FFD4DAC0000
MSASN1.dll                       0x7FFD4DBE0000
DEVOBJ.dll                       0x7FFD4DDA0000
DPAPI.DLL                        0x7FFD4DDE0000
SSPICLI.DLL                      0x7FFD4DEC0000
USERENV.dll                      0x7FFD4DF00000
profapi.dll                      0x7FFD4DF40000
WINTRUST.dll                     0x7FFD4E010000
CRYPT32.dll                      0x7FFD4E080000
KERNELBASE.dll                   0x7FFD4E1E0000
