XINPUT1_3.dll                    0x000000400000
X3DAudio1_7.dll                  0x000066870000
steam_api64.dll                  0x000066880000
RTSSHooks64.dll                  0x000180000000
Fallout4.exe                     0x7FF6B1570000
steamclient64.dll                0x7FFAB7D10000
d3dcompiler_42.dll               0x7FFABD4F0000
d3dx11_42.dll                    0x7FFABD770000
gameoverlayrenderer64.dll        0x7FFB06140000
wsfw_identifier.dll              0x7FFB062D0000
XAudio2_7.dll                    0x7FFB067D0000
UneducatedShooter.dll            0x7FFB06860000
ShadowBoostFO4.dll               0x7FFB068C0000
IPHLPAPI.DLL                     0x7FFB06990000
place.dll                        0x7FFB1B720000
mcm.dll                          0x7FFB1B7A0000
Buffout4.dll                     0x7FFB1B840000
HighFPSPhysicsFix.dll            0x7FFB21660000
faster_workshop.dll              0x7FFB235F0000
f4ee.dll                         0x7FFB25070000
tier0_s64.dll                    0x7FFB25180000
ESPExplorer.dll                  0x7FFB26550000
ClassicHolsteredWeapons.dll      0x7FFB26AD0000
BulletCountedReload.dll          0x7FFB26B80000
nvwgf2umx.dll                    0x7FFB288E0000
f4se_1_10_163.dll                0x7FFB2B980000
crafting_highlight_fix.dll       0x7FFB2BB70000
vstdlib_s64.dll                  0x7FFB2BBC0000
flexRelease_x64.dll              0x7FFB2BC50000
MSVCR110.dll                     0x7FFB2C060000
MSVCP110.dll                     0x7FFB2C140000
tbbmalloc.dll                    0x7FFB2D380000
usvfs_x64.dll                    0x7FFB34EB0000
xinput1_4.dll                    0x7FFB35690000
GFSDK_SSAO_D3D11.win64.dll       0x7FFB36F10000
WeaponDebrisCrashFix.dll         0x7FFB37160000
SprintStutteringFix.dll          0x7FFB37180000
PriorityMod.dll                  0x7FFB383A0000
cudart64_75.dll                  0x7FFB38630000
GFSDK_GodraysLib.x64.dll         0x7FFB474D0000
bink2w64.dll                     0x7FFB47530000
encounter_zone_recalculation.dll 0x7FFB4A970000
flexExtRelease_x64.dll           0x7FFB51770000
f4se_steam_loader.dll            0x7FFB51CB0000
mskeyprotect.dll                 0x7FFB5B180000
ncryptsslp.dll                   0x7FFB5B6D0000
Secur32.dll                      0x7FFB5D800000
