[00]     Fallout4.esm
[01]     DLCRobot.esm
[02]     DLCworkshop01.esm
[03]     DLCCoast.esm
[04]     DLCworkshop02.esm
[05]     DLCworkshop03.esm
[06]     DLCNukaWorld.esm
[07]     Unofficial Fallout 4 Patch.esp
[08]     EthreonMasterPlan.esm
[09]     Homemaker.esm
[0A]     WorkshopFramework.esm
[0B]     SettlementKeywords.esm
[0C]     HUDFramework.esm
[0D]     ESPExplorerFO4.esp
[0E]     Homemaker - Streetlights Use Passive Power.esp
[0F]     OWM-DLCNukaWorld.esp
[10]     OWM-DLCRobot.esp
[11]     WorkshopRearranged.esp
[12]     VanillaExtensions.esp
[13]     BetterJunkFences.esp
[14]     LongerPowerLines3x.esp
[15]     ManufacturingExtended.esp
[16]     SettlementMenuManager.esp
[17]     Weapon Rack Extended.esp
[18]     WorkshopPlus.esp
[19]     BetterShackBridges.esp
[1A]     SSEX.esp
[1B]     Passthrough.esp
[1C]     DD_All_the_COncrete.esp
[1D]     SLR.esp
[1E]     ImmersiveScrapping.esp
[1F]     RAW INPUT.esp
[20]     CombatStyleNPC.esp
[21]     ECO.esp
[22]     Integration.esp
[23]     FO4Hotkeys.esp
[24]     PA-Quick Animations.esp
[25]     SurvivalOptions.esp
[26]     SalvageBeacons.esp
[27]     VAFS Redux.esp
[28]     VAFS Redux DLC Patch.esp
[29]     LogicalJunkWeight.esp
[2A]     EasyLockpicking.esp
[2B]     Reverb and Ambiance Overhaul.esp
[2C]     B.E.W.S. 15dmg.esp
[2D]     Fallout Suite.esp
[2E]     Project Reality Footsteps FO4.esp
[2F]     Combat Music Fix - FO4 Edition.esp
[30]     DarkerNights.esp
[31]     DarkerNightsDetection.esp
[32]     plasmaproject.esp
[33]     D.E.C.A.Y.esp
[34]     NoMore-Explosion Blinding Effect.esp
[35]     Depth of Field Removal.esp
[36]     Vivid Weathers - FO4.esp
[37]     Vivid Weathers - FO4 - Winter.esp
[38]     Vivid Weathers - FO4 - Far Harbor.esp
[39]     Vivid Weathers - Nuka World.esp
[3A]     NeuraLOD.esp
[3B]     LooksMenu.esp
[3C]     LooksMenu Customization Compendium.esp
[3D]     AzarPonytailHairstyles.esp
[3E]     Lots More Facial Hair.esp
[3F]     Lots More Male Hairstyles.esp
[40]     EnclaveX02.esp
[41]     powerarmort49.esp
[42]     CAPA.esp
[43]     FO4TribalPowerArmor.esp
[44]     T65PA.esp
[45]     T-51C Power Armor.esp
[46]     BioshockInspiredPowerArmor.esp
[47]     Hellfirenew.esp
[48]     BOS_overhaul.esp
[49]     Enclave-X02.esp
[4A]     PA_Pack.esp
[4B]     Inst_Exoskeleton_R-20.esp
[4C]     MilitarizedMinutemen.esp
[4D]     BLUE WATM-MilM Patch.esp
[4E]     TacticalCourser.esp
[4F]     TacticalCourser_Standalone.esp
[50]     Liberator.esp
[51]     F4NV-AMR.esp
[52]     M60.esp
[53]     WattzLaserGun.esp
[54]     LAER.esp
[55]     L96A1.esp
[56]     F4NVServiceRifleRedux.esp
[57]     M1928A1.esp
[58]     Crucidox Arms - Modular M700 MOD X.esp
[59]     Crucidox Arms - Modular Dragunov SVDS.esp
[5A]     Crucidox Arms - Modular MP7A2.esp
[5B]     HuntingRevolver.esp
[5C]     1CAS_serviceRifle.esp
[5D]     SchofieldRevolver.esp
[5E]     WinchesterP94Balanced2.esp
[5F]     MG42.esp
[60]     AK400.esp
[61]     Ak5C.esp
[62]     DOOMMerged.esp
[63]     ehtyeci_MPX.esp
[64]     FOrigin12.esp
[65]     G3Family.esp
[66]     GlockEFT.esp
[67]     McMillanCS5.esp
[68]     HK_MP5.esp
[69]     HK_UMP.esp
[6A]     OTs33Pernach.esp
[6B]     P90.esp
[6C]     P90NPC.esp
[6D]     HaxAUG.esp
[6E]     AX50.esp
[6F]     qbz83.esp
[70]     RU556.esp
[71]     Modular Arms Crucidox Edit - AR15.esp
[72]     BerettaM9FS.esp
[73]     Wana_SA58.esp
[74]     WM Chinese Assault Rifle - Standalone.esp
[75]     WastelandMelody+SREP(villings).esp
[76]     AA-12.esp
[77]     Escape from Boston - G36.esp
[78]     Escape from Boston - M200 Intervention.esp
[79]     RPD.esp
[7A]     Archimedes-II.esp
[7B]     DesertEagleNV.esp
[7C]     EFT_MP5.esp
[7D]     SIG_P320.esp
[7E]     Glock19x.esp
[7F]     AAC_HoneyBadger.esp
[80]     HsProduktVhs2.esp
[81]     ImiGalil.esp
[82]     G3A3.esp
[83]     APC9.esp
[84]     SigMCX.esp
[85]     AER15.esp
[86]     Mossberg500.esp
[87]     Quad_Fusillade.esp
[88]     SteyrAUGnv.esp
[89]     ChinaLakeandHolorifle.esp
[8A]     AKMnv.esp
[8B]     RemoteExplosives.esp
[8C]     M1A.esp
[8D]     MK18.esp
[8E]     AK74M.esp
[8F]     GIAT_FAMAS.esp
[90]     G36Complex.esp
[91]     MP7.esp
[92]     CazadorML.esp
[93]     HaxRPG7.esp
[94]     ImiUzi.esp
[95]     X12Plasmacaster.esp
[96]     Remington700.esp
[97]     M203.esp
[98]     cz805_bren.esp
[99]     P90_EFT.esp
[9A]     M1911.esp
[9B]     HKUSP9mm.esp
[9C]     FnScar.esp
[9D]     FnScar_LvlListPatch.esp
[9E]     SPR300.esp
[9F]     Zenit.esp
[A0]     Backpacks of the Commonwealth.esp
[A1]     Mercenary.esp
[A2]     Crimsomrider's Accessories.esp
[A3]     WestTekTacticalOptics.esp
[A4]     Railroadheavy.esp
[A5]     W.A.T.Minutemen.esp
[A6]     Galac-TactREDUX.esp
[A7]     Galac-tacwesttek.esp
[A8]     MyCart_Biohazard.esp
[A9]     AimpointForDSR.esp
