XINPUT1_3.dll                 0x000000400000
steam_api64.dll               0x00005B660000
X3DAudio1_7.dll               0x00005B6A0000
Fallout4.exe                  0x7FF7D2260000
d3dcompiler_47_64.dll         0x7FF965200000
XAudio2_7.dll                 0x7FF966DC0000
NvCamera64.dll                0x7FF967B10000
gameoverlayrenderer64.dll     0x7FF968A70000
wsfw_identifier.dll           0x7FF968C00000
transfer_settlements.dll      0x7FF968D00000
terminal+.dll                 0x7FF968FD0000
PowerGridTools.dll            0x7FF969120000
NVIDIA_Reflex.dll             0x7FF969190000
HHS.dll                       0x7FF969260000
f4ee.dll                      0x7FF969350000
Buffout4.dll                  0x7FF969460000
auto_backup_executable.dll    0x7FF9697C0000
steamclient64.dll             0x7FF969B30000
IPHLPAPI.DLL                  0x7FF96B160000
DINPUT8.dll                   0x7FF96C1D0000
tier0_s64.dll                 0x7FF96C220000
flexRelease_x64.dll           0x7FF96C3C0000
mcm.dll                       0x7FF96D830000
HighFPSPhysicsFix.dll         0x7FF9711B0000
F4z Ro D'oh.dll               0x7FF971380000
BetterConsole.dll             0x7FF971630000
f4se_1_10_163.dll             0x7FF9717F0000
vstdlib_s64.dll               0x7FF98AF10000
nvspcap64.dll                 0x7FF99DCE0000
ESPExplorer.dll               0x7FF9D2740000
GFSDK_SSAO_D3D11.win64.dll    0x7FF9D9600000
bink2w64.dll                  0x7FF9D9690000
enbhelperf4.dll               0x7FF9E0A90000
GFSDK_GodraysLib.x64.dll      0x7FF9E1B10000
f4se_steam_loader.dll         0x7FF9E7F00000
cudart64_75.dll               0x7FF9E8020000
PriorityMod.dll               0x7FF9F0E00000
ResampleDmo.DLL               0x7FF9F4670000
MessageBus.dll                0x7FF9F5110000
DSOUND.DLL                    0x7FF9F58C0000
msdmo.dll                     0x7FF9F5BE0000
winmmbase.dll                 0x7FF9F5D80000
VCRUNTIME140.dll              0x7FF9F8A30000
VCRUNTIME140_1.dll            0x7FF9F8A50000
MSVCP140.dll                  0x7FF9F8A60000
XINPUT9_1_0.dll               0x7FF9FB840000
flexExtRelease_x64.dll        0x7FF9FB850000
MSVCR110.dll                  0x7FF9FB8B0000
MSVCP110.dll                  0x7FF9FB990000
WeaponDebrisCrashFix.dll      0x7FF9FDBD0000
textinputframework.dll        0x7FF9FF8F0000
inputhost.dll                 0x7FF9FFA40000
nvwgf2umx.dll                 0x7FFA00060000
MessageBus.dll                0x7FFA062A0000
Windows.UI.dll                0x7FFA09940000
OneCoreCommonProxyStub.dll    0x7FFA0A170000
AUDIOSES.DLL                  0x7FFA0B550000
WINSPOOL.DRV                  0x7FFA0B820000
COMCTL32.dll                  0x7FFA0B8D0000
MSIMG32.dll                   0x7FFA0BD30000
nvapi64.dll                   0x7FFA0BFF0000
WINMM.dll                     0x7FFA0CF90000
nvgpucomp64.dll               0x7FFA0DC20000
nvldumdx.dll                  0x7FFA10120000
OneCoreUAPCommonProxyStub.dll 0x7FFA10580000
MMDevApi.dll                  0x7FFA111C0000
drvstore.dll                  0x7FFA12360000
cryptnet.dll                  0x7FFA124C0000
VERSION.dll                   0x7FFA12640000
CoreUIComponents.dll          0x7FFA131E0000
avrt.dll                      0x7FFA13870000
directxdatabasehelper.dll     0x7FFA138C0000
dhcpcsvc.DLL                  0x7FFA13F70000
WINHTTP.dll                   0x7FFA141D0000
WindowsCodecs.dll             0x7FFA15690000
d3d11.dll                     0x7FFA16870000
dcomp.dll                     0x7FFA16AD0000
