[ 0] 0x7FF6C97346EB Fallout4VR.exe+12446EB -> 186907+0x88B
[ 1] 0x7FF6C963981F Fallout4VR.exe+114981F -> 477005+0xAF
[ 2] 0x7FF6C9631658 Fallout4VR.exe+1141658 -> 397055+0xF8
[ 3] 0x7FF6C8D8019B Fallout4VR.exe+089019B -> 1187571+0xEB
[ 4] 0x7FF6C9340516 Fallout4VR.exe+0E50516 -> 696609+0x176
[ 5] 0x7FF6C95F90D8 Fallout4VR.exe+11090D8 -> 1562287+0x38
[ 6] 0x7FF6CA0C0886 Fallout4VR.exe+1BD0886 -> 329005+0xC6
[ 7] 0x7FF6CA0C0D92 Fallout4VR.exe+1BD0D92 -> 194800+0x202
[ 8] 0x7FF6CA0C38C7 Fallout4VR.exe+1BD38C7 -> 96787+0x147
[ 9] 0x7FF6CA08F94D Fallout4VR.exe+1B9F94D -> 495709+0x2CD
[10] 0x7FFEE8347034   KERNEL32.DLL+0017034
[11] 0x7FFEEA3226A1      ntdll.dll+00526A1

REGISTERS:
RAX 0x7FF6CBE1E884     (void* -> Fallout4VR.exe+392E884)
RCX 0x0                (size_t) [0]
RDX 0x15827802250      (Actor*)
RBX 0x0                (size_t) [0]
RSP 0x131989FBB0       (void*)
RBP 0x8F0              (size_t) [2288]
RSI 0x1598A1C4D90      (void*)
RDI 0x158C717EEB4      (void*)
R8  0x158CBBFBC20      (void*)
R9  0xFFFFFF00         (size_t) [4294967040]
R10 0x7FF6CE0AFF00     (void* -> Fallout4VR.exe+5BBFF00)
R11 0x131989FBF8       (void*)
R12 0x0                (size_t) [0]
R13 0x8F0              (size_t) [2288]
R14 0x1598A1C5750      (char*) "q"
R15 0x0                (size_t) [0]

STACK:
[RSP+0  ] 0x15827802250      (Actor*)
[RSP+8  ] 0x7FF600000000     (size_t) [140694538682368]
[RSP+10 ] 0x0                (size_t) [0]
[RSP+18 ] 0x0                (size_t) [0]
[RSP+20 ] 0x0                (size_t) [0]
[RSP+28 ] 0x15827802250      (Actor*)
[RSP+30 ] 0x15827802250      (Actor*)
[RSP+38 ] 0x15800000000      (void*)
[RSP+40 ] 0x158CA09BE48      (void*)
[RSP+48 ] 0x7FF6C963981F     (void* -> Fallout4VR.exe+114981F)
[RSP+50 ] 0x285644           (size_t) [2643524]
[RSP+58 ] 0x71               (size_t) [113]
[RSP+60 ] 0x0                (size_t) [0]
[RSP+68 ] 0x158B1700F48      (void*)
[RSP+70 ] 0x1598A1C5680      (void*)
[RSP+78 ] 0x7FF6C9631658     (void* -> Fallout4VR.exe+1141658)
[RSP+80 ] 0x158B1700F00      (void*)
[RSP+88 ] 0x158B1700F48      (void*)
[RSP+90 ] 0x158CA09BE48      (void*)
[RSP+98 ] 0x7FF6C8D80032     (void* -> Fallout4VR.exe+0890032)
[RSP+A0 ] 0xBF800000         (size_t) [3212836864]
[RSP+A8 ] 0x15827802250      (Actor*)
[RSP+B0 ] 0x7FF6CB16FFB8     (void* -> Fallout4VR.exe+2C7FFB8)
[RSP+B8 ] 0x158B1700F48      (void*)
[RSP+C0 ] 0x7FF6CE130A14     (void* -> Fallout4VR.exe+5C40A14)
[RSP+C8 ] 0x0                (size_t) [0]
[RSP+D0 ] 0x7FF6CE130A10     (void* -> Fallout4VR.exe+5C40A10)
[RSP+D8 ] 0x7FF6CE130A18     (void* -> Fallout4VR.exe+5C40A18)
[RSP+E0 ] 0x158CBBFBC50      (void*)
[RSP+E8 ] 0x7FF6C8D8019B     (void* -> Fallout4VR.exe+089019B)
[RSP+F0 ] 0x0                (size_t) [0]
[RSP+F8 ] 0x0                (size_t) [0]
