XINPUT1_3.dll                0x000000400000
steam_api64.dll              0x000065DD0000
X3DAudio1_7.dll              0x000065E50000
sfc.dll                      0x015802E40000
bcryptPrimitives.dll         0x015804AB0000
FO4VRTools.dll               0x015804C70000
Fallout4VR.exe               0x7FF6C84F0000
IPHLPAPI.DLL                 0x7FFE835D0000
nvwgf2umx.dll                0x7FFE84550000
AcLayers.DLL                 0x7FFE87060000
steamclient64.dll            0x7FFE8AA70000
vrclient_x64.dll             0x7FFE8EE70000
sfc_os.DLL                   0x7FFEA05A0000
DSOUND.DLL                   0x7FFEA0720000
MSVCP140.dll                 0x7FFEA1630000
VCRUNTIME140_1.dll           0x7FFEA16C0000
VCRUNTIME140.dll             0x7FFEA16D0000
winmmbase.dll                0x7FFEAAA80000
gameoverlayrenderer64.dll    0x7FFEAF1D0000
mcm_vr.dll                   0x7FFEAF770000
tier0_s64.dll                0x7FFEAF8C0000
FRIK.dll                     0x7FFEAFAE0000
Buffout4.dll                 0x7FFEB4290000
OPENGL32.dll                 0x7FFEB6490000
GLU32.dll                    0x7FFEB6930000
vstdlib_s64.dll              0x7FFEB9110000
ondemandconnroutehelper.dll  0x7FFEB96B0000
f4sevr_1_2_72.dll            0x7FFEC1B30000
MSVCR110.dll                 0x7FFEC1C10000
HighFPSPhysicsFixVR.dll      0x7FFEC2380000
Windows.UI.dll               0x7FFEC3460000
InputHost.dll                0x7FFEC3DB0000
WININET.dll                  0x7FFEC4FF0000
dxgi.dll                     0x7FFEC63A0000
MSVCP110.dll                 0x7FFEC6440000
XAudio2_7.dll                0x7FFEC6F30000
bink2w64.dll                 0x7FFEC70D0000
openvr_api.dll               0x7FFEC7160000
PrivateProfileRedirector.dll 0x7FFEC7D00000
FO4VR_better_scopes.dll      0x7FFEC8160000
BakaScrapHeap.dll            0x7FFEC8810000
f4sevr_steam_loader.dll      0x7FFEC8F00000
d3d11.dll                    0x7FFECA7A0000
textinputframework.dll       0x7FFECF170000
vcheck_patcher.dll           0x7FFED2010000
MPR.dll                      0x7FFED2250000
iertutil.dll                 0x7FFED3180000
MSVCP140_ATOMIC_WAIT.dll     0x7FFED6A10000
SortWindows61.dll            0x7FFED7480000
AcGenral.DLL                 0x7FFED78F0000
srvcli.dll                   0x7FFED8490000
ncryptsslp.dll               0x7FFED8780000
Secur32.dll                  0x7FFED87B0000
urlmon.dll                   0x7FFED9980000
COMCTL32.dll                 0x7FFEDA000000
nvldumdx.dll                 0x7FFEDB730000
Oleacc.dll                   0x7FFEDBB00000
WINSPOOL.DRV                 0x7FFEDBB70000
WINMM.dll                    0x7FFEDCE60000
twinapi.appcore.dll          0x7FFEDDAA0000
WindowManagementAPI.dll      0x7FFEDDCA0000
mskeyprotect.dll             0x7FFEDDEE0000
MSIMG32.dll                  0x7FFEDE6E0000
nvapi64.dll                  0x7FFEDEFE0000
fwpuclnt.dll                 0x7FFEE04B0000
rasadhlp.dll                 0x7FFEE0650000
WINHTTP.dll                  0x7FFEE0C20000
avrt.dll                     0x7FFEE0D50000
drvstore.dll                 0x7FFEE1080000
cryptnet.dll                 0x7FFEE1350000
VERSION.dll                  0x7FFEE1390000
dhcpcsvc.DLL                 0x7FFEE1AC0000
dhcpcsvc6.DLL                0x7FFEE1AE0000
dxcore.dll                   0x7FFEE1C60000
WTSAPI32.dll                 0x7FFEE1DC0000
PROPSYS.dll                  0x7FFEE1DE0000
WINNSI.DLL                   0x7FFEE1EF0000
MMDevApi.dll                 0x7FFEE23F0000
AUDIOSES.DLL                 0x7FFEE2570000
d3d11.Dll                    0x7FFEE2E10000
wintypes.dll                 0x7FFEE3DC0000
CoreUIComponents.dll         0x7FFEE4500000
CoreMessaging.dll            0x7FFEE4860000
apphelp.dll                  0x7FFEE4C30000
UxTheme.dll                  0x7FFEE4F00000
resourcepolicyclient.dll     0x7FFEE5080000
dwmapi.dll                   0x7FFEE5370000
DbgHelp.dll                  0x7FFEE55D0000
windows.storage.dll          0x7FFEE5AA0000
kernel.appcore.dll           0x7FFEE6250000
dxgi.dll                     0x7FFEE62A0000
tdh.dll                      0x7FFEE63A0000
ntmarta.dll                  0x7FFEE66B0000
schannel.DLL                 0x7FFEE69A0000
rsaenh.dll                   0x7FFEE6A80000
UMPDC.dll                    0x7FFEE6DF0000
IpHlpAPI.dll                 0x7FFEE6E10000
DNSAPI.dll                   0x7FFEE6E50000
netutils.dll                 0x7FFEE6F20000
powrprof.dll                 0x7FFEE6F80000
MSWSOCK.dll                  0x7FFEE7150000
