XINPUT1_3.dll                    0x000000400000
X3DAudio1_7.dll                  0x000050010000
steam_api64.dll                  0x000077670000
BakaScrapHeap.dll                0x020F03950000
wintrust.dll                     0x020F2E0B0000
clbcatq.dll                      0x020F33230000
Fallout4.exe                     0x7FF690530000
directxdatabasehelper.dll        0x7FF8016D0000
inputhost.dll                    0x7FF801830000
CoreUIComponents.dll             0x7FF8022F0000
textinputframework.dll           0x7FF802660000
d3dcompiler_47_64.dll            0x7FF805260000
DiscordHook64.dll                0x7FF806530000
gameoverlayrenderer64.dll        0x7FF806640000
SUP_F4SE.dll                     0x7FF8067D0000
XAudio2_7.dll                    0x7FF806DE0000
MessageBus.dll                   0x7FF807490000
DINPUT8.dll                      0x7FF8084F0000
XDI.dll                          0x7FF808540000
wsfw_identifier.dll              0x7FF8085B0000
MODExplorer.dll                  0x7FF8086B0000
mcm.dll                          0x7FF808730000
Buffout4.dll                     0x7FF808B70000
cudart64_75.dll                  0x7FF808ED0000
flexRelease_x64.dll              0x7FF808F30000
GFSDK_GodraysLib.x64.dll         0x7FF8094D0000
GFSDK_SSAO_D3D11.win64.dll       0x7FF809530000
msdmo.dll                        0x7FF809EF0000
COMCTL32.dll                     0x7FF809FE0000
gdiplus.dll                      0x7FF80A8C0000
MSVCP110.dll                     0x7FF80AAE0000
MSVCR110.dll                     0x7FF80AB90000
PowerGridTools.dll               0x7FF80AC70000
HighFPSPhysicsFix.dll            0x7FF80ACE0000
flexExtRelease_x64.dll           0x7FF80AEA0000
bink2w64.dll                     0x7FF80AFB0000
f4ee.dll                         0x7FF80B050000
crafting_highlight_fix.dll       0x7FF80B160000
ClassicHolsteredWeapons.dll      0x7FF80B1B0000
BulletCountedReload.dll          0x7FF80B260000
BakaFramework.dll                0x7FF80B2F0000
f4se_steam_loader.dll            0x7FF80BCA0000
f4se_1_10_163.dll                0x7FF80BDC0000
tier0_s64.dll                    0x7FF80BEA0000
vstdlib_s64.dll                  0x7FF80C040000
AUDIOSES.DLL                     0x7FF80C610000
dbghelp.dll                      0x7FF80CFB0000
Secur32.dll                      0x7FF80DE40000
encounter_zone_recalculation.dll 0x7FF80F160000
BakaWaitAnywhere.dll             0x7FF80F190000
VCRUNTIME140_1.dll               0x7FF8107B0000
WININET.dll                      0x7FF8107E0000
winmmbase.dll                    0x7FF810DC0000
MSVCP140.dll                     0x7FF810E30000
VCRUNTIME140.dll                 0x7FF810FD0000
nvToolsExt64_1.dll               0x7FF811000000
nvapi64.dll                      0x7FF813E70000
MMDevApi.dll                     0x7FF815020000
drvstore.dll                     0x7FF8156A0000
cryptnet.dll                     0x7FF815800000
dhcpcsvc.DLL                     0x7FF816AD0000
WINHTTP.dll                      0x7FF816C80000
VERSION.dll                      0x7FF816F60000
WINMM.dll                        0x7FF8171D0000
avrt.dll                         0x7FF817560000
D3DCompiler_47.dll               0x7FF818820000
WindowsCodecs.dll                0x7FF818C10000
d3d11.dll                        0x7FF8193F0000
