XINPUT1_3.dll                 0x000000400000
X3DAudio1_7.dll               0x000058540000
steam_api64.dll               0x000058550000
d3d11.dll                     0x000180000000
ClassicHolsteredWeapons.dll   0x01D781860000
Fallout4.exe                  0x7FF738AC0000
MSVCP140.dll                  0x7FFA4F9A0000
VCRUNTIME140_1.dll            0x7FFA66FD0000
VCRUNTIME140.dll              0x7FFA66FE0000
D3DCOMPILER_43.dll            0x7FFA89E20000
steamclient64.dll             0x7FFA8CF30000
gameoverlayrenderer64.dll     0x7FFA91600000
wsfw_identifier.dll           0x7FFA917A0000
RobCo_Patcher.dll             0x7FFA918A0000
NVIDIA_Reflex.dll             0x7FFA91990000
XDI.dll                       0x7FFA94CB0000
mcm.dll                       0x7FFA94D20000
f4ee.dll                      0x7FFA94DC0000
HighFPSPhysicsFix.dll         0x7FFA95500000
d3dcompiler_46e.dll           0x7FFA95590000
Buffout4.dll                  0x7FFA96260000
UneducatedShooter.dll         0x7FFA96A80000
f4se_1_10_163.dll             0x7FFA96BB0000
tier0_s64.dll                 0x7FFA96E00000
vstdlib_s64.dll               0x7FFA97470000
MSVCR110.dll                  0x7FFA97530000
flexRelease_x64.dll           0x7FFA98200000
BulletCountedReload.dll       0x7FFA984E0000
PowerGridTools.dll            0x7FFA98670000
f4pm.dll                      0x7FFAAC5D0000
cudart64_75.dll               0x7FFAAC710000
GFSDK_GodraysLib.x64.dll      0x7FFAAC770000
MSVCP110.dll                  0x7FFAACC90000
GFSDK_SSAO_D3D11.win64.dll    0x7FFAAE9E0000
vertibird_jump.dll            0x7FFAAEAA0000
winmmbase.dll                 0x7FFAB1540000
bink2w64.dll                  0x7FFAB88A0000
crafting_highlight_fix.dll    0x7FFABA8A0000
XAudio2_7.dll                 0x7FFABAFB0000
DSOUND.DLL                    0x7FFABC3F0000
f4se_steam_loader.dll         0x7FFABCF90000
d3dx11_43.dll                 0x7FFABD850000
flexExtRelease_x64.dll        0x7FFABDA30000
mskeyprotect.dll              0x7FFABFBB0000
ncryptsslp.dll                0x7FFABFE90000
WeaponDebrisCrashFix.dll      0x7FFAC0420000
libdiskCacheEnabler.dll       0x7FFAC1040000
MessageBus.dll                0x7FFAC2210000
COMCTL32.dll                  0x7FFAC2CF0000
nvwgf2umx.dll                 0x7FFAC3B20000
InputHost.dll                 0x7FFACB2F0000
textinputframework.dll        0x7FFACB450000
Windows.UI.dll                0x7FFACB550000
Secur32.dll                   0x7FFACC490000
OneCoreCommonProxyStub.dll    0x7FFACD080000
dbghelp.dll                   0x7FFACDAF0000
MpOav.dll                     0x7FFACF500000
amsi.dll                      0x7FFACF590000
wbemsvc.dll                   0x7FFAD0380000
fastprox.dll                  0x7FFAD03A0000
nvToolsExt64_1.dll            0x7FFAD0980000
wbemcomn.dll                  0x7FFAD0A10000
wbemprox.dll                  0x7FFAD0AA0000
WINMM.dll                     0x7FFAD0AF0000
webio.dll                     0x7FFAD0B20000
nvapi64.dll                   0x7FFAD0BC0000
fwpuclnt.dll                  0x7FFAD1E80000
rasadhlp.dll                  0x7FFAD20D0000
MMDevApi.dll                  0x7FFAD24C0000
AUDIOSES.DLL                  0x7FFAD2550000
drvstore.dll                  0x7FFAD28A0000
nvldumdx.dll                  0x7FFAD29F0000
OneCoreUAPCommonProxyStub.dll 0x7FFAD2AB0000
WINHTTP.dll                   0x7FFAD3370000
cryptnet.dll                  0x7FFAD35C0000
dxcore.dll                    0x7FFAD3680000
VERSION.dll                   0x7FFAD4200000
dhcpcsvc.DLL                  0x7FFAD4680000
dhcpcsvc6.DLL                 0x7FFAD46A0000
twinapi.appcore.dll           0x7FFAD4890000
WindowManagementAPI.dll       0x7FFAD4AA0000
WINNSI.DLL                    0x7FFAD4DF0000
avrt.dll                      0x7FFAD51C0000
PROPSYS.dll                   0x7FFAD5940000
wintypes.dll                  0x7FFAD5DB0000
d3d11.dll                     0x7FFAD6370000
dcomp.dll                     0x7FFAD6BA0000
CoreUIComponents.dll          0x7FFAD6D90000
CoreMessaging.dll             0x7FFAD7550000
apphelp.dll                   0x7FFAD7790000
uxtheme.dll                   0x7FFAD7950000
resourcepolicyclient.dll      0x7FFAD7A50000
dwmapi.dll                    0x7FFAD7B50000
kernel.appcore.dll            0x7FFAD7E40000
windows.storage.dll           0x7FFAD8040000
HID.DLL                       0x7FFAD87E0000
dxgi.dll                      0x7FFAD8820000
schannel.DLL                  0x7FFAD8ED0000
rsaenh.dll                    0x7FFAD8FC0000
ntmarta.dll                   0x7FFAD90E0000
UMPDC.dll                     0x7FFAD9380000
