XINPUT1_3.dll                      0x000000400000
steam_api64.dll                    0x000071C90000
X3DAudio1_7.dll                    0x000071CD0000
LL_fourPlay_1_10_163.dll           0x000180000000
PSAPI.DLL                          0x02120FDB0000
BakaFramework.dll                  0x0212130D0000
Fallout4.exe                       0x7FF67B740000
DSOUND.DLL                         0x7FF88BAC0000
XAudio2_7.dll                      0x7FF88BB60000
gameoverlayrenderer64.dll          0x7FF88C3B0000
XDI.dll                            0x7FF88C540000
WeaponDebrisCrashFix.dll           0x7FF88C5B0000
UnlimitedSurvivalMode.dll          0x7FF88C5D0000
ToYourFaceFO4.dll                  0x7FF88C620000
PriorityMod.dll                    0x7FF88C670000
po3_SpellPerkItemDistributorF4.dll 0x7FF88C6A0000
NVIDIA_Reflex.dll                  0x7FF88C7B0000
mcm.dll                            0x7FF88C880000
HighFPSPhysicsFix.dll              0x7FF88C920000
HHS.dll                            0x7FF88C9B0000
encounter_zone_recalculation.dll   0x7FF88CAA0000
crafting_highlight_fix.dll         0x7FF88CAD0000
Buffout4.dll                       0x7FF88CB20000
BetterPowerArmorRedux.dll          0x7FF88CE40000
f4se_1_10_163.dll                  0x7FF88CF90000
vstdlib_s64.dll                    0x7FF88D070000
tier0_s64.dll                      0x7FF88D130000
steamclient64.dll                  0x7FF88D2D0000
cudart64_75.dll                    0x7FF88E8E0000
GFSDK_SSAO_D3D11.win64.dll         0x7FF88E940000
GFSDK_GodraysLib.x64.dll           0x7FF88E9D0000
MSVCR110.dll                       0x7FF88EA30000
flexExtRelease_x64.dll             0x7FF88EB10000
flexRelease_x64.dll                0x7FF88EB70000
IPHLPAPI.DLL                       0x7FF88ECC0000
MSVCP110.dll                       0x7FF88F280000
bink2w64.dll                       0x7FF88F330000
f4se_steam_loader.dll              0x7FF8AB3A0000
MSVCP140_ATOMIC_WAIT.dll           0x7FF8AB710000
usvfs_x64.dll                      0x7FF8C9E70000
AUDIOSES.DLL                       0x7FF8E0720000
winmmbase.dll                      0x7FF8E2E20000
nvToolsExt64_1.dll                 0x7FF8E3200000
OneCoreCommonProxyStub.dll         0x7FF8E42D0000
mskeyprotect.dll                   0x7FF8E5440000
ncryptsslp.dll                     0x7FF8E73D0000
Secur32.dll                        0x7FF8E7D20000
WINSPOOL.DRV                       0x7FF8E8680000
COMCTL32.dll                       0x7FF8E8840000
nvwgf2umx.dll                      0x7FF8EA2E0000
DbgHelp.dll                        0x7FF8EEBE0000
InputHost.dll                      0x7FF8F02E0000
textinputframework.dll             0x7FF8F0440000
fastprox.dll                       0x7FF8F0540000
Windows.UI.dll                     0x7FF8F0690000
wbemsvc.dll                        0x7FF8F1450000
wbemcomn.dll                       0x7FF8F1850000
wbemprox.dll                       0x7FF8F18E0000
WINMM.dll                          0x7FF8F1B10000
MMDevApi.dll                       0x7FF8F1D30000
fwpuclnt.dll                       0x7FF8F1DC0000
MSVCP140.dll                       0x7FF8F21B0000
VCRUNTIME140_1.dll                 0x7FF8F2700000
VCRUNTIME140.dll                   0x7FF8F2750000
MpOav.dll                          0x7FF8F5200000
amsi.dll                           0x7FF8F5280000
rasadhlp.dll                       0x7FF8F5820000
webio.dll                          0x7FF8F5930000
nvldumdx.dll                       0x7FF8F59D0000
nvapi64.dll                        0x7FF8F5AF0000
dxcore.dll                         0x7FF8F6260000
OneCoreUAPCommonProxyStub.dll      0x7FF8F7130000
drvstore.dll                       0x7FF8F8250000
cryptnet.dll                       0x7FF8F83A0000
WINHTTP.dll                        0x7FF8F83E0000
WindowManagementAPI.dll            0x7FF8F8830000
avrt.dll                           0x7FF8F8D20000
VERSION.dll                        0x7FF8F8D40000
dhcpcsvc.DLL                       0x7FF8F8D70000
dhcpcsvc6.DLL                      0x7FF8F8D90000
WINNSI.DLL                         0x7FF8F8DB0000
twinapi.appcore.dll                0x7FF8F96C0000
PROPSYS.dll                        0x7FF8FA6F0000
d3d11.dll                          0x7FF8FACD0000
wintypes.dll                       0x7FF8FB6A0000
dcomp.dll                          0x7FF8FB800000
CoreUIComponents.dll               0x7FF8FBD70000
CoreMessaging.dll                  0x7FF8FC0D0000
MSIMG32.dll                        0x7FF8FC3F0000
apphelp.dll                        0x7FF8FC480000
UxTheme.dll                        0x7FF8FC590000
resourcepolicyclient.dll           0x7FF8FC650000
dwmapi.dll                         0x7FF8FC950000
kernel.appcore.dll                 0x7FF8FCA60000
windows.storage.dll                0x7FF8FCC60000
HID.DLL                            0x7FF8FD400000
dxgi.dll                           0x7FF8FD440000
schannel.DLL                       0x7FF8FDB00000
rsaenh.dll                         0x7FF8FDBE0000
ntmarta.dll                        0x7FF8FDD00000
UMPDC.dll                          0x7FF8FDFB0000
IpHlpAPI.dll                       0x7FF8FDFD0000
DNSAPI.dll                         0x7FF8FE010000
powrprof.dll                       0x7FF8FE0F0000
MSWSOCK.dll                        0x7FF8FE330000
CRYPTSP.dll                        0x7FF8FE520000
CRYPTBASE.DLL                      0x7FF8FE540000
Wldp.dll                           0x7FF8FE5D0000
NTASN1.dll                         0x7FF8FE600000
ncrypt.dll                         0x7FF8FE640000
msasn1.dll                         0x7FF8FE760000
devobj.dll                         0x7FF8FE940000
DPAPI.DLL                          0x7FF8FE980000
SSPICLI.DLL                        0x7FF8FEA40000
USERENV.dll                        0x7FF8FEA80000
profapi.dll                        0x7FF8FEAC0000
WINTRUST.DLL                       0x7FF8FEB90000
win32u.dll                         0x7FF8FECB0000
ucrtbase.dll                       0x7FF8FECE0000
msvcp_win.dll                      0x7FF8FEDE0000
bcryptPrimitives.dll               0x7FF8FEE80000
bcrypt.dll                         0x7FF8FEF10000
CRYPT32.dll                        0x7FF8FEF40000
cfgmgr32.dll                       0x7FF8FF0A0000
gdi32full.dll                      0x7FF8FF0F0000
KERNELBASE.dll                     0x7FF8FF210000
RPCRT4.dll                         0x7FF8FF510000
combase.dll                        0x7FF8FF6A0000
GDI32.dll                          0x7FF8FFA90000
ole32.dll                          0x7FF8FFAC0000
SHLWAPI.dll                        0x7FF8FFBF0000
COMDLG32.dll                       0x7FF8FFC50000
clbcatq.dll                        0x7FF8FFD30000
SHELL32.dll                        0x7FF8FFDE0000
ADVAPI32.dll                       0x7FF900530000
shcore.dll                         0x7FF9005E0000
SETUPAPI.dll                       0x7FF900690000
imagehlp.dll                       0x7FF900CD0000
msvcrt.dll                         0x7FF900CF0000
KERNEL32.DLL                       0x7FF900D90000
WS2_32.dll                         0x7FF900E50000
NSI.dll                            0x7FF900EC0000
OLEAUT32.dll                       0x7FF900ED0000
USER32.dll                         0x7FF901020000
MSCTF.dll                          0x7FF9011C0000
IMM32.DLL                          0x7FF9012E0000
sechost.dll                        0x7FF9013D0000
ntdll.dll                          0x7FF9014B0000
