[00]     Fallout4.esm
[01]     DLCRobot.esm
[02]     DLCworkshop01.esm
[03]     DLCCoast.esm
[04]     DLCworkshop02.esm
[05]     DLCworkshop03.esm
[06]     DLCNukaWorld.esm
[07]     Unofficial Fallout 4 Patch.esp
[08]     HUDFramework.esm
[09]     ArmorKeywords.esm
[0A]     PANPC.esm
[0B]     TrueStormsFO4.esm
[0C]     Settlement Electricity Overhaul.esm
[0D]     Homemaker.esm
[0E]     GCM.esp
[0F]     SCM.esp
[10]     PANPC - Explosion Responses.esp
[11]     PANPC - Trap Alerts.esp
[12]     AzarPonytailHairstyles.esp
[13]     CBBE.esp
[14]     KSHairdos.esp
[15]     LooksMenu.esp
[16]     Ellie.23134B.esp
[17]     Heather.18B5F3.18B5F3.18B5F3.esp
[18]     Jodelle.23134A.esp
[19]     Krisa.esp
[1A]     Lexxa.225B67.225B67.225B67.225B67.esp
[1B]     Lima.225B6A.225B6A.225B6A.225B6A.esp
[1C]     Lin.231349.231349.esp
[1D]     Roxy.225B68.225B68.225B68.225B68.225B68.225B68.esp
[1E]     With.225B69.esp
[1F]     Yennefer.18B5F6.esp
[20]     Hunkered Down.esp
[21]     Pip-Boy Flashlight.esp
[22]     PIP-Pad.esp
[23]     LooksMenu Customization Compendium.esp
[24]     Armorsmith Extended.esp
[25]     Eli_Armour_Compendium.esp
[26]     CheatTerminal.esp
[27]     Backpacks of the Commonwealth.esp
[28]     MREs.esp
[29]     PIP-Pad_LMCC.esp
[2A]     PIP-Pad_Pip-BoyFlashlight.esp
[2B]     BetterSettlers.esp
[2C]     BetterSettlersCleanFacePack.esp
[2D]     BetterSettlersNoLollygagging.esp
[2E]     TrueStormsFO4-FarHarbor.esp
[2F]     TrueStormsFO4-NukaWorld-FH-Compat.esp
[30]     DarkerNights.esp
[31]     DarkerNightsDetection.esp
[32]     Marmo1233 - Immersive Settlers.esp
[33]     Immersive Wastelanders.esp
[34]     IWCait.esp
[35]     IWCarrington.esp
[36]     IWCurie.esp
[37]     IWDanse.esp
[38]     IWDeacon.esp
[39]     IWDesdemona.esp
[3A]     IWGlory.esp
[3B]     IWLongfellow.esp
[3C]     IWMacCready.esp
[3D]     IWMagnolia.esp
[3E]     IWMamaMurphy.esp
[3F]     IWMaxson.esp
[40]     IWPiper.esp
[41]     IWPreston.esp
[42]     IWSturges.esp
[43]     IWTinaDeLuca.esp
[44]     AA Lots More Settlers and Enemies.esp
[45]     tinker gear.esp
[46]     Locksmith.esp
[47]     This is MY Bed (Extended).esp
[48]     Cozy Beds - My Bed.esp
[49]     Cozy Beds.esp
[4A]     Hunkered Down-Settlements.esp
[4B]     Eli_Utility Jumpsuits.esp
[4C]     Femshepping_Mini Plants.esp
[4D]     12PottedTrees.esp
[4E]     dinomore.esp
[4F]     KSHairdos_oel.esp
[50]     NRO-NewRedRocketOverhaul.esp
[51]     Thematic and Practical.esp
[52]     Thematic and Practical - DLC.esp
[53]     WindowBoards.esp
[54]     WWall.esp
[55]     Snappable Clutter and Display.esp
[56]     SettlementMenuManager.esp
[57]     A Forest.esp
[58]     NaiRaeCozyScavver.esp
[59]     DX Adventurer Outfit.esp
[5A]     ScavengerOutfitReplace.esp
[5B]     Rebel of Apocalypse.esp
[5C]     FloralRestoration.esp
[5D]     FemsheppingsLastOutfitPack.esp
[5E]     Eli_RuggedOutfits.esp
[5F]     FemsheppingsWastelandDrifterFemale.esp
[60]     Femsheppings Outfits.esp
[61]     SCAD_MenuPatch.esp
[62]     CrimeTown.esp
[63]     Stm_DiamondCityExpansion.esp
[64]     Homemaker - Streetlights Use Passive Power.esp
[65]     BrighterSettlementLights_LongAndSoft.esp
[66]     Waxwing.esp
[67]     WhichSettlerWhichBed.esp
[68]     Housekeeping.esp
[69]     Friffy_Cait Outfit_Standalone.esp
[6A]     K-Girl outfits.esp
[6B]     Modern - Cross Explorer.esp
[6C]     VtawUtilityPack1.esp
[6D]     Goodneighbor - HotelRoom.esp
[6E]     ValdacilsItemSorting-00-ValsPicks-DLCVersion.esp
[6F]     TrainBar.esp
[70]     PlayerVoiceFrequencySlider.esp
[71]     el_AgentOutfit.esp
[72]     FancyMags.esp
[FE:000] GCM_DLC_Automatron.esl
[FE:001] GCM_DLC_Far_Harbor.esl
[FE:002] CROSS_Wasteland_Ronin.esl
[FE:003] FurbyKnight.esp
[FE:004] A Forest-Base Mod Patch.esp
[FE:005] A Forest-NRO-NewRedRocketOverhaul.esp
[FE:006] AlootHomePlate.esp
