[00]     Fallout4.esm
[01]     DLCRobot.esm
[02]     DLCworkshop01.esm
[03]     DLCCoast.esm
[04]     DLCworkshop02.esm
[05]     DLCworkshop03.esm
[06]     DLCNukaWorld.esm
[07]     Unofficial Fallout 4 Patch.esp
[08]     XDI.esm
[09]     HUDFramework.esm
[0A]     ArmorKeywords.esm
[0B]     PlasmaArsenal.esp
[0C]     TacticalReload.esm
[0D]     ConcealedArmor.esm
[0E]     ExtendedWeaponSystem.esm
[0F]     Fallout 4 Fixes.esm
[10]     Reverb and Ambiance Overhaul.esp
[11]     RustDevilRedux.esp
[12]     Complex Vendors.esp
[13]     Commonwealth Climate.esp
[14]     InstitWeapPosit.esp
[15]     CROSS_PlasRail.esp
[16]     EndlessWarfareMCM.esp
[17]     Some Assembly Required.esp
[18]     CombinedArmsNV.esp
[19]     CombinedArmsEXPack.esp
[1A]     CheatTerminal.esp
[1B]     Fusion Gun.esp
[1C]     Skb_RiflesRebirth.esp
[1D]     XM50m1.esp
[1E]     AA12.esp
[1F]     MWRam7.esp
[20]     Glock86.esp
[21]     NVUMP.esp
[22]     EG7.esp
[23]     MA37.esp
[24]     DOOMMerged.esp
[25]     MisriahArmory.esp
[26]     Vault-Tec_MPL.esp
[27]     Ak5C.esp
[28]     01HALLBisonShotgun.esp
[29]     Lasers Have No Recoil.esp
[2A]     10mmRevolver.esp
[2B]     127SMG.esp
[2C]     3dscopes-framework.esp
[2D]     WZXM4.esp
[2E]     LAER.esp
[2F]     officersRevolver.esp
[30]     F4NVServiceRifleRedux.esp
[31]     WattzLaserGun.esp
[32]     Recharger.esp
[33]     MWAN94.esp
[34]     MK18.esp
[35]     mk14.esp
[36]     CAWS.esp
[37]     AER15.esp
[38]     Tactical ACR.esp
[39]     Vaker.esp
[3A]     M60-M60E3.esp
[3B]     M1Garand.esp
[3C]     M2045MagnumRevolverRifle.esp
[3D]     LeeEnfieldNo4MkI.esp
[3E]     MWM19.esp
[3F]     Mauser.esp
[40]     M1928A1.esp
[41]     Colt Python.esp
[42]     MP40.esp
[43]     GS Benelli M3S90.esp
[44]     Zapgun.esp
[45]     50CalRevolver.esp
[46]     AAlpha12.esp
[47]     AEAR01.esp
[48]     MWEagle.esp
[49]     AKeVolk.esp
[4A]     Phasers.esp
[4B]     AlienAssaultRifle.esp
[4C]     MWIIM4.esp
[4D]     American180nv.esp
[4E]     FNX45.esp
[4F]     P320.esp
[50]     RU556.esp
[51]     SR2.esp
[52]     EPRP.esp
[53]     MTs255.esp
[54]     FN502.esp
[55]     STREETSWEEPER.esp
[56]     HuntingShotgun.esp
[57]     RepublicArmoury.esp
[58]     SigMCX.esp
[59]     BullpupBozar.esp
[5A]     DP_CaravanShotgun.esp
[5B]     SVT40.esp
[5C]     AQUILA.esp
[5D]     ArcWelder.esp
[5E]     ArdentBlade.esp
[5F]     AssaultFlamer.esp
[60]     AssaultPhaser.esp
[61]     Bozar.esp
[62]     Escape from Boston - M200 Intervention.esp
[63]     Factor.esp
[64]     Fallschirmjagergewehr.esp
[65]     FOrigin12.esp
[66]     G43.esp
[67]     Glock19x.esp
[68]     GS Beretta PX4.esp
[69]     Kilo-141.esp
[6A]     M1014.esp
[6B]     M2Agency.esp
[6C]     Mac10.esp
[6D]     ModularGaussRifle.esp
[6E]     MWM91.esp
[6F]     MWMpapa5.esp
[70]     MWStriker.esp
[71]     NV4.esp
[72]     P90.esp
[73]     PipeShotgun.esp
[74]     Plasma Cycler.esp
[75]     Quad_Element.esp
[76]     RailwayPistol.esp
[77]     Reload Sounds.esp
[78]     remington 700.esp
[79]     saya_scar.esp
[7A]     Seiryuu Beam Katana.esp
[7B]     SelectShotgun.esp
[7C]     SigSauer127.esp
[7D]     Toz194.esp
[7E]     UnionBlaster.esp
[7F]     X12Plasmacaster.esp
[80]     AranLaserCarbine.esp
[81]     HK XM8.esp
[82]     DOOMMAC11.esp
[83]     fn five-seven v3.0.esp
[84]     GatlingRifle.esp
[85]     HeavyWeaponry.esp
[86]     InstituteTurboplasmaRifle.esp
[87]     Karma-45.esp
[88]     Kbar-32.esp
[89]     KrissVector.esp
[8A]     M1 Carbine.esp
[8B]     M72GaussRifle.esp
[8C]     ManualReload.esp
[8D]     MG42.esp
[8E]     pulsecarbine.esp
[8F]     SlowTime.esp
[90]     NRAW_Common.esp
[91]     NRAW_SAC3.esp
[92]     NRAW_KF5.esp
[93]     ReconPack.esp
[94]     MP7.esp
[95]     NRAW_MP11.esp
[96]     Quad_Technetronic.esp
[97]     REAPER.esp
[98]     Quad_Fusillade.esp
[99]     Quad_RAWLauncher.esp
[9A]     DOOMSCARLK.esp
[9B]     FnScar.esp
[9C]     CazadorML.esp
[9D]     MisriahArmoryExtended.esp
[9E]     PKMnv.esp
[9F]     CriticalHitsOutsideofVATS.esp
[A0]     HuntingRevolver.esp
[A1]     ConceptPlasma.esp
[A2]     M1A.esp
[A3]     PJARPistol.esp
[A4]     AutoMines.esp
[A5]     OTs-02 Kiparis.esp
[A6]     smmg.esp
[A7]     Remington700.esp
[A8]     HRP_Mk23.esp
[A9]     9x39Project.esp
[AA]     HK_UMP.esp
[AB]     Kar98k.esp
[AC]     G36Complex.esp
[AD]     HK_MP5.esp
[AE]     GIAT_FAMAS.esp
[AF]     APC9.esp
[B0]     GreaseGunSMG.esp
[B1]     10mmSMG.esp
[B2]     GaussMinigunG36EN.esp
[B3]     127mmSMG.esp
[B4]     P220.esp
[B5]     Schotel22.esp
[B6]     Colt6520.esp
[B7]     BH_StG44.esp
[B8]     MWIILimax.esp
[B9]     TeslaRCW.esp
[BA]     HsProduktVhs2.esp
