XINPUT1_3.dll                      0x000000400000
X3DAudio1_7.dll                    0x00006D290000
steam_api64.dll                    0x00006D2A0000
d3d11.dll                          0x000180000000
CRYPT32.dll                        0x024799A10000
Fallout4.exe                       0x7FF78ED90000
usvfs_x64.dll                      0x7FFA51910000
d3dcompiler_46e.dll                0x7FFA83DA0000
steamclient64.dll                  0x7FFA843E0000
msdmo.dll                          0x7FFA85C30000
winmmbase.dll                      0x7FFA85C40000
D3DCOMPILER_43.dll                 0x7FFA8ED10000
IPHLPAPI.DLL                       0x7FFA93E10000
gameoverlayrenderer64.dll          0x7FFA94620000
ResampleDmo.DLL                    0x7FFA957F0000
DSOUND.DLL                         0x7FFA95A40000
Buffout4.dll                       0x7FFA95AF0000
XAudio2_7.dll                      0x7FFA95F40000
wsfw_identifier.dll                0x7FFA95FD0000
RobCo_Patcher.dll                  0x7FFA96380000
XDI.dll                            0x7FFA965F0000
po3_SpellPerkItemDistributorF4.dll 0x7FFA96660000
SprintSpeedController.dll          0x7FFA99F00000
PowerGridTools.dll                 0x7FFAB03C0000
f4ee.dll                           0x7FFAB0430000
place.dll                          0x7FFAB0570000
RustyFaceFix.dll                   0x7FFAB1660000
mcm.dll                            0x7FFAB3D00000
BulletCountedReload.dll            0x7FFAB3DA0000
hudextension.dll                   0x7FFAB4140000
ALR.dll                            0x7FFAB5F70000
flexRelease_x64.dll                0x7FFAB6B10000
AchievementsModsEnabler.dll        0x7FFABAF10000
FallSouls.dll                      0x7FFABDE40000
f4se_1_10_163.dll                  0x7FFABF3F0000
MSVCR110.dll                       0x7FFAC0ED0000
WINSPOOL.DRV                       0x7FFAC41B0000
cudart64_75.dll                    0x7FFAC64E0000
enbhelperf4.dll                    0x7FFAC65C0000
GFSDK_GodraysLib.x64.dll           0x7FFAC6600000
MSVCP110.dll                       0x7FFAC6660000
COMCTL32.dll                       0x7FFACDC90000
ncryptsslp.dll                     0x7FFACDFB0000
GFSDK_SSAO_D3D11.win64.dll         0x7FFAD0C50000
bink2w64.dll                       0x7FFAD0CE0000
webio.dll                          0x7FFAD1120000
MSVCP140.dll                       0x7FFAD1920000
