XINPUT1_3.dll                 0x000000400000
X3DAudio1_7.dll               0x000074F70000
d3d11.dll                     0x000180000000
LL_fourPlay_1_10_163.dll      0x01A1D74F0000
BakaScrapHeap.dll             0x01A1E2890000
Fallout4.exe                  0x7FF6CD4D0000
nvcuda64.dll                  0x7FFDC74B0000
XAudio2_7.dll                 0x7FFDC9E20000
d3dcompiler_47_64.dll         0x7FFDCA010000
DINPUT8.dll                   0x7FFDCA420000
NvCamera64.dll                0x7FFDCA470000
d3dcompiler_46e.dll           0x7FFDCACC0000
XDI.dll                       0x7FFDCB080000
ShadowBoostFO4.dll            0x7FFDCB0F0000
RustyFaceFix.dll              0x7FFDCB1C0000
PRKF.dll                      0x7FFDCB210000
NVIDIA_Reflex.dll             0x7FFDCB2A0000
Buffout4.dll                  0x7FFDCB370000
BLD_Helper.dll                0x7FFDCB6D0000
PrivateProfileRedirector.dll  0x7FFDDF360000
mcm.dll                       0x7FFDDF3C0000
HighFPSPhysicsFix.dll         0x7FFDDF460000
f4ee.dll                      0x7FFDEDE90000
BulletCountedReload.dll       0x7FFDEDFA0000
ResampleDmo.DLL               0x7FFE04190000
DSOUND.DLL                    0x7FFE0EB00000
msdmo.dll                     0x7FFE0EC50000
D3DCOMPILER_43.dll            0x7FFE12840000
f4se_1_10_163.dll             0x7FFE1C660000
GFSDK_SSAO_D3D11.win64.dll    0x7FFE1C740000
faster_workshop.dll           0x7FFE1CCF0000
flexRelease_x64.dll           0x7FFE1CD50000
enbhelperf4.dll               0x7FFE26EB0000
ConsoleUtilF4.dll             0x7FFE278C0000
cudart64_75.dll               0x7FFE27910000
GFSDK_GodraysLib.x64.dll      0x7FFE27970000
MSVCR110.dll                  0x7FFE279D0000
steam_api64.dll               0x7FFE27AB0000
nvspcap64.dll                 0x7FFE27BA0000
MSVCP110.dll                  0x7FFE28990000
bink2w64.dll                  0x7FFE293B0000
flexExtRelease_x64.dll        0x7FFE2CBB0000
achievements.dll              0x7FFE34030000
d3dx11_43.dll                 0x7FFE37240000
xinput1_4.dll                 0x7FFE3D1D0000
f4se_steam_loader.dll         0x7FFE43C90000
SprintStutteringFix.dll       0x7FFE45080000
ncryptsslp.dll                0x7FFE46540000
XINPUT9_1_0.dll               0x7FFE46D70000
webio.dll                     0x7FFE47680000
MSVCP140.dll                  0x7FFE48E90000
VCRUNTIME140.dll              0x7FFE48F20000
MessageBus.dll                0x7FFE498D0000
VCRUNTIME140_1.dll            0x7FFE4B000000
nvToolsExt64_1.dll            0x7FFE4B2B0000
winmmbase.dll                 0x7FFE4CE50000
inputhost.dll                 0x7FFE4E660000
rasadhlp.dll                  0x7FFE4F280000
COMCTL32.dll                  0x7FFE4F9D0000
textinputframework.dll        0x7FFE50950000
OneCoreCommonProxyStub.dll    0x7FFE50A80000
AUDIOSES.DLL                  0x7FFE51430000
dbghelp.dll                   0x7FFE51A50000
Windows.UI.dll                0x7FFE531D0000
MpOav.dll                     0x7FFE53480000
amsi.dll                      0x7FFE53500000
wbemsvc.dll                   0x7FFE53A10000
fastprox.dll                  0x7FFE53A30000
nvapi64.dll                   0x7FFE54300000
WINMM.dll                     0x7FFE55580000
MMDevApi.dll                  0x7FFE55660000
nvwgf2umx.dll                 0x7FFE55700000
wbemcomn.dll                  0x7FFE58DB0000
wbemprox.dll                  0x7FFE58E30000
drvstore.dll                  0x7FFE59510000
cryptnet.dll                  0x7FFE59670000
VERSION.dll                   0x7FFE59760000
nvldumdx.dll                  0x7FFE59770000
OneCoreUAPCommonProxyStub.dll 0x7FFE598F0000
fwpuclnt.dll                  0x7FFE5AE40000
CoreUIComponents.dll          0x7FFE5B970000
avrt.dll                      0x7FFE5C080000
dhcpcsvc.DLL                  0x7FFE5C090000
dhcpcsvc6.DLL                 0x7FFE5C0B0000
WINHTTP.dll                   0x7FFE5C0D0000
directxdatabasehelper.dll     0x7FFE5C210000
D3DCOMPILER_47.dll            0x7FFE5DCA0000
WindowsCodecs.dll             0x7FFE5E090000
d3d11.dll                     0x7FFE5E730000
dcomp.dll                     0x7FFE5EF60000
CoreMessaging.dll             0x7FFE5F7D0000
WINNSI.DLL                    0x7FFE5FD60000
uxtheme.dll                   0x7FFE5FDB0000
dxcore.dll                    0x7FFE5FEB0000
dxgi.dll                      0x7FFE5FEF0000
dwmapi.dll                    0x7FFE600F0000
resourcepolicyclient.dll      0x7FFE60260000
wintypes.dll                  0x7FFE60660000
windows.storage.dll           0x7FFE607A0000
HID.DLL                       0x7FFE61070000
IPHLPAPI.DLL                  0x7FFE61380000
DNSAPI.dll                    0x7FFE613B0000
UMPDC.dll                     0x7FFE61690000
powrprof.dll                  0x7FFE616B0000
schannel.DLL                  0x7FFE61750000
rsaenh.dll                    0x7FFE61850000
kernel.appcore.dll            0x7FFE618E0000
ntmarta.dll                   0x7FFE61900000
SspiCli.dll                   0x7FFE61B40000
mswsock.dll                   0x7FFE61D60000
USERENV.dll                   0x7FFE61E60000
CRYPTSP.dll                   0x7FFE61FC0000
CRYPTBASE.DLL                 0x7FFE61FE0000
wldp.dll                      0x7FFE62070000
NTASN1.dll                    0x7FFE620F0000
ncrypt.dll                    0x7FFE62130000
bcrypt.dll                    0x7FFE62160000
msasn1.dll                    0x7FFE62450000
devobj.dll                    0x7FFE62470000
cfgmgr32.dll                  0x7FFE624A0000
DPAPI.DLL                     0x7FFE62510000
profapi.dll                   0x7FFE626E0000
KERNELBASE.dll                0x7FFE627B0000
ucrtbase.dll                  0x7FFE62C20000
WINTRUST.DLL                  0x7FFE62D40000
win32u.dll                    0x7FFE62DB0000
bcryptPrimitives.dll          0x7FFE62DE0000
msvcp_win.dll                 0x7FFE62E60000
CRYPT32.dll                   0x7FFE62F00000
gdi32full.dll                 0x7FFE63070000
clbcatq.dll                   0x7FFE63200000
msvcrt.dll                    0x7FFE632B0000
SETUPAPI.dll                  0x7FFE63360000
combase.dll                   0x7FFE637F0000
OLEAUT32.dll                  0x7FFE63B80000
SHCORE.dll                    0x7FFE63C60000
MSCTF.dll                     0x7FFE63D60000
SHLWAPI.dll                   0x7FFE63E90000
WS2_32.dll                    0x7FFE63F70000
GDI32.dll                     0x7FFE63FF0000
RPCRT4.dll                    0x7FFE64030000
SHELL32.dll                   0x7FFE64150000
USER32.dll                    0x7FFE64950000
COMDLG32.dll                  0x7FFE64B00000
NSI.dll                       0x7FFE64C00000
ADVAPI32.dll                  0x7FFE64C10000
IMM32.DLL                     0x7FFE64CC0000
