XINPUT1_3.dll                 0x000000400000
X3DAudio1_7.dll               0x00005E200000
steam_api64.dll               0x00005E210000
mcm.dll                       0x01E874730000
Fallout4.exe                  0x7FF73EC50000
steamclient64.dll             0x7FFEC3420000
antimalware_provider64.dll    0x7FFF0D4F0000
gameoverlayrenderer64.dll     0x7FFF0DCD0000
transfer_settlements.dll      0x7FFF0DE70000
Buffout4.dll                  0x7FFF0E140000
XAudio2_7.dll                 0x7FFF18F50000
wsfw_identifier.dll           0x7FFF19400000
terminal+.dll                 0x7FFF195B0000
f4ee.dll                      0x7FFF19700000
PowerGridTools.dll            0x7FFF251C0000
ClassicHolsteredWeapons.dll   0x7FFF25230000
place.dll                     0x7FFF28AE0000
tier0_s64.dll                 0x7FFF29AE0000
f4se_1_10_163.dll             0x7FFF2A3C0000
flexRelease_x64.dll           0x7FFF37B70000
vstdlib_s64.dll               0x7FFF37D30000
DSOUND.DLL                    0x7FFF38C60000
CONCRT140.dll                 0x7FFF39040000
HighFPSPhysicsFix.dll         0x7FFF39540000
MSVCR110.dll                  0x7FFF395D0000
GFSDK_SSAO_D3D11.win64.dll    0x7FFF399D0000
BetterConsole.dll             0x7FFF3F2C0000
MSVCP110.dll                  0x7FFF54310000
ESPExplorer.dll               0x7FFF57AC0000
cudart64_75.dll               0x7FFF5A8E0000
Interior-NavCut-Fix.dll       0x7FFF5AEA0000
GFSDK_GodraysLib.x64.dll      0x7FFF60030000
atcuf64.dll                   0x7FFF62B40000
bdhkm64.dll                   0x7FFF62CB0000
hudextension.dll              0x7FFF63050000
dbgcore.DLL                   0x7FFF65A80000
crafting_highlight_fix.dll    0x7FFF69F40000
achievements.dll              0x7FFF6A050000
flexExtRelease_x64.dll        0x7FFF6A0E0000
bink2w64.dll                  0x7FFF6A140000
f4se_steam_loader.dll         0x7FFF6C100000
d3d11.dll                     0x7FFF6EF70000
winmmbase.dll                 0x7FFF6F340000
VCRUNTIME140_1.dll            0x7FFF70260000
MSVCP140.dll                  0x7FFF70A10000
VCRUNTIME140.dll              0x7FFF70AA0000
COMCTL32.dll                  0x7FFF72360000
OneCoreCommonProxyStub.dll    0x7FFF77150000
mskeyprotect.dll              0x7FFF78880000
ncryptsslp.dll                0x7FFF78930000
webio.dll                     0x7FFF79220000
InputHost.dll                 0x7FFF7A560000
textinputframework.dll        0x7FFF7A6C0000
Windows.UI.dll                0x7FFF7A7C0000
AUDIOSES.DLL                  0x7FFF7B8B0000
MMDevApi.dll                  0x7FFF7DDB0000
rasadhlp.dll                  0x7FFF82780000
wbemsvc.dll                   0x7FFF82860000
amsi.dll                      0x7FFF82890000
fastprox.dll                  0x7FFF829B0000
wbemcomn.dll                  0x7FFF844C0000
atidxx64.dll                  0x7FFF84550000
dbghelp.dll                   0x7FFF870D0000
wbemprox.dll                  0x7FFF87F00000
Secur32.dll                   0x7FFF88360000
amdihk64.dll                  0x7FFF89AE0000
aticfx64.dll                  0x7FFF89BC0000
fwpuclnt.dll                  0x7FFF8A840000
atiuxp64.dll                  0x7FFF8AB90000
VERSION.dll                   0x7FFF8B6A0000
OneCoreUAPCommonProxyStub.dll 0x7FFF8B6B0000
dxcore.dll                    0x7FFF8C010000
WINHTTP.dll                   0x7FFF8D660000
dhcpcsvc6.DLL                 0x7FFF8E5B0000
dhcpcsvc.DLL                  0x7FFF8F010000
twinapi.appcore.dll           0x7FFF8F0A0000
WindowManagementAPI.dll       0x7FFF8F2C0000
WINNSI.DLL                    0x7FFF8F370000
WINMM.dll                     0x7FFF8FB50000
avrt.dll                      0x7FFF8FB80000
PROPSYS.dll                   0x7FFF90CF0000
nvToolsExt64_1.dll            0x7FFF91450000
wintypes.dll                  0x7FFF915A0000
d3d11.Dll                     0x7FFF91B60000
dcomp.dll                     0x7FFF92390000
CoreUIComponents.dll          0x7FFF92900000
CoreMessaging.dll             0x7FFF92C60000
apphelp.dll                   0x7FFF92EA0000
uxtheme.dll                   0x7FFF93030000
resourcepolicyclient.dll      0x7FFF93160000
dwmapi.dll                    0x7FFF93260000
kernel.appcore.dll            0x7FFF93550000
windows.storage.dll           0x7FFF93750000
HID.DLL                       0x7FFF93EF0000
dxgi.dll                      0x7FFF93F30000
schannel.DLL                  0x7FFF945E0000
ntmarta.dll                   0x7FFF947F0000
UMPDC.dll                     0x7FFF94A90000
IPHLPAPI.DLL                  0x7FFF94AB0000
DNSAPI.dll                    0x7FFF94B00000
powrprof.dll                  0x7FFF94BD0000
MSWSOCK.dll                   0x7FFF94E10000
CRYPTBASE.DLL                 0x7FFF95000000
Wldp.dll                      0x7FFF950B0000
NTASN1.dll                    0x7FFF950E0000
ncrypt.dll                    0x7FFF95120000
MSASN1.dll                    0x7FFF95240000
DEVOBJ.dll                    0x7FFF95410000
DPAPI.DLL                     0x7FFF95470000
USERENV.dll                   0x7FFF95530000
SSPICLI.DLL                   0x7FFF95560000
profapi.dll                   0x7FFF955B0000
bcryptPrimitives.dll          0x7FFF95680000
cfgmgr32.dll                  0x7FFF95710000
KERNELBASE.dll                0x7FFF95760000
WINTRUST.dll                  0x7FFF95A60000
gdi32full.dll                 0x7FFF95AD0000
win32u.dll                    0x7FFF95BF0000
msvcp_win.dll                 0x7FFF95C20000
CRYPT32.dll                   0x7FFF95CC0000
bcrypt.dll                    0x7FFF95ED0000
ucrtbase.dll                  0x7FFF95F00000
sechost.dll                   0x7FFF96060000
NSI.dll                       0x7FFF96100000
SHCORE.dll                    0x7FFF96110000
GDI32.dll                     0x7FFF96260000
KERNEL32.DLL                  0x7FFF96290000
SETUPAPI.dll                  0x7FFF96350000
MSCTF.dll                     0x7FFF967C0000
RPCRT4.dll                    0x7FFF968E0000
imagehlp.dll                  0x7FFF96A70000
combase.dll                   0x7FFF96B10000
ADVAPI32.dll                  0x7FFF96E70000
PSAPI.DLL                     0x7FFF96F20000
WS2_32.dll                    0x7FFF96F30000
SHELL32.dll                   0x7FFF96FA0000
IMM32.DLL                     0x7FFF97710000
clbcatq.dll                   0x7FFF977B0000
ole32.dll                     0x7FFF97860000
OLEAUT32.dll                  0x7FFF97990000
USER32.dll                    0x7FFF97A60000
SHLWAPI.dll                   0x7FFF97DB0000
COMDLG32.dll                  0x7FFF97E10000
msvcrt.dll                    0x7FFF97EF0000
ntdll.dll                     0x7FFF97FD0000
