[00]     Fallout4.esm
[01]     DLCRobot.esm
[02]     DLCworkshop01.esm
[03]     DLCCoast.esm
[04]     DLCworkshop02.esm
[05]     DLCworkshop03.esm
[06]     DLCNukaWorld.esm
[07]     HUDFramework.esm
[08]     Snap'n Build.esm
[09]     AutoUnequipPipboy.esm
[0A]     XDI.esm
[0B]     Homemaker.esm
[0C]     CWSS Redux.esp
[0D]     CWWorkshopMaster.esm
[0E]     PACE.esm
[0F]     PANPC.esm
[10]     WorkshopFramework.esm
[11]     SS2.esm
[12]     SS2_XPAC_Chapter2.esm
[13]     ArmorKeywords.esm
[14]     CROSS_CosmeticFramework.esm
[15]     Unofficial Fallout 4 Patch.esp
[16]     ShinyFixer.esp
[17]     EvilViking13_PatchworkSanctuaryBridge.esp
[18]     F4NVServiceRifleRedux.esp
[19]     FilledBrahminFeedTroughs.esp
[1A]     Publick Occurrences Expanded.esp
[1B]     WorkshopPlus.esp
[1C]     Complimentary Gameplay Enh - Docile Factions.esp
[1D]     Lots More Male Hairstyles.esp
[1E]     InstitWeapPosit.esp
[1F]     CROSS_Cybernetics.esp
[20]     Pip2000MkVi_Replacer.esp
[21]     DV-No Levelled Vertibirds.esp
[22]     SettleObjExpandPack.esp
[23]     rfortaleza2.esp
[24]     SkjAlert_All_DLC.esp
[25]     MoreBeards.esp
[26]     Better Explosives Redux.esp
[27]     CROSS_GoreCrits.esp
[28]     Armorsmith Extended.esp
[29]     MoreHairstyles4Male3.1.esp
[2A]     Realistic_conversations.esp
[2B]     DnxTattoos.esp
[2C]     MisfitInk.esp
[2D]     MTM-LaserPlasmaWeaponMods.esp
[2E]     FG_ReloadSounds.esp
[2F]     RecruitableSettlers.esp
[30]     Complimentary Gameplay Enh - Ironsight DOF.esp
[31]     Homemaker - Unlocked Institute Objects.esp
[32]     Live Action Handy.esp
[33]     Backpacks of the Commonwealth.esp
[34]     Vivid Fallout - All in One - Best Choice.esp
[35]     LooksMenu.esp
[36]     VtawWardrobe5.esp
[37]     Complimentary Gameplay Enh - Moon Resize.esp
[38]     Immersive Corpses.esp
[39]     PRC Patch for Enbs.esp
[3A]     Vertibird Alt Fix - Far Harbor.esp
[3B]     SSNPC - Minutemen.esp
[3C]     FHLeveledListIntegration.esp
[3D]     CROSS_Uni_Scarf.esp
[3E]     SlowTime.esp
[3F]     Edit_Hancock.esp
[40]     See You Sleep CW editon - Beta.esp
[41]     pipebgone.esp
[42]     Smaller Institute Weapons.esp
[43]     Complimentary Gameplay Enh - Collision of dead bodies.esp
[44]     M72GaussRifle.esp
[45]     SWG.esp
[46]     Eli_Faction Housing Overhaul - AiO.esp
[47]     Automatron Decals.esp
[48]     Complimentary Gameplay Enh - Food Heal Over Time.esp
[49]     RegsPrefabs.esp
[4A]     Passthrough.esp
[4B]     Eli_Armour_Compendium.esp
[4C]     Complimentary Gameplay Enh - Minigun Vertibird.esp
[4D]     Realistic Death Physics - ALL DLC.esp
[4E]     LooksMenu Customization Compendium.esp
[4F]     RutahTattooPack_FO4.esp
[50]     KSHairdos.esp
[51]     RAW INPUT.esp
[52]     spacefiddle_Follower-Stealth-Distance-Fixes.esp
[53]     CROSS_GoreCrits_FarHarborPatch.esp
[54]     MoreHairstyles4Female4.1.esp
[55]     The Eyes Of Beauty.esp
[56]     LMNSOverlays.esp
[57]     RobotFactionPaint.esp
[58]     X01Light.esp
[59]     SettleObjExpandPack-AllLightShadowEnabler.esp
[5A]     Crimsomrider's Unique Furniture.esp
[5B]     Fixed Alpha Map.esp
[5C]     AarwynLFR.esp
[5D]     Complimentary Gameplay Enh - Combat Styles Accuracy.esp
[5E]     Merged Audio.esp
[5F]     Reverb and Ambiance Overhaul.esp
[60]     CF_AtomicWarlord.esp
[61]     NoVanillaRadiantDLCLocations.esp
[62]     CheatTerminal.esp
[63]     MiamiEnclave.esp
[64]     VeryRichMerchants.esp
[65]     Splinterz.esp
[66]     Archimedes-II.esp
[67]     T-51 Settlers.esp
[68]     Complimentary Gameplay Enh - Pipboy PA Lights.esp
[69]     DV-Deadly Vertibirds.esp
[6A]     VtawWardrobe6.esp
[6B]     RedShiftPowerArmor.esp
[6C]     ValiusHDTextures2K.esp
[6D]     2pacSkimpy.esp
[6E]     UniqueUniques.esp
[6F]     RU556.esp
[70]     plasmaproject.esp
[71]     RaiderOverhaul.esp
[72]     Crimsomrider's Accessories.esp
[73]     Tactical Flashlights.esp
[74]     Tactical Flashlights - Settings.esp
[75]     DT_GunnerOutfitPack.esp
[76]     Consistent Power Armor Overhaul.esp
[77]     Brotherhood Power Armor Overhaul.esp
[78]     PAMAP.esp
[79]     NotJustBasements.esp
[7A]     Vault-Tec Historical Preservation Initiative.esp
[7B]     waterLODfix.esp
[7C]     GR001-AutomatronRebooted.esp
[7D]     NiceBush.esp
[7E]     CustomCamera.esp
[7F]     DCWestSuperMutants.esp
[80]     KSHairsFemsheppingRadbeetle.esp
[81]     PhotoMode.esp
[82]     PiperCaitCurieDialogueOverhaul.esp
[83]     wackyweaponsworkshopsp.esp
[84]     X12Plasmacaster.esp
[85]     MutilatedDeadBodies.esp
[86]     MK18.esp
[87]     cVc Dead Wasteland 6.esp
[88]     GCM.esp
[89]     FO4 NPCs Travel.esp
[8A]     VtawWardrobe7.esp
[8B]     WestTekTacticalOptics.esp
[8C]     Far West Minutemen.esp
[8D]     instituteproject.esp
[8E]     1CAS_ServiceRifle.esp
[8F]     CombinedArmsNV.esp
[90]     FCOM.esp
[91]     FCOM-NieroIEX.esp
[92]     railroad_uniform.esp
[93]     railroad_uniform_leveledList.esp
[94]     Wana_SA58.esp
[95]     Live Dismemberment - Liebermode.esp
