[00]     Fallout4.esm
[01]     DLCRobot.esm
[02]     DLCworkshop01.esm
[03]     DLCCoast.esm
[04]     DLCworkshop02.esm
[05]     DLCworkshop03.esm
[06]     DLCNukaWorld.esm
[07]     Unofficial Fallout 4 Patch.esp
[08]     ArmorKeywords.esm
[09]     XDI.esm
[0A]     NewCalibers.esp
[0B]     AAF.esm
[0C]     Companion Infinite Ammo and Unbreakable Power Armour.esm
[0D]     Homemaker.esm
[0E]     Servitron.esm
[0F]     TrueStormsFO4.esm
[10]     Max Performance - All Interiors - All DLC.esp
[11]     CombatZoneRestored.esp
[12]     Armorsmith Extended.esp
[13]     Eli_Armour_Compendium.esp
[14]     W.A.T.Minutemen.esp
[15]     UniqueUniques.esp
[16]     1CAS_ServiceRifle.esp
[17]     Mercenary.esp
[18]     EG7.esp
[19]     Fallonsv1.0.esp
[1A]     DCVendorOverhaulAIO.esp
[1B]     DOOMMerged.esp
[1C]     Ak5C.esp
[1D]     VUWR - AlternativeEdition.esp
[1E]     CorvalhoWidowShotgun.esp
[1F]     CourserCrusher.esp
[20]     Tec-9.esp
[21]     F4NVServiceRifleRedux.esp
[22]     Rangergearnew.esp
[23]     CombinedArmsNV.esp
[24]     MK18.esp
[25]     WattzLaserGun.esp
[26]     AER15.esp
[27]     True Legendary Enemies.esp
[28]     RaiderOverhaul.esp
[29]     LString_Bow.esp
[2A]     CAPA.esp
[2B]     FO4TribalPowerArmor.esp
[2C]     PoliceWeaponPack.esp
[2D]     BerettaM9FS.esp
[2E]     SteyrAUGnv.esp
[2F]     AK74M.esp
[30]     GS Benelli M3S90.esp
[31]     MTs255.esp
[32]     P99.esp
[33]     DX_Black_Widow.esp
[34]     AKMnv.esp
[35]     BullpupBozar.esp
[36]     USP .45_by_tooun.esp
[37]     P90.esp
[38]     CazadorML.esp
[39]     FN-FAL.esp
[3A]     HuntingShotgun.esp
[3B]     SkibsWeapons-REDUX.esp
[3C]     MP7.esp
[3D]     WM Chinese Assault Rifle - Standalone.esp
[3E]     MedicineStick.esp
[3F]     Paciencia.esp
[40]     Weathered10mm.esp
[41]     HK_MP5.esp
[42]     HRP_Mk23.esp
[43]     FOrigin12.esp
[44]     G36Complex.esp
[45]     GIAT_FAMAS.esp
[46]     Glock19x.esp
[47]     HK_UMP.esp
[48]     HsProduktVhs2.esp
[49]     M1A.esp
[4A]     MP-412.esp
[4B]     McMillanCS5.esp
[4C]     Quad_Fusillade.esp
[4D]     Quad_RAWLauncher.esp
[4E]     Mossberg500.esp
[4F]     P220.esp
[50]     PL-14.esp
[51]     Quad_Accelerator.esp
[52]     RSh-12.esp
[53]     ehtyeci_MPX.esp
[54]     RussianAssaultPack.esp
[55]     VisibleCompanionAffinity.esp
[56]     VisibleWeapons.esp
[57]     WestTekTacticalOptics.esp
[58]     slootyVaultSuit.esp
[59]     Tactical Combat Swimwear.esp
[5A]     No Aggro Impact Landing.esp
[5B]     LooksMenu.esp
[5C]     OverlaySample.esp
[5D]     Stockings.esp
[5E]     zWGirlClothSimply.esp
[5F]     ChainBikini.esp
[60]     FunctionalDisplays.esp
[61]     FunctionalDisplays-Patch-DLC-ALL-VIS.esp
[62]     SkeletonStyleFramework.esp
[63]     Gunner_Operator.esp
[64]     D.E.C.A.Y.esp
[65]     AnS Wearable Backpacks and Pouches.esp
[66]     AnS Wearable Backpacks and Pouches - AWKCR.esp
[67]     DX Courser X-92 Power Suit.esp
[68]     AER14.esp
[69]     Ammo.esp
[6A]     ASCOCait05.esp
[6B]     ASCOCurie01.esp
[6C]     ASCODanse02.esp
[6D]     ASCOMacCready01.esp
[6E]     ASCOPreston03.esp
[6F]     BF1 Animations - Deliverer v1.0.esp
[70]     BetterSettlersNoLollygagging.esp
[71]     BetterCompanions.esp
[72]     Black Widow Suit.esp
[73]     Headcrab_Bunny.esp
[74]     MWM4.esp
[75]     P90NPC.esp
[76]     BetterSettlers.esp
[77]     BetterSettlersMortalPack.esp
[78]     BetterSettlersMostlyFemale.esp
[79]     2pacSkimpy.esp
[7A]     TrueStormsFO4-FarHarbor.esp
[7B]     Calamity Weathers.esp
[7C]     DarkerNights.esp
[7D]     Calamity Weathers - Far Harbor.esp
[7E]     CBBE.esp
[7F]     ChineseStealthSuit.esp
[80]     Calamity Weathers - Nuka World.esp
[81]     KSHairdos.esp
[82]     EFF.esp
[83]     Companion Infinite Ammo and Unbreakable Power Armour.esp
[84]     BetterNightVision.esp
[85]     DarkerNightsDetection.esp
[86]     dD-Enhanced Blood Basic.esp
[87]     dD - Screen Blood Duration Long.esp
[88]     dD - Small Splatter Size.esp
[89]     AzarPonytailHairstyles.esp
[8A]     BetterSettlersCCAPack2.0.esp
[8B]     Scopes.esp
[8C]     rfortaleza2.esp
[8D]     FrenchMaidFO4-CBBEPhysics.esp
[8E]     FrenchMaidFO4-CBBE.esp
[8F]     Friffy_Holstered Weapons.esp
[90]     FunctionalDisplays-AID-Vanilla.esp
[91]     FunctionalDisplays-Collectibles.esp
[92]     FunctionalDisplays-MISC-Vanilla.esp
[93]     FunctionalDisplays-Patch-DLC-ALL.esp
[94]     fog.esp
[95]     HairVariations_Elegant.esp
[96]     HairVariations_FairyTails.esp
[97]     HairVariations_YoungAtHeart.esp
[98]     Holsters & sheaths.esp
[99]     Homemaker - Streetlights Use Passive Power.esp
[9A]     Homemaker - Unlocked Institute Objects.esp
[9B]     ImmersiveVendors.esp
[9C]     zWInsanity.esp
[9D]     KelloggArm.esp
[9E]     Lever Action Reload Fix.esp
[9F]     LooksMenu Customization Compendium.esp
[A0]     LMBTOverlays.esp
[A1]     LooksMirror.esp
[A2]     M9.esp
