[00]     Fallout4.esm
[01]     DLCRobot.esm
[02]     DLCworkshop01.esm
[03]     DLCCoast.esm
[04]     DLCworkshop02.esm
[05]     DLCworkshop03.esm
[06]     DLCNukaWorld.esm
[07]     Unofficial Fallout 4 Patch.esp
[08]     HUDFramework.esm
[09]     ArmorKeywords.esm
[0A]     MutantMenagerie.esm
[0B]     TacticalReload.esm
[0C]     WorkshopFramework.esm
[0D]     SS2.esm
[0E]     SS2_XPAC_Chapter2.esm
[0F]     Immersive HUD.esp
[10]     SKKFastStartNewGame.esp
[11]     A Forest.esp
[12]     Grasslands - Healthy.esp
[13]     NAC-FH.esp
[14]     NAC-NW.esp
[15]     NAC.esp
[16]     RealHDFace Tex.esp
[17]     AzarPonytailHairstyles.esp
[18]     Unique NPCs - Creatures and Monsters.esp
[19]     LooksMenu.esp
[1A]     LooksMirror.esp
[1B]     Smoke-able Cigars.esp
[1C]     Auto Hide Crosshair.esp
[1D]     LooksMenu Customization Compendium.esp
[1E]     VisibleWeapons.esp
[1F]     Armorsmith Extended.esp
[20]     UltraInteriorLighting.esp
[21]     LMBTOverlays.esp
[22]     HiPolyFaces.esp
[23]     Scopes.esp
[24]     CombinedArmsNV.esp
[25]     CombinedArmsEXPack.esp
[26]     NPC Accuracy Revised.esp
[27]     Unique NPCs FarHarbor.esp
[28]     Unique NPCs.esp
[29]     CBBE.esp
[2A]     MiscHairstyle.esp
[2B]     KSHairdos.esp
[2C]     Lots More Female Hairstyles.esp
[2D]     The Eyes Of Beauty.esp
[2E]     SS2Extended.esp
[2F]     PIP-Pad.esp
[30]     PIP-Pad_LMCC.esp
[FE:000] BakaWaitAnywhere.esm
[FE:001] HiPolyFacesCompanionPlugin.esl
[FE:002] LUXORs Roads 4k.esp
[FE:003] WET.esp
[FE:004] Resized_10mm_Pistol.esp
