[00]     Fallout4.esm
[01]     DLCRobot.esm
[02]     DLCworkshop01.esm
[03]     DLCCoast.esm
[04]     DLCworkshop02.esm
[05]     DLCworkshop03.esm
[06]     DLCNukaWorld.esm
[07]     cczsef04001-bhouse.esm
[08]     cctosfo4001-neosky.esm
[09]     cczsefo4002-smanor.esm
[0A]     cctosfo4002_neonflats.esm
[0B]     Unofficial Fallout 4 Patch.esp
[0C]     WorkshopFramework.esm
[0D]     XDI.esm
[0E]     ArmorKeywords.esm
[0F]     HUDFramework.esm
[10]     AAF.esm
[11]     PPF.esm
[12]     ManufacturingExtended.esp
[13]     TacticalReload.esm
[14]     TheWilderness.esm
[15]     TheForest.esm
[16]     Arbitration - Resources.esm
[17]     ConcealedArmor.esm
[18]     halffacemask.esp
[19]     00-CyberBreathingMask.esp
[1A]     VtawUtilityPack1.esp
[1B]     10SPECIAL.esp
[1C]     FunctionalDisplays.esp
[1D]     FunctionalDisplays-AID-Weightless.esp
[1E]     FunctionalDisplays-Collectibles.esp
[1F]     FunctionalDisplays-Patch-DLC-ALL-Weightless.esp
[20]     AutomatronFree.esp
[21]     GR001-AutomatronRebooted.esp
[22]     Samutz_VaultSnapWallLights.esp
[23]     VC_BetterWorkshopLightsComplete_Shadows.esp
[24]     Vault-tec brighter lights.esp
[25]     SideAim.esp
[26]     RAW INPUT.esp
[27]     LooksMenu.esp
[28]     dinoshelf.esp
[29]     HN66Fo4_Nails.esp
[2A]     QBZ191.esp
[2B]     AWPWandererCoat.esp
[2C]     WheelMenu.esp
[2D]     APLevelUpMenuEX.esp
[2E]     BottomlessCanteen.esp
[2F]     ImmersiveAnimationFramework.esp
[30]     BottomlessCanteenIAF.esp
[31]     Creative Perks (Companion Perks).esp
[32]     Creative Perks (everything).esp
[33]     XM2010_SniperRifle_by_tooun.esp
[34]     XM2010_SniperRifle_STS.esp
[35]     XM2010_SniperRifle_STS_FOV90.esp
[36]     DogtoothCG M1A211 Gas Mask.esp
[37]     Boston Natural Surroundings.esp
[38]     TrueGrass.esp
[39]     BOREALIS Grasses.esp
[3A]     Reverb and Ambiance Overhaul.esp
[3B]     dD-Action Ragdoll Force.esp
[3C]     dD-Reduced Explosion Force.esp
[3D]     Project Reality Footsteps FO4.esp
[3E]     TacticalReloadDLC.esp
[3F]     3dscopes.esp
[40]     Better Manufacturing.esp
[41]     Armorsmith Extended.esp
[42]     Better Manufacturing - Menu Organization.esp
[43]     Better Manufacturing - Manufacturing Extended Additions.esp
[44]     3dscopes-framework.esp
[45]     TacticalTablet.esp
[46]     RealThrowingWeapons.esp
[47]     ImiGalil.esp
[48]     PersistentVolumeSliders.esp
[49]     dbwConcreteWallPower.esp
[4A]     Karambit.esp
[4B]     Eli_Utility Jumpsuits.esp
[4C]     Immersive HUD.esp
[4D]     Vaccine.esp
[4E]     Glock19x.esp
[4F]     AAC_HoneyBadger.esp
[50]     Casio_W59.esp
[51]     Be Exceptional.esp
[52]     slevins_chemVFX-Light.esp
[53]     Non-Playable Flags Patch.esp
[54]     Perks76.esp
[55]     WmkActiveEffects.esp
[56]     CompanionStatus.esp
[57]     AnimatedRadaway.esp
[58]     InfiniteChems.esp
[59]     Deeper Thoughts (Curie).esp
[5A]     Hot Breathing.esp
[5B]     chem redux.esp
[5C]     AnimChemRedux.esp
[5D]     Smoke-able Cigars.esp
[5E]     extendedLightsWS - No shadows.esp
[5F]     ESPExplorerFO4.esp
[60]     KSHairdos.esp
[61]     3dscopes-cccr74.esp
[62]     PA-Quick Animations.esp
[63]     WM Chinese Assault Rifle - Standalone.esp
[64]     ehtyeci_MPX.esp
[65]     Viper6610.esp
[66]     Unkillable Settlerbots.esp
[67]     ChainBikini.esp
[68]     DX Commonwealth Mini Dresses.esp
[69]     OutfitSwitcher.esp
[6A]     FO4Hotkeys.esp
[6B]     HiPolyFaces.esp
[6C]     PhotoLight.esp
[6D]     HN66-SiriusArmor.esp
[6E]     OCDecorator.esp
[6F]     OCDecoratorDLC.esp
[70]     OCDispenser.esp
[71]     Vivid Fallout - All in One - Best Choice.esp
[72]     The Eyes Of Beauty.esp
[73]     The Eyes of Beauty Looking Stranger.esp
[74]     TheEyesOfBeauty.esp
[75]     AnyModAnyWeapon.esp
[76]     NoAffinityCooldown.esp
[77]     NoNegativeAffinityNoFucks.esp
[78]     NightPerson_NoNightVision-FarHarbor.esp
[79]     CBBE.esp
[7A]     Companion Infinite Ammo and Unbreakable Power Armour.esp
[7B]     Factor.esp
[7C]     Insignificant Object Remover.esp
[7D]     Quicker Hands.esp
[7E]     GeniusGamePerk.esp
[7F]     AIO SS.esp
[80]     UnbreakableSettlement.esp
[81]     Invulnerable Turrets 1.05 - x3 DEF.esp
[82]     Invulnerable Turrets 1.05w - x3 DEF.esp
[83]     SuperSerum.esp
[84]     Strong Back - Improved -- Far Harbor.esp
[85]     SettlementMenuManager.esp
[86]     LooksMenu Customization Compendium.esp
[87]     TacticalTablet_LMCC.esp
[88]     Viper's Warpaint.esp
[89]     ECO.esp
[8A]     ECO_TacticalReload.esp
[8B]     LegendaryModification.esp
[8C]     LegendaryModification2LM.esp
[8D]     LegendaryModificationGroknak.esp
[8E]     LegendaryModificationMisc.esp
[8F]     LegendaryModification - DLC Far Harbor.esp
[90]     LegendaryModification - DLC Far Harbor (2LM).esp
[91]     ChuckLegendary.esp
[92]     MODGirlyAnimation.esp
[93]     SCAR-L.esp
[94]     NW_Clothing.esp
[95]     Armorsmith Deserter X.esp
[96]     VtawWardrobe6.esp
[97]     VtawWardrobe8.esp
[98]     Auto Loot.esp
[99]     CROSS_Techmask.esp
[9A]     Campsite.esp
