XINPUT1_3.dll                      0x000000400000
X3DAudio1_7.dll                    0x0000604B0000
steam_api64.dll                    0x0000604C0000
d3d11.dll                          0x000180000000
NSI.dll                            0x01E886E00000
RTSSHooks64.dll                    0x01E8D2070000
Fallout4.exe                       0x7FF634CC0000
nvcuda64.dll                       0x7FF97BA20000
dlssg_to_fsr3_amd_is_better.dll    0x7FF97C430000
d3dcompiler_46e.dll                0x7FF97D250000
nvngx_dlss.dll                     0x7FF97D610000
dxilconv.dll                       0x7FF983490000
XAudio2_7.dll                      0x7FF983C90000
D3D12Core.dll                      0x7FF984310000
_nvngx.dll                         0x7FF984B30000
nvngx.dll                          0x7FF98B200000
sl.common.dll                      0x7FF98B400000
gameoverlayrenderer64.dll          0x7FF98B4B0000
sl.dlss_g.dll                      0x7FF98B760000
transfer_settlements.dll           0x7FF98B7F0000
terminal+.dll                      0x7FF98BAC0000
wsfw_identifier.dll                0x7FF98C5C0000
UneducatedShooter.dll              0x7FF98C7F0000
SUP_F4SE.dll                       0x7FF98C850000
steamclient64.dll                  0x7FF98CA80000
SprintSpeedController.dll          0x7FF98F390000
ShadowBoostFO4.dll                 0x7FF98F3E0000
RobCo_Patcher.dll                  0x7FF98F4B0000
SimpleImpact.dll                   0x7FF98F7D0000
PowerGridTools.dll                 0x7FF98F840000
po3_SpellPerkItemDistributorF4.dll 0x7FF98F8B0000
place.dll                          0x7FF98F9C0000
PipboyTabs.dll                     0x7FF98FA40000
MGEFConditionFix.dll               0x7FF98FAA0000
mcm.dll                            0x7FF98FAF0000
LighthousePapyrusExtender.dll      0x7FF98FB90000
Interior-NavCut-Fix.dll            0x7FF98FCC0000
hudextension.dll                   0x7FF98FD10000
HighFPSPhysicsFix.dll              0x7FF98FD60000
GLXRM_JumpingRequiresAP.dll        0x7FF98FDF0000
Buffout4.dll                       0x7FF98FE40000
GCBugFix.dll                       0x7FF990400000
sl.interposer.dll                  0x7FF990460000
IPHLPAPI.DLL                       0x7FF9904E0000
FloatingDamage.dll                 0x7FF990C70000
Fallout4Upscaler.dll               0x7FF990CD0000
f4ee.dll                           0x7FF990DE0000
PDPerfPlugin.dll                   0x7FF9B0C80000
usvfs_x64.dll                      0x7FF9B1B90000
d3d12.dll                          0x7FF9B3FD0000
f4pm.dll                           0x7FF9B6420000
GLXRM_FireRateShowsRPM.dll         0x7FF9B7E20000
EscapeFreeze.dll                   0x7FF9B8550000
spdlog.dll                         0x7FF9B8640000
nvspcap64.dll                      0x7FF9B8D00000
EnergyWeaponCalcFix.dll            0x7FF9C7140000
D3DCOMPILER_43.dll                 0x7FF9C7190000
BakaScrapHeap.dll                  0x7FF9C7AB0000
deviceaccess.dll                   0x7FF9CF890000
DSOUND.DLL                         0x7FF9CF990000
BakaFramework.dll                  0x7FF9D7CF0000
tier0_s64.dll                      0x7FF9D7E20000
xinput1_4.dll                      0x7FF9D9950000
ClassicHolsteredWeapons.dll        0x7FF9F5400000
dxgi.dll                           0x7FF9F54B0000
BakaFullscreenPipboy.dll           0x7FF9F60F0000
D3DSCache.dll                      0x7FF9F79A0000
DSXFallout4.dll                    0x7FF9F79D0000
ondemandconnroutehelper.dll        0x7FFA08700000
sl.reflex.dll                      0x7FFA088B0000
BulletCountedReload.dll            0x7FFA088E0000
crafting_highlight_fix.dll         0x7FFA0B330000
BetterConsole.dll                  0x7FFA0B380000
winmmbase.dll                      0x7FFA0C3C0000
dlssg_dlsstweaks_wrapper.dll       0x7FFA0D8B0000
f4se_1_10_163.dll                  0x7FFA0D920000
BodyPartsUI.dll                    0x7FFA0E050000
BakaMaxPapyrusOps.dll              0x7FFA0F340000
vstdlib_s64.dll                    0x7FFA0F3F0000
cudart64_75.dll                    0x7FFA0F4B0000
GFSDK_GodraysLib.x64.dll           0x7FFA0F510000
GFSDK_SSAO_D3D11.win64.dll         0x7FFA0F570000
flexRelease_x64.dll                0x7FFA0F600000
ArmorPenetrationBugFix.dll         0x7FFA0F7C0000
MSVCR110.dll                       0x7FFA0FF30000
flexExtRelease_x64.dll             0x7FFA11080000
MSVCP110.dll                       0x7FFA110E0000
enbhelperf4.dll                    0x7FFA11F70000
bink2w64.dll                       0x7FFA11FB0000
NvTelemetryBridge64.dll            0x7FFA15C70000
Windows.UI.dll                     0x7FFA1B630000
inputhost.dll                      0x7FFA1B780000
textinputframework.dll             0x7FFA1C380000
WININET.dll                        0x7FFA1F1B0000
dbgcore.DLL                        0x7FFA21000000
WeaponDebrisCrashFix.dll           0x7FFA27720000
PriorityMod.dll                    0x7FFA277B0000
nvwgf2umx.dll                      0x7FFA29740000
WINSPOOL.DRV                       0x7FFA2D810000
COMCTL32.dll                       0x7FFA2D8C0000
gdiplus.dll                        0x7FFA2DB60000
MSIMG32.dll                        0x7FFA2DD10000
MpOav.dll                          0x7FFA2E1D0000
amsi.dll                           0x7FFA2E260000
wbemsvc.dll                        0x7FFA2E620000
fastprox.dll                       0x7FFA2E890000
VCRUNTIME140_1.dll                 0x7FFA2F1C0000
fmt.dll                            0x7FFA2F640000
f4se_steam_loader.dll              0x7FFA2F680000
MSVCP140.dll                       0x7FFA2F710000
VCRUNTIME140.dll                   0x7FFA2F810000
webio.dll                          0x7FFA30720000
nvgpucomp64.dll                    0x7FFA30C70000
NvMessageBus.dll                   0x7FFA32EB0000
wbemcomn.dll                       0x7FFA333B0000
fwpuclnt.dll                       0x7FFA334F0000
iertutil.dll                       0x7FFA34310000
urlmon.dll                         0x7FFA34830000
srvcli.dll                         0x7FFA34DD0000
rasadhlp.dll                       0x7FFA34E00000
ENBDeblurTAA.addon                 0x7FFA34E60000
mskeyprotect.dll                   0x7FFA34E90000
ncryptsslp.dll                     0x7FFA34F40000
Secur32.dll                        0x7FFA34F70000
NvTelemetryAPI64.dll               0x7FFA35260000
d3dx11_43.dll                      0x7FFA35360000
nvapi64.dll                        0x7FFA35660000
nvldumdx.dll                       0x7FFA35D30000
DbgHelp.dll                        0x7FFA35DF0000
WINMM.dll                          0x7FFA36730000
dxcore.dll                         0x7FFA37820000
wbemprox.dll                       0x7FFA39140000
DEVRTL.dll                         0x7FFA39250000
WindowsCodecs.dll                  0x7FFA395B0000
twinapi.appcore.dll                0x7FFA39770000
drvstore.dll                       0x7FFA39980000
WindowManagementAPI.dll            0x7FFA39AD0000
cryptnet.dll                       0x7FFA39B80000
VERSION.dll                        0x7FFA3A2D0000
WINHTTP.dll                        0x7FFA3A2E0000
avrt.dll                           0x7FFA3A470000
MMDevApi.dll                       0x7FFA3A480000
AUDIOSES.DLL                       0x7FFA3A690000
WINNSI.DLL                         0x7FFA3A980000
dhcpcsvc6.DLL                      0x7FFA3A990000
SPINF.dll                          0x7FFA3AA10000
dhcpcsvc.DLL                       0x7FFA3AAF0000
AmmoRemover.dll                    0x7FFA3AE60000
nvToolsExt64_1.dll                 0x7FFA3B690000
CONCRT140.dll                      0x7FFA3B6A0000
D3DCOMPILER_47.dll                 0x7FFA3BB50000
d3d11.dll                          0x7FFA3BFB0000
wintypes.dll                       0x7FFA3CAC0000
dcomp.dll                          0x7FFA3CC60000
PROPSYS.dll                        0x7FFA3D430000
CoreUIComponents.dll               0x7FFA3D550000
CoreMessaging.dll                  0x7FFA3D8B0000
apphelp.dll                        0x7FFA3DCE0000
UxTheme.dll                        0x7FFA3DE70000
resourcepolicyclient.dll           0x7FFA3DFE0000
dwmapi.dll                         0x7FFA3E0F0000
kernel.appcore.dll                 0x7FFA3E3E0000
windows.storage.dll                0x7FFA3E5E0000
HID.DLL                            0x7FFA3ED80000
gpapi.dll                          0x7FFA3ED90000
dxgi.dll                           0x7FFA3EDC0000
schannel.DLL                       0x7FFA3F470000
rsaenh.dll                         0x7FFA3F560000
ntmarta.dll                        0x7FFA3F680000
UMPDC.dll                          0x7FFA3F920000
IpHlpAPI.dll                       0x7FFA3F940000
DNSAPI.dll                         0x7FFA3F980000
netutils.dll                       0x7FFA3FA50000
POWRPROF.dll                       0x7FFA3FAB0000
MSWSOCK.dll                        0x7FFA3FCA0000
CRYPTBASE.DLL                      0x7FFA3FE90000
CRYPTSP.dll                        0x7FFA3FEA0000
Wldp.dll                           0x7FFA3FF40000
NTASN1.dll                         0x7FFA3FF70000
ncrypt.dll                         0x7FFA3FFB0000
msasn1.dll                         0x7FFA400D0000
devobj.dll                         0x7FFA402A0000
DPAPI.DLL                          0x7FFA40300000
USERENV.dll                        0x7FFA403C0000
SSPICLI.DLL                        0x7FFA403F0000
profapi.dll                        0x7FFA40440000
WINTRUST.DLL                       0x7FFA40510000
msvcp_win.dll                      0x7FFA40580000
cfgmgr32.dll                       0x7FFA40620000
bcryptPrimitives.dll               0x7FFA40670000
ucrtbase.dll                       0x7FFA40700000
bcrypt.dll                         0x7FFA40800000
gdi32full.dll                      0x7FFA40830000
win32u.dll                         0x7FFA40950000
CRYPT32.dll                        0x7FFA40980000
KERNELBASE.dll                     0x7FFA40B90000
KERNEL32.DLL                       0x7FFA40E90000
imagehlp.dll                       0x7FFA40F50000
MSCTF.dll                          0x7FFA40FD0000
WS2_32.dll                         0x7FFA41180000
shcore.dll                         0x7FFA411F0000
OLEAUT32.dll                       0x7FFA412A0000
RPCRT4.dll                         0x7FFA41370000
ole32.dll                          0x7FFA414A0000
COMDLG32.dll                       0x7FFA41710000
PSAPI.DLL                          0x7FFA417F0000
SHLWAPI.dll                        0x7FFA41800000
IMM32.DLL                          0x7FFA41860000
SETUPAPI.dll                       0x7FFA41A60000
ADVAPI32.dll                       0x7FFA41ED0000
sechost.dll                        0x7FFA41F90000
combase.dll                        0x7FFA42030000
GDI32.dll                          0x7FFA42390000
clbcatq.dll                        0x7FFA423C0000
SHELL32.dll                        0x7FFA42470000
msvcrt.dll                         0x7FFA42BC0000
USER32.dll                         0x7FFA42C70000
ntdll.dll                          0x7FFA42E50000
