XINPUT1_3.dll                       0x000000400000
X3DAudio1_7.dll                     0x00006B360000
tbbmalloc.dll                       0x000180000000
sfc.dll                             0x02A013A20000
BakaScrapHeap.dll                   0x02A015A60000
LL_fourPlay_1_10_163.dll            0x02A015B60000
Fallout4.exe                        0x7FF71A590000
nvspcap64.dll                       0x7FFD793C0000
nvwgf2umx.dll                       0x7FFD7BE90000
Buffout4.dll                        0x7FFD80C10000
DSOUND.DLL                          0x7FFD816D0000
XAudio2_7.dll                       0x7FFD83160000
SkeletonStyleFramework_1_10_163.dll 0x7FFD86350000
NanakoSurgeon.dll                   0x7FFD863F0000
mcm.dll                             0x7FFD87310000
f4ee.dll                            0x7FFD873B0000
nvldumdx.dll                        0x7FFD9CE20000
NanakoHeadRelocator.dll             0x7FFD9D3D0000
HighFPSPhysicsFix.dll               0x7FFD9FB20000
BulletCountedReload.dll             0x7FFDA00C0000
f4se_1_10_163.dll                   0x7FFDA0220000
cudart64_75.dll                     0x7FFDA0300000
steam_api64.dll                     0x7FFDA0360000
flexRelease_x64.dll                 0x7FFDA0450000
MSVCR110.dll                        0x7FFDA05A0000
IPHLPAPI.DLL                        0x7FFDA0680000
AcLayers.DLL                        0x7FFDA0C40000
GFSDK_SSAO_D3D11.win64.dll          0x7FFDA12F0000
MSVCP110.dll                        0x7FFDA1380000
GFSDK_GodraysLib.x64.dll            0x7FFDA2290000
HHS.dll                             0x7FFDA2310000
ESPExplorer.dll                     0x7FFDA23B0000
CustomScaleFix.dll                  0x7FFDA2410000
cbp.dll                             0x7FFDA2480000
sfc_os.DLL                          0x7FFDA3C40000
MPR.dll                             0x7FFDA3C60000
flexExtRelease_x64.dll              0x7FFDABA50000
bink2w64.dll                        0x7FFDADA70000
AUDIOSES.DLL                        0x7FFDB0540000
mskeyprotect.dll                    0x7FFDB0710000
ncryptsslp.dll                      0x7FFDB0730000
vcheck_patcher.dll                  0x7FFDB1550000
webio.dll                           0x7FFDB19F0000
AcGenral.DLL                        0x7FFDB1E00000
MSVCP140.dll                        0x7FFDBB7D0000
f4se_steam_loader.dll               0x7FFDBC140000
winmmbase.dll                       0x7FFDBCCC0000
VCRUNTIME140.dll                    0x7FFDBCCF0000
WINSPOOL.DRV                        0x7FFDBCEC0000
MSIMG32.dll                         0x7FFDBCF80000
WINMM.dll                           0x7FFDBCF90000
VCRUNTIME140_1.dll                  0x7FFDBD230000
MpOav.dll                           0x7FFDBFBD0000
amsi.dll                            0x7FFDBFDF0000
fastprox.dll                        0x7FFDC0490000
igc64.dll                           0x7FFDC1690000
InputHost.dll                       0x7FFDC4420000
textinputframework.dll              0x7FFDC4580000
Windows.UI.dll                      0x7FFDC4680000
wbemsvc.dll                         0x7FFDC4FF0000
wbemcomn.dll                        0x7FFDC5E20000
wbemprox.dll                        0x7FFDC5EB0000
igdgmm64.dll                        0x7FFDC7640000
nvapi64.dll                         0x7FFDC7A10000
igd10iumd64.dll                     0x7FFDC8110000
MMDevApi.dll                        0x7FFDC9F60000
COMCTL32.dll                        0x7FFDCA470000
dxcore.dll                          0x7FFDCA7E0000
fwpuclnt.dll                        0x7FFDCA820000
cryptnet.dll                        0x7FFDCB100000
rasadhlp.dll                        0x7FFDCBF50000
dhcpcsvc.DLL                        0x7FFDCBF60000
dhcpcsvc6.DLL                       0x7FFDCBF80000
VERSION.dll                         0x7FFDCBFA0000
twinapi.appcore.dll                 0x7FFDCC0D0000
WindowManagementAPI.dll             0x7FFDCC2D0000
avrt.dll                            0x7FFDCCAF0000
WINHTTP.dll                         0x7FFDCDD60000
WINNSI.DLL                          0x7FFDCDE80000
MSVCP140_ATOMIC_WAIT.dll            0x7FFDCE3A0000
nvToolsExt64_1.dll                  0x7FFDCE3C0000
wintypes.dll                        0x7FFDCE4D0000
d3d11.dll                           0x7FFDCEA90000
CoreUIComponents.dll                0x7FFDCF560000
PROPSYS.dll                         0x7FFDCF900000
CoreMessaging.dll                   0x7FFDCFDD0000
apphelp.dll                         0x7FFDD3A40000
UxTheme.dll                         0x7FFDD3B40000
resourcepolicyclient.dll            0x7FFDD3D20000
DbgHelp.dll                         0x7FFDD4340000
windows.storage.dll                 0x7FFDD4950000
HID.DLL                             0x7FFDD50F0000
kernel.appcore.dll                  0x7FFDD5100000
dxgi.dll                            0x7FFDD5170000
ntmarta.dll                         0x7FFDD5570000
schannel.DLL                        0x7FFDD5860000
