[00]     Fallout4.esm
[01]     DLCRobot.esm
[02]     DLCworkshop01.esm
[03]     DLCCoast.esm
[04]     DLCworkshop02.esm
[05]     DLCworkshop03.esm
[06]     DLCNukaWorld.esm
[07]     ccrzrfo4001-tunnelsnakes.esm
[08]     ccswkfo4001-astronautpowerarmor.esm
[09]     cczsef04001-bhouse.esm
[0A]     cctosfo4001-neosky.esm
[0B]     cctosfo4002_neonflats.esm
[0C]     Unofficial Fallout 4 Patch.esp
[0D]     Homemaker.esm
[0E]     HUDFramework.esm
[0F]     Knockout Framework.esm
[10]     Overlays.esm
[11]     XDI.esm
[12]     NAC.esm
[13]     WorkshopFramework.esm
[14]     ArmorKeywords.esm
[15]     FixesEdits.esm
[16]     Arbitration - Resources.esm
[17]     SS2.esm
[18]     SS2_XPAC_Chapter2.esm
[19]     Snap'n Build.esm
[1A]     Ammo.esm
[1B]     CWWorkshopMaster.esm
[1C]     ProjectMojave.esm
[1D]     ProjectZeta.esm
[1E]     CWPointLookoutFO4.esm
[1F]     ExtendedWeaponSystem.esm
[20]     SOTS.esp
[21]     PLRX_SimpleCoffee.esp
[22]     whisper Power Armor Basement.esp
[23]     homeplatetestmain.esp
[24]     BostonAirport.esp
[25]     CastleEx.esp
[26]     functionalbridges.esp
[27]     BetterFarHarbor_Open.esp
[28]     FBFH_EE_Acadia_Cleanup.esp
[29]     BetterDrumlinDiner.esp
[2A]     Better_Settlement_Defence.esp
[2B]     Flashy_PersonalEssentials.esp
[2C]     MS Rename Anything Enhanced.esp
[2D]     StoreYourKeys.esp
[2E]     CreationClubDelay.esp
[2F]     WorkshopPlus.esp
[30]     SS2Extended.esp
[31]     SS2WastelandVenturers.esp
[32]     [SS20Addon] SimSettlements SuperStructures.esp
[33]     SS2-Jampads2.esp
[34]     SS2WastelandReconstructionKit.esp
[35]     SimHomestead2.esp
[36]     SS2_CityPlanPack_RiseOfTheCommonwealth.esp
[37]     SS2_FDK_TinyLiving.esp
[38]     GtN_SettlersatPlay.esp
[39]     DeadlierDeathclaws.esp
[3A]     Armorsmith Extended.esp
[3B]     CBBE.esp
[3C]     Crimsomrider's 1950s Feminine Outfits.esp
[3D]     CraftingFramework.esp
[3E]     FineZoom.esp
[3F]     SaveManager.esp
[40]     Facials.esp
[41]     KSHairdos.esp
[42]     KSHairdos_oel.esp
[43]     The Eyes Of Beauty.esp
[44]     AzarPonytailHairstyles.esp
[45]     keke-bu NPCs Pack_1.1.7.esp
[46]     NAC-FarHarbor.esp
[47]     NAC-NukaWorld.esp
[48]     LooksMenu.esp
[49]     [ARRETH] FGEP.esp
[4A]     GhoulBlood.esp
[4B]     Defective_Synth.esp
[4C]     Locky Bastard.esp
[4D]     TotalHackRevisited.esp
[4E]     RRTV_CommonwealthRoadMap-RedRocket.esp
[4F]     VertibirdBeacon.esp
[50]     WestTekTacticalOptics.esp
[51]     MTM-LaserPlasmaWeaponMods.esp
[52]     LooksMenu Customization Compendium.esp
[53]     Binoculars.esp
[54]     Configurable Artillery.esp
[55]     HZS Easy Homebuilder and Working Double Beds.esp
[56]     CWCreateABot.esp
[57]     battletech.esp
[58]     dinoshelf.esp
[59]     creativeclutter.esp
[5A]     evan_modular kitchen.esp
[5B]     SettleObjExpandPack.esp
[5C]     GruffyddsSignsAndPosters.esp
[5D]     Eli_TinyWorkshopThing.esp
[5E]     V's Stylish Decor2.esp
[5F]     RaiderOverhaul.esp
[60]     MK_CanteensofCommonwealth.esp
[61]     MojaveImports.esp
[62]     MREs.esp
[63]     SuperMutantRedux.esp
[64]     DiverseChildren.esp
[65]     AmericaRising-GearOfTheEnclave.esp
[66]     CheatTerminal.esp
[67]     Vault Outfits Redux.esp
[68]     MiscOutfitPackv2.esp
[69]     IceStormsClothes.esp
[6A]     tao_catsuit.esp
[6B]     Backpacks of the Commonwealth.esp
[6C]     Reload Sounds.esp
[6D]     FO4 NPCs Travel.esp
[6E]     PiperCaitCurieDialogueOverhaul.esp
[6F]     SettlementMenuManager.esp
[70]     RecruitableSettlers.esp
[71]     RecruitableSettlersFH.esp
[72]     RecruitableSettlersLeaders2.esp
[73]     CSM SS2 Pack.esp
[74]     noirpenthouseworkshop.esp
[75]     neonflatsworkshop.esp
[76]     Vault-Tec Workshop Overhaul Redux.esp
[77]     CROSS_GoreCrits.esp
[78]     Vertibird Faction Paint Schemes.esp
[79]     EnclaveX02.esp
[7A]     Enclave-X02.esp
[7B]     ExcavatorPA.esp
[7C]     UltracitePA.esp
[7D]     SkyrimInspiredPowerArmor.esp
[7E]     MSTP_InstitutePowerArmor.esp
[7F]     Scopes.esp
[80]     3dscopes.esp
[81]     Penetration Framework.esp
[82]     SideAim.esp
[83]     M2_Flamethrower.esp
[84]     9mmPistol.esp
[85]     Glock19x.esp
[86]     Fiveseven.esp
[87]     WattzLaserGun.esp
[88]     AER15.esp
[89]     F4NV-AMR.esp
[8A]     F4CW10mmSMG.esp
[8B]     GreaseGunSMG.esp
[8C]     ChinaLakeandHolorifle.esp
[8D]     HuntingRevolver.esp
[8E]     BullpupBozar.esp
[8F]     LeeEnfieldNo4MkI.esp
[90]     ABundleofTape.esp
[91]     Volkssturmgewehr.esp
[92]     RadiumPistol.esp
[93]     M1A.esp
[94]     1CAS_ServiceRifle.esp
[95]     CombinedArmsNV.esp
[96]     CombinedArmsEXPack.esp
[97]     RussianAssaultPack.esp
[98]     ReconPack.esp
[99]     PKMnv.esp
[9A]     Mosin.esp
[9B]     M4k4rov - PPSh.esp
[9C]     Miami Misadventures EP1.esp
[9D]     RemingtonM11.esp
[9E]     FnScar.esp
[9F]     BH_MCX_Spear.esp
