XINPUT1_3.dll                      0x000000400000
X3DAudio1_7.dll                    0x0000632A0000
steam_api64.dll                    0x0000632B0000
wintrust.dll                       0x0195F2340000
Fallout4.exe                       0x7FF641730000
steamclient64.dll                  0x7FFB21790000
XAudio2_7.dll                      0x7FFB2BE00000
gameoverlayrenderer64.dll          0x7FFB2BE90000
XDI.dll                            0x7FFB2C020000
transfer_settlements.dll           0x7FFB2C090000
terminal+.dll                      0x7FFB2C360000
WhoseQuestIsItAnywayF4.dll         0x7FFB2C680000
UnlimitedSurvivalMode.dll          0x7FFB2C6E0000
ToYourFaceFO4.dll                  0x7FFB2C730000
SprintSpeedController.dll          0x7FFB2C780000
RobCo_Patcher.dll                  0x7FFB2DC10000
rename_anything.dll                0x7FFB2DD00000
RememberPickAngleUpdated.dll       0x7FFB2DD50000
ReloadFix.dll                      0x7FFB2DE10000
PrivateProfileRedirector.dll       0x7FFB2DE60000
po3_SimpleOffenceSuppressionF4.dll 0x7FFB2DEC0000
place.dll                          0x7FFB2DF50000
Outfit-ReDress-Fix.dll             0x7FFB2DFD0000
NVIDIA_Reflex.dll                  0x7FFB2E020000
mcm.dll                            0x7FFB2E0F0000
LongLoadingTimesFix.dll            0x7FFB2E190000
CONCRT140.dll                      0x7FFB2E1F0000
Interior-NavCut-Fix.dll            0x7FFB2E240000
HighFPSPhysicsFix.dll              0x7FFB2E290000
GLXRM_FriendlyFire.dll             0x7FFB2E320000
GLXRM_FireRateShowsRPM.dll         0x7FFB2E370000
GCBugFix.dll                       0x7FFB2E3C0000
F4z Ro D'oh.dll                    0x7FFB2E420000
f4ee.dll                           0x7FFB2E490000
DirectHit.dll                      0x7FFB2E5A0000
crafting_highlight_fix.dll         0x7FFB2E670000
ClockWidget.dll                    0x7FFB2E6C0000
ClassicHolsteredWeapons.dll        0x7FFB2E710000
CCExtenderF4.dll                   0x7FFB2E7C0000
cbp.dll                            0x7FFB2E830000
BulletCountedReload.dll            0x7FFB2E8A0000
Buffout4.dll                       0x7FFB2E930000
BetterConsole.dll                  0x7FFB2EC90000
BakaFramework.dll                  0x7FFB2ED00000
tier0_s64.dll                      0x7FFB2EDF0000
dxgi.dll                           0x7FFB2EF90000
flexRelease_x64.dll                0x7FFB2F200000
IPHLPAPI.DLL                       0x7FFB2F350000
f4se_1_10_163.dll                  0x7FFB3D7B0000
BlockingOverhaul.dll               0x7FFB3E840000
BakaMaxPapyrusOps.dll              0x7FFB3ECB0000
vstdlib_s64.dll                    0x7FFB41410000
Bastion.dll                        0x7FFB41B70000
GFSDK_SSAO_D3D11.win64.dll         0x7FFB42900000
MSVCP140.dll                       0x7FFB42990000
VCRUNTIME140.dll                   0x7FFB43240000
DSOUND.DLL                         0x7FFB44D80000
MSVCR110.dll                       0x7FFB44F70000
ArmorPenetrationBugFix.dll         0x7FFB45180000
cudart64_75.dll                    0x7FFB453D0000
WeaponDebrisCrashFix.dll           0x7FFB45480000
achievements.dll                   0x7FFB4F050000
SprintStutteringFix.dll            0x7FFB50010000
SS3DevProps.dll                    0x7FFB613B0000
usvfs_x64.dll                      0x7FFB6DB40000
winmmbase.dll                      0x7FFB70EF0000
VCRUNTIME140_1.dll                 0x7FFB7ADE0000
GFSDK_GodraysLib.x64.dll           0x7FFB7C070000
MSVCP110.dll                       0x7FFB7C5E0000
bink2w64.dll                       0x7FFB7C690000
encounter_zone_recalculation.dll   0x7FFB7CB90000
flexExtRelease_x64.dll             0x7FFB7CEF0000
f4se_steam_loader.dll              0x7FFB7D000000
CHW_fix_test_plugin.dll            0x7FFB7D1D0000
MSVCP140_ATOMIC_WAIT.dll           0x7FFB7D830000
ncryptsslp.dll                     0x7FFB7D910000
mskeyprotect.dll                   0x7FFB7E770000
AMSIExt.dll                        0x7FFB7EF80000
MpOav.dll                          0x7FFB7F040000
amsi.dll                           0x7FFB7F0C0000
AmmoRemover.dll                    0x7FFB80840000
Secur32.dll                        0x7FFB80B30000
nvwgf2umx.dll                      0x7FFB82530000
nvapi64.dll                        0x7FFB88410000
InputHost.dll                      0x7FFB8A6A0000
textinputframework.dll             0x7FFB8A800000
Windows.UI.dll                     0x7FFB8A900000
MessageBus.dll                     0x7FFB8AAE0000
TextShaping.dll                    0x7FFB8B470000
COMCTL32.dll                       0x7FFB8B710000
WINSPOOL.DRV                       0x7FFB8B9B0000
MSIMG32.dll                        0x7FFB8BA60000
webio.dll                          0x7FFB8BF60000
rasadhlp.dll                       0x7FFB8CFE0000
fwpuclnt.dll                       0x7FFB8E4C0000
wbemsvc.dll                        0x7FFB8F770000
fastprox.dll                       0x7FFB8F960000
wbemcomn.dll                       0x7FFB90570000
WINMM.dll                          0x7FFB913A0000
wbemprox.dll                       0x7FFB913D0000
nvldumdx.dll                       0x7FFB91420000
WINHTTP.dll                        0x7FFB92610000
drvstore.dll                       0x7FFB92820000
dxcore.dll                         0x7FFB92FB0000
cryptnet.dll                       0x7FFB93120000
dhcpcsvc.DLL                       0x7FFB93CE0000
VERSION.dll                        0x7FFB93D00000
dhcpcsvc6.DLL                      0x7FFB93D10000
MMDevApi.dll                       0x7FFB94070000
AUDIOSES.DLL                       0x7FFB94390000
twinapi.appcore.dll                0x7FFB94AC0000
WindowManagementAPI.dll            0x7FFB94F80000
WINNSI.DLL                         0x7FFB956A0000
avrt.dll                           0x7FFB95EB0000
nvToolsExt64_1.dll                 0x7FFB97990000
d3d11.dll                          0x7FFB97A30000
wintypes.dll                       0x7FFB986C0000
dcomp.dll                          0x7FFB98820000
CoreUIComponents.dll               0x7FFB98E50000
CoreMessaging.dll                  0x7FFB991B0000
PropSys.dll                        0x7FFB99500000
UxTheme.dll                        0x7FFB99750000
resourcepolicyclient.dll           0x7FFB99820000
dwmapi.dll                         0x7FFB99960000
DbgHelp.dll                        0x7FFB99EC0000
windows.storage.dll                0x7FFB9A190000
HID.DLL                            0x7FFB9A930000
kernel.appcore.dll                 0x7FFB9A940000
dxgi.dll                           0x7FFB9A9B0000
schannel.DLL                       0x7FFB9B000000
rsaenh.dll                         0x7FFB9B0F0000
ntmarta.dll                        0x7FFB9B210000
IpHlpAPI.dll                       0x7FFB9B4B0000
DNSAPI.dll                         0x7FFB9B4F0000
MSWSOCK.dll                        0x7FFB9B7C0000
CRYPTSP.dll                        0x7FFB9B9B0000
CRYPTBASE.DLL                      0x7FFB9B9D0000
Wldp.dll                           0x7FFB9BAC0000
NTASN1.dll                         0x7FFB9BAF0000
ncrypt.dll                         0x7FFB9BB30000
msasn1.dll                         0x7FFB9BC50000
DEVOBJ.dll                         0x7FFB9BE20000
DPAPI.DLL                          0x7FFB9BE80000
UMPDC.dll                          0x7FFB9BE90000
powrprof.dll                       0x7FFB9BF60000
SspiCli.dll                        0x7FFB9BFB0000
USERENV.dll                        0x7FFB9BFF0000
profapi.dll                        0x7FFB9C030000
msvcp_win.dll                      0x7FFB9C100000
KERNELBASE.dll                     0x7FFB9C210000
CRYPT32.dll                        0x7FFB9C510000
bcryptPrimitives.dll               0x7FFB9C670000
bcrypt.dll                         0x7FFB9C700000
win32u.dll                         0x7FFB9C7E0000
ucrtbase.dll                       0x7FFB9C810000
cfgmgr32.dll                       0x7FFB9C910000
gdi32full.dll                      0x7FFB9C960000
USER32.dll                         0x7FFB9CA80000
clbcatq.dll                        0x7FFB9CC20000
msvcrt.dll                         0x7FFB9CCD0000
KERNEL32.DLL                       0x7FFB9CDF0000
COMDLG32.dll                       0x7FFB9CEB0000
SETUPAPI.dll                       0x7FFB9CF90000
NSI.dll                            0x7FFB9D400000
PSAPI.DLL                          0x7FFB9D410000
IMM32.dll                          0x7FFB9D420000
WS2_32.dll                         0x7FFB9D450000
shcore.dll                         0x7FFB9D4C0000
imagehlp.dll                       0x7FFB9D660000
GDI32.dll                          0x7FFB9D680000
OLEAUT32.dll                       0x7FFB9D6B0000
ADVAPI32.dll                       0x7FFB9D780000
sechost.dll                        0x7FFB9D840000
SHLWAPI.dll                        0x7FFB9D8E0000
RPCRT4.dll                         0x7FFB9D940000
MSCTF.dll                          0x7FFB9DA70000
combase.dll                        0x7FFB9DBA0000
SHELL32.dll                        0x7FFB9E110000
ole32.dll                          0x7FFB9E8C0000
ntdll.dll                          0x7FFB9EA30000
