[00]     Fallout4.esm
[01]     DLCRobot.esm
[02]     DLCworkshop01.esm
[03]     DLCCoast.esm
[04]     DLCworkshop02.esm
[05]     DLCworkshop03.esm
[06]     DLCNukaWorld.esm
[07]     ccswkfo4001-astronautpowerarmor.esm
[08]     cczsef04001-bhouse.esm
[09]     cctosfo4001-neosky.esm
[0A]     cczsefo4002-smanor.esm
[0B]     cctosfo4002_neonflats.esm
[0C]     AdditionalAmmoTypes.esm
[0D]     AmericaRising2.esm
[0E]     Unofficial Fallout 4 Patch.esp
[0F]     CWPointLookoutFO4.esm
[10]     CWSS Redux.esp
[11]     CWWorkshopMaster.esm
[12]     HUDFramework.esm
[13]     DEF_WIDGETS_CORE.esm
[14]     MutantMenagerie.esm
[15]     MutantMenagerie_BackwaterBeasts.esm
[16]     MutantMenagerie_GrilledTurkey.esm
[17]     ProjectZeta.esm
[18]     SettlementKeywords.esm
[19]     SouthOfTheSea.esm
[1A]     XDI.esm
[1B]     SKKFastStartNewGame.esp
[1C]     127mmSMG.esp
[1D]     16xFusionCore.esp
[1E]     22LR_SilentPistol_ENG.esp
[1F]     3DNPC_FO4.esp
[20]     3DNPC_FO4Settler.esp
[21]     3Vegas_SurvivalBeverages_version2F.esp
[22]     9mmPistol.esp
[23]     A Sensible Prydwen Overhaul.esp
[24]     AA LMSE_FarHarbor.esp
[25]     AA Subways of the Commonwealth.esp
[26]     Actor Scale Remover.esp
[27]     AddictolRetex.esp
[28]     AR2CombatHelmet+Mask.esp
[29]     AtlasSummit.esp
[2A]     Automatron For All.esp
[2B]     B1.esp
[2C]     BBD_DeathSquad_LLI.esp
[2D]     BBDEliteArmor.esp
[2E]     Better_Notes.esp
[2F]     BetterBigLeagues.esp
[30]     BoSStory.esp
[31]     Buildable_PAFrames.esp
[32]     BusySettlers.esp
[33]     ButtonsCompanion.esp
[34]     C-ViviWeat139-DarkNigh111p6-Patch.esp
[35]     C1.esp
[36]     Campsite.esp
[37]     CastleWallsRepaired 3.esp
[38]     CCPaintJobDistribution.esp
[39]     CF_AtomicWarlord.esp
[3A]     CF_AtomicWarlord_CBBE.esp
[3B]     CheatTerminal.esp
[3C]     Children of Ug Qualtoth.esp
[3D]     ChinaLakeandHolorifle.esp
[3E]     City of Quincy.esp
[3F]     Classic Fallout Music Far Harbor.esp
[40]     Classic Fallout Music NukaWorld.esp
[41]     Classic Fallout Music.esp
[42]     CMPA 300.esp
[43]     CombatZoneRestored.esp
[44]     CourserCrusher.esp
[45]     Crafting Mastery 2.esp
[46]     CreationClubDelay.esp
[47]     DarkerNights.esp
[48]     DarkerNightsDetection.esp
[49]     DCDLC04crafting.esp
[4A]     DCRE.esp
[4B]     deatchclawegg3.esp
[4C]     Destroy BoS For Good Guys (Cat).esp
[4D]     DiamondCityAutoClose.esp
[4E]     DiamondCityPlus.esp
[4F]     DiamondNewVendors.esp
[50]     Diverse Cats.esp
[51]     DiverseChildren.esp
[52]     DK811_CompanionPerk_Ada.esp
[53]     DMHelmetMerge.esp
[54]     DogBed.esp
[55]     EasyHacking.esp
[56]     EDECompanion.esp
[57]     ellen.esp
[58]     EnclavePropagandaPack.esp
[59]     EssentialAbernathys.esp
[5A]     EvilViking13_WastelandWalls.esp
[5B]     F3R91CombatRifleRedux_v.55.esp
[5C]     F4CW10mmSMG_Sydney.esp
[5D]     FaceMaxson.esp
[5E]     FarHarborSteaks.esp
[5F]     FarHarborStory.esp
[60]     Farming Resources.esp
[61]     Fawkes.esp
[62]     FawkesSuperSledge.esp
[63]     FilledBrahminFeedTroughs.esp
[64]     FirstPersonMessagesMerged.esp
[65]     Fishers.esp
[66]     Flashy_CommonwealthFishing.esp
[67]     Flashy_CommonwealthFishingFarHarborAddon.esp
[68]     FSS_Officer.esp
[69]     FusionCoreRefueler.esp
[6A]     GetDirty.esp
[6B]     GR123 West Tek Tactical Gloves.esp
[6C]     GrafsSecurityFencesNoMenu.esp
[6D]     GraphicTeesWithLegs.esp
[6E]     Grathok.esp
[6F]     Guards.esp
[70]     GunnerHitSquad.esp
[71]     HAIA With Crafting.esp
[72]     Heavy BoS.esp
[73]     HerbalCures-Base.esp
[74]     Holorifle_1.5xDamage.esp
[75]     i73fi-scavengers.esp
[76]     Immersive HUD.esp
[77]     ImmersiveGenericDialogues.esp
[78]     ImmersiveGunnersPlazaExterior.esp
[79]     ImmersiveGunnersPlazaInterior.esp
[7A]     ImmersivePipboyRadio.esp
[7B]     ImmersiveVendors.esp
[7C]     IncreasedSettlerPopulation40.esp
[7D]     Institute Power Armor Redux Additions.esp
[7E]     InstituteStory.esp
[7F]     JokerineFO4VeggieFood.esp
[80]     Journal.esp
[81]     LevelCap.esp
[82]     LightSupportWeapon.esp
[83]     Lightweight Lighting - Interiors Only.esp
[84]     Like Father like Shaun.esp
[85]     LimaOutpost.esp
[86]     llamaCompanionHeatherv2.esp
[87]     Locksmith.esp
[88]     Lots More Male Hairstyles.esp
[89]     Mk41GyrojetHMG.esp
[8A]     Molerat_Disease_Immunity_PA_Hazmat.esp
[8B]     Move (Get Out the Way).esp
[8C]     MREs.esp
[8D]     MSCCMRD.esp
[8E]     MSTP_InstitutePowerArmor.esp
[8F]     MYLadyKillerBed.esp
[90]     NightstrikerCreatureMod.esp
[91]     No_Health_Crippled_PopUps.esp
[92]     NoLollygagging.esp
[93]     NoWaterBreathe.esp
[94]     Nuclear Physicist Redone - No Fusion Core Ejection.esp
[95]     Nuka-Cola Flavors for the Commonwealth.esp
[96]     NukaRDC.esp
[97]     OldTimeReligion.esp
[98]     opencarryprovisioner.esp
[99]     OverpassOverhaul.esp
