XINPUT1_3.dll                 0x000000400000
X3DAudio1_7.dll               0x00005AC10000
steam_api64.dll               0x00005AC20000
mdnsNSP.dll                   0x00005C200000
Fallout4.exe                  0x7FF7B8760000
steamclient64.dll             0x7FFD51DB0000
gameoverlayrenderer64.dll     0x7FFD547C0000
wsfw_identifier.dll           0x7FFD54950000
Buffout4.dll                  0x7FFD54A50000
XAudio2_7.dll                 0x7FFD59AD0000
NVIDIA_Reflex.dll             0x7FFD59B60000
mcm.dll                       0x7FFD59C30000
f4ee.dll                      0x7FFD59EB0000
tier0_s64.dll                 0x7FFD5A360000
HighFPSPhysicsFix.dll         0x7FFD5BBD0000
DSOUND.DLL                    0x7FFD5E360000
f4se_1_10_163.dll             0x7FFD5EE60000
vstdlib_s64.dll               0x7FFD7FAE0000
PowerGridTools.dll            0x7FFD7FEE0000
cudart64_75.dll               0x7FFD81B20000
GFSDK_GodraysLib.x64.dll      0x7FFD81B80000
GFSDK_SSAO_D3D11.win64.dll    0x7FFD81BE0000
flexRelease_x64.dll           0x7FFD820B0000
MSVCR110.dll                  0x7FFD994D0000
MSVCP110.dll                  0x7FFDB4F30000
bink2w64.dll                  0x7FFDB4FE0000
achievements.dll              0x7FFDB53C0000
ASM.Plugin.AudioDevProps2.dll 0x7FFDB5870000
flexExtRelease_x64.dll        0x7FFDB7ED0000
ProductInfo.dll               0x7FFDBAEC0000
f4se_steam_loader.dll         0x7FFDBE3A0000
AudioDevProps2.dll            0x7FFDBED10000
WeaponDebrisCrashFix.dll      0x7FFE2B4C0000
nvspcap64.dll                 0x7FFE2C730000
MessageBus.dll                0x7FFE44A60000
mskeyprotect.dll              0x7FFE4FE00000
ncryptsslp.dll                0x7FFE506A0000
winmmbase.dll                 0x7FFE581F0000
VCRUNTIME140.dll              0x7FFE59350000
MSVCP140.dll                  0x7FFE59370000
VCRUNTIME140_1.dll            0x7FFE59400000
WINMM.dll                     0x7FFE5F5D0000
nvwgf2umx.dll                 0x7FFE5F600000
dxcore.dll                    0x7FFE65A40000
nvldumdx.dll                  0x7FFE66180000
InputHost.dll                 0x7FFE68460000
textinputframework.dll        0x7FFE685C0000
WindowManagementAPI.dll       0x7FFE686C0000
Windows.UI.dll                0x7FFE68770000
nvToolsExt64_1.dll            0x7FFE68A50000
COMCTL32.dll                  0x7FFE68FB0000
webio.dll                     0x7FFE6A1D0000
nvapi64.dll                   0x7FFE6A820000
MpOav.dll                     0x7FFE6B460000
amsi.dll                      0x7FFE6B790000
wbemsvc.dll                   0x7FFE6BBA0000
fastprox.dll                  0x7FFE6BBC0000
wbemcomn.dll                  0x7FFE6CCD0000
wbemprox.dll                  0x7FFE6CD60000
