XINPUT1_3.dll                 0x000000400000
X3DAudio1_7.dll               0x00005CC90000
steam_api64.dll               0x00005CCA0000
Fallout4.exe                  0x7FF775B10000
nvcuda64.dll                  0x7FFB362F0000
nvwgf2umx.dll                 0x7FFB372A0000
steamclient64.dll             0x7FFB3D180000
NvCamera64.dll                0x7FFB5A100000
d3dcompiler_47_64.dll         0x7FFB5A9D0000
nvspcap64.dll                 0x7FFB5B170000
Buffout4.dll                  0x7FFB5B450000
BLD_Helper.dll                0x7FFB64DC0000
wsfw_identifier.dll           0x7FFB6E4C0000
ResampleDmo.DLL               0x7FFB7D1B0000
DSOUND.DLL                    0x7FFB7D270000
RobCo_Patcher.dll             0x7FFB7DD60000
f4se_1_10_163.dll             0x7FFB83E70000
mcm.dll                       0x7FFB90210000
tier0_s64.dll                 0x7FFB928C0000
flexRelease_x64.dll           0x7FFB92A60000
BulletCountedReload.dll       0x7FFB931A0000
AudioDevProps2.dll            0x7FFBAA2B0000
PowerGridTools.dll            0x7FFBAA710000
vstdlib_s64.dll               0x7FFBAD790000
MSVCR110.dll                  0x7FFBB0A40000
cudart64_75.dll               0x7FFBB44F0000
XAudio2_7.dll                 0x7FFBB45D0000
nvldumdx.dll                  0x7FFBB4770000
ProductInfo.dll               0x7FFBBC6A0000
DINPUT8.dll                   0x7FFBC0670000
GFSDK_GodraysLib.x64.dll      0x7FFBC06C0000
textinputframework.dll        0x7FFBC49D0000
MessageBus.dll                0x7FFBD4270000
f4se_steam_loader.dll         0x7FFBD6E80000
GFSDK_SSAO_D3D11.win64.dll    0x7FFBD6EC0000
MSVCP110.dll                  0x7FFBD6F50000
bink2w64.dll                  0x7FFBD7000000
flexExtRelease_x64.dll        0x7FFBD8D80000
ncryptsslp.dll                0x7FFBDAEB0000
OneCoreCommonProxyStub.dll    0x7FFBDB060000
webio.dll                     0x7FFBDB290000
VCRUNTIME140_1.dll            0x7FFBDBD80000
MessageBus.dll                0x7FFBDDDD0000
msdmo.dll                     0x7FFBDEA60000
winmmbase.dll                 0x7FFBDEC50000
MSVCP140.dll                  0x7FFBDED40000
VCRUNTIME140.dll              0x7FFBDEDD0000
Windows.UI.dll                0x7FFBDF070000
COMCTL32.dll                  0x7FFBE1E70000
rasadhlp.dll                  0x7FFBE2F70000
AudioSes.dll                  0x7FFBE3380000
WINMM.dll                     0x7FFBE49A0000
inputhost.dll                 0x7FFBE4AD0000
mc-sec-plugin-x64.dll         0x7FFBE5730000
amsi.dll                      0x7FFBE57B0000
wbemsvc.dll                   0x7FFBE5DC0000
fastprox.dll                  0x7FFBE6010000
MMDevApi.dll                  0x7FFBE63D0000
