XINPUT1_3.dll              0x000000400000
X3DAudio1_7.dll            0x000060A20000
steam_api64.dll            0x000060A30000
wintrust.dll               0x0259F0050000
Fallout4.exe               0x7FF6B3720000
steamclient64.dll          0x7FFD8A970000
Buffout4.dll               0x7FFDAEFE0000
xinput1_4.dll              0x7FFDB3860000
nvspcap64.dll              0x7FFDD7E10000
gameoverlayrenderer64.dll  0x7FFDE79B0000
wsfw_identifier.dll        0x7FFDE7B40000
XAudio2_7.dll              0x7FFDE8120000
tier0_s64.dll              0x7FFDE81B0000
ShadowBoostFO4.dll         0x7FFDEA640000
XDI.dll                    0x7FFDEB7A0000
flexRelease_x64.dll        0x7FFDEC660000
f4se_1_10_163.dll          0x7FFDED510000
MSVCR110.dll               0x7FFDED5F0000
mcm.dll                    0x7FFDEEF60000
vstdlib_s64.dll            0x7FFDF0820000
DSOUND.DLL                 0x7FFDF0D90000
MSVCP110.dll               0x7FFDF31D0000
ProjectMojave.dll          0x7FFDF4290000
winmmbase.dll              0x7FFDF6BC0000
PowerGridTools.dll         0x7FFDF8160000
cudart64_75.dll            0x7FFDFC580000
AUDIOSES.DLL               0x7FFDFF0E0000
GFSDK_SSAO_D3D11.win64.dll 0x7FFE071D0000
bink2w64.dll               0x7FFE07760000
GFSDK_GodraysLib.x64.dll   0x7FFE079A0000
flexExtRelease_x64.dll     0x7FFE0BF90000
mskeyprotect.dll           0x7FFE1D290000
ncryptsslp.dll             0x7FFE1DE20000
MessageBus.dll             0x7FFE209C0000
Secur32.dll                0x7FFE21C00000
VCRUNTIME140_1.dll         0x7FFE2A970000
VCRUNTIME140.dll           0x7FFE2ACA0000
MSVCP140.dll               0x7FFE2ADB0000
COMCTL32.dll               0x7FFE2B950000
dbghelp.dll                0x7FFE2DE50000
WINMM.dll                  0x7FFE2EC00000
nvwgf2umx.dll              0x7FFE2EEA0000
nvldumdx.dll               0x7FFE36100000
fwpuclnt.dll               0x7FFE36210000
inputhost.dll              0x7FFE362A0000
textinputframework.dll     0x7FFE36400000
webio.dll                  0x7FFE36500000
Windows.UI.dll             0x7FFE36600000
nvapi64.dll                0x7FFE36E50000
AMSIExt.dll                0x7FFE38B10000
amsi.dll                   0x7FFE38BE0000
rasadhlp.dll               0x7FFE39480000
MMDevApi.dll               0x7FFE39D10000
drvstore.dll               0x7FFE3A170000
cryptnet.dll               0x7FFE3A3B0000
wbemsvc.dll                0x7FFE3A470000
VERSION.dll                0x7FFE3A490000
WINHTTP.dll                0x7FFE3A4A0000
