XINPUT1_3.dll                 0x000000400000
X3DAudio1_7.dll               0x00005EC00000
steam_api64.dll               0x00005EC10000
clbcatq.dll                   0x02B62BB10000
Fallout4.exe                  0x7FF618F90000
steamclient64.dll             0x7FF8CC500000
gameoverlayrenderer64.dll     0x7FF8F46F0000
nvspcap64.dll                 0x7FF9002B0000
tier0_s64.dll                 0x7FF9011F0000
vstdlib_s64.dll               0x7FF913210000
flexRelease_x64.dll           0x7FF913580000
DSOUND.DLL                    0x7FF914B00000
MSVCR110.dll                  0x7FF914E80000
XAudio2_7.dll                 0x7FF916230000
wsfw_identifier.dll           0x7FF916370000
SUP_F4SE.dll                  0x7FF91A230000
ShadowBoostFO4.dll            0x7FF91BF10000
f4ee.dll                      0x7FF91BFE0000
Buffout4.dll                  0x7FF91E230000
f4se_1_10_163.dll             0x7FF922C80000
cudart64_75.dll               0x7FF926BC0000
GFSDK_SSAO_D3D11.win64.dll    0x7FF928780000
MSVCP110.dll                  0x7FF928810000
XDI.dll                       0x7FF929670000
uiautomationcore.dll          0x7FF92A560000
mcm.dll                       0x7FF92B8B0000
AUDIOSES.DLL                  0x7FF931E10000
ProjectMojave.dll             0x7FF933EC0000
PowerGridTools.dll            0x7FF936790000
place.dll                     0x7FF93BFF0000
bink2w64.dll                  0x7FF9403B0000
winmmbase.dll                 0x7FF941370000
GFSDK_GodraysLib.x64.dll      0x7FF9424A0000
flexExtRelease_x64.dll        0x7FF942980000
f4se_steam_loader.dll         0x7FF942E10000
OneCoreCommonProxyStub.dll    0x7FF94F020000
WININET.dll                   0x7FF9514A0000
mskeyprotect.dll              0x7FF952C30000
ncryptsslp.dll                0x7FF952F20000
Secur32.dll                   0x7FF9598B0000
VCRUNTIME140_1.dll            0x7FF95E600000
COMCTL32.dll                  0x7FF95F090000
gdiplus.dll                   0x7FF95F330000
VCRUNTIME140.dll              0x7FF95F600000
MSVCP140.dll                  0x7FF95F620000
OLEACC.dll                    0x7FF95FEE0000
dbghelp.dll                   0x7FF9612D0000
MessageBus.dll                0x7FF961CF0000
nvwgf2umx.dll                 0x7FF963C80000
AMSIExt.dll                   0x7FF96AC20000
nvldumdx.dll                  0x7FF96AD90000
inputhost.dll                 0x7FF96AE50000
textinputframework.dll        0x7FF96AFB0000
Windows.UI.dll                0x7FF96B0C0000
fwpuclnt.dll                  0x7FF96B210000
nvapi64.dll                   0x7FF96B2A0000
webio.dll                     0x7FF96BA40000
OneCoreUAPCommonProxyStub.dll 0x7FF96CD10000
WINMM.dll                     0x7FF96DC50000
amsi.dll                      0x7FF96DC80000
rasadhlp.dll                  0x7FF96DD50000
MMDevApi.dll                  0x7FF96DDF0000
drvstore.dll                  0x7FF96E8D0000
WINHTTP.dll                   0x7FF96EBF0000
cryptnet.dll                  0x7FF96ED00000
wbemsvc.dll                   0x7FF96ED40000
fastprox.dll                  0x7FF96F100000
WindowManagementAPI.dll       0x7FF96F6B0000
dhcpcsvc6.DLL                 0x7FF9701C0000
VERSION.dll                   0x7FF9703B0000
dhcpcsvc.DLL                  0x7FF9704C0000
WINNSI.DLL                    0x7FF9704E0000
avrt.dll                      0x7FF9714E0000
wbemcomn.dll                  0x7FF971560000
wbemprox.dll                  0x7FF9715F0000
dxcore.dll                    0x7FF971B70000
xinput1_4.dll                 0x7FF972070000
twinapi.appcore.dll           0x7FF972470000
nvToolsExt64_1.dll            0x7FF9727E0000
PROPSYS.dll                   0x7FF972D90000
d3d11.dll                     0x7FF9731C0000
D3DCOMPILER_47.dll            0x7FF9739F0000
wintypes.dll                  0x7FF973F70000
dcomp.dll                     0x7FF9740D0000
CoreUIComponents.dll          0x7FF974640000
CoreMessaging.dll             0x7FF9749F0000
uxtheme.dll                   0x7FF974D80000
resourcepolicyclient.dll      0x7FF974E50000
dwmapi.dll                    0x7FF975070000
kernel.appcore.dll            0x7FF975250000
windows.storage.dll           0x7FF975450000
HID.DLL                       0x7FF975BF0000
dxgi.dll                      0x7FF975C30000
schannel.DLL                  0x7FF9762F0000
rsaenh.dll                    0x7FF9763D0000
ntmarta.dll                   0x7FF9764F0000
UMPDC.dll                     0x7FF9767B0000
IPHLPAPI.DLL                  0x7FF9767D0000
DNSAPI.dll                    0x7FF976820000
powrprof.dll                  0x7FF9768F0000
MSWSOCK.dll                   0x7FF976B30000
CRYPTBASE.DLL                 0x7FF976D20000
CRYPTSP.dll                   0x7FF976D30000
Wldp.dll                      0x7FF976DD0000
NTASN1.dll                    0x7FF976E00000
ncrypt.dll                    0x7FF976E40000
msasn1.dll                    0x7FF976F60000
devobj.dll                    0x7FF977120000
DPAPI.DLL                     0x7FF977180000
SSPICLI.DLL                   0x7FF977240000
USERENV.dll                   0x7FF977280000
profapi.dll                   0x7FF9772C0000
wintrust.dll                  0x7FF977390000
gdi32full.dll                 0x7FF977400000
CRYPT32.dll                   0x7FF977520000
bcryptPrimitives.dll          0x7FF977730000
msvcp_win.dll                 0x7FF9777C0000
win32u.dll                    0x7FF977860000
bcrypt.dll                    0x7FF977890000
cfgmgr32.dll                  0x7FF9778C0000
KERNELBASE.dll                0x7FF977910000
ucrtbase.dll                  0x7FF977C10000
NSI.dll                       0x7FF977D10000
ADVAPI32.dll                  0x7FF977D20000
shlwapi.dll                   0x7FF977E60000
KERNEL32.DLL                  0x7FF977EC0000
SETUPAPI.dll                  0x7FF9780A0000
IMM32.DLL                     0x7FF978720000
PSAPI.DLL                     0x7FF978750000
ole32.dll                     0x7FF978760000
sechost.dll                   0x7FF978890000
MSCTF.dll                     0x7FF978930000
msvcrt.dll                    0x7FF978A50000
imagehlp.dll                  0x7FF978AF0000
COMDLG32.dll                  0x7FF978B10000
RPCRT4.dll                    0x7FF978BF0000
SHCORE.dll                    0x7FF978D20000
WS2_32.dll                    0x7FF978E50000
OLEAUT32.dll                  0x7FF978EC0000
combase.dll                   0x7FF978F90000
GDI32.dll                     0x7FF9792F0000
SHELL32.dll                   0x7FF979320000
USER32.dll                    0x7FF979AD0000
ntdll.dll                     0x7FF979CB0000
