XINPUT1_3.dll                      0x000000400000
X3DAudio1_7.dll                    0x000065F20000
steam_api64.dll                    0x000065F30000
BetterPowerArmorRedux.dll          0x014660F10000
Fallout4.exe                       0x7FF6FCCC0000
nvspcap64.dll                      0x7FF907A30000
steamclient64.dll                  0x7FF907D10000
XAudio2_7.dll                      0x7FF91FA10000
gameoverlayrenderer64.dll          0x7FF91FAA0000
XDI.dll                            0x7FF91FC30000
wsfw_identifier.dll                0x7FF91FCA0000
WhoseQuestIsItAnywayF4.dll         0x7FF91FDA0000
UnlimitedSurvivalMode.dll          0x7FF91FE00000
UneducatedShooter.dll              0x7FF91FE50000
SprintSpeedController.dll          0x7FF91FED0000
ShadowBoostFO4.dll                 0x7FF920460000
SimpleImpact.dll                   0x7FF9205C0000
PowerGridTools.dll                 0x7FF920630000
po3_SpellPerkItemDistributorF4.dll 0x7FF920CC0000
place.dll                          0x7FF920DD0000
Outfit-ReDress-Fix.dll             0x7FF920E50000
NVIDIA_Reflex.dll                  0x7FF920EA0000
MGEFConditionFix.dll               0x7FF920F70000
mcm.dll                            0x7FF920FC0000
CONCRT140.dll                      0x7FF921060000
Interior-NavCut-Fix.dll            0x7FF9210B0000
HighFPSPhysicsFix.dll              0x7FF921100000
FakeThroughScope.dll               0x7FF921190000
FallSouls.dll                      0x7FF922F20000
f4pm.dll                           0x7FF922F80000
f4ee.dll                           0x7FF922FF0000
ESPExplorer.dll                    0x7FF923100000
crafting_highlight_fix.dll         0x7FF923160000
ClassicHolsteredWeapons.dll        0x7FF9231B0000
BulletCountedReload.dll            0x7FF923260000
Buffout4.dll                       0x7FF9232F0000
BakaScrapHeap.dll                  0x7FF923650000
tier0_s64.dll                      0x7FF923720000
DSOUND.DLL                         0x7FF925500000
ClockWidget.dll                    0x7FF9255C0000
BakaMaxPapyrusOps.dll              0x7FF925610000
BodyPartsUI.dll                    0x7FF928090000
BetterConsole.dll                  0x7FF929880000
BakaFramework.dll                  0x7FF92B580000
f4se_1_10_163.dll                  0x7FF92BE30000
vstdlib_s64.dll                    0x7FF92BF10000
GFSDK_SSAO_D3D11.win64.dll         0x7FF92BFD0000
IPHLPAPI.DLL                       0x7FF92C060000
flexRelease_x64.dll                0x7FF92C620000
bink2w64.dll                       0x7FF92C770000
MSVCR110.dll                       0x7FF92C800000
MSVCP110.dll                       0x7FF92C8E0000
SmokeAPI64.dll                     0x7FF92C990000
VERSION.dll                        0x7FF92CD00000
winmmbase.dll                      0x7FF92FF10000
f4se_steam_loader.dll              0x7FF931060000
PriorityMod.dll                    0x7FF931960000
GFSDK_GodraysLib.x64.dll           0x7FF9343B0000
cudart64_75.dll                    0x7FF9354A0000
xinput1_4.dll                      0x7FF938220000
Secur32.dll                        0x7FF93A620000
mskeyprotect.dll                   0x7FF93BA40000
ncryptsslp.dll                     0x7FF93BCF0000
WeaponDebrisCrashFix.dll           0x7FF93D1C0000
Windows.UI.dll                     0x7FF93D740000
MSVCP140.dll                       0x7FF93D940000
VCRUNTIME140.dll                   0x7FF93E2D0000
VCRUNTIME140_1.dll                 0x7FF93E7E0000
MpOav.dll                          0x7FF940130000
amsi.dll                           0x7FF9402D0000
webio.dll                          0x7FF940340000
flexExtRelease_x64.dll             0x7FF941C00000
inputhost.dll                      0x7FF943440000
WINSPOOL.DRV                       0x7FF9436B0000
COMCTL32.dll                       0x7FF943760000
nvwgf2umx.dll                      0x7FF9441A0000
WINMM.dll                          0x7FF94ABB0000
MSIMG32.dll                        0x7FF94ABF0000
textinputframework.dll             0x7FF94B090000
OneCoreCommonProxyStub.dll         0x7FF94B190000
fwpuclnt.dll                       0x7FF94B350000
rasadhlp.dll                       0x7FF94C1F0000
fastprox.dll                       0x7FF94C630000
MessageBus.dll                     0x7FF94CC40000
wbemsvc.dll                        0x7FF94D3A0000
nvgpucomp64.dll                    0x7FF94DDE0000
wbemcomn.dll                       0x7FF951500000
nvapi64.dll                        0x7FF951590000
DbgHelp.dll                        0x7FF951EC0000
nvldumdx.dll                       0x7FF952A10000
dxcore.dll                         0x7FF952B90000
OneCoreUAPCommonProxyStub.dll      0x7FF952BD0000
WINHTTP.dll                        0x7FF953C10000
wbemprox.dll                       0x7FF954220000
AUDIOSES.DLL                       0x7FF954370000
MMDevApi.dll                       0x7FF954600000
dhcpcsvc.DLL                       0x7FF954B50000
dhcpcsvc6.DLL                      0x7FF954B90000
drvstore.dll                       0x7FF954CD0000
WINNSI.DLL                         0x7FF954E70000
cryptnet.dll                       0x7FF954E80000
version.DLL                        0x7FF954EC0000
twinapi.appcore.dll                0x7FF955160000
WindowManagementAPI.dll            0x7FF955370000
avrt.dll                           0x7FF9558C0000
PROPSYS.dll                        0x7FF956470000
wintypes.dll                       0x7FF9565F0000
D3DCOMPILER_47.dll                 0x7FF956750000
d3d11.dll                          0x7FF9572C0000
dcomp.dll                          0x7FF957530000
CoreUIComponents.dll               0x7FF957AA0000
CoreMessaging.dll                  0x7FF957E00000
nvToolsExt64_1.dll                 0x7FF9580C0000
apphelp.dll                        0x7FF958120000
UxTheme.dll                        0x7FF958280000
resourcepolicyclient.dll           0x7FF9583E0000
dwmapi.dll                         0x7FF9584E0000
kernel.appcore.dll                 0x7FF9587D0000
windows.storage.dll                0x7FF9589D0000
HID.DLL                            0x7FF959170000
dxgi.dll                           0x7FF9591B0000
schannel.DLL                       0x7FF959800000
rsaenh.dll                         0x7FF9598F0000
ntmarta.dll                        0x7FF959A30000
IpHlpAPI.dll                       0x7FF959D10000
DNSAPI.dll                         0x7FF959D50000
MSWSOCK.dll                        0x7FF95A020000
UMPDC.dll                          0x7FF95A0B0000
powrprof.dll                       0x7FF95A110000
CRYPTSP.dll                        0x7FF95A280000
CRYPTBASE.DLL                      0x7FF95A2A0000
Wldp.dll                           0x7FF95A330000
NTASN1.dll                         0x7FF95A360000
ncrypt.dll                         0x7FF95A3A0000
msasn1.dll                         0x7FF95A4C0000
devobj.dll                         0x7FF95A690000
DPAPI.DLL                          0x7FF95A6F0000
SSPICLI.DLL                        0x7FF95A7B0000
USERENV.dll                        0x7FF95A7F0000
profapi.dll                        0x7FF95A830000
bcryptPrimitives.dll               0x7FF95A900000
cfgmgr32.dll                       0x7FF95A990000
bcrypt.dll                         0x7FF95A9E0000
wintrust.dll                       0x7FF95AA10000
KERNELBASE.dll                     0x7FF95AA80000
gdi32full.dll                      0x7FF95AD80000
CRYPT32.dll                        0x7FF95AEA0000
msvcp_win.dll                      0x7FF95B000000
ucrtbase.dll                       0x7FF95B0A0000
win32u.dll                         0x7FF95B1A0000
RPCRT4.dll                         0x7FF95B280000
GDI32.dll                          0x7FF95B410000
USER32.dll                         0x7FF95B440000
imagehlp.dll                       0x7FF95B5E0000
SHELL32.dll                        0x7FF95B600000
NSI.dll                            0x7FF95BD50000
COMDLG32.dll                       0x7FF95BDC0000
KERNEL32.DLL                       0x7FF95BEA0000
WS2_32.dll                         0x7FF95BF60000
ole32.dll                          0x7FF95BFD0000
PSAPI.DLL                          0x7FF95C100000
ADVAPI32.dll                       0x7FF95C110000
IMM32.DLL                          0x7FF95C2D0000
combase.dll                        0x7FF95C300000
OLEAUT32.dll                       0x7FF95C660000
msvcrt.dll                         0x7FF95C730000
MSCTF.dll                          0x7FF95C7D0000
shcore.dll                         0x7FF95C8F0000
SHLWAPI.dll                        0x7FF95C9A0000
clbcatq.dll                        0x7FF95CA00000
